Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,114.25,114.78,113.85,114.61,965800,114.02
2013-12-30,114.72,115.07,113.52,113.93,725900,113.34
2013-12-27,115.52,116.19,114.12,114.70,905300,114.11
2013-12-26,114.45,115.88,114.37,115.32,981100,114.73
2013-12-24,112.56,114.30,112.56,114.22,570600,113.63
2013-12-23,113.00,113.26,112.04,112.53,1140500,111.95
2013-12-20,110.66,113.05,110.31,112.26,3552100,111.68
2013-12-19,111.45,111.85,110.17,110.55,1374500,109.98
2013-12-18,109.93,111.52,108.47,111.48,2067500,110.91
2013-12-17,109.82,110.14,109.34,109.57,1194000,109.01
2013-12-16,108.96,110.00,108.42,109.66,1333000,109.10
2013-12-13,108.16,109.24,107.79,108.92,899400,108.36
2013-12-12,107.65,108.32,107.21,108.03,1881600,107.47
2013-12-11,110.29,110.50,107.22,107.52,2031100,106.97
2013-12-10,109.85,110.54,109.56,110.13,1074800,109.56
2013-12-09,110.18,110.35,109.16,109.94,1312100,109.38
2013-12-06,110.07,110.35,109.24,110.26,1916900,109.69
2013-12-05,110.08,111.17,109.43,109.54,1239500,108.98
2013-12-04,111.99,112.76,109.66,110.49,1799800,109.92
2013-12-03,111.97,113.24,111.51,112.52,1697600,111.94
2013-12-02,112.60,113.15,111.61,111.82,906700,111.25
2013-11-29,113.98,114.48,112.50,112.68,724900,112.10
2013-11-27,111.86,114.33,111.66,113.95,1634400,113.36
2013-11-26,111.65,112.40,111.65,111.97,2032900,110.79
2013-11-25,112.12,112.53,110.97,111.65,1998400,110.47
2013-11-22,110.39,112.25,110.34,112.01,1228100,110.83
2013-11-21,110.35,111.05,110.21,110.77,1584500,109.60
2013-11-20,110.16,110.66,109.48,109.78,890000,108.62
2013-11-19,110.76,111.14,109.86,110.25,1078700,109.09
2013-11-18,110.48,111.34,110.08,110.58,1334900,109.41
2013-11-15,109.63,109.71,108.34,109.53,1085400,108.37
2013-11-14,109.98,110.17,109.14,110.10,1028500,108.94
2013-11-13,109.01,109.32,106.67,109.31,1581000,108.16
2013-11-12,110.00,110.01,109.00,109.35,919500,108.20
2013-11-11,110.23,110.29,109.61,110.17,895600,109.01
2013-11-08,108.73,110.76,108.61,110.73,829200,109.56
2013-11-07,109.68,110.47,108.58,108.67,1088800,107.52
2013-11-06,109.33,109.89,108.61,109.62,773000,108.46
2013-11-05,108.49,109.65,108.21,109.12,788200,107.97
2013-11-04,108.45,109.25,108.36,108.65,1126100,107.50
2013-11-01,107.57,109.41,107.53,108.12,1947400,106.98
2013-10-31,107.74,108.69,107.28,107.51,1857900,106.37
2013-10-30,108.55,108.86,107.20,107.60,1074000,106.46
2013-10-29,107.89,108.40,106.93,108.31,1201200,107.17
2013-10-28,108.09,108.33,107.63,107.86,1049800,106.72
2013-10-25,107.28,108.78,106.88,108.37,1503600,107.23
2013-10-24,105.96,108.01,105.69,107.48,1769700,106.35
2013-10-23,102.50,105.71,102.25,105.56,1957200,104.45
2013-10-22,100.66,101.90,100.63,101.46,1017500,100.39
2013-10-21,101.74,101.80,99.89,100.20,1098300,99.14
2013-10-18,100.88,101.60,100.45,101.59,1123800,100.52
2013-10-17,98.51,100.73,98.13,100.73,1246700,99.67
2013-10-16,98.02,98.72,97.83,98.68,1007800,97.64
2013-10-15,98.83,98.91,97.15,97.35,1128400,96.32
2013-10-14,97.70,99.03,97.16,98.81,764500,97.77
2013-10-11,97.15,98.41,97.06,98.36,963700,97.32
2013-10-10,94.85,97.11,94.82,97.10,1169600,96.07
2013-10-09,94.10,94.64,93.33,94.10,1290200,93.11
2013-10-08,94.80,95.00,93.69,94.09,1450300,93.10
2013-10-07,92.92,95.56,92.82,94.98,1828200,93.98
2013-10-04,93.09,93.53,92.51,93.32,1218700,92.33
2013-10-03,95.09,95.09,92.61,93.08,1579200,92.10
2013-10-02,95.84,95.90,94.38,95.18,1436700,94.18
