Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,28.70,28.82,28.57,28.72,2519800,28.59
2013-12-30,28.56,28.75,28.50,28.63,1997900,28.50
2013-12-27,28.53,28.70,28.41,28.59,1946000,28.46
2013-12-26,28.46,28.54,28.36,28.48,1917600,28.35
2013-12-24,28.47,28.55,28.25,28.38,953000,28.25
2013-12-23,28.57,28.60,28.32,28.37,2064000,28.24
2013-12-20,28.44,28.75,28.36,28.40,5398800,28.27
2013-12-19,28.07,28.46,27.81,28.42,2219700,28.29
2013-12-18,27.93,28.14,27.28,28.10,3591100,27.98
2013-12-17,27.84,28.11,27.79,27.87,2542500,27.75
2013-12-16,28.05,28.25,27.74,27.86,3658300,27.74
2013-12-13,28.05,28.09,27.88,27.95,2194300,27.83
2013-12-12,27.96,28.28,27.91,27.98,2618100,27.86
2013-12-11,28.32,28.36,27.82,27.95,3438200,27.83
2013-12-10,28.73,28.77,28.32,28.37,3087100,28.24
2013-12-09,28.56,28.89,28.42,28.73,2898200,28.60
2013-12-06,28.26,28.65,28.11,28.59,2824600,28.46
2013-12-05,27.89,28.25,27.55,28.10,3809700,27.98
2013-12-04,27.24,28.00,27.16,27.95,3740500,27.83
2013-12-03,26.76,27.41,26.62,27.40,3075900,27.28
2013-12-02,26.46,26.97,26.34,26.83,2896200,26.71
2013-11-29,26.67,26.74,26.41,26.46,910200,26.34
2013-11-27,26.59,26.73,26.30,26.65,2726800,26.53
2013-11-26,26.94,27.00,26.47,26.60,3470100,26.48
2013-11-25,27.21,27.28,26.91,26.94,1971100,26.82
2013-11-22,27.56,27.59,27.11,27.22,2033300,27.10
2013-11-21,27.23,27.68,27.13,27.57,2376400,27.45
2013-11-20,27.17,27.52,27.07,27.23,3156400,27.11
2013-11-19,27.06,27.24,26.86,27.17,2176200,27.05
2013-11-18,27.28,27.40,26.88,27.12,2662000,27.00
2013-11-15,27.02,27.28,26.88,27.27,2670900,27.15
2013-11-14,27.28,27.29,26.93,27.12,3574000,27.00
2013-11-13,26.81,27.27,26.69,27.26,4351400,27.14
2013-11-12,27.06,27.93,26.76,27.06,6657600,26.94
2013-11-11,28.27,28.46,27.96,28.04,2378200,27.92
2013-11-08,27.88,28.34,27.50,28.32,3138500,28.20
2013-11-07,28.47,28.49,27.89,27.98,3362600,27.86
2013-11-06,28.42,28.59,27.89,28.16,2358800,28.04
2013-11-05,28.22,28.62,28.22,28.30,3393000,28.18
2013-11-04,28.44,28.56,27.92,28.25,3008500,28.13
2013-11-01,28.62,28.68,28.26,28.39,2957100,28.26
2013-10-31,28.75,28.92,28.23,28.53,3023800,28.40
2013-10-30,29.13,29.34,28.66,28.84,3337800,28.71
2013-10-29,29.54,29.64,28.98,29.18,3275100,28.93
2013-10-28,30.10,30.28,29.38,29.48,4910100,29.23
