Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,92.10,93.03,92.05,92.83,892100,92.28
2013-12-30,92.31,92.70,91.74,91.96,855500,91.42
2013-12-27,92.96,93.11,92.11,92.33,743400,91.79
2013-12-26,92.40,93.17,92.31,92.87,1054100,92.32
2013-12-24,91.79,92.40,91.69,92.20,414300,91.66
2013-12-23,91.97,92.34,91.64,91.83,1695600,91.29
2013-12-20,90.47,92.00,90.28,91.32,2850100,90.78
2013-12-19,90.35,90.53,89.50,90.51,1453600,89.98
2013-12-18,89.26,90.79,88.68,90.74,1472900,90.21
2013-12-17,89.35,89.60,88.90,89.16,1790200,88.64
2013-12-16,88.83,89.84,88.71,89.41,1408000,88.88
2013-12-13,87.71,88.57,87.49,87.97,765400,87.45
2013-12-12,87.74,88.04,87.36,87.51,1343900,87.00
2013-12-11,89.48,89.77,87.97,88.06,1681800,87.54
2013-12-10,90.49,90.96,89.69,89.78,1102500,89.25
2013-12-09,90.12,91.05,89.89,90.49,2520400,89.96
2013-12-06,89.04,89.75,88.75,89.67,1570400,89.14
2013-12-05,87.29,88.99,86.90,88.17,2381800,87.65
2013-12-04,87.53,88.20,86.55,87.19,2763400,86.68
2013-12-03,87.92,88.22,87.26,87.79,1463400,87.27
2013-12-02,87.70,88.87,87.40,88.25,1501200,87.73
2013-11-29,87.59,88.42,87.14,87.69,907200,87.17
2013-11-27,86.99,87.87,86.80,87.67,1079100,87.15
2013-11-26,87.22,87.28,86.45,86.98,918500,86.47
2013-11-25,87.15,87.43,86.95,87.02,710100,86.51
2013-11-22,86.80,87.20,86.41,87.12,890300,86.61
2013-11-21,86.33,87.11,85.77,86.82,1443100,86.31
2013-11-20,86.51,86.83,85.84,86.05,1185800,85.54
2013-11-19,87.27,87.27,85.98,86.30,1270700,85.79
2013-11-18,87.00,87.76,86.95,87.23,1018200,86.72
2013-11-15,87.29,87.62,86.80,87.15,1320400,86.64
2013-11-14,87.75,87.86,87.27,87.34,1636500,86.83
2013-11-13,86.22,87.65,86.03,87.62,1382100,87.10
2013-11-12,86.31,86.75,85.92,86.65,1511300,86.14
2013-11-11,85.43,86.86,85.41,86.36,1492600,85.85
2013-11-08,85.55,85.76,85.00,85.62,2090600,85.12
2013-11-07,86.91,87.34,85.23,85.48,1763600,84.98
2013-11-06,86.59,86.93,85.82,86.46,1839800,85.95
2013-11-05,86.60,86.94,86.26,86.43,1574400,85.92
2013-11-04,87.46,87.88,86.51,86.84,1651000,86.33
2013-11-01,86.40,87.34,86.25,87.00,2027400,86.49
2013-10-31,86.29,86.85,85.89,86.02,1804900,85.51
2013-10-30,87.72,87.86,86.24,86.52,2254100,86.01
2013-10-29,88.40,88.99,87.87,87.99,1949400,86.96
2013-10-28,87.76,88.74,87.50,88.11,1834500,87.07
2013-10-25,87.77,87.91,87.17,87.65,2289200,86.62
2013-10-24,84.71,87.93,84.52,87.87,3359700,86.84
2013-10-23,82.36,86.58,82.36,86.06,5226100,85.05
2013-10-22,79.66,80.78,79.66,80.60,2397600,79.65
2013-10-21,79.89,80.00,79.41,80.00,1374000,79.06
2013-10-18,79.01,79.99,78.94,79.89,2288600,78.95
2013-10-17,78.84,78.84,77.46,78.52,2665600,77.60
2013-10-16,79.09,79.97,78.56,79.91,2504500,78.97
2013-10-15,78.95,79.15,78.47,78.74,1785300,77.81
2013-10-14,78.37,79.10,78.20,79.06,1152900,78.13
2013-10-11,78.96,79.25,78.73,78.75,1321200,77.82
2013-10-10,77.75,79.16,77.74,78.96,1573100,78.03
2013-10-09,76.33,77.16,76.20,76.88,1665700,75.98
2013-10-08,76.81,77.04,76.08,76.27,2100500,75.37
2013-10-07,76.91,77.60,76.50,76.82,1513400,75.92
2013-10-04,77.11,77.58,76.40,77.51,2053700,76.60
2013-10-03,78.35,78.40,76.59,77.37,2258500,76.46
2013-10-02,77.90,78.54,77.56,78.52,1843100,77.60
2013-10-01,77.37,78.77,77.22,78.23,1706200,77.31
2013-09-30,77.03,77.74,76.89,77.35,2043300,76.44
2013-09-27,78.09,78.35,77.29,77.79,1072100,76.88
2013-09-26,77.94,78.40,77.61,78.30,1108500,77.38
2013-09-25,78.42,78.91,77.60,77.86,1816700,76.94
2013-09-24,78.05,78.88,77.43,78.28,1890500,77.36
2013-09-23,77.40,78.21,77.37,78.11,1496100,77.19
2013-09-20,78.41,78.82,77.52,77.72,1762800,76.81
