Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,41.16,41.44,41.00,41.14,1548000,40.82
2013-12-30,40.73,41.09,40.71,40.98,1918500,40.66
2013-12-27,40.33,40.81,40.32,40.70,1943600,40.38
2013-12-26,40.22,40.66,40.22,40.31,1862500,39.99
2013-12-24,40.32,40.54,40.28,40.38,1799900,40.06
2013-12-23,40.61,40.68,40.23,40.38,3208900,40.06
2013-12-20,40.71,40.93,40.41,40.49,4969700,40.17
2013-12-19,40.00,40.65,39.95,40.64,2866600,40.32
2013-12-18,40.02,40.06,39.00,40.04,3567100,39.73
2013-12-17,39.84,40.12,39.58,39.95,3202200,39.64
2013-12-16,40.00,40.19,39.79,40.03,2930400,39.72
2013-12-13,39.81,39.92,39.30,39.77,3780500,39.46
2013-12-12,39.99,40.11,39.34,39.60,5612400,39.29
2013-12-11,41.39,41.46,39.99,40.06,3861600,39.75
2013-12-10,41.30,41.80,41.14,41.46,3455400,41.13
2013-12-09,41.39,41.84,41.24,41.26,3260200,40.94
2013-12-06,41.95,41.95,41.43,41.57,2883200,41.24
2013-12-05,40.57,41.46,40.57,41.45,5517700,41.12
2013-12-04,39.73,40.89,39.73,40.67,4046900,40.35
2013-12-03,40.77,41.16,40.60,40.74,2346100,40.42
2013-12-02,40.50,41.24,40.50,41.00,3235300,40.68
2013-11-29,41.12,41.34,40.90,41.25,1731100,40.93
2013-11-27,40.90,41.27,40.79,41.24,1931500,40.92
2013-11-26,40.90,41.03,40.78,40.89,2867400,40.57
2013-11-25,40.78,40.92,40.55,40.77,1791600,40.45
2013-11-22,40.40,40.68,40.08,40.64,3599900,40.32
2013-11-21,39.95,40.67,39.95,40.39,2970900,40.07
2013-11-20,40.61,40.79,40.32,40.36,2162100,40.04
2013-11-19,40.50,40.91,40.30,40.59,2851600,40.27
2013-11-18,40.77,41.58,40.50,40.57,4254900,40.25
2013-11-15,41.12,41.50,40.65,41.42,5476400,41.09
2013-11-14,41.13,42.69,40.72,41.07,10528500,40.75
2013-11-13,40.21,41.30,39.75,41.29,7005700,40.97
2013-11-12,39.94,40.44,39.70,40.20,5935500,39.88
2013-11-11,39.75,39.97,39.53,39.87,2856900,39.56
2013-11-08,39.63,39.93,39.32,39.91,4985200,39.60
2013-11-07,38.46,39.62,38.45,39.45,7631900,39.14
2013-11-06,38.55,38.89,38.34,38.77,4010900,38.47
2013-11-05,38.55,38.75,38.50,38.51,3781000,38.21
2013-11-04,38.48,39.03,38.48,38.75,4356700,38.45
2013-11-01,38.98,39.28,38.83,39.14,4165600,38.83
2013-10-31,38.74,39.25,38.68,38.81,6122700,38.51
2013-10-30,39.94,39.98,38.85,38.93,5010900,38.62
2013-10-29,39.95,40.22,39.66,39.77,4635200,39.46
2013-10-28,39.49,39.93,39.03,39.69,4959300,39.38
2013-10-25,39.57,39.60,39.23,39.39,3713200,39.08
2013-10-24,39.22,39.44,39.07,39.29,2930100,38.98
2013-10-23,40.45,40.45,38.93,39.06,8841000,38.75
2013-10-22,40.99,41.15,40.45,40.71,7289100,40.39
2013-10-21,41.41,41.72,41.38,41.65,3279400,41.32
2013-10-18,40.71,41.54,40.50,41.37,4780100,41.05
2013-10-17,40.00,40.70,39.79,40.64,5787200,40.32
2013-10-16,40.81,40.88,40.25,40.44,6683200,39.97
2013-10-15,41.26,41.44,40.34,40.70,12023700,40.23
2013-10-14,41.27,41.94,41.18,41.73,4145600,41.25
2013-10-11,41.46,41.66,41.13,41.57,5854900,41.09
2013-10-10,41.50,41.79,41.40,41.60,4726900,41.12
2013-10-09,41.64,41.76,41.22,41.41,5269900,40.93
2013-10-08,42.11,42.25,41.51,41.65,4784500,41.17
2013-10-07,42.04,42.22,41.74,41.92,5508700,41.44
2013-10-04,42.10,42.37,42.10,42.27,4490700,41.78
2013-10-03,42.71,42.86,42.00,42.10,6358500,41.61
2013-10-02,42.82,43.15,42.51,42.84,3656900,42.35
2013-10-01,42.67,43.13,42.48,43.05,3880300,42.55
2013-09-30,42.06,42.79,42.06,42.62,4608400,42.13
2013-09-27,42.88,43.04,42.47,42.58,4011100,42.09
2013-09-26,42.99,43.38,42.84,43.13,4970700,42.63
2013-09-25,42.98,43.20,42.61,42.73,6168900,42.24
2013-09-24,42.47,43.45,42.45,42.88,6590900,42.39
2013-09-23,42.97,43.62,42.97,43.26,3934800,42.76
2013-09-20,44.12,44.12,43.17,43.20,8750600,42.70
2013-09-19,44.10,44.65,44.04,44.32,3741800,43.81
2013-09-18,43.85,44.25,43.68,43.99,3464300,43.48
2013-09-17,43.48,43.98,43.46,43.82,3129700,43.31
2013-09-16,43.99,44.01,43.24,43.55,4725700,43.05
2013-09-13,43.79,43.83,43.33,43.77,4092100,43.27
2013-09-12,43.30,43.82,43.25,43.65,4545800,43.15
2013-09-11,43.02,43.69,43.02,43.43,4457300,42.93
2013-09-10,42.86,43.31,42.85,43.09,4123300,42.59
2013-09-09,42.88,42.98,42.37,42.76,5917100,42.27
2013-09-06,42.15,42.37,41.67,42.24,8196700,41.75
2013-09-05,41.96,42.32,41.85,42.11,3360900,41.62
2013-09-04,42.00,42.43,41.70,42.07,5427900,41.58
2013-09-03,41.62,42.13,41.62,41.82,5744600,41.34
2013-08-30,41.60,41.82,41.38,41.54,2748200,41.06
2013-08-29,41.31,41.80,41.30,41.60,3238900,41.12
2013-08-28,41.51,41.69,41.28,41.43,3218100,40.95
2013-08-27,41.35,41.68,41.29,41.47,5792800,40.99
2013-08-26,40.80,42.23,40.80,41.85,4880300,41.37
2013-08-23,42.00,42.06,41.62,41.95,3728500,41.47
2013-08-22,41.66,41.94,41.47,41.82,3370000,41.34
2013-08-21,41.37,41.93,41.31,41.54,4250600,41.06
2013-08-20,41.84,41.88,41.47,41.75,6069800,41.27
2013-08-19,41.88,42.41,41.85,41.89,4687100,41.41
2013-08-16,42.05,42.41,41.98,42.20,5902100,41.71
2013-08-15,40.39,42.15,40.20,42.03,13996900,41.55
2013-08-14,42.42,42.49,41.98,42.33,9192000,41.84
2013-08-13,42.52,42.76,42.04,42.29,7211000,41.80
2013-08-12,43.05,43.05,42.50,42.53,6014300,42.04
2013-08-09,42.54,43.13,42.37,42.52,7842500,42.03
2013-08-08,42.00,42.53,42.00,42.45,11208800,41.96
2013-08-07,41.58,41.98,41.47,41.70,5418600,41.22
2013-08-06,41.72,41.90,41.23,41.50,3466900,41.02
2013-08-05,41.21,41.77,41.20,41.68,4382800,41.20
2013-08-02,41.55,41.59,41.15,41.24,3290500,40.76
2013-08-01,41.22,41.71,41.21,41.48,3554700,41.00
2013-07-31,41.30,41.59,41.08,41.12,4572900,40.65
2013-07-30,41.11,41.33,40.88,41.07,4258100,40.60
2013-07-29,41.30,41.30,40.70,40.86,3981800,40.39
2013-07-26,41.15,41.42,40.88,41.35,3109600,40.87
2013-07-25,41.24,41.67,41.19,41.54,4596100,41.06
2013-07-24,41.20,42.11,41.01,41.27,7273900,40.79
2013-07-23,41.20,41.59,40.85,40.91,5716100,40.44
2013-07-22,41.55,41.55,40.80,41.28,6220700,40.80
2013-07-19,41.14,41.47,40.96,41.33,6954700,40.85
2013-07-18,40.80,41.39,40.44,40.98,6849100,40.51
2013-07-17,40.08,40.72,40.00,40.52,6027700,40.05
2013-07-16,40.02,40.20,39.84,40.07,4431300,39.61
2013-07-15,40.06,40.48,39.85,40.10,9424700,39.64
2013-07-12,39.18,39.41,39.17,39.30,4426800,38.85
2013-07-11,39.13,39.28,38.85,39.03,3553200,38.58
2013-07-10,38.68,38.97,38.47,38.75,3686400,38.30
2013-07-09,38.69,38.83,38.36,38.67,3425500,38.22
2013-07-08,38.98,38.99,38.48,38.53,5083600,37.94
2013-07-05,38.39,38.96,38.33,38.77,2119800,38.17
2013-07-03,38.17,38.59,38.09,38.31,1926700,37.72
2013-07-02,37.95,38.47,37.82,38.29,4741900,37.70
2013-07-01,37.74,38.34,37.72,37.84,3729300,37.26
2013-06-28,37.68,38.12,37.50,37.78,6723800,37.20
2013-06-27,38.00,38.27,37.88,37.96,3139600,37.38
2013-06-26,37.78,38.07,37.56,37.83,3703600,37.25
2013-06-25,37.62,37.75,37.07,37.45,5311700,36.87
2013-06-24,37.65,37.87,37.29,37.39,6916400,36.81
2013-06-21,38.39,38.49,37.53,37.97,9182700,37.39
2013-06-20,38.45,38.85,38.02,38.31,5380700,37.72
2013-06-19,39.35,39.47,38.77,38.98,5457700,38.38
2013-06-18,38.73,39.51,38.70,39.39,7066600,38.78
2013-06-17,38.13,38.92,38.10,38.61,5754500,38.02
2013-06-14,38.46,38.56,37.89,37.90,3954100,37.32
2013-06-13,38.23,38.54,37.70,38.45,5715300,37.86
2013-06-12,38.65,38.80,38.21,38.34,7442200,37.75
2013-06-11,37.68,38.57,37.66,38.17,6162100,37.58
2013-06-10,37.94,38.22,37.70,38.14,6266100,37.55
2013-06-07,37.68,38.16,37.55,37.97,5136200,37.39
2013-06-06,37.58,37.64,37.08,37.61,6830900,37.03
2013-06-05,37.27,37.78,37.02,37.31,8407600,36.74
2013-06-04,37.37,37.74,37.10,37.29,3385900,36.72
2013-06-03,37.51,37.77,37.02,37.64,6683200,37.06
2013-05-31,37.83,38.11,37.52,37.53,5029700,36.95
2013-05-30,37.87,38.12,37.57,38.01,5409900,37.43
2013-05-29,37.56,38.00,37.29,37.72,8478600,37.14
2013-05-28,36.75,38.25,36.75,37.71,16258500,37.13
2013-05-24,36.76,36.84,36.28,36.45,8857300,35.89
2013-05-23,37.50,37.50,36.85,36.89,11277400,36.32
2013-05-22,38.88,38.94,36.88,37.28,36125900,36.71
2013-05-21,37.15,37.17,36.22,36.63,23442400,36.07
2013-05-20,37.37,37.57,37.05,37.19,12979300,36.62
2013-05-17,38.93,39.08,37.80,37.84,18518800,37.26
2013-05-16,36.55,39.15,36.46,38.46,25043200,37.87
2013-05-15,35.61,36.50,35.50,36.22,6717700,35.66
2013-05-14,36.07,36.31,35.51,35.78,8922400,35.23
2013-05-13,36.17,36.98,35.60,36.09,10732600,35.53
2013-05-10,35.84,36.24,35.58,36.15,7012700,35.59
2013-05-09,35.82,36.07,35.51,35.73,6500000,35.18
2013-05-08,35.54,36.26,35.37,35.82,7364800,35.27
2013-05-07,35.50,35.75,35.19,35.56,6011900,35.01
2013-05-06,34.87,35.83,34.76,35.49,7077500,34.94
2013-05-03,34.29,35.07,34.24,34.90,17404900,34.36
2013-05-02,34.20,34.30,33.61,33.87,8258700,33.35
2013-05-01,34.81,34.86,33.65,34.15,10225200,33.62
2013-04-30,34.25,34.91,34.09,34.89,7600600,34.35
2013-04-29,35.00,35.12,34.51,34.53,5291300,34.00
2013-04-26,34.83,35.10,34.59,34.87,5778300,34.33
2013-04-25,35.10,35.59,34.73,34.81,6834100,34.27
2013-04-24,34.81,35.25,34.73,34.86,6846100,34.32
2013-04-23,34.45,35.38,34.15,34.95,8393700,34.41
2013-04-22,33.27,34.17,33.12,34.12,6999200,33.60
2013-04-19,33.17,33.43,32.75,32.99,9945600,32.48
2013-04-18,34.86,34.96,33.68,33.78,5893100,33.26
2013-04-17,35.50,35.52,34.61,34.72,6196700,34.19
2013-04-16,34.82,35.97,34.64,35.81,8142100,35.26
2013-04-15,35.25,35.83,34.62,34.73,8646200,34.20
2013-04-12,33.48,36.16,33.23,35.46,20926200,34.91
2013-04-11,33.59,33.61,33.11,33.47,8647600,32.96
2013-04-10,33.69,34.22,33.51,33.62,11516900,33.10
2013-04-09,34.10,34.54,34.01,34.17,8866100,33.64
2013-04-08,33.91,34.05,33.77,33.93,5871800,33.41
2013-04-05,34.13,34.15,33.19,34.00,10886500,33.48
2013-04-04,34.32,34.61,34.11,34.57,4060500,34.04
2013-04-03,34.61,34.90,34.36,34.44,5836300,33.91
2013-04-02,34.34,34.95,34.11,34.70,8198600,34.17
2013-04-01,34.07,34.40,33.70,34.06,4954000,33.54
2013-03-28,33.59,34.22,33.33,34.16,7173000,33.63
2013-03-27,33.02,33.95,32.97,33.70,3964400,33.18
