Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.70,62.00,61.66,61.89,709000,61.58
2013-12-30,61.57,61.81,61.55,61.72,854700,61.41
2013-12-27,61.60,61.67,61.18,61.45,755700,61.14
2013-12-26,61.58,61.82,61.27,61.71,688200,61.40
2013-12-24,61.11,61.40,60.86,61.30,454400,60.99
2013-12-23,60.59,61.37,60.57,61.29,1446400,60.98
2013-12-20,59.64,60.94,59.45,60.81,3895700,60.51
2013-12-19,59.09,59.43,58.71,59.28,1209400,58.98
2013-12-18,57.47,59.40,57.30,59.37,1691100,59.07
2013-12-17,57.71,57.98,57.19,57.50,1024600,57.21
2013-12-16,57.96,58.39,57.68,57.82,1535600,57.53
2013-12-13,58.28,58.28,57.14,57.58,1616800,57.29
2013-12-12,57.29,57.55,56.66,57.14,1279300,56.86
2013-12-11,58.12,58.26,57.15,57.17,1702200,56.89
2013-12-10,58.59,59.10,58.23,58.27,1102200,57.98
2013-12-09,59.00,59.22,58.74,58.95,887800,58.66
2013-12-06,58.40,58.92,58.32,58.75,970000,58.46
2013-12-05,57.74,58.14,57.69,57.75,997000,57.46
2013-12-04,57.79,58.50,57.44,57.87,918700,57.58
2013-12-03,58.34,58.83,57.98,58.35,1252800,57.75
2013-12-02,58.91,59.53,58.48,58.70,944700,58.10
2013-11-29,58.99,59.40,58.69,58.99,646200,58.38
2013-11-27,58.71,59.00,58.44,58.94,701900,58.34
2013-11-26,58.56,58.99,58.46,58.66,1094100,58.06
2013-11-25,58.09,58.74,57.79,58.59,964400,57.99
2013-11-22,58.09,58.10,57.57,58.10,930100,57.50
2013-11-21,57.60,58.04,57.40,57.94,722500,57.35
2013-11-20,57.19,57.84,57.13,57.40,1088600,56.81
2013-11-19,56.79,57.43,56.42,57.24,1596200,56.65
2013-11-18,57.17,57.50,56.89,56.99,856800,56.41
2013-11-15,57.23,57.70,56.83,57.15,1235200,56.56
2013-11-14,57.53,57.94,57.14,57.20,1377900,56.61
2013-11-13,56.43,57.77,56.43,57.64,1003800,57.05
2013-11-12,57.91,58.10,57.43,57.70,704900,57.11
2013-11-11,58.56,58.56,57.91,58.10,675500,57.50
2013-11-08,56.12,58.42,56.04,58.40,1195500,57.80
2013-11-07,57.44,57.65,56.20,56.23,932900,55.65
2013-11-06,57.54,57.54,56.88,57.18,747900,56.59
2013-11-05,56.64,57.19,56.20,57.14,1039700,56.55
2013-11-04,56.35,56.75,56.25,56.65,1009700,56.07
2013-11-01,56.38,56.71,56.21,56.58,1096000,56.00
2013-10-31,57.19,57.24,56.39,56.42,1151400,55.84
2013-10-30,57.18,57.69,56.94,57.10,921000,56.51
2013-10-29,57.01,57.27,56.63,57.18,947500,56.59
2013-10-28,56.54,57.15,56.36,56.85,1350000,56.27
2013-10-25,55.96,56.60,55.81,56.40,961600,55.82
2013-10-24,55.72,56.10,55.40,56.01,930100,55.44
2013-10-23,55.57,56.02,55.15,55.53,1342100,54.96
2013-10-22,56.45,56.45,55.61,55.96,1487800,55.39
2013-10-21,53.86,56.64,53.86,56.36,849900,55.78
2013-10-18,56.91,56.98,56.07,56.52,1239600,55.94
2013-10-17,54.96,56.58,54.79,56.51,1788000,55.93
2013-10-16,55.17,56.93,54.81,55.04,4019900,54.48
2013-10-15,55.02,55.25,54.18,54.48,1785600,53.92
2013-10-14,54.44,55.32,54.25,55.25,1102200,54.68
2013-10-11,54.29,55.00,54.12,54.79,706500,54.23
2013-10-10,53.56,54.74,53.41,54.73,1568100,54.17
2013-10-09,52.59,53.19,52.53,52.99,1391600,52.45
2013-10-08,52.98,53.20,52.40,52.41,1372200,51.87
2013-10-07,53.12,53.52,52.93,53.13,1027500,52.58
2013-10-04,53.25,53.86,53.04,53.63,1316700,53.08
2013-10-03,53.38,53.66,52.66,53.15,2644200,52.60
2013-10-02,54.23,54.29,53.59,53.68,1320800,53.13
2013-10-01,54.44,54.98,54.31,54.73,924500,54.17
2013-09-30,54.21,54.53,53.92,54.38,1159200,53.82
2013-09-27,54.90,55.12,54.52,54.78,1007500,54.22
2013-09-26,55.51,55.88,54.95,55.29,958700,54.72
2013-09-25,55.01,55.99,54.74,55.52,1384200,54.95
2013-09-24,55.40,55.72,54.98,55.09,1565400,54.52
2013-09-23,55.33,55.48,54.77,55.21,1290800,54.64
2013-09-20,56.31,56.45,55.53,55.64,3166400,55.07
2013-09-19,55.99,56.35,55.09,56.02,1772500,55.45
2013-09-18,55.69,56.82,55.48,56.01,1810400,55.44
2013-09-17,55.44,55.62,55.05,55.61,1155800,55.04
2013-09-16,55.49,55.56,55.00,55.30,1354300,54.73
2013-09-13,55.01,55.25,54.74,54.81,1030400,54.25
2013-09-12,55.31,55.43,54.90,55.01,1323100,54.45
2013-09-11,56.04,56.30,55.34,55.41,1419900,54.84
2013-09-10,55.96,56.30,55.83,56.02,1141100,55.45
2013-09-09,55.57,55.77,55.32,55.60,1200200,55.03
2013-09-06,55.60,55.89,54.60,55.47,1639800,54.90
2013-09-05,55.41,55.92,55.41,55.47,989100,54.90
2013-09-04,54.70,55.86,54.19,55.50,1258000,54.93
2013-09-03,55.38,55.95,54.82,55.20,1418800,54.33
2013-08-30,55.17,55.66,54.60,54.87,682100,54.00
2013-08-29,54.76,55.50,54.75,55.10,722300,54.23
2013-08-28,54.86,55.29,54.71,54.99,757600,54.12
2013-08-27,55.59,56.02,54.59,54.77,1177100,53.90
2013-08-26,57.04,57.16,56.37,56.37,615700,55.48
2013-08-23,57.40,57.40,56.80,57.03,548200,56.13
2013-08-22,56.07,57.12,55.99,57.06,479200,56.16
2013-08-21,56.20,56.49,55.76,56.04,866200,55.15
2013-08-20,56.10,56.59,55.79,56.50,842400,55.61
2013-08-19,56.55,57.00,56.02,56.04,821000,55.15
2013-08-16,56.46,57.17,56.38,56.62,583800,55.72
2013-08-15,56.96,57.09,56.35,56.60,807200,55.70
2013-08-14,57.29,57.87,57.02,57.32,657800,56.41
2013-08-13,57.09,57.83,56.97,57.57,654000,56.66
2013-08-12,57.46,57.81,56.80,57.06,1056200,56.16
2013-08-09,57.71,58.08,57.43,57.86,816900,56.94
2013-08-08,58.10,58.23,57.22,57.68,823300,56.77
2013-08-07,58.26,58.34,57.60,57.64,877400,56.73
2013-08-06,58.46,58.66,58.00,58.34,1201300,57.42
2013-08-05,59.05,59.09,58.38,58.50,1018900,57.57
2013-08-02,59.20,59.49,59.11,59.21,757800,58.27
2013-08-01,58.97,59.66,58.60,59.51,943700,58.57
2013-07-31,58.62,59.22,58.31,58.54,1155600,57.61
2013-07-30,58.68,58.85,58.15,58.29,815100,57.37
2013-07-29,58.60,59.34,58.26,58.39,789100,57.47
2013-07-26,58.64,59.00,58.49,58.96,784700,58.03
2013-07-25,58.86,59.48,58.71,59.15,1164500,58.21
2013-07-24,60.15,60.15,58.98,59.11,1155700,58.17
2013-07-23,59.56,60.44,59.49,60.11,1858500,59.16
2013-07-22,58.93,59.63,58.82,59.42,1072900,58.48
2013-07-19,59.49,59.49,58.62,59.14,2083500,58.20
2013-07-18,58.94,59.39,58.13,59.13,3038700,58.19
2013-07-17,59.38,60.10,58.52,59.41,2670900,58.47
2013-07-16,62.02,62.02,60.69,60.75,1309600,59.79
2013-07-15,61.65,61.79,61.34,61.73,597000,60.75
2013-07-12,60.89,61.53,60.89,61.51,782700,60.54
2013-07-11,61.74,61.84,60.59,60.89,1116200,59.93
2013-07-10,61.00,61.36,60.78,61.16,1036300,60.19
2013-07-09,61.01,61.19,60.37,61.13,1354100,60.16
2013-07-08,60.52,60.67,60.04,60.60,852900,59.64
2013-07-05,59.34,60.38,59.10,60.34,1094500,59.39
2013-07-03,58.30,58.85,58.04,58.83,367000,57.90
2013-07-02,58.46,59.19,58.08,58.63,1315300,57.70
2013-07-01,58.13,59.65,58.13,58.76,1397300,57.83
2013-06-28,58.02,58.57,57.51,57.90,2903700,56.98
2013-06-27,57.74,58.36,57.65,58.31,1667200,57.39
2013-06-26,57.64,57.79,57.20,57.30,2040800,56.39
2013-06-25,57.53,57.98,57.08,57.15,2699300,56.25
2013-06-24,57.54,57.66,56.79,57.08,1599700,56.18
2013-06-21,58.69,58.82,57.51,57.99,2570400,57.07
2013-06-20,57.47,58.79,57.34,58.11,3001500,57.19
2013-06-19,58.21,59.09,57.82,57.90,1996000,56.98
2013-06-18,58.11,58.40,57.84,58.36,1262600,57.44
2013-06-17,57.59,58.20,57.35,58.05,1466600,57.13
2013-06-14,57.70,57.73,56.73,57.12,837600,56.22
2013-06-13,56.56,57.69,56.51,57.66,937100,56.75
2013-06-12,57.89,57.98,56.76,56.80,870300,55.90
2013-06-11,57.96,58.53,57.40,57.49,1036800,56.58
2013-06-10,58.40,58.76,58.12,58.63,957400,57.70
2013-06-07,57.78,58.28,57.44,58.23,949500,57.31
2013-06-06,56.80,57.47,56.40,57.45,1353500,56.54
2013-06-05,57.34,57.56,56.53,56.69,1170500,55.79
2013-06-04,58.19,58.61,57.54,57.81,1244100,56.59
2013-06-03,58.53,58.62,57.15,58.38,1435300,57.15
2013-05-31,58.52,59.20,58.12,58.15,2022600,56.92
2013-05-30,58.72,59.21,58.52,58.84,1459800,57.60
2013-05-29,58.35,59.33,58.35,58.57,1979800,57.33
2013-05-28,58.08,59.23,57.91,58.84,2133600,57.60
2013-05-24,57.00,57.46,56.80,57.31,950000,56.10
2013-05-23,57.39,57.71,56.77,57.11,1284000,55.91
2013-05-22,58.13,58.53,57.49,57.60,1081500,56.38
2013-05-21,58.40,58.57,57.89,57.96,1386800,56.74
2013-05-20,57.86,58.66,57.67,58.23,1315200,57.00
2013-05-17,57.43,58.37,57.31,58.27,1291300,57.04
2013-05-16,56.87,57.81,56.87,57.18,1418400,55.97
2013-05-15,56.47,57.19,56.32,57.06,1321400,55.86
2013-05-14,55.26,56.76,55.14,56.67,1724500,55.47
2013-05-13,54.46,55.61,54.31,55.11,1943400,53.95
2013-05-10,54.67,54.67,54.11,54.43,1650000,53.28
2013-05-09,54.49,54.63,54.25,54.54,1046500,53.39
2013-05-08,54.14,54.49,53.95,54.38,825500,53.23
2013-05-07,53.99,54.33,53.83,54.20,999800,53.06
2013-05-06,53.51,54.02,53.48,53.84,1620900,52.70
2013-05-03,53.59,53.94,53.53,53.60,1682400,52.47
2013-05-02,53.23,53.77,53.04,53.21,1037600,52.09
2013-05-01,53.88,53.98,53.13,53.18,1186200,52.06
2013-04-30,53.34,53.99,53.24,53.92,1220400,52.78
2013-04-29,53.22,53.42,52.94,53.34,1156900,52.21
2013-04-26,53.06,53.48,52.54,52.89,904500,51.77
2013-04-25,53.00,53.56,52.92,53.12,1180800,52.00
2013-04-24,52.77,52.98,52.48,52.91,1390800,51.79
2013-04-23,52.76,52.97,52.23,52.86,1395000,51.74
2013-04-22,52.54,52.74,51.90,52.35,1570300,51.25
2013-04-19,52.34,52.55,51.96,52.50,1498400,51.39
2013-04-18,52.93,52.99,51.93,51.99,1727600,50.89
2013-04-17,52.87,53.46,52.18,52.73,1550100,51.62
2013-04-16,53.20,54.18,52.25,53.40,2874500,52.27
2013-04-15,55.50,55.73,53.80,53.81,1503400,52.67
2013-04-12,55.69,56.05,55.44,55.64,993300,54.47
2013-04-11,55.86,56.66,55.36,56.09,1292600,54.91
2013-04-10,54.82,55.94,54.61,55.63,1172400,54.46
