Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,16.00,16.10,15.90,16.02,5894400,15.95
2013-12-30,15.77,15.98,15.75,15.97,6204500,15.90
2013-12-27,15.75,15.79,15.66,15.76,5274400,15.69
2013-12-26,15.88,15.93,15.63,15.67,4223000,15.60
2013-12-24,15.87,15.87,15.66,15.82,1990000,15.75
2013-12-23,15.78,15.91,15.65,15.78,4214200,15.71
2013-12-20,15.41,15.70,15.37,15.69,9552000,15.62
2013-12-19,15.30,15.40,15.20,15.38,6463600,15.31
2013-12-18,15.14,15.35,14.95,15.32,10655800,15.25
2013-12-17,15.03,15.15,14.90,15.11,6852600,15.04
2013-12-16,15.03,15.17,15.02,15.04,5940500,14.97
2013-12-13,15.14,15.25,15.00,15.02,4614700,14.95
2013-12-12,15.36,15.44,15.08,15.11,6468100,15.04
2013-12-11,15.59,15.61,15.38,15.41,10353900,15.34
2013-12-10,15.21,15.63,15.19,15.56,13106700,15.49
2013-12-09,15.47,15.52,15.18,15.21,9630500,15.14
2013-12-06,15.89,15.89,15.43,15.47,7025000,15.40
2013-12-05,15.99,15.99,15.68,15.70,6795300,15.63
2013-12-04,15.70,15.99,15.66,15.96,12329400,15.89
2013-12-03,15.75,15.96,15.64,15.74,7264000,15.67
2013-12-02,15.54,15.86,15.51,15.75,9346800,15.68
2013-11-29,15.70,15.74,15.50,15.60,2924100,15.53
2013-11-27,15.63,15.75,15.53,15.70,4531800,15.63
2013-11-26,15.68,15.81,15.58,15.64,18829400,15.57
2013-11-25,15.18,15.53,15.18,15.51,6205200,15.44
2013-11-22,15.35,15.35,15.15,15.18,3966700,15.11
2013-11-21,15.23,15.36,15.16,15.33,5339200,15.26
2013-11-20,15.45,15.49,15.18,15.21,5119400,15.14
2013-11-19,15.62,15.76,15.42,15.44,5167900,15.37
2013-11-18,15.82,15.96,15.74,15.78,7923700,15.62
2013-11-15,16.28,16.30,16.01,16.17,11258300,16.01
2013-11-14,16.10,16.32,16.09,16.22,7699500,16.06
2013-11-13,15.68,16.15,15.65,16.15,8319800,15.99
2013-11-12,15.76,15.85,15.54,15.72,7900800,15.57
2013-11-11,15.50,15.73,15.47,15.69,7440600,15.54
2013-11-08,15.00,15.61,14.94,15.56,18363300,15.41
2013-11-07,14.85,14.89,14.52,14.55,13826900,14.41
2013-11-06,14.80,14.91,14.65,14.90,4951100,14.75
2013-11-05,14.73,14.87,14.57,14.80,10559200,14.65
2013-11-04,15.31,15.31,14.79,14.82,10256600,14.67
2013-11-01,15.27,15.33,15.15,15.26,5153400,15.11
2013-10-31,15.24,15.35,15.16,15.19,7334200,15.04
2013-10-30,15.28,15.35,15.09,15.22,5100800,15.07
2013-10-29,15.19,15.26,15.05,15.23,9698800,15.08
2013-10-28,15.22,15.29,15.00,15.21,9850600,15.06
2013-10-25,15.47,15.48,15.19,15.24,8262300,15.09
2013-10-24,15.54,15.64,15.36,15.39,5910900,15.24
2013-10-23,15.74,15.74,15.45,15.50,6305400,15.35
2013-10-22,15.85,15.86,15.63,15.77,4486300,15.61
2013-10-21,16.00,16.01,15.80,15.85,4875200,15.69
2013-10-18,15.60,15.86,15.54,15.81,6376700,15.65
2013-10-17,15.48,15.67,15.48,15.63,5333100,15.48
2013-10-16,15.50,15.66,15.48,15.60,5251800,15.45
2013-10-15,15.49,15.58,15.40,15.41,5220500,15.26
2013-10-14,15.22,15.49,15.22,15.49,4165700,15.34
2013-10-11,15.15,15.34,15.10,15.26,5342600,15.11
2013-10-10,15.33,15.43,15.22,15.39,5587100,15.24
2013-10-09,15.56,15.57,15.14,15.22,6896500,15.07
2013-10-08,15.55,15.77,15.34,15.46,7267800,15.31
2013-10-07,15.53,15.70,15.45,15.59,4248800,15.44
2013-10-04,15.36,15.72,15.32,15.59,6155700,15.44
2013-10-03,15.55,15.69,15.31,15.38,10919200,15.23
2013-10-02,15.39,15.60,15.39,15.54,4050900,15.39
2013-10-01,15.58,15.65,15.46,15.55,5674400,15.40
2013-09-30,15.42,15.67,15.33,15.56,5666000,15.41
2013-09-27,15.55,15.68,15.49,15.58,3798000,15.43
2013-09-26,15.76,15.79,15.58,15.67,3720400,15.52
2013-09-25,15.67,15.84,15.60,15.72,5828900,15.57
2013-09-24,15.65,15.76,15.56,15.70,5743300,15.55
2013-09-23,15.78,15.91,15.55,15.64,6781100,15.49
2013-09-20,15.97,16.07,15.76,15.79,8900900,15.63
2013-09-19,16.07,16.10,15.86,15.93,5689300,15.77
2013-09-18,15.87,16.04,15.79,16.00,6704200,15.84
2013-09-17,15.87,15.99,15.80,15.86,4215200,15.70
2013-09-16,15.93,16.04,15.75,15.81,5785300,15.65
2013-09-13,15.75,15.87,15.64,15.80,3992400,15.64
2013-09-12,15.63,15.90,15.63,15.70,7595200,15.55
2013-09-11,15.43,15.75,15.32,15.71,9904100,15.56
2013-09-10,15.24,15.46,15.17,15.45,7303300,15.30
2013-09-09,15.00,15.13,14.96,15.13,6160200,14.98
2013-09-06,14.95,15.03,14.77,14.88,5668900,14.73
2013-09-05,14.84,15.00,14.83,14.94,4372600,14.79
2013-09-04,14.76,14.99,14.74,14.90,5552000,14.75
2013-09-03,14.79,14.97,14.67,14.76,7117000,14.61
2013-08-30,14.78,14.82,14.68,14.75,9453000,14.60
2013-08-29,14.75,14.91,14.71,14.77,6905400,14.62
2013-08-28,14.83,14.94,14.74,14.80,7970600,14.65
2013-08-27,14.85,14.95,14.75,14.80,6936600,14.65
2013-08-26,14.97,15.03,14.93,14.99,7503800,14.84
2013-08-23,14.98,15.10,14.93,14.96,6128000,14.81
2013-08-22,14.87,15.10,14.87,14.96,3225400,14.81
2013-08-21,14.86,15.05,14.82,14.88,6538500,14.73
2013-08-20,14.87,15.05,14.85,14.95,5854800,14.80
2013-08-19,15.10,15.15,14.94,14.95,9835800,14.73
2013-08-16,15.10,15.40,15.07,15.19,16511400,14.96
2013-08-15,14.87,15.25,14.81,15.13,18090400,14.91
2013-08-14,14.39,15.12,14.38,15.03,20712700,14.81
2013-08-13,14.39,14.48,14.30,14.42,4936700,14.21
2013-08-12,13.90,14.58,13.11,14.37,6439200,14.16
2013-08-09,14.12,14.71,14.11,14.49,22655600,14.28
2013-08-08,14.68,14.77,14.51,14.70,8642400,14.48
2013-08-07,14.53,14.75,14.52,14.60,6109500,14.38
2013-08-06,14.84,14.87,14.58,14.61,5165200,14.39
2013-08-05,14.72,14.88,14.64,14.83,4629700,14.61
2013-08-02,14.61,14.79,14.51,14.76,5240700,14.54
2013-08-01,14.49,14.67,14.32,14.64,6941200,14.42
2013-07-31,14.34,14.58,14.33,14.44,6754000,14.23
2013-07-30,14.22,14.60,14.21,14.41,6651900,14.20
2013-07-29,14.17,14.35,14.13,14.17,4488500,13.96
2013-07-26,14.09,14.29,14.09,14.20,5684000,13.99
2013-07-25,14.20,14.45,14.10,14.26,6083000,14.05
2013-07-24,14.34,14.38,14.19,14.21,7106300,14.00
2013-07-23,14.41,14.41,14.14,14.21,6169800,14.00
2013-07-22,14.35,14.48,14.17,14.23,7309600,14.02
2013-07-19,14.46,14.53,14.09,14.24,12013300,14.03
2013-07-18,14.59,14.64,14.36,14.55,8612200,14.33
2013-07-17,14.69,14.74,14.57,14.61,4152500,14.39
2013-07-16,14.67,14.77,14.60,14.69,4064000,14.47
2013-07-15,14.67,14.67,14.38,14.61,5033300,14.39
2013-07-12,14.60,14.78,14.55,14.64,5409000,14.42
2013-07-11,14.51,14.65,14.48,14.63,5995800,14.41
2013-07-10,14.24,14.47,14.20,14.43,5211700,14.22
2013-07-09,14.20,14.33,14.16,14.24,3934100,14.03
2013-07-08,14.28,14.35,14.09,14.17,6552100,13.96
2013-07-05,14.17,14.27,14.08,14.24,4617100,14.03
2013-07-03,13.97,14.30,13.97,14.13,3509700,13.92
2013-07-02,14.02,14.30,13.96,14.09,6409800,13.88
2013-07-01,14.14,14.17,14.01,14.10,4988100,13.89
2013-06-28,14.01,14.18,13.83,14.04,10788400,13.83
2013-06-27,14.18,14.20,13.86,14.01,20200900,13.80
2013-06-26,14.38,14.40,14.08,14.14,14493800,13.93
2013-06-25,14.27,14.30,14.07,14.22,11434000,14.01
2013-06-24,14.21,14.39,13.91,14.12,14519300,13.91
2013-06-21,14.52,14.57,14.18,14.42,17855700,14.21
2013-06-20,14.72,14.74,14.34,14.44,15717400,14.23
2013-06-19,14.53,15.48,14.48,14.84,28989700,14.62
2013-06-18,14.56,14.72,14.28,14.40,12169300,14.19
2013-06-17,14.46,14.62,14.38,14.49,6383400,14.28
2013-06-14,14.42,14.44,14.25,14.35,5900300,14.14
2013-06-13,14.00,14.44,13.99,14.37,5906400,14.16
2013-06-12,14.24,14.36,13.97,14.05,7814700,13.84
2013-06-11,14.25,14.45,14.17,14.17,7408400,13.96
2013-06-10,14.41,14.53,14.33,14.44,5603700,14.23
2013-06-07,14.35,14.54,14.29,14.45,6864600,14.24
2013-06-06,14.16,14.36,14.15,14.25,8526100,14.04
2013-06-05,14.45,14.56,14.12,14.16,11613000,13.95
2013-06-04,14.54,14.80,14.38,14.47,9091900,14.26
2013-06-03,14.49,14.60,14.15,14.45,11111700,14.24
2013-05-31,14.55,14.76,14.47,14.47,14437700,14.26
2013-05-30,14.42,14.78,14.38,14.63,7112600,14.41
