Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,32.42,32.54,32.27,32.41,1033500,32.26
2013-12-30,32.24,32.36,32.13,32.35,846100,32.20
2013-12-27,32.27,32.38,32.13,32.20,633300,32.05
2013-12-26,32.26,32.37,32.14,32.25,688500,32.10
2013-12-24,31.90,32.20,31.90,32.11,535600,31.96
2013-12-23,31.86,31.95,31.62,31.87,1165500,31.72
2013-12-20,32.18,32.25,31.63,31.64,4303000,31.49
2013-12-19,31.78,32.18,31.78,32.10,2625700,31.95
2013-12-18,31.25,31.93,31.03,31.90,1924500,31.75
2013-12-17,31.20,31.30,30.97,31.11,1944200,30.96
2013-12-16,30.71,31.25,30.65,31.08,1978100,30.93
2013-12-13,31.10,31.33,30.69,30.76,2057900,30.61
2013-12-12,30.99,31.38,30.96,31.10,2429700,30.95
2013-12-11,31.17,31.27,30.87,31.01,2458000,30.86
2013-12-10,31.42,32.25,31.02,31.21,3639200,31.06
2013-12-09,31.00,31.27,30.85,30.93,2267100,30.78
2013-12-06,30.56,30.96,30.56,30.91,1913300,30.76
2013-12-05,30.40,30.64,30.24,30.31,3431900,30.17
2013-12-04,29.89,30.49,29.66,30.40,2808000,30.26
2013-12-03,29.83,30.04,29.64,30.03,1797300,29.89
2013-12-02,30.23,30.40,29.91,29.91,2210500,29.77
2013-11-29,29.67,30.54,29.67,30.35,706900,30.21
2013-11-27,30.35,30.48,30.27,30.42,893100,30.28
2013-11-26,30.43,30.53,30.29,30.35,1418300,30.21
2013-11-25,30.39,30.47,30.06,30.28,1321700,29.99
2013-11-22,30.15,30.35,29.85,30.34,1834700,30.05
2013-11-21,29.77,30.18,29.74,30.14,1946900,29.85
2013-11-20,29.82,29.94,29.55,29.65,1393200,29.36
2013-11-19,29.69,29.89,29.57,29.68,1341900,29.39
2013-11-18,30.10,30.19,29.63,29.74,1429200,29.45
2013-11-15,29.91,30.14,29.71,30.10,1658800,29.81
2013-11-14,29.73,29.92,29.56,29.88,1120800,29.59
2013-11-13,29.29,29.82,29.29,29.81,1307700,29.52
2013-11-12,29.13,29.51,29.06,29.47,1748200,29.18
2013-11-11,28.93,29.25,28.89,29.20,1406300,28.92
2013-11-08,28.73,29.02,28.60,29.01,2052200,28.73
2013-11-07,29.55,29.56,28.67,28.69,1881800,28.41
2013-11-06,29.75,29.89,29.27,29.36,1721300,29.08
2013-11-05,29.62,29.83,29.37,29.66,1503700,29.37
2013-11-04,29.80,29.91,29.76,29.88,968600,29.59
2013-11-01,29.75,29.90,29.43,29.64,1423700,29.35
2013-10-31,29.38,29.80,29.27,29.63,1305000,29.34
2013-10-30,29.98,29.98,29.47,29.59,1397500,29.30
2013-10-29,29.75,30.08,29.65,29.91,2506900,29.62
2013-10-28,29.44,29.73,29.34,29.69,2742300,29.40
2013-10-25,29.34,30.44,29.05,29.40,3751100,29.12
2013-10-24,29.18,29.23,28.78,28.92,2492100,28.64
2013-10-23,29.00,29.36,28.94,29.06,1940300,28.78
2013-10-22,29.07,29.29,29.06,29.08,2094200,28.80
2013-10-21,29.19,29.22,28.82,28.98,1266500,28.70
2013-10-18,28.81,29.12,28.74,29.02,2620300,28.74
2013-10-17,27.88,28.85,27.88,28.68,2677300,28.40
2013-10-16,27.61,27.97,27.47,27.96,1483300,27.69
2013-10-15,27.72,27.80,27.17,27.34,2112800,27.08
2013-10-14,27.57,27.94,27.54,27.80,1151200,27.53
2013-10-11,27.11,27.82,27.11,27.81,1080900,27.54
2013-10-10,27.03,27.37,26.88,27.24,1557900,26.98
2013-10-09,26.67,26.91,26.29,26.69,2031600,26.43
2013-10-08,27.14,27.24,26.52,26.56,3097700,26.30
2013-10-07,27.25,27.30,26.97,26.98,1274600,26.72
2013-10-04,27.28,27.73,27.26,27.54,973300,27.27
2013-10-03,27.57,27.66,27.02,27.31,1617100,27.05
2013-10-02,27.56,27.70,27.36,27.66,1180000,27.39
2013-10-01,27.52,27.80,27.42,27.66,1133100,27.39
2013-09-30,27.35,27.64,27.25,27.50,1508900,27.23
2013-09-27,27.47,27.82,27.34,27.59,1373700,27.32
2013-09-26,27.20,27.67,27.20,27.67,1775300,27.40
2013-09-25,27.41,27.66,27.11,27.17,1991200,26.91
2013-09-24,27.03,27.60,26.98,27.40,2035800,27.13
2013-09-23,27.18,27.37,26.83,27.10,1621500,26.84
2013-09-20,27.41,27.50,27.16,27.29,2347000,27.03
2013-09-19,27.40,27.56,27.34,27.39,1907800,27.12
2013-09-18,26.77,27.40,26.59,27.31,2171600,27.05
2013-09-17,26.88,26.91,26.73,26.84,1117100,26.58
2013-09-16,27.23,27.32,26.82,26.85,1471400,26.59
2013-09-13,26.72,26.97,26.52,26.93,1015800,26.67
2013-09-12,26.64,26.88,26.53,26.62,1595900,26.36
2013-09-11,26.36,26.84,26.27,26.66,1901800,26.40
2013-09-10,26.41,26.50,26.14,26.32,1434200,26.07
2013-09-09,26.17,26.41,26.02,26.28,1961900,26.03
2013-09-06,25.98,26.43,25.74,26.04,2594500,25.79
2013-09-05,25.96,26.13,25.82,25.92,2147000,25.67
2013-09-04,26.06,26.91,25.99,26.02,4567700,25.77
2013-09-03,25.60,26.03,25.60,25.72,3627900,25.47
2013-08-30,25.42,25.57,25.19,25.30,2525000,25.06
2013-08-29,24.94,25.79,24.82,25.40,2992300,25.15
2013-08-28,25.00,25.08,24.32,24.99,5212900,24.75
2013-08-27,25.56,25.60,25.16,25.20,2327400,24.81
2013-08-26,25.48,25.90,25.30,25.77,3315300,25.37
2013-08-23,25.25,25.52,24.74,25.51,3777300,25.11
2013-08-22,25.48,25.53,25.14,25.25,2091500,24.86
2013-08-21,25.84,25.84,25.37,25.44,1779800,25.04
2013-08-20,25.70,26.05,25.62,25.92,2127500,25.52
2013-08-19,26.00,26.02,25.60,25.66,1756900,25.26
2013-08-16,25.90,26.09,25.79,25.95,1572100,25.55
2013-08-15,26.41,26.43,25.93,26.01,1688600,25.60
2013-08-14,26.85,27.00,26.60,26.64,1457100,26.23
2013-08-13,26.74,26.91,26.48,26.86,3126400,26.44
2013-08-12,26.63,26.79,26.53,26.74,2411200,26.32
2013-08-09,26.70,26.87,26.45,26.83,2261900,26.41
2013-08-08,27.21,27.29,26.60,26.81,3080600,26.39
2013-08-07,27.22,27.33,26.63,27.06,3043200,26.64
2013-08-06,27.66,27.70,27.19,27.32,1803700,26.89
2013-08-05,27.58,27.88,27.37,27.69,806800,27.26
2013-08-02,27.60,27.85,27.57,27.71,1063100,27.28
2013-08-01,27.21,27.77,27.14,27.73,1785200,27.30
2013-07-31,26.79,27.27,26.70,27.02,1834100,26.60
2013-07-30,27.10,27.24,26.68,26.75,2452700,26.33
2013-07-29,26.97,27.32,26.81,27.02,1844500,26.60
2013-07-26,27.93,27.97,26.91,27.09,1922900,26.67
2013-07-25,27.06,27.26,26.75,27.21,1647200,26.79
2013-07-24,27.48,27.55,27.14,27.21,1063900,26.79
2013-07-23,27.44,27.66,27.26,27.43,1408500,27.00
2013-07-22,27.17,27.56,27.15,27.37,1439700,26.94
2013-07-19,27.02,27.22,27.00,27.15,1295800,26.73
2013-07-18,26.96,27.30,26.93,27.03,1096100,26.61
2013-07-17,26.92,26.97,26.70,26.87,961100,26.45
2013-07-16,26.98,27.25,26.71,26.84,1258300,26.42
2013-07-15,27.12,27.29,26.92,26.99,1219500,26.57
2013-07-12,26.95,27.08,26.78,27.04,1586300,26.62
2013-07-11,27.01,27.08,26.83,26.96,1740000,26.54
2013-07-10,26.88,26.97,26.41,26.64,1931600,26.23
2013-07-09,26.77,27.01,26.53,26.91,1629100,26.49
2013-07-08,26.27,26.63,26.15,26.53,2016000,26.12
2013-07-05,26.11,26.22,25.89,26.12,1756700,25.71
2013-07-03,26.04,26.19,25.89,26.00,900100,25.60
2013-07-02,26.12,26.42,26.06,26.12,1579500,25.71
2013-07-01,26.24,26.68,26.24,26.45,1441300,26.04
2013-06-28,26.16,26.48,26.10,26.25,3445700,25.84
2013-06-27,25.72,26.24,25.66,26.19,1983500,25.78
2013-06-26,25.69,25.79,25.38,25.53,2382000,25.13
2013-06-25,25.60,25.80,25.31,25.43,3002200,25.03
2013-06-24,25.65,25.65,25.25,25.47,3613900,25.07
2013-06-21,26.29,26.37,25.67,25.95,2625400,25.55
2013-06-20,26.50,26.52,25.99,26.06,2517800,25.65
2013-06-19,27.00,27.31,26.72,26.73,1553700,26.31
2013-06-18,26.88,27.08,26.71,27.00,2039100,26.58
2013-06-17,27.39,27.52,26.73,26.88,2804800,26.46
2013-06-14,27.11,27.50,26.94,27.17,1091900,26.75
2013-06-13,26.57,27.27,26.36,27.14,1510900,26.72
2013-06-12,27.85,27.85,26.44,26.53,1696400,26.12
2013-06-11,26.89,27.10,26.67,26.79,1741900,26.37
2013-06-10,27.38,27.40,27.03,27.15,1022800,26.73
2013-06-07,26.92,27.33,26.84,27.28,1409400,26.86
2013-06-06,26.40,26.74,26.23,26.74,2270800,26.32
2013-06-05,26.79,26.91,26.34,26.43,2121300,26.02
2013-06-04,27.03,27.17,26.78,26.90,4329600,26.48
2013-06-03,27.03,27.20,26.63,27.08,4064200,26.66
2013-05-31,27.00,27.29,26.78,27.04,2477900,26.62
2013-05-30,27.13,27.35,27.10,27.13,1277400,26.71
2013-05-29,27.20,27.29,27.00,27.03,1950000,26.61
2013-05-28,27.68,27.77,27.46,27.56,1489400,26.98
2013-05-24,27.21,27.48,27.07,27.39,1793900,26.82
2013-05-23,27.33,27.57,27.25,27.42,2531300,26.85
2013-05-22,28.09,28.30,27.47,27.64,3461900,27.06
2013-05-21,28.18,28.29,27.88,28.11,2085100,27.52
2013-05-20,27.95,28.47,27.94,28.20,3589100,27.61
2013-05-17,28.00,28.18,27.92,28.05,1469200,27.46
2013-05-16,28.06,28.31,27.84,27.95,2583600,27.36
2013-05-15,27.87,28.38,27.76,28.21,1956600,27.62
2013-05-14,27.48,27.91,27.46,27.90,2238500,27.32
2013-05-13,27.54,27.61,27.26,27.48,2007400,26.90
2013-05-10,26.75,27.63,26.65,27.58,3721500,27.00
2013-05-09,27.04,27.18,26.68,26.79,2699900,26.23
2013-05-08,26.78,27.14,26.70,27.02,2451800,26.45
2013-05-07,26.59,26.81,26.54,26.78,3494700,26.22
2013-05-06,26.52,26.68,26.23,26.49,3477400,25.94
2013-05-03,26.78,27.00,26.54,26.57,4869200,26.01
2013-05-02,26.17,26.51,26.08,26.39,5869100,25.84
2013-05-01,26.35,26.44,25.90,26.10,3039400,25.55
2013-04-30,26.32,26.47,26.27,26.34,1813500,25.79
2013-04-29,26.47,26.68,26.31,26.37,1495000,25.82
2013-04-26,26.81,26.84,26.40,26.45,2470300,25.90
2013-04-25,26.67,26.96,26.66,26.78,1810300,26.22
2013-04-24,26.70,26.78,26.29,26.52,3040800,25.96
2013-04-23,26.80,26.95,26.45,26.76,3763900,26.20
2013-04-22,26.40,26.75,26.23,26.68,2252500,26.12
2013-04-19,25.91,26.58,25.81,26.37,2841300,25.82
2013-04-18,25.43,25.94,25.28,25.84,3428400,25.30
2013-04-17,25.59,25.66,25.02,25.35,2239300,24.82
2013-04-16,25.44,25.75,25.32,25.73,1535200,25.19
2013-04-15,25.51,25.69,25.17,25.21,2764200,24.68
2013-04-12,25.60,25.79,25.51,25.65,2147700,25.11
2013-04-11,25.44,25.86,25.36,25.69,2065300,25.15
2013-04-10,25.32,25.57,25.16,25.40,2547700,24.87
2013-04-09,25.33,25.38,25.15,25.29,1490700,24.76
2013-04-08,25.00,25.31,25.00,25.26,1860900,24.73
2013-04-05,25.09,25.26,24.90,25.00,5526000,24.48
2013-04-04,25.12,25.38,25.05,25.25,2552400,24.72
2013-04-03,25.80,25.92,25.05,25.17,3462600,24.64
2013-04-02,25.99,26.25,25.77,25.84,2203100,25.30
2013-04-01,26.15,26.29,25.88,25.93,2331800,25.39
2013-03-28,25.66,26.11,25.58,26.10,3348100,25.55
2013-03-27,25.53,25.71,25.35,25.67,1466600,25.13
2013-03-26,25.27,25.65,25.27,25.59,1613100,25.05
2013-03-25,25.33,25.48,25.04,25.19,1824700,24.66
2013-03-22,25.34,25.36,25.21,25.27,1988100,24.74
2013-03-21,25.41,25.61,25.25,25.27,3614800,24.74
2013-03-20,25.57,25.68,25.32,25.52,2930100,24.99
2013-03-19,25.54,25.71,25.26,25.41,3046100,24.88
2013-03-18,25.29,25.51,25.21,25.48,2375900,24.95
2013-03-15,25.77,25.84,25.46,25.51,2972100,24.98
2013-03-14,25.35,25.84,25.33,25.84,4055000,25.30
2013-03-13,25.16,25.39,25.09,25.35,2096300,24.82
2013-03-12,25.08,25.28,24.99,25.22,3606800,24.69
2013-03-11,24.94,25.22,24.93,25.15,3627400,24.62
2013-03-08,24.15,25.00,24.10,24.94,6049600,24.42
2013-03-07,24.03,24.17,23.99,24.01,2348800,23.51
2013-03-06,23.78,24.05,23.64,23.94,2728400,23.44
2013-03-05,23.58,23.77,23.46,23.69,2987600,23.19
2013-03-04,23.31,23.55,23.19,23.47,3886400,22.98
2013-03-01,23.25,23.48,23.06,23.30,2645200,22.81
2013-02-28,23.40,23.64,23.34,23.34,2870100,22.85
2013-02-27,22.80,23.47,22.77,23.36,3223400,22.87
2013-02-26,22.86,22.90,22.46,22.77,1891400,22.29
2013-02-25,23.58,23.59,22.84,22.84,3764000,22.22
2013-02-22,23.42,23.50,23.23,23.48,3551100,22.84
2013-02-21,23.64,23.68,23.31,23.39,4582800,22.75
2013-02-20,24.09,24.09,23.57,23.60,4236400,22.95
2013-02-19,24.16,24.22,23.76,24.09,4474400,23.43
2013-02-15,24.24,24.51,24.05,24.18,2772900,23.52
2013-02-14,24.02,24.32,23.86,24.28,2082400,23.62
2013-02-13,24.03,24.17,23.92,24.03,2284100,23.37
2013-02-12,23.85,24.19,23.80,24.19,2011300,23.53
2013-02-11,24.06,24.40,23.94,23.94,2959900,23.28
2013-02-08,24.14,24.39,24.09,24.14,2256900,23.48
2013-02-07,24.08,24.27,24.00,24.11,3667800,23.45
2013-02-06,24.06,24.38,23.90,24.21,3019400,23.55
2013-02-05,23.61,24.18,23.55,24.12,3892000,23.46
2013-02-04,23.30,23.61,23.16,23.32,3013500,22.68
2013-02-01,23.05,23.87,22.24,23.39,7032700,22.75
2013-01-31,23.58,23.68,23.34,23.48,2590200,22.84
2013-01-30,23.54,23.71,23.39,23.65,2814500,23.00
2013-01-29,23.03,23.59,22.95,23.56,2603700,22.92
2013-01-28,23.29,23.29,22.95,22.99,2278500,22.36
2013-01-25,23.29,23.37,23.02,23.23,2268200,22.59
2013-01-24,23.36,23.61,23.10,23.25,3819000,22.61
2013-01-23,23.28,23.37,23.12,23.32,1618300,22.68
2013-01-22,23.12,23.36,22.98,23.33,1683300,22.69
2013-01-18,22.96,23.12,22.84,23.12,2236500,22.49
2013-01-17,22.55,23.03,22.42,22.93,2837100,22.30
2013-01-16,22.32,22.53,22.13,22.47,1497500,21.86
2013-01-15,22.05,22.42,22.02,22.35,1981700,21.74
