Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,61.35,62.23,61.35,62.18,912800,54.07
2013-12-30,60.75,61.49,60.46,61.29,895800,53.30
2013-12-27,60.05,61.24,59.93,60.88,1249100,52.94
2013-12-26,60.00,60.27,59.78,60.10,1080900,52.26
2013-12-24,59.80,60.28,59.39,60.01,861300,52.18
2013-12-23,60.00,60.37,59.52,59.62,1280000,51.85
2013-12-20,59.29,59.83,58.53,59.75,1934800,51.96
2013-12-19,59.26,59.48,58.66,59.10,1381100,51.39
2013-12-18,59.16,59.52,58.21,59.48,1952300,51.72
2013-12-17,58.59,59.05,58.59,58.99,1733500,51.30
2013-12-16,58.99,59.11,58.52,58.69,1041400,51.04
2013-12-13,58.73,58.75,58.05,58.65,989800,51.00
2013-12-12,58.44,58.93,58.02,58.64,995300,50.99
2013-12-11,58.63,58.66,58.19,58.31,904300,50.71
2013-12-10,58.80,59.06,58.39,58.72,902500,51.06
2013-12-09,59.88,59.98,58.81,58.96,1249900,51.27
2013-12-06,59.72,59.95,59.05,59.68,1288800,51.90
2013-12-05,59.27,59.63,58.95,59.31,2143500,51.58
2013-12-04,59.50,60.20,58.92,60.12,2310800,52.28
2013-12-03,58.01,60.28,57.50,59.51,2956500,51.75
2013-12-02,58.16,58.36,57.03,57.27,2207800,49.80
2013-11-29,58.79,58.98,57.95,58.07,855000,50.50
2013-11-27,58.70,59.13,58.11,58.58,1223700,50.94
2013-11-26,59.49,59.49,58.72,58.79,1489900,51.12
2013-11-25,58.96,59.51,58.90,59.27,1992300,51.54
2013-11-22,57.55,59.03,57.26,58.95,1539600,51.26
2013-11-21,57.25,57.75,57.25,57.53,1242500,50.03
2013-11-20,57.15,58.25,56.82,57.14,1259300,49.69
2013-11-19,57.65,57.89,56.81,57.08,960400,49.64
2013-11-18,57.79,57.79,57.13,57.57,1320700,50.06
2013-11-15,57.33,57.80,57.26,57.80,887800,50.26
2013-11-14,57.50,58.17,57.07,57.35,1136700,49.87
2013-11-13,56.64,57.31,56.06,57.26,1251200,49.79
2013-11-12,57.79,58.11,56.83,57.04,1120800,49.60
2013-11-11,57.95,58.16,57.55,57.82,1190700,50.28
2013-11-08,56.83,57.91,56.08,57.90,1294900,50.35
2013-11-07,57.83,58.18,56.81,57.01,1634000,49.58
2013-11-06,55.96,57.87,55.65,57.82,1842900,50.28
2013-11-05,56.77,56.98,55.99,56.06,1764000,48.75
2013-11-04,56.43,57.18,56.12,57.11,1634300,49.66
2013-11-01,56.50,57.02,56.05,56.40,1306100,49.05
2013-10-31,56.22,56.97,56.01,56.50,1293400,49.13
2013-10-30,57.41,57.56,56.61,56.83,1351400,49.09
2013-10-29,56.76,57.39,56.55,57.38,1228200,49.56
2013-10-28,56.41,56.80,56.02,56.79,1134400,49.05
2013-10-25,56.34,56.53,55.85,56.39,1121000,48.71
2013-10-24,56.26,56.39,55.64,56.34,813300,48.67
2013-10-23,55.83,57.03,55.71,56.05,1183200,48.42
2013-10-22,55.00,56.02,54.93,55.77,1160200,48.17
2013-10-21,54.88,55.10,54.48,54.92,925400,47.44
2013-10-18,55.02,55.21,54.57,54.96,1250100,47.47
2013-10-17,54.11,55.00,53.61,54.87,1046700,47.40
2013-10-16,54.55,54.85,53.78,54.24,1537500,46.85
2013-10-15,54.84,55.05,53.90,54.18,1430200,46.80
2013-10-14,54.42,55.05,53.52,55.05,1709700,47.55
2013-10-11,53.92,55.03,53.69,54.94,1544000,47.46
2013-10-10,53.34,55.06,53.15,54.35,4864700,46.95
2013-10-09,52.78,53.00,52.28,52.54,1225100,45.38
2013-10-08,53.15,53.72,52.73,52.73,1462700,45.55
2013-10-07,53.43,53.93,53.01,53.22,2553300,45.97
2013-10-04,53.26,54.29,53.09,53.88,1220600,46.54
2013-10-03,53.31,53.41,52.67,53.30,1328800,46.04
2013-10-02,53.50,53.98,53.17,53.55,1456600,46.26
2013-10-01,53.30,53.57,53.00,53.57,2135900,46.27
2013-09-30,52.70,53.56,52.70,53.32,1856700,46.06
2013-09-27,53.29,53.54,52.98,53.04,1075400,45.82
2013-09-26,53.50,53.64,53.35,53.55,1020300,46.26
2013-09-25,53.27,53.62,53.21,53.32,990400,46.06
2013-09-24,53.48,53.71,53.27,53.33,1038400,46.07
2013-09-23,53.00,53.89,52.90,53.55,976900,46.26
2013-09-20,53.89,53.99,52.95,53.12,1436000,45.88
2013-09-19,54.11,55.22,53.48,53.93,1955400,46.58
2013-09-18,52.03,54.53,51.89,54.14,2394000,46.77
2013-09-17,51.57,52.57,51.57,52.20,1369200,45.09
2013-09-16,51.85,52.29,51.28,51.50,1119500,44.49
2013-09-13,51.35,51.58,50.75,51.12,1061300,44.16
2013-09-12,51.36,51.69,51.17,51.27,1030900,44.29
2013-09-11,52.44,52.44,51.11,51.43,1284600,44.42
2013-09-10,51.97,52.47,51.57,52.47,1190400,45.32
2013-09-09,51.34,51.94,51.26,51.92,1018700,44.85
2013-09-06,51.41,51.50,50.93,51.28,1169900,44.30
2013-09-05,51.39,51.61,51.00,51.17,1657700,44.20
2013-09-04,50.60,51.97,50.55,51.50,2419400,44.49
2013-09-03,51.88,51.96,50.69,51.11,1080500,44.15
2013-08-30,52.04,52.23,51.23,51.44,1627800,44.43
2013-08-29,51.65,52.34,51.56,52.09,1011600,44.99
2013-08-28,51.86,52.28,51.46,51.88,1286400,44.81
2013-08-27,51.42,52.04,51.23,51.79,1215000,44.74
2013-08-26,51.97,52.35,51.77,51.98,2259800,44.90
2013-08-23,51.78,52.00,50.83,51.93,2019500,44.86
2013-08-22,50.88,51.98,50.56,51.69,1123100,44.65
2013-08-21,50.75,51.35,50.19,50.84,1165600,43.92
2013-08-20,50.19,51.40,50.01,50.94,1666200,44.00
2013-08-19,50.05,50.49,49.83,50.28,1390200,43.43
2013-08-16,50.04,50.68,49.87,50.14,1691400,43.31
2013-08-15,51.02,51.23,50.17,50.25,1876500,43.41
2013-08-14,51.57,51.75,50.50,51.25,2008300,44.27
2013-08-13,51.93,52.00,51.31,51.52,1584500,44.50
2013-08-12,52.18,52.71,51.96,52.00,1760300,44.92
2013-08-09,52.67,53.04,52.37,52.43,2674300,45.29
2013-08-08,52.49,53.10,52.45,52.86,2061700,45.66
2013-08-07,52.60,52.83,52.24,52.73,2750600,45.55
2013-08-06,52.05,52.96,52.03,52.63,1967400,45.46
2013-08-05,52.25,52.85,52.20,52.29,1391500,45.17
2013-08-02,52.86,52.99,52.10,52.57,1809100,45.41
2013-08-01,53.23,53.52,52.51,53.02,2966000,45.80
2013-07-31,53.06,55.49,52.81,52.95,5647300,45.41
2013-07-30,52.20,52.46,51.49,51.82,3563200,44.44
2013-07-29,52.09,52.17,51.32,52.07,3018400,44.65
2013-07-26,53.23,53.26,51.54,52.16,5915400,44.73
2013-07-25,48.11,54.20,47.56,53.77,18030500,46.11
2013-07-24,43.79,43.79,42.74,42.83,1047200,36.73
2013-07-23,43.74,44.09,43.46,43.75,930500,37.52
2013-07-22,43.56,43.91,43.48,43.72,711400,37.49
2013-07-19,43.43,43.68,43.30,43.55,987600,37.35
2013-07-18,43.45,43.98,43.28,43.43,969900,37.25
2013-07-17,43.87,43.97,43.27,43.45,887300,37.26
2013-07-16,43.90,44.10,43.35,43.63,1091700,37.42
2013-07-15,43.08,44.09,43.01,43.93,1231700,37.67
2013-07-12,43.00,43.20,42.65,43.17,954100,37.02
2013-07-11,43.42,43.44,42.81,42.96,1385100,36.84
2013-07-10,42.64,42.97,42.22,42.85,1874600,36.75
2013-07-09,41.77,42.95,41.60,42.63,2740200,36.56
2013-07-08,40.18,41.55,40.04,41.42,2534600,35.52
2013-07-05,40.39,40.45,39.39,40.00,1344100,34.30
2013-07-03,40.46,40.66,39.96,40.19,1037600,34.47
2013-07-02,40.96,41.27,40.27,40.43,1522800,34.67
2013-07-01,41.58,41.69,40.63,40.96,1984100,35.13
2013-06-28,41.70,42.00,41.28,41.31,1980800,35.43
2013-06-27,41.62,42.51,41.59,41.78,2007800,35.83
2013-06-26,41.71,41.94,41.39,41.40,2300700,35.50
2013-06-25,41.68,41.70,40.98,41.40,1116000,35.50
2013-06-24,40.84,41.66,40.42,41.21,1445500,35.34
2013-06-21,41.55,41.73,40.61,41.47,2401800,35.56
2013-06-20,42.58,42.71,41.03,41.16,2769800,35.30
2013-06-19,44.47,44.48,42.91,42.91,1774800,36.80
2013-06-18,44.40,44.71,44.10,44.57,942600,38.22
2013-06-17,44.64,44.89,44.06,44.36,1136700,38.04
2013-06-14,44.65,44.68,44.14,44.34,917700,38.03
2013-06-13,43.32,44.69,43.22,44.63,1383000,38.27
2013-06-12,44.11,44.49,43.25,43.32,1312600,37.15
2013-06-11,42.80,44.05,42.75,43.83,1754400,37.59
2013-06-10,44.77,44.77,43.78,43.90,1173300,37.65
2013-06-07,44.28,44.73,43.96,44.72,985800,38.35
2013-06-06,43.21,44.08,42.79,44.07,1612500,37.79
2013-06-05,44.05,44.11,43.11,43.21,1943200,37.06
2013-06-04,45.12,45.25,44.06,44.14,1747500,37.85
2013-06-03,45.18,45.58,44.67,45.24,1682400,38.80
2013-05-31,45.44,46.06,45.13,45.14,1581100,38.71
2013-05-30,45.82,46.30,45.59,45.59,1422000,39.10
2013-05-29,46.80,46.84,45.22,45.85,3644600,39.32
2013-05-28,47.48,47.80,46.89,47.14,1022100,40.43
2013-05-24,47.38,47.41,46.94,47.15,976400,40.44
2013-05-23,47.98,47.98,47.28,47.56,1871600,40.79
2013-05-22,49.22,49.83,48.08,48.19,1004200,41.33
2013-05-21,49.41,49.73,49.08,49.34,832600,42.31
2013-05-20,49.22,49.42,48.98,49.41,1153300,42.37
2013-05-17,48.44,49.39,48.14,49.25,2896900,42.24
2013-05-16,48.86,49.02,48.41,48.50,1686200,41.59
2013-05-15,48.62,49.71,48.38,49.04,1534700,42.06
2013-05-14,47.75,48.65,47.75,48.60,1177300,41.68
2013-05-13,47.74,47.98,47.41,47.77,1113100,40.97
2013-05-10,47.97,48.01,47.52,47.92,1299200,41.10
2013-05-09,48.06,48.13,47.55,47.96,1436200,41.13
2013-05-08,47.73,48.16,47.51,48.06,1610500,41.22
2013-05-07,47.40,47.92,47.19,47.87,1807300,41.05
2013-05-06,47.09,47.59,46.86,47.19,2017800,40.47
2013-05-03,47.42,47.54,46.87,47.10,2169200,40.39
2013-05-02,47.83,47.89,46.52,47.11,3913200,40.40
2013-05-01,48.50,49.55,47.71,47.87,5139400,41.05
