Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,128.63,129.37,128.12,128.71,330400,128.71
2013-12-30,129.11,129.11,127.61,128.46,337300,128.46
2013-12-27,129.94,129.99,128.43,128.87,232400,128.87
2013-12-26,129.35,129.81,128.15,129.64,290800,129.64
2013-12-24,128.61,129.59,128.25,129.21,155800,129.21
2013-12-23,128.97,129.46,127.34,128.25,650400,128.25
2013-12-20,129.65,129.82,128.57,128.76,1049600,128.76
2013-12-19,129.53,129.82,128.19,129.14,457700,129.14
2013-12-18,127.50,129.63,126.68,129.53,635200,129.53
2013-12-17,127.91,128.26,127.29,127.34,634600,127.34
2013-12-16,126.89,128.10,126.71,127.94,708900,127.94
2013-12-13,125.52,126.66,124.99,126.47,732000,126.47
2013-12-12,124.67,127.97,124.42,124.92,798700,124.92
2013-12-11,125.34,126.11,124.69,124.86,897800,124.86
2013-12-10,123.33,125.82,123.33,125.02,877400,125.02
2013-12-09,125.00,125.22,123.24,123.86,1044900,123.86
2013-12-06,122.28,125.08,121.70,125.00,1190500,125.00
2013-12-05,121.06,122.19,120.92,120.96,1102000,120.96
2013-12-04,123.61,124.50,120.34,121.08,2158700,121.08
2013-12-03,123.78,124.80,123.78,124.36,539500,124.36
2013-12-02,124.30,125.30,124.17,124.57,468200,124.57
2013-11-29,124.87,125.58,124.73,124.96,222900,124.96
2013-11-27,124.51,124.90,123.93,124.80,856000,124.80
2013-11-26,125.13,125.28,124.25,124.51,800400,124.51
2013-11-25,125.88,126.40,124.93,125.28,444500,125.28
2013-11-22,124.71,125.91,124.28,125.74,771500,125.74
2013-11-21,125.04,126.04,124.51,125.09,513400,125.09
2013-11-20,123.77,124.59,123.03,124.28,492700,124.28
2013-11-19,124.46,125.32,123.82,123.90,388300,123.90
2013-11-18,125.96,126.22,123.90,124.48,610400,124.48
2013-11-15,125.55,126.22,125.08,126.22,579800,126.22
2013-11-14,125.50,125.89,124.27,125.62,454000,125.62
2013-11-13,123.71,125.29,123.54,125.20,538200,125.20
2013-11-12,123.75,125.10,123.54,124.04,773600,124.04
2013-11-11,123.74,124.74,123.27,124.20,389700,124.20
2013-11-08,123.31,123.92,122.42,123.52,659900,123.52
2013-11-07,124.93,124.93,123.00,123.10,672900,123.10
2013-11-06,124.37,124.89,123.59,124.25,418900,124.25
2013-11-05,123.98,125.31,123.53,124.26,607100,124.26
2013-11-04,124.28,125.67,123.89,124.24,534100,124.24
2013-11-01,124.81,124.86,123.57,124.21,566000,124.21
2013-10-31,124.17,124.80,123.51,123.81,709200,123.81
2013-10-30,123.91,124.66,123.51,123.97,1034800,123.97
2013-10-29,124.00,124.65,123.39,124.06,1013100,124.06
2013-10-28,125.74,126.39,123.52,123.71,851500,123.71
2013-10-25,126.97,126.97,124.44,125.86,1246400,125.86
2013-10-24,125.80,127.20,122.75,125.08,3329900,125.08
2013-10-23,133.28,134.56,131.90,134.31,1192400,134.31
2013-10-22,135.15,135.35,133.46,133.77,548700,133.77
2013-10-21,131.20,134.78,131.20,134.71,662000,134.71
2013-10-18,135.56,135.56,132.95,133.93,1008500,133.93
2013-10-17,132.08,135.62,131.62,135.19,1052400,135.19
2013-10-16,131.10,132.54,130.43,132.17,1161400,132.17
2013-10-15,129.49,129.98,128.40,129.08,627700,129.08
2013-10-14,127.50,129.24,127.23,129.11,382400,129.11
2013-10-11,126.07,128.21,126.00,128.19,961100,128.19
2013-10-10,123.80,126.15,123.12,125.94,666400,125.94
2013-10-09,124.93,125.21,122.66,123.00,681500,123.00
2013-10-08,126.89,127.68,124.89,124.99,708200,124.99
2013-10-07,125.95,127.44,125.32,126.88,624800,126.88
2013-10-04,125.44,127.14,125.13,127.04,379500,127.04
2013-10-03,126.62,127.40,125.22,125.61,370900,125.61
2013-10-02,127.09,127.23,125.69,127.11,485700,127.11
2013-10-01,127.30,128.45,127.00,127.60,568200,127.60
2013-09-30,126.15,127.97,125.37,127.59,1096300,127.59
2013-09-27,124.84,126.85,124.65,126.70,487300,126.70
2013-09-26,125.63,126.37,124.78,125.86,463700,125.86
2013-09-25,124.36,125.78,123.87,125.03,828000,125.03
