Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,14.98,15.14,14.97,15.12,2624900,14.95
2013-12-30,14.97,15.03,14.95,15.00,2355400,14.83
2013-12-27,14.95,15.00,14.90,14.99,1391800,14.82
2013-12-26,14.96,15.05,14.92,14.95,1878400,14.78
2013-12-24,14.91,15.00,14.90,14.98,1092400,14.81
2013-12-23,14.75,14.92,14.70,14.88,2208100,14.71
2013-12-20,14.65,14.66,14.54,14.64,5601300,14.48
2013-12-19,14.64,14.69,14.51,14.55,2631700,14.39
2013-12-18,14.64,14.72,14.52,14.71,2983700,14.55
2013-12-17,14.67,14.71,14.58,14.63,2750300,14.47
2013-12-16,14.63,14.71,14.57,14.67,2332000,14.51
2013-12-13,14.60,14.68,14.54,14.55,2048600,14.39
2013-12-12,14.68,14.78,14.60,14.60,3497100,14.44
2013-12-11,14.81,14.85,14.69,14.70,3056700,14.54
2013-12-10,14.83,14.88,14.74,14.75,2441100,14.59
2013-12-09,14.85,14.90,14.74,14.83,3221800,14.66
2013-12-06,14.85,14.91,14.79,14.84,3502100,14.67
2013-12-05,14.91,14.91,14.69,14.69,3424000,14.53
2013-12-04,14.92,14.98,14.83,14.91,2392000,14.74
2013-12-03,15.05,15.16,14.87,14.93,3224200,14.76
2013-12-02,15.17,15.25,15.15,15.17,3105300,15.00
2013-11-29,15.17,15.23,15.14,15.14,997400,14.97
2013-11-27,15.07,15.24,15.07,15.20,2131100,15.03
2013-11-26,15.01,15.09,14.99,15.07,2329800,14.90
2013-11-25,14.94,15.09,14.92,15.03,2098800,14.86
2013-11-22,14.85,14.95,14.75,14.93,1511600,14.76
2013-11-21,14.80,14.90,14.75,14.82,3316800,14.65
2013-11-20,14.77,14.80,14.69,14.75,2145800,14.59
2013-11-19,14.71,14.86,14.70,14.76,2201500,14.60
2013-11-18,14.82,14.86,14.72,14.75,2461700,14.59
2013-11-15,14.73,14.80,14.69,14.75,2563300,14.59
2013-11-14,14.63,14.80,14.62,14.74,1905600,14.58
2013-11-13,14.48,14.66,14.44,14.65,1622900,14.49
2013-11-12,14.58,14.61,14.46,14.51,2018800,14.35
2013-11-11,14.63,14.70,14.54,14.62,2398500,14.46
2013-11-08,14.37,14.71,14.33,14.61,3941500,14.45
2013-11-07,14.39,14.47,14.32,14.34,3598100,14.18
2013-11-06,14.26,14.35,14.23,14.35,2631600,14.19
2013-11-05,14.28,14.34,14.23,14.23,2984500,14.07
2013-11-04,14.39,14.40,14.29,14.32,2137200,14.16
2013-11-01,14.42,14.49,14.28,14.35,2320600,14.19
2013-10-31,14.54,14.56,14.42,14.44,2708100,14.28
2013-10-30,14.56,14.59,14.41,14.53,2801600,14.37
2013-10-29,14.77,14.81,14.61,14.67,3356000,14.35
2013-10-28,14.71,14.80,14.62,14.70,2840500,14.37
2013-10-25,14.57,14.72,14.50,14.71,2809700,14.38
2013-10-24,14.60,14.65,14.51,14.56,3143800,14.24
2013-10-23,14.43,14.55,14.35,14.55,3722800,14.23
2013-10-22,14.42,14.51,14.35,14.44,4115200,14.12
2013-10-21,14.17,14.41,14.13,14.40,3955000,14.08
2013-10-18,15.00,15.07,14.09,14.37,9809900,14.05
2013-10-17,14.83,15.11,14.73,15.07,3030400,14.74
2013-10-16,14.73,14.97,14.70,14.91,2531500,14.58
2013-10-15,14.68,14.77,14.62,14.70,3714600,14.37
2013-10-14,14.74,14.89,14.66,14.85,3664500,14.52
2013-10-11,14.50,14.80,14.50,14.78,1892200,14.45
2013-10-10,14.45,14.70,14.45,14.70,2149700,14.37
