Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,40.33,40.47,40.13,40.28,1925500,39.87
2013-12-30,40.22,40.42,40.07,40.27,2151200,39.86
2013-12-27,40.28,40.56,40.15,40.28,1334800,39.87
2013-12-26,41.12,41.18,40.48,40.56,1925200,39.69
2013-12-24,40.98,41.23,40.91,41.03,1053800,40.15
2013-12-23,40.80,41.19,40.73,40.98,2317700,40.10
2013-12-20,40.17,40.94,40.14,40.56,5428300,39.69
2013-12-19,40.57,40.57,40.04,40.22,3901200,39.36
2013-12-18,40.70,41.01,40.11,40.95,3941000,40.07
2013-12-17,40.95,41.09,40.56,40.64,4126700,39.77
2013-12-16,40.66,41.16,40.64,40.98,4383400,40.10
2013-12-13,40.34,40.49,40.22,40.42,2025800,39.56
2013-12-12,40.17,40.49,40.16,40.20,3367600,39.34
2013-12-11,40.25,40.57,40.17,40.26,2640800,39.40
2013-12-10,41.09,41.20,40.18,40.32,3349800,39.46
2013-12-09,41.06,41.46,41.00,41.16,2569700,40.28
2013-12-06,40.53,41.23,40.43,41.11,2854100,40.23
2013-12-05,40.66,40.66,40.05,40.36,3130000,39.50
2013-12-04,40.57,40.91,40.33,40.71,2394800,39.84
2013-12-03,40.34,40.83,40.17,40.80,2891400,39.93
2013-12-02,40.44,40.72,40.22,40.46,3254600,39.60
2013-11-29,40.00,40.61,40.00,40.37,1377800,39.51
2013-11-27,40.28,40.34,40.07,40.26,2515200,39.40
2013-11-26,40.57,40.60,39.91,40.25,4406500,39.39
2013-11-25,40.74,40.96,40.57,40.57,2399500,39.70
2013-11-22,40.49,40.81,40.47,40.63,2883100,39.76
2013-11-21,40.70,40.81,40.13,40.52,2299800,39.65
2013-11-20,40.88,41.11,40.55,40.55,2082900,39.68
2013-11-19,41.09,41.21,40.82,40.93,2065900,40.05
2013-11-18,41.20,41.25,40.75,41.02,3635900,40.14
2013-11-15,40.87,41.20,40.85,41.16,2298100,40.28
2013-11-14,41.09,41.34,40.94,41.01,2200900,40.13
2013-11-13,40.32,41.09,40.20,40.97,4012500,40.09
2013-11-12,40.67,40.99,40.02,40.49,8906200,39.62
2013-11-11,41.75,41.87,41.34,41.42,1806600,40.53
2013-11-08,41.92,41.92,41.37,41.77,3834300,40.88
2013-11-07,42.81,42.95,41.99,42.05,2718200,41.15
2013-11-06,42.00,42.79,42.00,42.75,2017400,41.84
2013-11-05,42.14,42.70,41.99,42.01,2260000,41.11
2013-11-04,42.41,42.45,41.98,42.27,1699900,41.37
2013-11-01,42.01,42.52,41.99,42.32,2248800,41.42
2013-10-31,41.78,42.05,41.23,41.85,2649900,40.96
2013-10-30,42.19,42.45,41.82,41.88,2055900,40.98
2013-10-29,42.24,42.24,41.91,42.09,1581600,41.19
2013-10-28,42.11,42.33,41.79,42.05,1842300,41.15
2013-10-25,41.49,42.13,41.46,42.12,1720600,41.22
2013-10-24,41.66,41.68,41.35,41.50,2620300,40.61
2013-10-23,41.94,42.27,41.43,41.51,3487500,40.62
2013-10-22,41.40,42.08,41.24,41.97,1877800,41.07
2013-10-21,41.22,41.42,41.07,41.38,2011000,40.50
2013-10-18,41.40,41.58,41.18,41.22,1615400,40.34
2013-10-17,40.73,41.43,40.50,41.36,1626300,40.48
2013-10-16,40.44,40.75,40.23,40.75,2890800,39.88
2013-10-15,40.94,40.96,40.10,40.12,2743700,39.26
2013-10-14,41.13,41.21,40.58,40.97,2240200,40.09
2013-10-11,41.37,41.51,41.05,41.35,1284100,40.47
2013-10-10,41.18,41.42,40.65,41.35,1900700,40.47
2013-10-09,40.78,41.46,40.48,40.92,3693600,40.05
2013-10-08,40.15,40.87,40.07,40.65,3334800,39.78
2013-10-07,40.09,40.51,39.95,40.07,2182600,39.21
2013-10-04,40.39,40.60,40.20,40.26,2183000,39.40
2013-10-03,40.76,40.78,40.27,40.31,2533500,39.45
2013-10-02,40.77,41.28,40.68,41.01,2421900,40.13
2013-10-01,40.90,41.21,40.76,40.87,2147400,40.00
2013-09-30,40.63,41.04,40.58,40.92,4451600,40.05
2013-09-27,40.87,41.07,40.63,40.78,2838600,39.91
2013-09-26,41.53,41.54,40.93,41.04,2810400,40.16
2013-09-25,42.11,42.42,41.82,41.87,3880700,40.53
2013-09-24,42.16,42.31,41.95,42.19,9013300,40.84
2013-09-23,41.40,42.32,41.21,42.13,8280700,40.78
2013-09-20,41.97,42.04,41.36,41.46,10228300,40.13
2013-09-19,42.28,42.47,41.87,41.99,2245900,40.65
2013-09-18,41.07,42.21,40.90,42.12,3263400,40.77
2013-09-17,41.09,41.28,40.94,41.07,2512400,39.76
2013-09-16,41.76,42.26,40.95,41.00,3271900,39.69
2013-09-13,40.85,41.45,40.80,41.33,3489900,40.01
2013-09-12,41.13,41.34,40.72,40.76,1210800,39.46
2013-09-11,41.27,41.39,40.82,41.04,2355300,39.73
2013-09-10,41.10,41.42,40.95,41.41,1712100,40.08
2013-09-09,40.88,41.09,40.66,40.99,1559200,39.68
2013-09-06,40.97,41.36,40.83,40.88,2806500,39.57
2013-09-05,40.81,41.00,40.67,40.85,2000700,39.54
2013-09-04,41.04,41.05,40.56,40.90,1790700,39.59
2013-09-03,41.56,41.62,40.68,41.01,4253000,39.70
2013-08-30,41.40,41.64,41.25,41.36,2915300,40.04
2013-08-29,41.62,41.69,41.08,41.32,1919100,40.00
2013-08-28,41.50,41.93,41.27,41.75,2153800,40.41
2013-08-27,41.20,41.88,41.11,41.48,2859800,40.15
2013-08-26,41.54,41.70,41.41,41.47,2024000,40.14
2013-08-23,41.40,41.72,41.25,41.51,2398800,40.18
2013-08-22,41.97,42.24,41.40,41.43,3378300,40.10
2013-08-21,42.40,42.40,41.75,42.04,3710400,40.69
2013-08-20,42.41,43.19,42.33,42.77,3703800,41.40
2013-08-19,42.54,42.82,42.17,42.41,1861300,41.05
2013-08-16,43.21,43.25,42.32,42.64,2300200,41.27
2013-08-15,43.64,43.75,43.33,43.35,1622700,41.96
2013-08-14,44.00,44.12,43.44,43.93,2742600,42.52
2013-08-13,44.71,44.71,44.12,44.14,2671200,42.73
2013-08-12,44.77,44.89,44.51,44.71,1755100,43.28
2013-08-09,45.40,45.55,44.95,45.02,1476200,43.58
2013-08-08,45.40,45.55,45.14,45.39,1536100,43.94
2013-08-07,44.77,45.60,44.52,45.31,2515300,43.86
2013-08-06,45.55,45.55,45.03,45.08,1970500,43.64
2013-08-05,46.01,46.01,45.49,45.56,1450300,44.10
2013-08-02,46.36,46.67,46.06,46.18,1109200,44.70
2013-08-01,46.24,46.90,46.05,46.31,1966400,44.83
2013-07-31,45.20,46.26,45.06,45.89,3168800,44.42
2013-07-30,46.46,46.63,46.22,46.30,2729800,44.82
2013-07-29,46.11,46.40,46.05,46.24,3089900,44.76
2013-07-26,45.54,46.32,45.42,46.32,2793300,44.84
2013-07-25,45.04,45.65,44.99,45.61,1894100,44.15
2013-07-24,45.65,45.79,44.94,45.14,2038700,43.69
2013-07-23,45.21,45.56,44.92,45.52,1309200,44.06
2013-07-22,45.03,45.40,45.02,45.12,1381200,43.68
2013-07-19,45.59,45.68,44.99,45.00,2958400,43.56
2013-07-18,45.34,45.79,45.24,45.52,2805500,44.06
2013-07-17,45.61,45.89,45.00,45.14,4781000,43.69
2013-07-16,46.29,47.30,45.56,46.37,6905000,44.89
2013-07-15,45.56,46.42,45.21,46.19,3737600,44.71
2013-07-12,45.55,45.56,45.20,45.54,2247900,44.08
2013-07-11,45.47,45.73,45.27,45.50,2000900,44.04
2013-07-10,45.14,45.36,44.91,45.14,1995000,43.69
2013-07-09,45.19,45.50,44.98,45.37,2243100,43.92
2013-07-08,44.74,45.45,44.55,45.19,1925200,43.74
2013-07-05,44.96,45.02,44.11,44.66,1395100,43.23
2013-07-03,44.74,45.05,44.58,44.97,1374500,43.53
2013-07-02,45.08,45.49,44.79,44.99,2366600,43.55
2013-07-01,46.08,46.31,45.05,45.16,4099200,43.71
2013-06-28,45.59,46.33,44.69,45.73,8896600,44.27
2013-06-27,44.99,45.25,44.54,44.63,1798900,43.20
2013-06-26,44.95,45.56,44.89,45.33,2545800,43.44
2013-06-25,44.41,44.88,44.00,44.73,7638500,42.86
2013-06-24,43.97,44.58,43.53,44.21,7881800,42.37
2013-06-21,44.01,44.67,43.20,44.33,9347600,42.48
2013-06-20,44.36,44.40,43.49,43.59,2299300,41.77
2013-06-19,45.74,45.92,44.65,44.65,2087900,42.79
2013-06-18,45.24,45.83,45.21,45.73,2101900,43.82
2013-06-17,45.35,45.79,45.20,45.32,2570200,43.43
2013-06-14,44.90,45.38,44.77,45.17,2663100,43.29
2013-06-13,44.28,44.94,44.23,44.87,1838400,43.00
2013-06-12,44.93,45.11,44.29,44.33,1814800,42.48
2013-06-11,44.63,45.08,44.42,44.58,2048700,42.72
2013-06-10,45.36,45.36,44.83,45.00,1958500,43.12
2013-06-07,45.10,45.43,44.60,45.30,2173000,43.41
2013-06-06,44.03,45.02,43.91,45.02,2827300,43.14
2013-06-05,44.50,44.55,43.89,44.02,2972300,42.18
2013-06-04,44.83,44.95,44.31,44.65,1990700,42.79
2013-06-03,44.90,45.16,44.35,44.94,2869100,43.06
2013-05-31,44.94,45.75,44.85,44.91,2642600,43.04
