Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,268.68,269.96,268.15,269.30,376700,269.27
2013-12-30,269.69,269.87,267.29,268.43,243600,268.40
2013-12-27,270.92,271.75,268.47,268.72,299700,268.69
2013-12-26,271.16,271.99,269.38,270.77,329300,270.74
2013-12-24,268.06,271.15,268.00,270.98,175300,270.95
2013-12-23,268.23,269.80,266.74,268.71,592000,268.68
2013-12-20,264.67,268.75,264.13,267.85,942700,267.82
2013-12-19,264.50,265.99,263.21,263.89,533500,263.86
2013-12-18,261.92,264.92,256.19,264.78,657900,264.75
2013-12-17,259.08,261.76,257.62,261.57,792800,261.54
2013-12-16,254.16,258.50,253.96,257.40,389800,257.37
2013-12-13,254.60,255.40,252.05,253.11,334000,253.08
2013-12-12,251.82,254.77,250.91,253.62,544000,253.59
2013-12-11,254.19,254.19,251.65,251.84,872400,251.81
2013-12-10,252.82,254.81,252.31,253.27,329800,253.24
2013-12-09,255.40,255.90,252.95,253.64,468200,253.61
2013-12-06,253.83,256.16,253.10,254.33,526500,254.30
2013-12-05,252.82,253.84,251.89,252.42,538900,252.39
2013-12-04,253.84,257.60,252.19,253.83,512100,253.80
2013-12-03,256.95,258.54,255.87,256.36,454400,256.30
2013-12-02,258.45,260.45,257.25,257.78,393200,257.72
2013-11-29,260.09,261.50,257.81,258.45,212400,258.39
2013-11-27,258.93,260.58,258.92,259.96,351900,259.90
2013-11-26,258.00,259.38,255.62,258.95,499500,258.89
2013-11-25,258.35,259.92,255.49,257.74,475600,257.68
2013-11-22,252.62,259.69,252.29,258.26,481900,258.20
2013-11-21,251.76,254.49,250.99,253.54,377800,253.48
2013-11-20,254.07,254.92,249.92,250.49,394700,250.43
2013-11-19,256.10,258.78,253.03,254.12,468600,254.06
2013-11-18,251.88,259.88,251.33,255.87,925600,255.81
2013-11-15,248.82,251.99,248.34,250.20,502600,250.14
2013-11-14,248.27,249.50,247.70,248.87,356600,248.81
2013-11-13,249.00,249.60,247.49,248.20,444300,248.14
2013-11-12,247.98,250.80,246.34,249.71,428700,249.65
2013-11-11,249.70,250.07,246.61,248.15,477300,248.09
2013-11-08,247.75,251.55,247.33,251.11,425800,251.05
2013-11-07,253.11,253.94,247.10,247.32,466600,247.26
2013-11-06,253.89,254.66,251.59,252.66,424300,252.60
2013-11-05,251.62,254.52,249.91,252.27,464000,252.21
2013-11-04,254.31,254.61,251.82,252.72,577700,252.66
2013-11-01,253.55,255.00,251.31,253.08,451100,253.02
2013-10-31,251.65,254.95,250.94,253.45,751100,253.39
2013-10-30,255.02,256.32,249.93,252.06,915200,252.00
2013-10-29,254.10,255.13,251.50,254.97,557200,254.91
2013-10-28,254.27,255.87,251.68,253.69,549100,253.63
2013-10-25,256.45,257.80,253.65,254.81,918900,254.75
2013-10-24,249.99,263.52,248.56,256.43,1474000,256.37
2013-10-23,242.39,246.45,241.38,246.16,785300,246.10
2013-10-22,242.89,243.96,240.35,242.41,382200,242.35
2013-10-21,243.87,243.87,241.24,241.90,548700,241.84
2013-10-18,241.87,243.49,240.58,243.34,738400,243.28
2013-10-17,239.04,241.87,238.66,241.58,688900,241.52
2013-10-16,239.76,241.63,238.55,239.80,591600,239.74
2013-10-15,240.44,241.70,237.67,238.05,1048900,237.99
2013-10-14,238.50,241.87,236.78,241.51,432100,241.45
2013-10-11,237.77,240.05,236.37,239.99,494300,239.93
2013-10-10,234.00,238.69,233.95,238.62,496900,238.56
2013-10-09,233.13,234.07,228.48,229.91,647100,229.86
2013-10-08,233.92,235.45,232.52,232.81,743000,232.76
2013-10-07,232.10,236.28,231.62,234.29,627000,234.24
2013-10-04,231.40,234.38,230.41,233.89,470900,233.84
2013-10-03,230.30,232.69,227.67,231.32,819900,231.27
2013-10-02,231.12,231.63,227.41,230.15,656400,230.10
2013-10-01,227.44,233.42,227.44,232.21,632100,232.16
2013-09-30,226.39,228.95,225.00,227.24,690200,227.19
2013-09-27,227.67,228.92,226.90,228.09,605300,228.04
2013-09-26,228.48,231.03,228.14,229.98,789600,229.93
2013-09-25,229.50,230.15,227.64,228.01,343200,227.96
2013-09-24,229.30,232.29,227.89,229.99,801300,229.94
2013-09-23,232.22,233.15,228.50,228.61,842000,228.56
2013-09-20,235.41,235.41,231.99,232.19,789900,232.14
2013-09-19,238.33,238.33,234.79,235.41,702900,235.36
2013-09-18,236.87,237.74,233.32,237.14,620200,237.08
2013-09-17,234.35,237.17,233.59,237.09,547000,237.03
2013-09-16,234.40,234.54,232.77,234.35,656200,234.30
2013-09-13,230.00,232.35,227.88,232.23,839100,232.18
2013-09-12,228.30,230.86,228.21,230.06,963200,230.01
2013-09-11,226.10,228.63,224.12,228.63,814600,228.58
2013-09-10,224.32,225.75,223.00,224.25,476500,224.20
2013-09-09,221.08,222.98,220.54,222.59,692800,222.54
2013-09-06,217.43,220.52,214.87,219.80,1114400,219.75
2013-09-05,217.43,217.79,215.61,216.99,358600,216.94
2013-09-04,213.76,218.81,213.16,217.78,622800,217.73
2013-09-03,212.80,215.73,212.56,213.86,660200,213.78
2013-08-30,213.62,213.67,210.79,211.24,415300,211.16
2013-08-29,212.00,216.78,211.20,213.57,577200,213.49
2013-08-28,211.90,214.18,211.61,212.39,563400,212.31
2013-08-27,214.34,214.93,211.83,212.11,764700,212.03
2013-08-26,217.95,219.25,216.09,216.25,390100,216.17
2013-08-23,219.38,219.58,217.26,218.16,617300,218.08
2013-08-22,216.99,220.10,216.15,219.38,696700,219.30
2013-08-21,215.29,217.41,214.83,215.08,598500,215.00
2013-08-20,217.38,217.80,215.70,215.93,491100,215.85
2013-08-19,216.35,219.38,215.51,217.39,423300,217.31
2013-08-16,217.03,218.96,216.58,216.94,480000,216.86
2013-08-15,218.01,220.62,217.49,217.58,534200,217.50
2013-08-14,219.88,219.96,218.29,219.51,418300,219.43
2013-08-13,216.53,220.25,215.45,220.04,613700,219.96
2013-08-12,218.15,218.15,215.27,216.18,946100,216.10
2013-08-09,220.80,221.34,218.34,218.54,939200,218.46
2013-08-08,221.40,223.03,220.68,220.82,605900,220.74
2013-08-07,221.00,223.07,219.20,220.96,509700,220.88
2013-08-06,219.69,224.49,219.69,221.93,431700,221.85
2013-08-05,223.84,225.67,222.99,224.79,331400,224.71
2013-08-02,224.34,225.29,222.20,224.00,1023700,223.92
2013-08-01,223.54,224.90,221.76,224.56,802300,224.48
2013-07-31,222.75,224.05,220.78,221.72,1146300,221.64
2013-07-30,225.35,226.35,221.67,221.69,541400,221.61
2013-07-29,224.98,225.82,223.13,224.45,834700,224.37
2013-07-26,229.54,230.99,222.90,225.00,1427200,224.92
2013-07-25,230.82,238.99,221.10,230.70,1658200,230.61
2013-07-24,236.47,236.47,232.94,233.26,670700,233.17
2013-07-23,235.95,238.08,235.02,235.74,713300,235.65
2013-07-22,234.75,236.16,233.52,235.01,383300,234.92
2013-07-19,233.26,234.60,231.60,234.47,668100,234.38
2013-07-18,233.29,234.61,232.20,233.11,480600,233.02
2013-07-17,232.05,233.53,231.25,232.99,502400,232.90
2013-07-16,234.25,234.97,230.01,231.67,554900,231.58
2013-07-15,234.99,235.78,232.39,234.41,659700,234.32
2013-07-12,237.17,238.40,222.27,234.69,2319200,234.60
2013-07-11,237.58,238.29,236.44,237.27,419200,237.18
2013-07-10,233.77,235.47,233.51,234.32,351200,234.23
2013-07-09,233.03,234.98,232.25,233.93,811400,233.84
2013-07-08,236.81,238.00,231.38,231.50,942400,231.41
2013-07-05,232.32,254.14,231.43,235.01,697700,234.92
2013-07-03,226.90,230.52,225.68,230.19,347900,230.10
2013-07-02,229.52,230.26,224.78,226.24,630300,226.16
2013-07-01,226.95,231.23,226.34,230.01,719500,229.92
2013-06-28,225.29,226.75,223.13,226.01,957200,225.93
2013-06-27,223.88,226.94,222.55,225.64,1113400,225.56
2013-06-26,213.69,220.78,213.69,219.69,959300,219.61
2013-06-25,212.21,213.70,211.36,212.37,761400,212.29
2013-06-24,210.00,211.60,207.47,209.69,589400,209.61
2013-06-21,215.18,215.60,209.89,211.74,1037800,211.66
2013-06-20,215.04,218.03,213.00,213.48,786500,213.40
2013-06-19,221.48,221.62,216.59,216.66,351400,216.58
2013-06-18,219.51,221.90,218.64,221.66,299000,221.58
2013-06-17,221.42,221.61,218.08,218.95,607900,218.87
2013-06-14,219.98,221.34,218.88,219.93,373000,219.85
2013-06-13,216.00,220.55,215.96,220.22,487200,220.14
2013-06-12,221.05,221.31,215.66,216.29,372500,216.21
2013-06-11,217.62,220.38,217.21,219.32,706700,219.24
2013-06-10,218.44,220.14,217.75,219.51,625800,219.43
2013-06-07,214.70,219.42,214.70,218.38,869400,218.30
2013-06-06,210.20,215.13,209.97,215.09,509000,215.01
2013-06-05,213.40,213.91,210.05,210.11,515400,210.03
2013-06-04,216.16,216.16,212.82,213.90,770200,213.79
2013-06-03,214.51,216.64,212.06,216.56,745500,216.45
2013-05-31,215.64,218.85,213.89,213.92,834400,213.81
2013-05-30,211.13,216.78,210.83,215.86,789500,215.75
2013-05-29,211.32,212.48,210.26,210.75,364400,210.64
2013-05-28,213.26,215.00,211.91,212.91,505000,212.80
2013-05-24,208.81,211.40,207.15,210.73,573000,210.62
2013-05-23,207.68,211.66,207.68,209.65,951000,209.54
2013-05-22,212.61,214.75,211.48,211.70,695500,211.59
2013-05-21,214.72,215.46,213.33,213.34,409800,213.23
2013-05-20,212.49,215.11,211.99,215.08,710400,214.97
2013-05-17,210.34,213.06,209.36,213.00,912800,212.89
2013-05-16,211.45,212.95,209.40,209.53,779400,209.42
2013-05-15,211.63,212.01,209.78,211.50,484200,211.39
2013-05-14,208.33,212.52,207.56,212.29,648200,212.18
2013-05-13,209.98,210.41,208.05,208.46,861900,208.35
2013-05-10,206.71,211.00,206.26,209.97,1138600,209.86
2013-05-09,201.15,211.89,201.15,206.68,2019100,206.57
2013-05-08,192.33,193.62,191.39,192.02,508200,191.92
2013-05-07,191.37,193.65,190.62,193.52,388000,193.42
2013-05-06,189.66,191.71,189.66,191.00,434000,190.90
2013-05-03,190.50,192.17,189.45,189.90,643000,189.80
2013-05-02,189.95,190.65,188.11,188.28,679800,188.18
2013-05-01,189.66,192.25,189.59,189.93,643400,189.83
2013-04-30,187.29,191.41,187.11,191.29,984000,191.19
2013-04-29,187.61,188.60,186.97,187.41,646800,187.31
2013-04-26,188.06,189.09,187.38,187.47,661100,187.37
2013-04-25,189.27,189.62,187.65,188.00,854800,187.90
2013-04-24,186.74,189.14,186.51,188.86,393800,188.76
2013-04-23,186.56,186.79,183.25,186.13,356300,186.03
2013-04-22,186.19,187.50,184.77,185.50,366800,185.40
2013-04-19,183.54,186.26,182.90,186.05,590800,185.95
2013-04-18,185.49,185.61,182.41,183.08,585300,182.99
2013-04-17,186.85,187.75,184.96,185.34,502000,185.24
2013-04-16,186.37,189.01,186.37,188.82,658900,188.72
2013-04-15,187.31,188.47,184.55,184.55,687900,184.46
2013-04-12,187.60,188.97,186.80,188.93,383900,188.83
2013-04-11,187.70,188.53,187.12,188.18,1119700,188.08
2013-04-10,185.46,187.75,185.26,187.30,619900,187.20
2013-04-09,184.09,185.42,183.15,185.06,607400,184.97
2013-04-08,182.56,183.48,181.84,182.95,498600,182.86
2013-04-05,181.42,183.27,180.06,182.92,661900,182.83
2013-04-04,185.62,185.77,182.87,183.34,592600,183.25
2013-04-03,185.33,187.45,184.87,185.19,529200,185.10
2013-04-02,187.43,187.98,184.51,185.12,543400,185.03
2013-04-01,189.21,189.35,186.66,186.77,547100,186.67
2013-03-28,189.83,190.27,188.69,189.62,699900,189.52
2013-03-27,190.10,190.73,188.97,189.89,274600,189.79
2013-03-26,190.62,191.30,189.97,191.23,302400,191.13
2013-03-25,193.33,193.98,189.08,189.62,656800,189.52
2013-03-22,193.93,194.43,192.37,192.91,297400,192.81
2013-03-21,194.48,195.34,192.58,192.93,432800,192.83
2013-03-20,194.68,196.00,193.92,195.21,509400,195.11
2013-03-19,194.44,194.81,191.66,193.92,681700,193.82
2013-03-18,192.18,195.29,192.18,193.95,756000,193.85
2013-03-15,191.22,194.75,190.91,194.36,1170800,194.26
2013-03-14,190.86,191.89,189.68,191.61,486400,191.51
2013-03-13,189.21,191.91,188.75,190.47,497700,190.37
2013-03-12,190.85,190.85,188.54,189.05,400200,188.95
2013-03-11,190.51,191.21,190.05,190.64,468400,190.54
2013-03-08,190.00,191.39,189.55,190.59,829600,190.49
2013-03-07,189.28,190.09,188.93,189.40,462800,189.30
2013-03-06,190.69,190.70,188.88,189.32,488900,189.22
2013-03-05,187.91,189.86,186.78,189.64,447800,189.51
2013-03-04,185.43,187.35,184.65,187.01,683700,186.88
2013-03-01,185.61,186.93,184.03,185.81,451000,185.69
2013-02-28,186.19,187.87,186.19,186.59,793200,186.46
2013-02-27,182.88,186.47,182.45,185.97,370000,185.85
2013-02-26,181.47,183.69,181.15,183.36,611400,183.24
2013-02-25,185.28,185.92,180.60,180.61,369300,180.49
2013-02-22,183.32,184.93,183.25,184.50,503200,184.38
2013-02-21,182.04,183.06,181.33,182.55,591500,182.43
2013-02-20,184.79,185.12,182.31,182.42,1115300,182.30
2013-02-19,186.10,187.85,184.68,185.23,812300,185.11
2013-02-15,185.11,187.01,184.53,185.47,859500,185.35
2013-02-14,184.26,186.23,184.11,184.64,762800,184.52
2013-02-13,187.28,187.71,184.70,185.00,667100,184.88
2013-02-12,190.12,190.29,186.45,186.84,833500,186.71
2013-02-11,190.41,191.15,188.70,189.80,601200,189.67
2013-02-08,187.86,191.28,187.41,191.26,691200,191.13
2013-02-07,187.16,187.84,185.74,187.61,483900,187.48
2013-02-06,185.74,186.98,185.63,186.86,359300,186.73
2013-02-05,185.90,186.96,185.11,186.53,395000,186.40
2013-02-04,185.94,186.88,184.34,184.50,665100,184.38
2013-02-01,183.64,186.89,183.64,186.62,628700,186.49
2013-01-31,184.00,184.50,182.38,183.40,1044300,183.28
2013-01-30,187.62,187.73,184.56,184.60,767900,184.48
2013-01-29,187.25,188.68,186.81,187.64,720400,187.51
2013-01-28,191.43,191.43,186.76,187.20,784900,187.07
2013-01-25,192.86,192.94,191.07,191.49,721800,191.36
2013-01-24,188.02,194.95,188.02,191.22,1477800,191.09
2013-01-23,185.70,187.78,185.10,186.28,842500,186.16
2013-01-22,186.23,186.72,184.45,186.29,1046300,186.17
2013-01-18,186.35,186.35,184.44,185.36,746500,185.24
2013-01-17,184.13,186.67,181.12,186.27,1580400,186.15
2013-01-16,188.34,188.95,182.82,183.79,1342300,183.67
2013-01-15,186.98,189.35,186.40,189.14,461700,189.01
2013-01-14,187.87,188.60,186.76,187.99,482300,187.86
2013-01-11,189.35,190.00,187.01,187.80,808500,187.67
2013-01-10,187.76,190.03,187.44,190.01,848900,189.88
2013-01-09,187.96,189.41,187.02,188.23,475900,188.10
2013-01-08,189.18,189.38,183.07,186.77,1512400,186.64
2013-01-07,190.61,191.52,188.40,189.45,827100,189.32
2013-01-04,192.83,193.23,190.95,191.52,727200,191.39
2013-01-03,192.91,193.95,191.85,191.99,623600,191.86
2013-01-02,190.23,193.02,189.64,192.98,724400,192.85
2012-12-31,184.78,189.58,184.75,189.42,460700,189.29
2012-12-28,186.94,188.06,185.69,185.80,304200,185.68
2012-12-27,187.18,188.31,185.85,187.93,277200,187.80
2012-12-26,188.36,188.99,187.01,187.21,242100,187.08
2012-12-24,187.58,188.10,185.92,188.06,211200,187.93
2012-12-21,187.25,189.18,187.01,188.16,907900,188.03
2012-12-20,189.38,189.38,187.00,188.82,507600,188.69
2012-12-19,188.19,189.45,187.49,187.56,514200,187.43
2012-12-18,186.37,188.56,185.88,188.39,574800,188.26
2012-12-17,185.00,186.56,183.99,186.50,717900,186.37
2012-12-14,182.65,184.92,182.00,184.20,533100,184.08
2012-12-13,184.28,185.37,182.50,183.04,608900,182.92
2012-12-12,184.91,187.42,184.10,184.51,714200,184.39
2012-12-11,184.95,186.22,183.92,184.65,478100,184.53
2012-12-10,183.97,184.77,182.81,184.66,400100,184.54
2012-12-07,183.63,183.70,181.97,183.55,357400,183.43
2012-12-06,183.95,184.27,181.71,182.95,355300,182.83
2012-12-05,182.07,184.86,180.94,184.09,542600,183.97
2012-12-04,181.55,183.88,180.84,181.75,385200,181.60
2012-12-03,184.60,184.81,181.52,181.75,444900,181.60
2012-11-30,183.33,183.89,182.00,183.39,654000,183.24
2012-11-29,182.04,184.36,181.53,183.11,642000,182.96
2012-11-28,178.32,181.52,177.74,181.48,595500,181.33
2012-11-27,178.27,180.37,178.02,179.05,644700,178.90
2012-11-26,178.00,179.19,177.59,178.45,369500,178.30
2012-11-23,177.71,179.35,177.21,179.34,323700,179.19
2012-11-21,176.58,178.81,176.58,176.92,477700,176.77
2012-11-20,175.80,176.89,175.37,176.76,660300,176.61
2012-11-19,176.06,176.59,174.20,176.53,649600,176.38
2012-11-16,174.38,175.77,172.96,174.05,733900,173.90
2012-11-15,173.64,175.55,171.00,174.28,910100,174.13
2012-11-14,178.02,178.66,172.84,173.30,754700,173.16
2012-11-13,178.00,179.97,176.73,177.55,882900,177.40
2012-11-12,178.11,182.40,178.11,179.69,2179100,179.54
2012-11-09,169.59,173.16,169.32,171.33,761400,171.19
2012-11-08,173.39,174.41,170.20,170.21,772600,170.07
2012-11-07,176.85,176.85,172.07,173.37,493300,173.23
2012-11-06,175.50,178.32,175.20,177.70,872900,177.55
2012-11-05,173.55,175.62,171.34,175.38,575400,175.23
2012-11-02,175.00,175.28,172.85,172.94,605200,172.80
2012-11-01,173.00,175.66,170.92,173.81,899400,173.66
2012-10-31,170.34,173.93,168.03,173.07,921100,172.93
2012-10-26,167.58,171.12,166.09,170.19,1012900,170.05
2012-10-25,163.45,171.50,161.00,167.18,1491100,167.04
2012-10-24,162.54,163.50,161.36,161.93,430200,161.79
2012-10-23,163.62,163.81,161.57,161.71,492700,161.57
2012-10-22,164.61,166.58,164.03,165.11,348900,164.97
2012-10-19,167.66,168.34,165.06,165.68,532700,165.54
2012-10-18,167.22,168.83,166.38,168.62,312800,168.48
2012-10-17,168.18,168.48,166.89,167.75,505300,167.61
2012-10-16,167.58,167.95,166.11,167.77,399700,167.63
2012-10-15,162.58,166.88,162.46,166.49,868700,166.35
2012-10-12,163.32,164.33,161.81,162.41,476400,162.27
2012-10-11,163.46,164.31,162.13,162.96,604900,162.82
2012-10-10,162.24,162.44,160.78,161.11,726900,160.98
2012-10-09,163.56,165.00,161.80,162.20,580800,162.06
2012-10-08,163.26,164.20,162.80,163.62,509400,163.48
2012-10-05,164.81,165.64,162.88,163.56,626600,163.42
2012-10-04,163.77,164.93,162.74,163.80,448600,163.66
2012-10-03,163.66,164.06,162.41,163.02,450500,162.88
2012-10-02,165.16,165.69,162.42,163.08,576900,162.94
2012-10-01,163.48,165.34,162.86,164.96,723900,164.82
2012-09-28,162.01,164.34,161.10,163.34,1106400,163.20
2012-09-27,162.39,162.84,160.38,162.75,495900,162.61
2012-09-26,160.75,162.17,159.93,161.06,811900,160.93
2012-09-25,161.51,162.01,160.29,160.91,964200,160.78
