Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,32.07,32.12,31.81,32.04,3024400,31.71
2013-12-30,31.98,32.05,31.86,32.02,2471400,31.69
2013-12-27,31.89,32.02,31.72,31.92,1926200,31.59
2013-12-26,31.98,32.01,31.76,31.84,1753400,31.51
2013-12-24,31.81,31.93,31.62,31.85,1511800,31.52
2013-12-23,32.02,32.17,31.64,31.74,10696800,31.42
2013-12-20,31.64,31.91,31.58,31.75,6570100,31.43
2013-12-19,32.00,32.07,31.42,31.65,3955700,31.33
2013-12-18,31.86,32.27,31.39,32.20,3180500,31.87
2013-12-17,32.04,32.12,31.84,31.90,2205900,31.57
2013-12-16,32.01,32.34,31.92,32.11,2582800,31.78
2013-12-13,32.08,32.21,31.80,31.86,2010300,31.53
2013-12-12,31.93,32.38,31.82,32.12,3260300,31.79
2013-12-11,32.14,32.20,31.80,31.87,3031300,31.54
2013-12-10,32.47,32.47,32.11,32.20,3390900,31.87
2013-12-09,32.58,32.64,32.12,32.41,4242600,32.08
2013-12-06,32.35,32.75,32.25,32.56,3230900,32.23
2013-12-05,32.53,32.71,32.05,32.21,4709000,31.88
2013-12-04,32.46,32.78,32.29,32.68,8139000,32.35
2013-12-03,32.49,33.06,32.49,32.88,4673200,32.19
2013-12-02,32.73,32.85,32.37,32.68,3184300,31.99
2013-11-29,33.07,33.08,32.61,32.69,1409800,32.00
2013-11-27,33.01,33.08,32.61,32.80,2475100,32.11
2013-11-26,33.35,33.42,32.86,32.90,3178100,32.21
2013-11-25,33.74,33.80,33.41,33.42,12098600,32.72
2013-11-22,33.59,33.83,33.54,33.61,9078800,32.90
2013-11-21,33.55,33.93,33.46,33.68,8580400,32.97
2013-11-20,33.99,34.06,33.44,33.47,3408800,32.77
2013-11-19,34.11,34.17,33.76,34.01,2958400,33.29
2013-11-18,34.13,34.16,33.77,34.14,2711100,33.42
2013-11-15,33.62,34.08,33.59,34.08,3546700,33.36
2013-11-14,33.66,33.86,33.38,33.75,2286400,33.04
2013-11-13,32.98,33.57,32.81,33.57,2917600,32.86
2013-11-12,33.34,33.34,32.89,33.19,2968800,32.49
2013-11-11,33.57,33.67,33.36,33.49,2220500,32.79
2013-11-08,33.35,33.51,33.04,33.51,4931400,32.80
2013-11-07,33.90,34.09,33.44,33.47,3544000,32.77
2013-11-06,33.69,33.84,33.49,33.78,3109100,33.07
2013-11-05,34.01,34.29,33.62,33.64,3180100,32.93
2013-11-04,33.98,34.08,33.77,34.03,2854800,33.31
2013-11-01,33.68,34.05,33.55,33.82,3745900,33.11
2013-10-31,33.24,33.80,32.74,33.50,5966100,32.79
2013-10-30,34.02,34.13,33.13,33.18,4142900,32.48
2013-10-29,33.94,34.13,33.70,33.83,2180200,33.12
2013-10-28,33.96,34.15,33.62,33.94,3487800,33.23
2013-10-25,33.86,34.34,33.65,34.32,2117600,33.60
2013-10-24,34.05,34.17,33.79,33.98,1822500,33.26
2013-10-23,34.24,34.55,34.00,34.05,3151900,33.33
2013-10-22,33.75,34.37,33.64,34.28,3174400,33.56
2013-10-21,33.89,33.91,33.51,33.71,1999400,33.00
2013-10-18,33.97,34.14,33.80,33.91,2393100,33.20
2013-10-17,33.29,34.00,33.06,33.93,2938700,33.22
2013-10-16,33.49,33.63,32.90,33.38,3854800,32.68
2013-10-15,33.63,33.80,33.22,33.28,2392700,32.58
2013-10-14,33.83,33.85,33.22,33.74,2168400,33.03
2013-10-11,33.75,33.96,33.64,33.91,1575400,33.20
2013-10-10,33.44,33.78,33.11,33.78,2139200,33.07
2013-10-09,33.05,33.61,32.98,33.22,2220300,32.52
2013-10-08,32.71,33.27,32.67,33.00,2244300,32.31
2013-10-07,32.76,33.01,32.60,32.73,1489300,32.04
2013-10-04,32.91,33.07,32.76,32.92,1906800,32.23
2013-10-03,33.19,33.26,32.69,32.90,3224300,32.21
2013-10-02,33.11,33.39,32.82,33.37,3036400,32.67
2013-10-01,33.26,33.38,33.07,33.21,2363500,32.51
2013-09-30,32.98,33.15,32.72,32.93,3135800,32.24
2013-09-27,33.19,33.45,32.84,33.02,2903700,32.33
2013-09-26,33.54,33.71,33.13,33.33,2203700,32.63
2013-09-25,33.87,33.99,33.54,33.55,3297800,32.84
2013-09-24,33.66,34.02,33.57,33.88,3953200,33.17
2013-09-23,33.23,33.79,33.12,33.73,2779700,33.02
2013-09-20,33.89,33.96,33.25,33.25,3672200,32.55
2013-09-19,33.87,34.22,33.70,33.90,3194900,33.19
2013-09-18,32.94,34.03,32.63,33.90,4069300,33.19
2013-09-17,32.70,33.03,32.60,32.84,3490100,32.15
2013-09-16,32.70,32.87,32.31,32.42,3077100,31.74
2013-09-13,31.91,32.35,31.86,32.33,2491200,31.65
2013-09-12,32.17,32.30,31.72,31.83,2314100,31.16
2013-09-11,32.37,32.43,31.84,32.04,3380200,31.37
2013-09-10,32.26,32.34,32.02,32.31,2073400,31.63
2013-09-09,32.16,32.32,32.00,32.12,2136600,31.44
