Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,27.23,27.31,27.15,27.27,1654000,25.63
2013-12-30,27.11,27.29,27.05,27.16,2201700,25.52
2013-12-27,27.16,27.20,26.98,27.07,1799100,25.44
2013-12-26,27.03,27.19,26.88,27.07,3750900,25.44
2013-12-24,26.83,26.94,26.83,26.93,823700,25.31
2013-12-23,26.89,26.97,26.74,26.83,2275700,25.21
2013-12-20,26.70,26.87,26.65,26.82,3485200,25.21
2013-12-19,26.36,26.82,26.31,26.70,2910700,25.09
2013-12-18,26.25,26.55,25.92,26.51,4657300,24.91
2013-12-17,26.28,26.35,26.04,26.16,1447700,24.59
2013-12-16,26.36,26.37,26.07,26.32,2519400,24.74
2013-12-13,26.52,26.64,26.20,26.24,3414300,24.66
2013-12-12,26.91,27.00,26.51,26.52,4083100,24.92
2013-12-11,27.85,27.95,26.95,27.00,5688800,25.37
2013-12-10,27.39,27.55,27.34,27.34,1583200,25.69
2013-12-09,27.65,27.73,27.48,27.51,1825000,25.85
2013-12-06,27.44,27.61,27.16,27.53,3031300,25.87
2013-12-05,27.41,27.48,27.06,27.14,3434700,25.51
2013-12-04,27.76,27.88,27.32,27.45,3503200,25.80
2013-12-03,27.98,28.11,27.77,27.90,3301700,26.22
2013-12-02,28.49,28.54,28.05,28.14,3106900,26.45
2013-11-29,28.05,28.15,27.88,27.93,1146500,26.25
2013-11-27,28.07,28.14,27.75,27.97,1700400,26.29
2013-11-26,27.78,28.17,27.77,28.02,2019900,26.33
2013-11-25,27.69,27.92,27.67,27.75,1749100,26.08
2013-11-22,27.62,27.78,27.58,27.67,2441100,26.00
2013-11-21,27.40,27.77,27.36,27.63,3939500,25.97
2013-11-20,27.38,27.57,27.22,27.30,1757700,25.66
2013-11-19,27.20,27.40,27.17,27.31,1993800,25.67
2013-11-18,27.39,27.49,27.21,27.26,2155900,25.62
2013-11-15,27.32,27.42,27.12,27.40,2658300,25.75
2013-11-14,27.15,27.45,27.02,27.39,3047400,25.74
2013-11-13,26.50,27.13,26.50,27.07,5491100,25.44
2013-11-12,26.55,26.60,26.36,26.52,4223900,24.92
2013-11-11,26.47,26.60,26.45,26.52,1785600,24.92
