Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,85.04,85.53,85.01,85.35,319100,85.08
2013-12-30,85.10,85.32,84.69,85.05,266300,84.78
2013-12-27,85.46,85.57,84.74,84.99,256600,84.72
2013-12-26,85.30,85.58,85.14,85.49,245200,85.21
2013-12-24,84.75,85.34,84.75,85.21,95900,84.94
2013-12-23,85.50,85.50,84.47,84.91,405900,84.64
2013-12-20,84.49,85.33,84.37,85.00,895900,84.73
2013-12-19,84.37,84.69,84.04,84.52,498100,84.25
2013-12-18,83.13,84.61,82.03,84.58,359600,84.31
2013-12-17,83.57,83.75,82.53,83.04,455400,82.77
2013-12-16,82.13,83.61,81.94,83.43,511700,83.16
2013-12-13,82.27,82.49,79.88,81.65,724500,81.39
2013-12-12,82.09,82.47,81.88,81.96,362600,81.70
2013-12-11,83.53,83.67,82.31,82.47,490900,82.20
2013-12-10,83.68,83.98,83.25,83.54,243100,83.27
2013-12-09,84.10,84.37,83.58,83.85,397300,83.58
2013-12-06,83.43,84.22,82.88,83.87,652700,83.60
2013-12-05,81.73,82.30,81.42,82.29,565900,82.03
2013-12-04,82.29,82.75,81.09,81.94,418000,81.68
2013-12-03,82.84,83.37,82.31,82.78,492600,82.51
2013-12-02,83.51,84.20,83.17,83.34,451900,83.07
2013-11-29,83.78,84.14,83.50,83.70,181800,83.43
2013-11-27,83.95,83.95,82.87,83.73,473300,83.46
2013-11-26,82.55,85.55,81.66,83.49,891700,83.22
2013-11-25,82.83,83.13,81.35,81.70,933700,81.44
2013-11-22,82.48,82.93,82.22,82.75,356200,82.48
2013-11-21,81.45,82.81,81.11,82.52,468800,82.25
2013-11-20,81.97,82.09,80.70,80.91,717100,80.65
2013-11-19,82.74,83.22,81.95,82.16,467000,81.90
2013-11-18,82.66,83.57,82.55,82.79,928800,82.52
2013-11-15,82.37,83.16,82.33,82.36,866700,82.10
2013-11-14,82.96,83.13,82.50,82.56,417800,82.29
2013-11-13,81.40,82.98,81.33,82.96,371600,82.69
2013-11-12,81.74,82.21,81.55,81.87,601200,81.61
2013-11-11,81.94,82.20,81.72,81.86,373600,81.60
2013-11-08,80.76,82.11,80.76,81.87,814000,81.61
2013-11-07,82.47,82.66,80.72,80.80,433200,80.54
2013-11-06,82.25,82.85,81.88,82.38,493000,82.12
2013-11-05,81.51,82.19,81.06,81.88,347100,81.62
2013-11-04,81.67,82.57,81.65,81.96,639400,81.70
2013-11-01,80.57,81.65,80.24,81.47,540000,81.21
2013-10-31,80.53,81.30,80.30,80.52,623900,80.26
2013-10-30,81.00,81.44,80.46,80.53,443000,80.27
2013-10-29,80.67,80.94,79.90,80.92,449000,80.66
2013-10-28,80.00,80.81,79.79,80.66,557600,80.40
2013-10-25,79.34,80.29,79.12,80.27,472900,80.01
2013-10-24,79.23,79.73,79.06,79.40,398700,79.14
2013-10-23,79.10,79.42,78.38,79.17,437700,78.92
2013-10-22,79.39,80.22,79.22,79.52,659900,79.26
2013-10-21,78.52,78.88,78.12,78.84,425100,78.59
2013-10-18,77.56,78.71,77.40,78.60,555100,78.35
2013-10-17,76.01,77.33,75.90,77.25,759200,77.00
2013-10-16,76.22,76.44,75.65,76.35,1066600,76.10
2013-10-15,77.07,77.27,75.85,76.11,518600,75.59
2013-10-14,76.68,77.43,76.53,77.42,393600,76.89
2013-10-11,76.43,77.21,76.28,77.11,452000,76.58
2013-10-10,75.79,76.74,75.56,76.65,583900,76.13
2013-10-09,75.84,76.00,74.57,75.07,487900,74.56
2013-10-08,77.02,77.34,75.37,75.50,633800,74.99
2013-10-07,76.51,77.38,76.15,77.14,600500,76.61
2013-10-04,76.47,77.61,76.46,77.50,604400,76.97
2013-10-03,77.16,77.34,75.45,76.41,645500,75.89
2013-10-02,77.38,77.84,76.43,77.23,506000,76.70
2013-10-01,77.15,78.13,77.11,77.70,436100,77.17
2013-09-30,76.57,77.40,76.57,77.04,392900,76.51
2013-09-27,77.03,77.58,76.84,77.50,462600,76.97
2013-09-26,77.48,77.71,76.94,77.46,406800,76.93
2013-09-25,77.08,77.85,77.00,77.44,484600,76.91
2013-09-24,76.91,77.91,76.68,77.17,791200,76.64
2013-09-23,77.23,77.37,76.47,77.22,635000,76.69
2013-09-20,77.63,77.75,77.00,77.23,808500,76.70
2013-09-19,76.76,77.61,76.76,77.35,724100,76.82
2013-09-18,74.60,76.06,74.27,76.02,418000,75.50
2013-09-17,74.01,74.83,73.82,74.69,392500,74.18
2013-09-16,74.57,74.63,73.76,73.83,438400,73.33
2013-09-13,74.15,74.29,72.92,73.30,534000,72.80
2013-09-12,74.51,74.86,73.86,73.97,453300,73.47
2013-09-11,73.94,74.91,73.92,74.65,691100,74.14
2013-09-10,72.63,73.93,72.39,73.84,474500,73.34
2013-09-09,71.75,72.37,71.56,72.19,306200,71.70
2013-09-06,71.64,72.00,70.74,71.47,540800,70.98
2013-09-05,70.81,71.91,70.66,71.59,391700,71.10
2013-09-04,69.96,71.05,69.88,70.87,529300,70.39
2013-09-03,70.27,70.70,69.38,69.99,520900,69.51
2013-08-30,69.79,69.92,68.89,69.14,532700,68.67
2013-08-29,69.50,69.80,68.76,69.74,721800,69.26
2013-08-28,68.83,69.42,68.43,69.20,515600,68.73
2013-08-27,70.01,70.14,68.82,68.82,417000,68.35
2013-08-26,70.87,71.36,70.68,70.78,367600,70.30
2013-08-23,70.92,71.19,70.45,70.90,318900,70.42
2013-08-22,70.41,71.18,70.28,70.80,350200,70.32
2013-08-21,70.71,71.01,70.30,70.35,553900,69.87
2013-08-20,70.52,70.97,70.38,70.75,533100,70.27
2013-08-19,70.34,70.89,70.14,70.50,448100,70.02
2013-08-16,70.36,70.78,70.08,70.38,393100,69.90
2013-08-15,68.52,70.65,68.52,70.36,372800,69.88
2013-08-14,71.96,71.96,71.03,71.11,314600,70.63
2013-08-13,72.00,72.22,71.43,71.94,191100,71.45
2013-08-12,71.20,72.09,71.20,71.98,255300,71.49
2013-08-09,71.50,72.11,71.27,71.56,390900,71.07
2013-08-08,71.74,72.06,71.49,71.50,327800,71.01
2013-08-07,71.41,71.62,70.95,71.49,383400,71.00
2013-08-06,71.65,71.90,71.32,71.67,662200,71.18
2013-08-05,71.27,71.65,71.10,71.58,350400,71.09
2013-08-02,70.50,71.76,70.50,71.41,434700,70.92
2013-08-01,70.41,71.30,70.41,71.22,663200,70.73
2013-07-31,69.74,70.45,69.55,69.96,344100,69.48
2013-07-30,69.98,70.32,69.45,69.65,273700,68.93
2013-07-29,70.28,70.50,69.67,69.71,216400,68.99
2013-07-26,70.46,70.67,69.87,70.37,214400,69.64
2013-07-25,70.11,70.88,70.00,70.77,419800,70.04
2013-07-24,70.97,71.23,70.13,70.36,428800,69.63
2013-07-23,71.18,71.19,70.40,70.72,266800,69.99
2013-07-22,70.45,71.20,70.05,71.03,502100,70.29
2013-07-19,70.56,70.90,70.42,70.78,420100,70.05
2013-07-18,70.50,70.96,70.39,70.75,453500,70.02
2013-07-17,70.14,70.56,69.75,70.43,524000,69.70
2013-07-16,70.37,70.66,69.74,70.05,337300,69.32
2013-07-15,70.58,70.77,70.32,70.35,213800,69.62
2013-07-12,70.56,70.74,70.19,70.62,540100,69.89
2013-07-11,70.41,70.66,70.05,70.56,426600,69.83
2013-07-10,69.37,69.80,69.12,69.54,373100,68.82
2013-07-09,67.72,69.74,65.65,69.35,602300,68.63
2013-07-08,68.00,68.79,67.81,68.52,530300,67.81
2013-07-05,67.66,67.81,67.30,67.74,373000,67.04
2013-07-03,66.97,67.27,66.45,66.98,277700,66.28
2013-07-02,66.92,67.83,66.80,67.29,594000,66.59
2013-07-01,66.75,67.41,66.09,67.10,570800,66.40
2013-06-28,66.01,66.58,65.79,66.43,949400,65.74
2013-06-27,65.96,66.53,65.87,66.19,305500,65.50
2013-06-26,65.65,65.81,65.13,65.53,351200,64.85
2013-06-25,65.25,65.60,64.48,64.92,388400,64.25
2013-06-24,65.06,65.30,64.09,64.72,594900,64.05
2013-06-21,66.62,66.80,65.45,65.94,1387300,65.26
2013-06-20,66.54,66.77,65.75,66.10,668100,65.41
2013-06-19,69.50,69.68,67.43,67.43,721800,66.73
2013-06-18,69.18,69.92,69.08,69.58,517700,68.86
2013-06-17,69.02,69.97,68.37,69.15,747700,68.43
2013-06-14,67.94,68.40,67.64,68.28,427500,67.57
2013-06-13,66.64,68.20,66.41,68.05,478800,67.34
2013-06-12,67.85,67.85,66.50,66.60,270600,65.91
2013-06-11,66.59,67.89,65.13,67.36,380300,66.66
2013-06-10,68.17,68.24,67.63,67.82,294400,67.12
2013-06-07,67.04,67.97,66.76,67.89,983500,67.19
2013-06-06,66.35,66.67,65.90,66.57,923500,65.88
2013-06-05,67.29,67.74,66.29,66.35,550900,65.66
2013-06-04,68.30,68.64,67.30,67.61,482300,66.91
2013-06-03,68.46,68.70,67.37,68.33,653900,67.62
2013-05-31,70.39,70.74,64.00,68.20,2291300,67.49
2013-05-30,71.25,72.64,71.20,71.85,687400,71.10
2013-05-29,70.84,71.32,70.07,71.07,642600,70.33
2013-05-28,71.72,72.71,71.39,71.48,628000,70.74
2013-05-24,71.13,71.20,70.55,70.98,456200,70.24
2013-05-23,70.87,72.11,70.87,71.72,291000,70.98
2013-05-22,72.49,73.19,71.32,71.63,471200,70.89
2013-05-21,72.18,72.98,71.84,72.50,355600,71.75
2013-05-20,71.27,72.31,71.24,71.93,350700,71.18
2013-05-17,70.11,71.53,69.95,71.37,664900,70.63
2013-05-16,70.00,70.67,69.82,70.05,611800,69.32
2013-05-15,69.24,70.39,69.24,70.36,273800,69.63
2013-05-14,68.30,69.58,68.30,69.50,344200,68.78
2013-05-13,68.53,68.61,67.83,68.37,319900,67.66
2013-05-10,68.36,68.81,68.15,68.73,212600,68.02
2013-05-09,68.43,68.76,68.14,68.27,472400,67.56
2013-05-08,68.49,68.81,68.23,68.50,599500,67.79
2013-05-07,67.90,68.72,67.78,68.61,424000,67.90
2013-05-06,67.99,68.21,67.68,67.96,245100,67.25
2013-05-03,67.37,68.65,67.19,68.08,503200,67.37
2013-05-02,66.40,66.88,66.10,66.77,352800,65.83
2013-05-01,66.44,67.00,66.11,66.12,505900,65.19
2013-04-30,66.32,66.71,66.14,66.71,673900,65.77
2013-04-29,65.91,66.50,65.45,66.46,406100,65.52
2013-04-26,66.61,66.74,65.47,65.65,511400,64.73
2013-04-25,66.00,67.00,66.00,66.74,336900,65.80
2013-04-24,65.78,66.54,65.70,65.81,323600,64.88
2013-04-23,64.69,65.68,64.57,65.61,519200,64.69
2013-04-22,63.63,64.66,63.35,64.26,493100,63.35
2013-04-19,63.91,64.17,62.72,63.50,795800,62.61
2013-04-18,64.74,64.82,63.86,64.01,448400,63.11
2013-04-17,65.21,65.26,64.34,64.62,466100,63.71
2013-04-16,64.78,65.74,64.55,65.71,559100,64.78
2013-04-15,66.57,66.79,64.31,64.31,519900,63.40
2013-04-12,67.69,68.15,66.84,67.05,350500,66.11
2013-04-11,67.28,68.11,67.04,67.93,473100,66.97
2013-04-10,66.27,67.39,66.16,67.34,522600,66.39
2013-04-09,66.76,66.80,65.58,66.10,794000,65.17
2013-04-08,66.73,67.30,66.20,66.84,737400,65.90
2013-04-05,67.00,67.59,66.31,66.81,301700,65.87
2013-04-04,66.86,67.50,66.70,67.16,440600,66.21
2013-04-03,67.10,67.35,66.46,66.68,536600,65.74
2013-04-02,67.48,68.10,66.82,67.16,600100,66.21
2013-04-01,68.24,68.24,66.94,67.16,856200,66.21
2013-03-28,67.13,68.55,66.82,68.37,682100,67.41
2013-03-27,67.02,67.09,66.16,67.01,570800,66.07
2013-03-26,67.63,67.63,66.71,67.46,590400,66.51
2013-03-25,68.87,68.87,67.05,67.27,461800,66.32
2013-03-22,68.45,68.64,68.13,68.62,254700,67.65
2013-03-21,68.52,68.84,67.77,68.33,352300,67.37
2013-03-20,68.80,69.17,68.45,68.94,372400,67.97
2013-03-19,68.69,68.81,67.57,68.50,379100,67.53
2013-03-18,67.52,69.00,66.87,68.53,299800,67.56
2013-03-15,68.55,68.79,68.25,68.59,430800,67.62
2013-03-14,68.87,69.01,68.57,68.78,234300,67.81
2013-03-13,68.18,68.70,67.93,68.67,173700,67.70
2013-03-12,68.66,68.89,67.93,68.26,323200,67.30
2013-03-11,68.79,68.97,68.54,68.84,282100,67.87
2013-03-08,68.31,69.13,67.92,69.00,412600,68.03
2013-03-07,67.98,68.14,67.50,67.86,301500,66.90
2013-03-06,68.26,68.26,67.47,67.68,327100,66.73
2013-03-05,67.39,68.47,67.39,67.95,635600,66.99
2013-03-04,67.54,67.92,66.32,67.19,702300,66.24
2013-03-01,67.78,68.02,66.98,67.61,784900,66.66
2013-02-28,67.50,68.66,66.89,68.18,1061600,67.22
2013-02-27,66.74,67.90,66.39,67.66,581700,66.71
2013-02-26,66.19,66.86,65.85,66.60,464900,65.66
2013-02-25,68.10,68.19,65.95,65.97,576700,65.04
2013-02-22,67.40,67.89,67.22,67.70,400600,66.75
2013-02-21,67.40,67.52,66.69,67.21,552700,66.26
2013-02-20,68.55,68.84,67.63,67.65,742300,66.70
2013-02-19,68.68,68.73,68.36,68.70,502400,67.73
2013-02-15,68.24,68.78,68.19,68.51,261000,67.54
2013-02-14,67.86,68.28,67.53,68.22,436000,67.26
2013-02-13,68.16,68.50,67.89,68.17,324100,67.21
2013-02-12,67.98,68.09,67.86,67.89,342100,66.93
2013-02-11,68.27,68.45,67.92,67.95,396000,66.99
2013-02-08,68.00,68.39,67.86,68.23,285000,67.27
2013-02-07,68.56,68.56,67.39,67.80,559600,66.84
2013-02-06,67.81,68.70,67.62,68.55,392200,67.58
2013-02-05,68.20,68.33,67.80,68.27,499100,67.06
2013-02-04,68.22,68.46,67.73,67.88,470300,66.68
2013-02-01,69.03,69.03,68.18,68.51,452700,67.30
2013-01-31,67.94,68.72,67.78,68.30,390900,67.09
2013-01-30,68.94,69.05,67.47,67.92,517800,66.72
2013-01-29,67.66,69.05,67.60,69.04,873400,67.82
2013-01-28,68.11,68.13,67.71,67.72,645700,66.52
2013-01-25,68.08,68.21,67.52,67.99,694500,66.79
2013-01-24,67.41,68.37,67.33,67.99,563800,66.79
2013-01-23,67.46,67.68,66.91,67.52,647800,66.32
2013-01-22,67.32,67.94,66.72,67.56,727400,66.36
2013-01-18,67.16,67.41,66.51,67.40,864500,66.21
2013-01-17,65.10,66.61,64.85,66.34,842800,65.17
2013-01-16,64.76,65.04,64.35,64.80,636900,63.65
2013-01-15,64.78,65.04,64.36,64.86,744100,63.71
2013-01-14,64.26,64.96,64.20,64.96,663700,63.81
2013-01-11,64.19,64.42,63.66,64.29,774000,63.15
2013-01-10,64.11,64.47,63.54,64.26,561900,63.12
2013-01-09,63.18,63.92,63.18,63.91,831200,62.78
2013-01-08,63.21,63.64,62.91,62.99,644900,61.88
2013-01-07,62.48,63.52,62.34,63.34,720300,62.22
2013-01-04,62.97,63.22,62.57,62.65,798300,61.54
