Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,77.54,77.78,77.35,77.58,1292300,76.70
2013-12-30,78.20,78.29,77.36,77.51,1251200,76.63
2013-12-27,77.51,78.36,77.19,78.20,2022000,77.31
2013-12-26,77.32,77.47,77.13,77.26,663400,76.38
2013-12-24,77.09,77.32,76.86,77.13,415400,76.25
2013-12-23,76.73,77.39,76.38,77.02,1553700,76.14
2013-12-20,76.28,76.74,76.21,76.37,2630100,75.50
2013-12-19,75.38,76.31,74.91,76.00,2535900,75.13
2013-12-18,74.76,75.65,73.92,75.64,3258300,74.78
2013-12-17,75.47,75.50,74.41,74.65,2492000,73.80
2013-12-16,75.10,75.67,75.09,75.48,2370500,74.62
2013-12-13,75.77,76.27,75.14,75.38,1690100,74.52
2013-12-12,75.49,76.11,75.26,75.82,1884300,74.96
2013-12-11,76.46,76.56,75.23,75.48,2430000,74.62
2013-12-10,75.91,76.89,75.81,76.56,2867400,75.69
2013-12-09,76.77,76.79,76.07,76.28,1402500,75.41
2013-12-06,75.96,76.33,75.44,76.17,1717300,75.30
2013-12-05,75.36,75.52,74.80,75.02,2031100,74.17
2013-12-04,75.59,76.44,75.18,75.72,2309200,74.86
2013-12-03,77.22,77.35,75.41,75.62,3207500,74.76
2013-12-02,76.85,77.90,76.85,77.50,2303400,76.62
2013-11-29,77.65,77.85,76.92,76.95,1015800,76.07
2013-11-27,76.55,77.49,76.39,77.41,1834100,76.53
2013-11-26,76.47,76.85,76.17,76.61,2615100,75.74
2013-11-25,76.95,77.33,76.25,76.32,1821700,75.45
2013-11-22,76.34,76.98,76.13,76.82,2259700,75.94
2013-11-21,75.42,76.58,75.25,76.33,1996100,75.46
2013-11-20,75.70,75.85,74.83,75.20,1813700,74.34
2013-11-19,75.44,75.90,75.18,75.50,1699800,74.64
2013-11-18,75.20,76.00,75.02,75.31,1559100,74.45
2013-11-15,74.94,75.60,74.72,75.14,2082800,74.28
2013-11-14,73.91,74.73,73.55,74.68,2485900,73.83
2013-11-13,73.95,74.27,73.33,74.27,2426400,73.42
2013-11-12,75.16,75.21,73.87,74.18,2225400,73.33
2013-11-11,75.52,75.81,75.03,75.42,1563400,74.56
2013-11-08,73.28,75.67,72.92,75.52,3490200,74.66
2013-11-07,74.09,74.24,72.85,72.90,1917300,72.07
2013-11-06,73.97,74.00,73.43,73.88,1483100,73.04
2013-11-05,72.95,74.02,72.92,73.29,1939000,72.46
2013-11-04,73.45,73.58,73.00,73.17,1228700,72.34
2013-11-01,73.62,73.98,72.99,73.37,1796800,72.53
2013-10-31,74.61,74.89,73.53,73.53,2181200,72.69
2013-10-30,75.31,75.45,74.56,74.81,1615500,73.96
2013-10-29,75.59,75.67,74.82,75.20,1607600,74.34
2013-10-28,75.27,75.86,74.99,75.50,1629300,74.64
2013-10-25,74.82,75.37,74.68,75.36,1816700,74.50
2013-10-24,75.27,75.34,74.68,74.82,2247600,73.97
2013-10-23,75.25,75.54,75.07,75.24,1818400,74.38
2013-10-22,75.09,75.79,74.79,75.56,1989500,74.70
2013-10-21,75.02,75.21,74.60,75.12,1854200,74.26
2013-10-18,74.55,75.15,73.86,75.04,3070400,74.19
2013-10-17,73.58,74.77,73.43,74.68,2655700,73.83
2013-10-16,73.76,74.38,72.43,73.87,3450800,73.03
2013-10-15,72.41,73.23,72.18,72.51,2007000,71.68
2013-10-14,72.56,73.08,72.15,72.98,2159500,72.15
2013-10-11,72.34,73.12,71.80,72.96,1807800,72.13
2013-10-10,71.41,72.71,71.32,72.62,2423700,71.79
2013-10-09,71.03,71.20,70.63,70.87,2049400,69.63
2013-10-08,71.76,71.93,70.91,70.94,1904800,69.70
2013-10-07,72.36,72.39,71.70,71.88,1497400,70.62
2013-10-04,72.79,73.16,72.36,72.97,1645500,71.69
2013-10-03,72.46,72.70,72.01,72.42,2411400,71.15
2013-10-02,72.23,72.99,72.20,72.68,2526100,71.41
2013-10-01,72.40,72.91,72.16,72.67,2017300,71.40
2013-09-30,71.95,72.68,71.48,72.45,2040100,71.18
2013-09-27,72.26,72.92,72.08,72.63,2070100,71.36
2013-09-26,73.13,73.46,72.04,72.44,2064900,71.17
2013-09-25,72.67,73.65,72.22,73.05,3092500,71.77
2013-09-24,72.78,73.27,72.52,72.72,2044000,71.45
2013-09-23,73.78,73.87,72.65,72.96,1659400,71.68
2013-09-20,74.12,74.49,73.76,74.05,2765000,72.75
2013-09-19,74.57,74.82,73.42,74.05,1936500,72.75
2013-09-18,74.82,75.54,74.29,74.40,3036100,73.10
2013-09-17,74.25,74.84,73.69,74.77,1986800,73.46
2013-09-16,74.34,74.56,73.65,74.19,1385700,72.89
2013-09-13,73.28,73.47,72.73,73.25,1379600,71.97
2013-09-12,73.66,73.71,73.03,73.11,1312300,71.83
2013-09-11,73.60,73.80,73.08,73.56,1573500,72.27
2013-09-10,73.45,73.85,73.28,73.65,1395300,72.36
2013-09-09,73.23,73.31,72.36,72.95,1872600,71.67
2013-09-06,73.60,73.68,71.99,73.19,2075200,71.91
2013-09-05,72.54,73.61,72.22,73.35,1144700,72.06
2013-09-04,72.44,72.94,72.14,72.54,1990800,71.27
2013-09-03,73.05,73.78,72.03,72.48,1762500,71.21
2013-08-30,72.69,72.71,71.97,72.27,1383300,71.00
2013-08-29,72.36,73.13,72.00,72.58,842700,71.31
2013-08-28,72.27,73.25,71.97,72.55,1480700,71.28
2013-08-27,73.32,73.50,72.12,72.24,1847700,70.97
2013-08-26,75.01,75.10,74.19,74.21,1310800,72.91
2013-08-23,75.31,75.37,74.55,75.02,806100,73.70
2013-08-22,74.48,75.28,74.37,74.99,1457100,73.68
2013-08-21,74.34,74.98,73.74,74.40,1565200,73.10
2013-08-20,73.89,74.86,73.72,74.59,1324300,73.28
2013-08-19,74.76,74.88,73.90,73.93,1574100,72.63
2013-08-16,74.56,75.39,74.46,74.91,2274800,73.60
2013-08-15,75.25,75.70,74.53,74.92,1758000,73.61
2013-08-14,76.04,76.60,75.87,75.88,1475700,74.55
2013-08-13,76.25,76.29,75.47,75.98,1069600,74.65
2013-08-12,75.62,76.52,75.47,76.11,1643700,74.78
2013-08-09,76.16,76.50,75.67,75.96,1781100,74.63
2013-08-08,76.18,76.67,75.54,76.22,1776900,74.88
2013-08-07,76.20,76.30,75.54,75.79,1534500,74.46
2013-08-06,77.13,77.16,76.14,76.53,1746000,75.19
2013-08-05,77.29,77.58,76.84,77.16,1499200,75.81
2013-08-02,77.40,77.93,76.95,77.43,3327000,76.07
2013-08-01,76.80,77.83,76.43,77.65,2999800,76.29
2013-07-31,75.64,76.97,75.64,76.05,3130800,74.72
2013-07-30,76.06,76.42,75.41,75.54,1992400,74.22
2013-07-29,75.87,76.08,75.30,75.87,1702900,74.54
2013-07-26,75.85,75.96,75.29,75.90,1650600,74.57
2013-07-25,76.43,76.96,75.80,76.00,2692700,74.67
2013-07-24,77.27,77.91,76.88,77.10,2643600,75.75
2013-07-23,76.66,77.65,76.40,77.14,2547600,75.79
2013-07-22,77.19,77.44,76.67,77.18,2026700,75.83
2013-07-19,76.27,77.31,75.70,77.19,3851300,75.84
2013-07-18,73.91,76.14,73.71,75.91,3269800,74.58
2013-07-17,73.21,74.42,72.58,73.55,4665800,72.26
2013-07-16,75.03,75.33,73.71,74.50,2716300,73.19
2013-07-15,74.99,75.48,74.79,75.06,2265000,73.74
2013-07-12,74.30,74.96,73.70,74.91,2819800,73.60
2013-07-11,75.16,75.17,73.46,74.10,2786800,72.80
2013-07-10,75.68,75.75,73.99,74.59,4016900,72.85
2013-07-09,76.64,76.79,75.86,76.26,2442200,74.48
2013-07-08,76.25,76.72,75.83,76.35,2263600,74.57
2013-07-05,74.52,75.94,74.47,75.92,2250800,74.15
2013-07-03,73.49,74.09,73.21,73.97,997700,72.24
2013-07-02,73.27,74.33,73.26,73.85,2091500,72.13
2013-07-01,73.23,74.33,73.04,73.49,2475200,71.78
2013-06-28,73.48,73.52,72.56,72.92,2114300,71.22
2013-06-27,73.70,74.13,73.43,73.63,2128900,71.91
2013-06-26,73.43,74.19,73.04,73.18,2838900,71.47
2013-06-25,71.35,72.84,70.86,72.70,3307800,71.00
2013-06-24,71.13,71.14,70.15,70.53,2714000,68.88
2013-06-21,71.82,72.23,71.02,71.71,5150100,70.04
2013-06-20,70.35,71.69,70.15,71.05,4514000,69.39
2013-06-19,71.77,71.95,70.79,70.88,2728500,69.23
2013-06-18,71.45,71.81,71.16,71.74,1644200,70.07
2013-06-17,71.55,71.91,70.86,71.29,1862100,69.63
2013-06-14,71.62,71.95,70.70,71.00,1833300,69.34
2013-06-13,70.84,71.85,70.11,71.76,2016600,70.09
2013-06-12,72.18,72.23,70.44,70.84,2595300,69.19
2013-06-11,72.26,72.58,71.60,71.75,2563300,70.08
2013-06-10,71.47,73.11,71.28,72.93,3553900,71.23
2013-06-07,70.79,71.24,70.41,71.10,2563900,69.44
2013-06-06,69.65,70.29,69.15,70.27,2035500,68.63
2013-06-05,70.86,71.22,69.42,69.83,3554600,68.20
2013-06-04,71.90,72.35,70.87,71.09,2053500,69.43
2013-06-03,71.75,72.06,70.47,71.83,2668200,70.15
2013-05-31,72.50,73.04,71.64,71.64,2803600,69.97
2013-05-30,71.77,73.23,71.52,72.88,2864700,71.18
2013-05-29,70.50,72.20,70.31,71.80,3106400,70.13
2013-05-28,72.06,72.22,70.77,71.03,2555600,69.37
2013-05-24,70.51,71.14,70.07,71.11,1830900,69.45
2013-05-23,70.52,71.19,70.09,70.94,2443600,69.29
2013-05-22,72.16,73.13,70.94,71.24,3708400,69.58
2013-05-21,71.29,72.35,71.18,72.20,3156400,70.52
2013-05-20,71.37,71.94,71.15,71.28,2460800,69.62
2013-05-17,70.76,71.68,70.66,71.51,2119200,69.84
2013-05-16,70.53,71.04,70.35,70.46,2097300,68.82
2013-05-15,70.11,70.97,70.04,70.85,2678600,69.20
2013-05-14,68.86,70.40,68.74,70.17,3046600,68.53
2013-05-13,68.50,69.02,67.97,68.76,2038200,67.16
2013-05-10,68.89,69.00,68.38,68.57,1787100,66.97
2013-05-09,68.96,69.09,68.50,68.72,2711200,67.12
2013-05-08,68.68,69.03,68.40,68.97,3326600,67.36
2013-05-07,68.47,68.86,68.01,68.76,2611600,67.16
2013-05-06,68.12,68.46,67.98,68.26,2605900,66.67
2013-05-03,67.92,68.57,67.90,68.11,2596800,66.52
2013-05-02,67.22,67.55,67.03,67.18,2393700,65.61
2013-05-01,67.80,67.98,67.08,67.17,2585300,65.60
2013-04-30,68.22,68.34,67.54,67.88,4437400,66.30
2013-04-29,68.17,68.57,68.03,68.41,2656900,66.81
2013-04-26,68.61,68.98,67.89,68.10,3146200,66.51
2013-04-25,68.69,69.65,68.52,68.70,6241300,67.10
2013-04-24,67.34,68.47,67.00,68.44,4529600,66.84
2013-04-23,65.56,67.44,65.18,67.21,4874800,65.64
2013-04-22,65.43,65.71,65.11,65.41,2835200,63.88
2013-04-19,65.50,65.56,64.93,65.23,3972000,63.71
2013-04-18,65.26,65.95,64.76,65.24,4073500,63.72
2013-04-17,65.61,66.25,64.47,65.05,5697800,63.53
2013-04-16,64.28,64.86,63.69,64.79,3717500,63.28
2013-04-15,65.69,66.51,63.74,63.75,3143200,62.26
2013-04-12,66.33,66.48,65.63,65.81,2716500,64.27
2013-04-11,67.28,67.57,66.96,67.31,2878800,65.31
2013-04-10,66.59,67.32,66.53,67.19,2891500,65.19
2013-04-09,66.13,66.67,65.98,66.35,2278100,64.38
2013-04-08,65.15,66.09,64.79,66.07,1695100,64.11
2013-04-05,64.73,65.35,64.21,65.24,1848900,63.30
2013-04-04,65.38,65.99,65.00,65.60,2481200,63.65
2013-04-03,66.68,66.76,64.91,65.13,3052800,63.20
2013-04-02,66.15,66.87,65.96,66.81,3206100,64.83
2013-04-01,66.41,66.55,65.61,65.79,1259300,63.84
2013-03-28,66.06,66.58,65.80,66.50,2089500,64.52
2013-03-27,65.90,66.27,65.53,66.19,2342200,64.22
2013-03-26,66.63,66.64,66.08,66.28,1681500,64.31
2013-03-25,66.44,66.63,65.73,66.14,1684900,64.17
2013-03-22,66.19,66.48,65.97,66.21,1950300,64.24
2013-03-21,66.33,66.62,65.83,66.03,2724500,64.07
2013-03-20,66.63,66.93,66.44,66.70,2279800,64.72
2013-03-19,66.28,66.65,65.71,66.25,2333900,64.28
2013-03-18,65.90,66.47,65.52,66.25,2055800,64.28
2013-03-15,66.00,66.93,65.84,66.80,3445500,64.82
2013-03-14,66.02,66.48,65.82,66.26,2127700,64.29
2013-03-13,65.55,65.99,65.30,65.93,1643300,63.97
2013-03-12,65.78,65.87,65.11,65.42,1747300,63.48
2013-03-11,65.03,65.90,64.95,65.87,1991900,63.91
2013-03-08,65.03,65.19,64.44,65.02,3631900,63.09
2013-03-07,64.30,64.99,64.16,64.81,2665500,62.88
2013-03-06,64.10,64.46,63.36,64.16,3746400,62.25
2013-03-05,63.90,64.36,63.37,63.66,5066600,61.77
2013-03-04,62.64,63.58,62.42,63.52,2322100,61.63
2013-03-01,62.02,62.94,61.52,62.78,3522200,60.91
2013-02-28,61.64,62.61,61.57,62.39,3825700,60.54
2013-02-27,61.13,61.80,60.84,61.68,2511700,59.85
2013-02-26,61.13,61.29,60.37,61.14,3306300,59.32
2013-02-25,63.25,63.25,60.82,60.82,3890300,59.01
2013-02-22,62.78,62.98,62.21,62.90,3342400,61.03
2013-02-21,62.92,63.59,62.35,62.39,4956800,60.54
2013-02-20,63.37,63.57,63.02,63.17,4372300,61.29
2013-02-19,63.96,64.00,63.40,63.51,2933000,61.62
2013-02-15,64.16,64.23,63.73,63.87,2413800,61.97
2013-02-14,63.89,64.22,63.70,63.87,2176000,61.97
2013-02-13,64.80,64.82,63.94,64.17,1704200,62.26
2013-02-12,64.15,64.89,63.73,64.77,3038200,62.85
2013-02-11,63.49,64.10,63.31,64.00,2571900,62.10
2013-02-08,63.57,63.71,63.23,63.35,2197600,61.47
2013-02-07,63.25,63.85,62.98,63.65,2742900,61.76
2013-02-06,62.67,63.42,62.67,63.34,6757400,61.46
2013-02-05,62.95,63.40,62.67,63.19,2132900,61.31
2013-02-04,62.78,62.98,62.32,62.49,2430300,60.63
2013-02-01,62.22,63.34,62.08,63.20,3416000,61.32
2013-01-31,61.79,62.02,61.43,61.80,2968000,59.96
2013-01-30,61.90,62.03,61.47,61.82,1835100,59.98
2013-01-29,61.33,62.16,61.24,61.91,1989500,60.07
2013-01-28,61.99,62.31,61.44,61.97,2557500,60.13
2013-01-25,62.05,62.38,61.80,61.97,2607600,60.13
2013-01-24,61.93,62.18,61.46,61.86,4158200,60.02
2013-01-23,61.41,61.97,61.41,61.84,3008500,60.00
2013-01-22,61.70,62.25,61.51,62.12,3078600,60.27
2013-01-18,62.26,62.39,61.27,61.84,3564200,60.00
2013-01-17,61.01,62.38,60.70,62.01,7112300,60.17
2013-01-16,59.75,60.08,59.35,59.78,3483000,58.00
2013-01-15,59.12,59.84,59.09,59.77,2553100,57.99
2013-01-14,59.93,60.09,59.22,59.45,3241200,57.68
2013-01-11,60.97,60.97,59.77,60.05,2770300,58.27
2013-01-10,60.50,61.15,60.25,61.14,3386000,58.94
2013-01-09,59.00,60.56,58.96,60.17,6196700,58.00
2013-01-08,60.81,60.88,60.05,60.25,2875300,58.08
2013-01-07,60.25,61.20,60.08,61.03,3987900,58.83
2013-01-04,59.93,60.57,59.54,60.48,2859900,58.30
2013-01-03,59.54,59.92,59.23,59.75,3822200,57.60
2013-01-02,59.51,59.64,58.96,59.54,4558700,57.39
2012-12-31,57.42,58.32,57.20,58.31,2640400,56.21
2012-12-28,57.47,58.15,57.39,57.46,1729100,55.39
2012-12-27,58.06,58.28,57.37,57.95,2467100,55.86
2012-12-26,58.62,58.77,57.66,58.05,2169200,55.96
2012-12-24,58.23,58.68,58.12,58.57,1315600,56.46
2012-12-21,58.11,58.70,57.71,58.31,5403700,56.21
2012-12-20,58.63,59.21,58.55,59.17,3746800,57.04
2012-12-19,59.88,59.88,58.63,58.63,4391800,56.52
2012-12-18,57.90,59.58,57.57,59.52,9490300,57.37
2012-12-17,56.20,57.92,56.06,57.87,3844400,55.78
2012-12-14,56.36,56.81,55.75,55.85,3557900,53.84
2012-12-13,56.56,56.81,56.37,56.54,3851800,54.50
2012-12-12,56.35,56.99,56.20,56.70,4329300,54.66
2012-12-11,55.92,56.67,55.77,56.24,3711000,54.21
2012-12-10,55.70,56.02,55.49,55.88,3364900,53.87
2012-12-07,55.71,55.86,55.33,55.80,4521500,53.79
2012-12-06,55.90,55.94,55.02,55.33,3861100,53.33
2012-12-05,55.42,56.38,55.37,55.89,4416200,53.87
2012-12-04,55.17,55.56,54.34,55.08,4250700,53.09
2012-12-03,56.38,56.46,55.14,55.31,4484500,53.32
2012-11-30,55.46,56.36,55.25,56.14,4378900,54.12
2012-11-29,55.48,55.74,55.21,55.35,2294500,53.35
2012-11-28,54.75,55.38,54.37,55.35,3136200,53.35
2012-11-27,55.47,55.93,54.96,55.03,2947700,53.05
2012-11-26,55.49,55.66,55.04,55.55,2861500,53.55
2012-11-23,55.01,55.78,54.84,55.75,1734800,53.74
2012-11-21,54.83,54.98,54.27,54.81,2915200,52.83
2012-11-20,54.88,55.47,54.65,54.80,3798200,52.82
2012-11-19,55.07,55.41,54.64,54.91,3257800,52.93
2012-11-16,54.47,54.57,53.36,54.34,6198100,52.38
2012-11-15,53.82,54.80,53.75,54.37,5109900,52.41
2012-11-14,55.15,55.25,53.40,53.69,7488400,51.75
2012-11-13,55.89,56.33,54.87,54.96,5579100,52.98
