Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,77.69,77.90,77.10,77.67,704500,77.42
2013-12-30,77.57,77.91,77.19,77.39,507300,77.14
2013-12-27,77.65,77.97,77.39,77.57,699000,77.32
2013-12-26,76.47,77.59,76.31,77.39,616400,77.14
2013-12-24,76.12,76.75,76.03,76.55,376700,76.30
2013-12-23,76.06,76.26,75.27,75.92,1332800,75.68
2013-12-20,74.92,75.91,74.82,75.40,1503900,75.16
2013-12-19,74.89,75.05,74.24,74.89,1005700,74.65
2013-12-18,73.08,75.14,72.54,75.09,1089500,74.85
2013-12-17,72.74,73.47,71.97,72.83,1414500,72.60
2013-12-16,70.75,71.78,69.76,71.60,1460100,71.37
2013-12-13,70.25,70.65,69.71,70.01,784300,69.78
2013-12-12,70.08,70.39,69.41,69.97,1030200,69.75
2013-12-11,71.60,71.83,70.12,70.25,953800,70.02
2013-12-10,70.87,72.30,70.68,71.64,902400,71.41
2013-12-09,70.81,71.47,70.60,71.24,640900,71.01
2013-12-06,70.79,71.16,70.26,70.95,755000,70.72
2013-12-05,69.63,70.13,69.32,69.75,599800,69.53
2013-12-04,69.55,70.28,68.92,69.78,547500,69.56
2013-12-03,69.97,70.25,69.35,69.99,789400,69.76
2013-12-02,70.60,70.98,70.12,70.43,771700,70.20
2013-11-29,71.28,71.35,70.70,70.72,362000,70.49
2013-11-27,71.00,71.42,70.41,71.27,616600,71.04
2013-11-26,70.77,71.30,70.67,70.94,836200,70.71
2013-11-25,70.50,71.06,70.49,70.80,597900,70.57
2013-11-22,70.33,70.60,69.34,70.37,900500,70.14
2013-11-21,69.85,70.50,69.60,70.42,885900,70.19
2013-11-20,70.00,70.40,69.51,69.64,942100,69.42
2013-11-19,70.33,70.55,69.32,69.60,758700,69.38
2013-11-18,70.72,70.94,70.04,70.29,638000,70.06
2013-11-15,70.30,70.74,69.92,70.48,1199400,70.25
2013-11-14,68.77,69.80,68.57,69.74,792500,69.52
2013-11-13,67.69,68.47,67.53,68.45,795100,68.23
2013-11-12,67.83,68.40,67.61,68.05,619600,67.83
2013-11-11,67.42,68.03,67.32,67.90,1198700,67.68
2013-11-08,66.33,67.38,66.31,67.36,1106500,67.14
2013-11-07,68.31,68.48,66.24,66.34,833100,66.13
2013-11-06,68.35,68.54,67.69,68.02,585300,67.80
2013-11-05,67.60,68.49,66.96,68.16,854300,67.94
2013-11-04,67.67,68.05,67.43,67.85,587000,67.63
2013-11-01,67.38,67.86,66.83,67.48,798600,67.26
2013-10-31,67.36,67.57,66.56,67.09,933400,66.87
2013-10-30,67.50,67.95,66.95,67.15,879600,66.93
2013-10-29,66.55,67.72,66.40,67.64,1002400,67.42
2013-10-28,66.53,66.79,66.26,66.37,815000,66.16
2013-10-25,65.75,66.70,65.58,66.67,1054100,66.46
2013-10-24,65.21,65.96,64.99,65.78,1124800,65.57
2013-10-23,64.43,65.16,63.80,65.11,1699300,64.90
2013-10-22,65.00,65.12,62.80,64.68,2864300,64.22
2013-10-21,65.50,65.82,65.31,65.70,1332900,65.24
2013-10-18,64.96,65.46,64.59,65.24,2055500,64.78
2013-10-17,64.75,64.85,64.18,64.56,1490600,64.10
2013-10-16,65.14,65.66,64.60,65.16,1083900,64.70
2013-10-15,65.79,65.99,64.56,64.74,875500,64.28
2013-10-14,66.04,66.26,65.45,65.99,896500,65.52
2013-10-11,65.35,66.60,65.25,66.39,514200,65.92
2013-10-10,64.66,65.42,64.49,65.42,734700,64.96
2013-10-09,63.98,64.32,63.34,63.80,667900,63.35
2013-10-08,65.12,65.66,63.78,63.83,861100,63.38
2013-10-07,65.15,65.79,65.01,65.25,731500,64.79
2013-10-04,65.56,66.56,65.29,66.31,720000,65.84
2013-10-03,66.01,66.30,64.85,65.58,732600,65.12
2013-10-02,65.42,66.31,65.10,66.27,944900,65.80
2013-10-01,64.73,66.11,64.73,65.98,962100,65.51
2013-09-30,65.03,65.39,64.78,64.94,1001900,64.48
2013-09-27,65.43,65.75,65.16,65.52,500600,65.06
2013-09-26,65.63,65.95,65.21,65.92,586200,65.45
2013-09-25,65.18,65.74,64.91,65.50,993900,65.04
2013-09-24,64.60,65.55,64.45,65.08,878800,64.62
2013-09-23,65.63,65.68,64.35,64.67,1015200,64.21
2013-09-20,65.39,66.49,65.39,65.82,2764400,65.35
2013-09-19,65.38,66.11,65.38,65.43,884900,64.97
2013-09-18,64.55,65.33,64.08,65.13,739300,64.67
2013-09-17,64.26,64.73,64.07,64.58,410100,64.12
2013-09-16,65.09,65.18,64.25,64.35,384800,63.90
2013-09-13,64.30,64.35,63.82,64.09,575500,63.64
2013-09-12,64.34,64.67,63.83,64.11,672300,63.66
2013-09-11,64.28,64.49,63.74,64.45,532100,63.99
2013-09-10,63.19,64.35,63.03,64.32,623300,63.87
2013-09-09,61.95,62.86,61.93,62.80,399000,62.36
2013-09-06,62.41,62.50,61.15,61.64,663300,61.20
2013-09-05,61.53,62.34,61.30,62.24,775600,61.80
