Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,153.59,154.13,152.52,153.46,758300,153.36
2013-12-30,152.71,153.50,151.81,153.11,910800,153.01
2013-12-27,152.50,152.50,150.81,152.12,508800,152.02
2013-12-26,151.58,152.98,151.51,152.17,503200,152.07
2013-12-24,151.57,152.12,150.53,151.60,285500,151.50
2013-12-23,153.06,153.34,151.00,151.80,1024300,151.70
2013-12-20,151.61,152.26,148.15,152.26,3168800,152.16
2013-12-19,155.55,155.55,148.86,151.14,2484700,151.04
2013-12-18,153.45,156.47,153.02,155.67,9790200,155.56
2013-12-17,149.70,153.25,149.12,153.25,6028700,153.14
2013-12-16,152.23,152.51,149.49,151.04,2064000,150.93
2013-12-13,153.30,153.43,151.50,151.82,1709600,151.71
2013-12-12,150.72,154.39,149.32,153.68,1761100,153.57
2013-12-11,154.14,154.52,150.98,151.11,1192400,151.00
2013-12-10,153.57,155.57,153.42,154.40,969800,154.29
2013-12-09,156.37,156.75,154.18,154.51,1047200,154.40
2013-12-06,156.15,156.82,155.25,155.63,1246900,155.52
2013-12-05,155.19,156.43,155.13,155.62,808300,155.51
2013-12-04,155.03,155.31,153.04,154.89,704400,154.78
2013-12-03,156.83,157.07,154.58,155.23,551600,155.12
2013-12-02,156.88,157.47,156.14,156.88,821100,156.77
2013-11-29,155.82,156.37,155.36,155.89,257300,155.78
2013-11-27,156.60,156.73,155.38,155.80,451400,155.69
2013-11-26,156.69,157.02,155.36,156.45,584800,156.34
2013-11-25,156.47,156.60,155.06,156.44,943900,156.24
2013-11-22,155.37,156.10,154.58,155.28,567100,155.08
2013-11-21,153.11,155.09,153.07,155.00,596100,154.80
2013-11-20,151.59,153.80,151.59,152.81,721600,152.61
2013-11-19,152.76,152.85,151.28,152.21,820900,152.01
2013-11-18,153.64,153.80,151.84,152.29,804600,152.09
2013-11-15,152.19,153.19,151.38,153.13,916500,152.93
2013-11-14,151.06,153.38,150.76,152.51,966700,152.31
2013-11-13,149.82,150.76,149.13,150.71,948300,150.52
2013-11-12,149.38,150.48,148.90,150.03,1020600,149.84
2013-11-11,148.98,149.76,147.92,149.61,863200,149.42
2013-11-08,145.44,148.85,144.38,148.75,1294500,148.56
2013-11-07,145.54,145.85,142.67,145.19,1227800,145.00
2013-11-06,143.13,145.34,142.69,145.28,943600,145.09
2013-11-05,143.58,144.03,141.84,142.50,1273800,142.32
2013-11-04,142.83,143.74,141.53,143.73,1327100,143.54
2013-11-01,138.22,142.58,137.03,142.38,2537600,142.20
2013-10-31,133.50,139.32,133.39,137.89,4064000,137.71
2013-10-30,131.02,131.49,128.05,128.62,1252100,128.45
2013-10-29,130.79,131.19,130.15,130.60,474700,130.43
2013-10-28,130.64,131.24,130.07,130.81,488800,130.64
2013-10-25,129.16,130.63,128.88,130.61,707600,130.44
2013-10-24,129.83,130.22,128.39,129.20,1360600,129.03
2013-10-23,131.12,131.19,128.30,129.35,1592500,129.18
2013-10-22,131.32,132.34,130.56,131.02,781200,130.85
2013-10-21,133.02,133.06,130.82,131.25,485400,131.08
2013-10-18,132.64,132.69,131.48,132.65,714100,132.48
2013-10-17,131.54,132.28,131.16,132.19,528400,132.02
2013-10-16,131.32,132.12,130.78,131.94,1262500,131.77
2013-10-15,130.39,131.06,129.46,130.63,1396500,130.46
2013-10-14,128.87,130.95,128.69,130.95,1122000,130.78
2013-10-11,129.86,129.86,128.42,129.59,1166100,129.42
2013-10-10,129.24,129.84,128.68,129.84,880600,129.67
2013-10-09,128.86,128.92,127.48,128.43,863100,128.26
2013-10-08,129.34,129.99,127.69,128.18,1289800,128.01
2013-10-07,129.04,129.91,128.32,129.20,1422700,129.03
2013-10-04,125.56,129.14,125.32,129.05,1428200,128.88
2013-10-03,125.88,126.47,124.84,125.21,1416600,125.05
2013-10-02,125.01,125.40,124.30,125.11,1055800,124.95
2013-10-01,123.35,125.29,123.11,125.20,941000,125.04
2013-09-30,123.14,124.35,122.56,123.38,871800,123.22
2013-09-27,122.25,124.13,122.12,123.70,1691700,123.54
2013-09-26,123.28,124.09,122.50,122.86,1027800,122.70
2013-09-25,124.60,124.67,123.08,123.14,713200,122.98
2013-09-24,124.36,125.24,124.05,124.36,686200,124.20
2013-09-23,125.17,125.26,123.97,124.44,918100,124.28
2013-09-20,125.93,126.22,124.91,124.98,1476300,124.82
2013-09-19,125.61,126.02,124.99,125.33,856600,125.17
2013-09-18,124.50,125.06,123.23,125.00,748900,124.84
2013-09-17,124.29,124.92,124.20,124.64,622200,124.48
2013-09-16,124.34,124.99,123.75,123.91,747400,123.75
2013-09-13,123.41,123.76,122.94,123.44,683000,123.28
2013-09-12,123.27,124.00,122.83,122.92,518800,122.76
2013-09-11,123.50,124.24,123.05,123.58,718900,123.42
2013-09-10,123.70,124.04,123.08,123.74,749200,123.58
2013-09-09,123.59,124.41,122.23,123.23,1098200,123.07
2013-09-06,123.50,124.50,122.42,123.94,886800,123.78
2013-09-05,124.03,124.03,122.50,123.38,658300,123.22
2013-09-04,122.24,124.11,122.03,123.73,1265500,123.57
2013-09-03,122.23,122.50,121.20,122.00,1248900,121.84
2013-08-30,120.61,121.67,119.84,121.55,1063100,121.39
2013-08-29,118.31,121.49,117.80,121.04,1557900,120.88
2013-08-28,116.36,118.79,115.94,118.26,1324200,118.11
2013-08-27,117.91,117.99,116.28,116.83,995200,116.59
2013-08-26,119.30,119.93,118.82,119.22,519200,118.97
2013-08-23,120.31,120.31,119.15,119.38,445100,119.13
2013-08-22,118.50,119.91,118.46,119.78,597200,119.53
2013-08-21,118.40,119.48,118.36,118.50,805600,118.26
2013-08-20,119.26,119.51,118.11,119.02,1001300,118.77
2013-08-19,120.26,120.91,118.50,118.74,1163400,118.50
2013-08-16,120.23,120.98,119.28,120.00,3695700,119.75
2013-08-15,124.00,124.82,122.00,122.31,2579500,122.06
2013-08-14,127.84,128.07,125.96,126.42,1473100,126.16
2013-08-13,127.98,128.23,127.05,127.64,534300,127.38
2013-08-12,128.10,128.71,128.04,128.30,551200,128.04
2013-08-09,129.43,129.43,128.20,128.37,714700,128.11
2013-08-08,128.38,129.18,127.62,128.93,864800,128.66
2013-08-07,127.81,128.70,127.69,128.49,1048600,128.23
2013-08-06,127.35,128.48,127.06,127.89,873600,127.63
2013-08-05,128.48,128.48,127.05,127.21,1210400,126.95
2013-08-02,125.40,128.39,124.71,128.39,1951300,128.13
2013-08-01,125.52,126.68,125.21,125.41,1632600,125.15
2013-07-31,126.88,127.17,124.20,124.39,2594200,124.13
2013-07-30,127.71,128.50,125.30,126.21,3896100,125.95
2013-07-29,129.90,131.11,122.99,125.17,10879100,124.91
2013-07-26,132.22,134.31,131.35,134.23,473600,133.95
2013-07-25,129.53,132.55,129.11,132.37,665500,132.10
2013-07-24,129.55,130.71,129.47,130.01,452300,129.74
2013-07-23,130.17,130.28,129.13,129.28,566800,129.01
2013-07-22,129.53,130.60,128.92,130.19,318500,129.92
2013-07-19,128.32,133.49,128.24,129.37,481500,129.10
2013-07-18,127.95,129.11,127.77,128.99,532100,128.72
2013-07-17,128.46,128.82,127.52,127.85,444700,127.59
2013-07-16,128.66,128.66,126.88,127.95,419700,127.69
2013-07-15,128.26,128.50,126.73,128.33,515100,128.07
2013-07-12,128.64,129.00,127.70,128.49,604700,128.23
2013-07-11,128.57,129.08,127.57,128.21,753200,127.95
2013-07-10,126.51,128.03,126.51,127.84,1174200,127.58
2013-07-09,125.09,126.71,124.70,126.42,1268100,126.16
2013-07-08,124.40,124.56,123.37,124.32,514200,124.06
2013-07-05,122.15,123.95,121.64,123.77,685200,123.52
2013-07-03,121.84,122.30,120.99,122.13,415600,121.88
2013-07-02,121.47,122.26,120.94,122.01,506900,121.76
2013-07-01,121.19,122.55,120.60,121.94,670500,121.69
2013-06-28,120.86,121.96,119.95,121.00,743800,120.75
2013-06-27,119.86,120.94,119.52,120.88,396700,120.63
2013-06-26,119.14,120.12,118.86,119.60,498100,119.35
2013-06-25,119.55,119.55,117.78,118.79,403500,118.55
2013-06-24,118.88,119.55,117.89,118.50,773600,118.26
2013-06-21,119.25,119.78,118.21,119.61,719500,119.36
2013-06-20,119.79,119.79,118.14,118.45,619600,118.21
2013-06-19,120.30,122.04,119.96,120.09,667500,119.84
2013-06-18,119.47,121.30,119.44,121.16,502300,120.91
2013-06-17,119.89,120.50,118.69,119.51,764500,119.26
2013-06-14,117.31,119.06,117.31,118.60,456700,118.36
2013-06-13,116.18,118.21,115.43,118.07,804300,117.83
2013-06-12,118.15,118.57,115.89,116.47,798700,116.23
2013-06-11,116.39,117.85,115.88,117.15,408600,116.91
2013-06-10,117.38,117.90,116.67,117.39,470600,117.15
2013-06-07,117.87,118.40,116.29,116.81,551200,116.57
2013-06-06,113.86,117.80,113.76,117.52,1177700,117.28
2013-06-05,115.40,115.43,112.05,113.14,4750100,112.91
2013-06-04,116.38,116.55,113.98,114.62,596500,114.38
2013-06-03,116.24,116.35,114.10,115.95,673100,115.71
2013-05-31,116.80,116.97,115.36,115.84,905400,115.60
2013-05-30,117.18,118.18,116.87,117.20,358400,116.96
2013-05-29,119.08,119.35,116.70,117.03,727200,116.79
2013-05-28,119.60,119.95,118.90,119.34,675900,119.00
2013-05-24,117.35,119.13,116.67,118.92,403800,118.59
2013-05-23,117.71,118.70,116.97,117.86,548400,117.53
2013-05-22,119.01,120.45,117.25,118.07,505200,117.74
2013-05-21,118.59,119.31,117.93,118.65,322800,118.32
2013-05-20,119.48,120.52,118.74,119.03,320500,118.70
2013-05-17,120.32,120.74,119.22,119.48,493800,119.14
2013-05-16,120.60,120.95,119.72,119.81,590300,119.47
2013-05-15,120.45,121.33,119.80,121.05,597800,120.71
2013-05-14,119.56,120.72,118.92,120.38,508600,120.04
2013-05-13,119.45,120.07,119.19,119.41,371600,119.07
2013-05-10,117.33,119.72,117.32,119.64,385300,119.30
2013-05-09,117.82,118.75,116.71,117.03,470100,116.70
2013-05-08,116.17,120.30,115.93,118.28,623900,117.95
2013-05-07,116.86,116.86,113.38,116.29,1755200,115.96
2013-05-06,119.20,119.50,118.35,118.84,414200,118.51
2013-05-03,119.69,120.67,118.90,119.23,407600,118.89
2013-05-02,118.73,119.49,118.05,118.61,244200,118.28
2013-05-01,119.25,119.95,118.10,118.53,247700,118.20
2013-04-30,119.55,119.67,118.27,119.41,369100,119.07
2013-04-29,119.12,120.28,118.57,120.08,268600,119.74
2013-04-26,119.17,119.87,118.38,118.81,267000,118.48
2013-04-25,117.95,119.54,117.48,119.02,593200,118.69
2013-04-24,120.11,120.11,117.55,117.80,538300,117.47
2013-04-23,120.30,121.12,118.60,119.98,410200,119.64
2013-04-22,120.47,120.89,118.87,119.76,660000,119.42
2013-04-19,117.16,119.56,117.16,119.47,370000,119.13
2013-04-18,117.40,117.87,116.62,117.70,335500,117.37
2013-04-17,117.52,117.98,116.18,117.85,473200,117.52
2013-04-16,117.79,118.66,116.38,118.41,521600,118.08
2013-04-15,119.76,120.48,117.10,117.30,530500,116.97
2013-04-12,120.13,120.49,119.33,119.92,367200,119.58
2013-04-11,119.93,120.09,119.28,119.74,419000,119.40
2013-04-10,118.75,119.74,118.09,119.68,368100,119.34
2013-04-09,118.37,118.88,117.87,118.39,373600,118.06
