Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,151.74,151.94,150.08,150.52,794400,149.26
2013-12-30,151.37,152.67,150.91,151.57,403500,150.31
2013-12-27,151.64,152.26,150.54,151.12,361800,149.86
2013-12-26,151.70,152.44,150.74,151.15,311100,149.89
2013-12-24,151.47,151.74,151.00,151.60,291500,150.34
2013-12-23,152.33,153.31,151.40,151.55,619400,150.29
2013-12-20,151.16,151.92,151.00,151.82,806000,150.55
2013-12-19,151.47,151.63,150.37,151.16,652600,149.90
2013-12-18,149.31,152.40,147.14,152.15,1036300,150.88
2013-12-17,149.84,150.29,148.25,149.52,867600,148.27
2013-12-16,150.64,151.59,149.48,151.01,917200,149.75
2013-12-13,150.09,152.07,149.38,149.54,749700,148.29
2013-12-12,150.33,151.13,149.67,149.71,835200,148.46
2013-12-11,153.61,153.64,150.47,150.55,1186500,149.29
2013-12-10,155.18,155.90,154.13,154.70,1107600,152.02
2013-12-09,154.00,155.35,153.37,155.20,910500,152.51
2013-12-06,152.41,154.22,151.95,154.00,859500,151.33
2013-12-05,151.94,152.53,150.57,151.15,600700,148.53
2013-12-04,149.02,153.11,148.51,151.93,1058000,149.30
2013-12-03,151.64,153.04,150.23,150.42,807300,147.82
2013-12-02,152.96,153.54,151.30,152.80,649500,150.15
2013-11-29,154.58,155.03,152.63,152.70,289800,150.06
2013-11-27,153.22,154.42,152.40,154.19,399900,151.52
2013-11-26,153.86,154.35,152.60,152.65,620300,150.01
2013-11-25,155.24,155.66,153.52,153.71,517500,151.05
2013-11-22,154.82,155.12,153.54,154.86,496100,152.18
2013-11-21,155.45,156.05,154.05,154.73,755100,152.05
2013-11-20,156.92,157.64,153.95,154.55,743200,151.87
2013-11-19,158.70,159.72,156.65,156.95,878300,154.23
2013-11-18,162.18,162.29,159.13,159.50,623700,156.74
2013-11-15,162.68,163.02,160.91,162.41,633500,159.60
2013-11-14,160.74,163.23,160.39,162.67,961400,159.85
2013-11-13,158.27,160.34,157.98,160.26,685200,157.48
2013-11-12,159.42,159.77,157.54,159.12,671500,156.36
2013-11-11,159.65,161.16,159.51,159.89,609100,157.12
2013-11-08,160.42,160.53,157.23,159.91,995600,157.14
2013-11-07,164.70,165.12,160.13,161.19,1160700,158.40
2013-11-06,165.90,166.81,164.43,164.67,743200,161.82
2013-11-05,167.13,167.74,164.75,165.23,625400,162.37
2013-11-04,168.78,169.85,166.14,168.65,546700,165.73
2013-11-01,168.01,176.68,166.64,168.99,634400,166.06
2013-10-31,167.63,168.13,165.62,166.97,935000,164.08
2013-10-30,169.62,170.16,167.16,167.63,735100,164.73
2013-10-29,172.49,172.49,168.90,169.62,547400,166.68
2013-10-28,173.87,173.87,170.23,172.37,650300,169.39
2013-10-25,172.22,174.26,171.27,174.26,651200,171.24
2013-10-24,171.46,172.34,171.06,171.88,421800,168.90
