Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,73.61,73.97,73.47,73.78,255100,73.43
2013-12-30,73.75,73.95,73.33,73.67,314700,73.32
2013-12-27,73.29,73.62,72.95,73.40,179200,73.05
2013-12-26,73.49,73.79,73.00,73.30,220000,72.95
2013-12-24,73.31,73.38,72.97,73.31,110600,72.96
2013-12-23,72.33,73.49,72.08,73.07,699000,72.72
2013-12-20,71.80,71.90,71.29,71.39,531900,71.05
2013-12-19,70.96,71.75,70.68,71.49,605100,71.15
2013-12-18,70.25,70.75,69.46,70.69,850300,70.35
2013-12-17,69.76,70.02,69.43,69.80,512000,69.47
2013-12-16,68.28,69.98,68.03,69.76,700000,69.43
2013-12-13,67.00,67.89,66.91,67.69,347200,67.37
2013-12-12,67.00,67.62,66.16,66.80,750100,66.48
2013-12-11,67.97,67.97,66.63,67.17,505500,66.85
2013-12-10,68.03,69.30,67.71,67.86,471700,67.54
2013-12-09,68.91,69.22,68.06,68.24,423900,67.92
2013-12-06,69.22,69.30,68.57,68.75,305200,68.42
2013-12-05,68.70,69.17,68.39,68.46,349900,68.13
2013-12-04,68.75,69.38,68.01,68.81,447400,68.48
2013-12-03,69.21,69.64,68.95,69.09,461500,68.76
2013-12-02,69.83,70.11,69.29,69.60,508200,69.27
2013-11-29,69.39,70.35,69.23,69.84,266200,69.51
2013-11-27,69.23,69.70,69.15,69.55,510700,69.22
2013-11-26,68.70,69.09,68.51,68.97,361000,68.64
2013-11-25,69.04,69.28,68.59,68.78,609800,68.45
2013-11-22,68.85,69.04,68.33,69.01,307500,68.68
2013-11-21,67.89,69.37,67.89,68.87,618500,68.54
2013-11-20,68.00,68.41,67.56,67.80,491900,67.48
2013-11-19,68.02,68.33,67.50,68.00,523100,67.68
2013-11-18,68.15,68.75,67.64,68.16,715200,67.84
2013-11-15,66.45,68.05,66.45,68.04,706400,67.72
2013-11-14,65.62,66.36,65.33,66.12,371500,65.81
2013-11-13,65.16,66.06,65.14,65.99,501200,65.34
2013-11-12,65.16,65.47,64.63,65.43,450000,64.78
2013-11-11,64.76,65.81,64.63,65.20,503900,64.56
2013-11-08,64.50,64.91,63.99,64.58,826700,63.94
2013-11-07,66.47,66.70,64.23,64.47,686600,63.83
2013-11-06,66.71,67.00,66.06,66.23,505800,65.58
2013-11-05,66.65,66.92,66.38,66.45,484900,65.79
2013-11-04,66.58,67.07,66.33,67.00,432800,66.34
2013-11-01,66.11,66.50,65.84,66.28,641400,65.63
2013-10-31,65.88,66.52,65.61,65.83,471400,65.18
2013-10-30,66.44,66.50,65.70,65.84,545800,65.19
2013-10-29,66.26,66.51,65.88,66.50,518000,65.84
2013-10-28,65.27,66.24,64.91,66.19,621000,65.54
2013-10-25,65.29,65.61,64.71,65.34,738700,64.69
2013-10-24,64.10,65.40,64.10,65.28,980600,64.64
2013-10-23,63.12,64.10,63.06,64.07,943100,63.44
2013-10-22,62.00,63.81,62.00,63.24,854500,62.62
2013-10-21,62.00,62.17,60.98,61.77,640100,61.16
2013-10-18,61.24,62.09,60.98,62.04,692100,61.43
2013-10-17,59.51,60.73,59.30,60.71,338700,60.11
2013-10-16,59.66,60.41,59.46,59.87,401000,59.28
2013-10-15,61.35,61.35,59.06,59.44,542800,58.85
2013-10-14,59.25,60.31,59.02,60.31,404600,59.71
2013-10-11,59.17,59.64,58.88,59.62,374900,59.03
2013-10-10,58.28,59.69,58.28,59.38,595800,58.79
2013-10-09,57.59,57.72,56.93,57.43,463300,56.86
2013-10-08,58.76,59.03,57.40,57.57,429900,57.00
2013-10-07,59.33,59.49,58.81,58.83,394100,58.25
2013-10-04,59.28,60.17,59.04,59.93,235400,59.34
2013-10-03,60.53,60.80,58.79,59.35,615500,58.76
2013-10-02,60.35,60.92,60.15,60.77,352500,60.17
2013-10-01,59.67,61.11,59.47,60.97,495800,60.37
2013-09-30,58.76,60.18,58.59,59.70,450800,59.11
2013-09-27,59.60,59.98,59.36,59.70,240000,59.11
2013-09-26,59.81,60.37,59.55,59.94,455600,59.35
2013-09-25,59.46,59.99,58.91,59.57,457100,58.98
2013-09-24,59.50,60.21,59.00,59.27,688800,58.68
2013-09-23,60.27,60.44,59.49,59.60,338500,59.01
2013-09-20,61.68,61.68,60.37,60.40,531100,59.80
2013-09-19,61.22,62.03,60.86,61.42,640900,60.81
2013-09-18,60.21,61.36,59.91,61.06,357400,60.46
2013-09-17,60.42,60.55,59.85,60.11,537900,59.52
2013-09-16,60.07,60.50,59.77,60.41,442600,59.81
2013-09-13,59.64,60.17,59.08,59.46,346200,58.87
2013-09-12,60.25,60.35,59.49,59.58,419100,58.99
2013-09-11,58.67,60.64,58.34,60.25,871800,59.65
2013-09-10,58.38,59.04,58.14,58.81,483800,58.23
2013-09-09,57.00,57.91,56.94,57.73,459700,57.16
2013-09-06,56.75,57.58,55.63,56.98,705700,56.42
2013-09-05,56.36,57.04,56.36,56.50,564500,55.94
2013-09-04,55.17,56.56,55.17,56.24,695800,55.68
2013-09-03,56.40,57.15,55.34,55.46,955600,54.91
2013-08-30,56.84,56.88,55.52,55.61,721800,55.06
2013-08-29,56.27,57.29,56.22,56.71,462800,56.15
2013-08-28,56.99,57.34,56.24,56.28,855500,55.72
2013-08-27,58.17,58.53,56.86,57.09,578400,56.53
2013-08-26,59.39,59.70,58.85,58.97,277100,58.39
2013-08-23,59.55,59.60,58.61,59.30,332100,58.71
2013-08-22,58.28,59.77,58.28,59.52,371900,58.93
2013-08-21,58.58,58.58,57.66,58.15,582700,57.58
2013-08-20,58.18,59.16,57.92,58.76,887400,58.18
2013-08-19,58.85,58.93,57.91,57.99,446100,57.42
2013-08-16,59.02,59.74,58.52,58.89,544200,58.31
2013-08-15,59.00,59.43,58.72,58.98,569500,58.40
2013-08-14,60.03,60.49,59.80,59.85,602600,58.92
2013-08-13,60.79,60.81,59.72,59.85,747400,58.92
2013-08-12,60.52,60.71,60.05,60.60,664300,59.66
2013-08-09,60.97,61.28,60.48,60.64,536900,59.70
2013-08-08,61.30,61.80,60.59,60.95,1221900,60.01
2013-08-07,61.86,62.01,60.78,60.98,813300,60.03
2013-08-06,63.82,64.05,61.79,62.18,687500,61.22
2013-08-05,64.56,64.78,63.62,63.99,316500,63.00
2013-08-02,64.57,64.99,64.11,64.79,376800,63.79
2013-08-01,62.50,64.75,61.84,64.67,986700,63.67
2013-07-31,60.86,62.28,60.51,61.84,414700,60.88
2013-07-30,60.85,61.45,60.50,60.90,335600,59.96
2013-07-29,61.45,61.59,60.38,60.54,494200,59.60
2013-07-26,61.34,61.71,60.99,61.64,516800,60.68
2013-07-25,61.71,62.11,61.03,61.65,619400,60.69
2013-07-24,62.80,63.50,61.64,61.66,725500,60.70
2013-07-23,62.98,62.98,60.92,62.62,975600,61.65
2013-07-22,62.81,63.30,62.69,63.03,674600,62.05
2013-07-19,62.50,62.84,61.84,62.67,667700,61.70
2013-07-18,61.13,62.44,60.93,62.15,457900,61.19
2013-07-17,60.59,61.05,60.21,60.93,335200,59.99
2013-07-16,61.71,62.37,60.30,60.39,738100,59.45
2013-07-15,60.49,61.84,60.28,61.37,554700,60.42
2013-07-12,60.75,61.16,60.52,60.82,443400,59.88
2013-07-11,61.11,61.28,60.65,60.91,525700,59.97
2013-07-10,60.77,60.94,60.10,60.24,600100,59.31
2013-07-09,59.70,61.02,59.61,60.69,748100,59.75
2013-07-08,60.34,60.52,59.80,60.12,499500,59.19
2013-07-05,60.45,60.59,59.69,60.24,569500,59.31
2013-07-03,59.81,60.26,59.37,59.81,329900,58.88
2013-07-02,60.92,61.47,59.82,60.05,486600,59.12
2013-07-01,60.75,61.39,60.38,60.54,431000,59.60
2013-06-28,61.31,61.53,60.77,60.79,431600,59.85
2013-06-27,61.24,61.62,60.98,61.49,284900,60.54
2013-06-26,60.89,61.22,59.99,60.74,252300,59.80
2013-06-25,59.52,60.60,59.04,60.36,419400,59.42
2013-06-24,59.77,59.79,58.36,58.85,448900,57.94
2013-06-21,60.62,61.21,59.42,60.49,696800,59.55
2013-06-20,60.79,61.00,59.72,60.10,581000,59.17
2013-06-19,62.15,62.46,61.49,61.52,496400,60.57
2013-06-18,61.92,62.14,61.64,62.14,510600,61.18
2013-06-17,62.65,62.95,61.30,61.83,314800,60.87
2013-06-14,62.22,63.18,61.86,62.09,417200,61.13
2013-06-13,61.35,62.45,61.10,62.30,679000,61.33
2013-06-12,62.03,62.37,61.23,61.35,430600,60.40
2013-06-11,61.78,62.38,61.17,61.53,333400,60.58
2013-06-10,63.15,63.64,62.44,62.67,371000,61.70
2013-06-07,61.64,63.41,61.45,62.78,349100,61.81
2013-06-06,60.24,61.20,60.23,61.16,482000,60.21
2013-06-05,61.42,61.65,59.76,60.22,893000,59.29
2013-06-04,62.37,63.03,61.43,61.76,511100,60.80
2013-06-03,63.15,63.48,61.39,62.52,497600,61.55
2013-05-31,63.17,63.99,63.00,63.04,644400,62.06
2013-05-30,63.25,63.92,63.13,63.35,625200,62.37
2013-05-29,63.07,63.65,62.56,63.15,451700,62.17
2013-05-28,63.86,64.45,62.94,63.56,638800,62.57
2013-05-24,62.72,62.97,61.45,62.59,342300,61.62
2013-05-23,61.44,63.37,61.24,63.09,582300,62.11
2013-05-22,64.07,64.54,62.26,62.81,544700,61.84
2013-05-21,63.98,64.68,63.86,64.02,579600,63.03
2013-05-20,63.04,64.50,63.00,63.75,803000,62.76
2013-05-17,61.80,62.52,61.71,62.52,543500,61.55
2013-05-16,61.71,62.27,60.89,61.13,413600,60.18
2013-05-15,61.42,62.32,61.03,62.29,550700,61.02
2013-05-14,60.24,61.61,60.24,61.54,600800,60.28
2013-05-13,60.89,61.11,60.14,60.28,414800,59.05
2013-05-10,60.81,61.33,60.30,61.20,484200,59.95
2013-05-09,60.85,61.40,60.38,60.80,508200,59.56
2013-05-08,60.54,61.10,60.37,61.00,896100,59.76
2013-05-07,60.00,60.99,59.76,60.89,765600,59.65
2013-05-06,58.44,60.01,58.44,59.75,739100,58.53
2013-05-03,57.70,59.79,57.12,58.46,939600,57.27
2013-05-02,56.97,57.31,56.56,56.77,658100,55.61
2013-05-01,57.79,57.91,56.56,56.68,543200,55.52
2013-04-30,57.49,58.07,56.86,58.07,648600,56.89
2013-04-29,56.99,57.71,56.33,57.50,492600,56.33
2013-04-26,57.02,57.26,56.53,56.87,648900,55.71
2013-04-25,56.97,57.68,56.25,57.12,889700,55.95
2013-04-24,55.01,57.57,55.01,56.94,1960700,55.78
2013-04-23,56.85,57.70,52.58,53.31,3050300,52.22
2013-04-22,57.12,57.35,55.66,57.27,662100,56.10
2013-04-19,56.30,57.56,55.85,57.15,574200,55.98
2013-04-18,56.76,57.03,55.27,56.08,843800,54.94
2013-04-17,58.00,58.22,55.93,56.61,844100,55.45
2013-04-16,57.40,58.78,57.40,58.64,558100,57.44
2013-04-15,60.81,61.33,56.74,56.83,979600,55.67
2013-04-12,60.17,61.37,60.17,61.37,429900,60.12
2013-04-11,61.39,61.73,60.39,60.55,602900,59.31
2013-04-10,58.99,61.67,58.99,61.47,763900,60.22
2013-04-09,59.32,59.47,58.28,58.85,620000,57.65
2013-04-08,57.79,59.21,57.79,59.19,720000,57.98
2013-04-05,56.91,57.96,55.59,57.83,1186400,56.65
2013-04-04,57.93,58.00,57.21,57.50,570700,56.33
2013-04-03,58.08,58.55,57.64,57.91,689700,56.73
2013-04-02,58.75,59.22,58.11,58.30,561100,57.11
2013-04-01,59.75,59.93,58.00,58.67,623700,57.47
2013-03-28,59.99,60.46,59.40,59.75,839200,58.53
2013-03-27,59.61,59.70,58.82,59.40,664500,58.19
2013-03-26,60.38,60.73,59.66,60.19,511200,58.96
2013-03-25,60.22,60.82,59.36,60.11,556600,58.88
2013-03-22,59.78,60.14,59.04,60.08,795600,58.85
2013-03-21,59.28,59.40,57.57,58.21,640800,57.02
2013-03-20,59.95,60.31,59.14,59.59,568400,58.37
2013-03-19,61.04,61.22,59.04,59.85,502500,58.63
2013-03-18,60.25,61.37,59.66,60.80,307600,59.56
2013-03-15,61.38,61.40,60.43,61.00,553400,59.76
2013-03-14,60.69,61.68,60.60,61.42,561800,60.17
2013-03-13,58.83,60.42,58.73,60.36,594600,59.13
2013-03-12,59.32,59.45,58.20,58.61,376600,57.41
2013-03-11,58.84,59.70,58.59,59.32,356200,58.11
2013-03-08,58.67,59.40,58.40,58.85,464600,57.65
2013-03-07,58.13,58.35,57.52,58.26,597700,57.07
2013-03-06,57.09,58.29,57.09,57.95,553800,56.77
2013-03-05,55.90,57.60,55.90,56.70,660800,55.54
2013-03-04,55.15,55.58,54.45,55.58,469400,54.45
2013-03-01,55.86,56.05,55.10,55.43,426100,54.30
2013-02-28,55.81,56.55,55.79,56.20,452900,55.05
2013-02-27,54.25,55.93,54.25,55.75,797000,54.61
2013-02-26,54.63,54.84,54.04,54.12,1214200,53.02
2013-02-25,56.47,56.68,54.41,54.41,430100,53.30
2013-02-22,55.81,56.52,55.80,56.04,455400,54.90
2013-02-21,56.37,56.45,55.11,55.59,732300,54.46
2013-02-20,57.48,57.55,56.28,56.48,726000,55.33
2013-02-19,57.69,58.22,57.43,57.59,588200,56.41
2013-02-15,58.56,58.75,57.03,57.42,646300,56.25
2013-02-14,57.14,58.19,56.98,58.05,446900,56.87
2013-02-13,57.90,58.26,57.27,57.68,668900,56.20
2013-02-12,57.53,57.89,57.11,57.83,595100,56.35
2013-02-11,57.71,58.19,57.22,57.36,611200,55.89
2013-02-08,58.33,58.87,58.08,58.21,386300,56.72
2013-02-07,59.06,59.34,57.85,58.33,363700,56.83
2013-02-06,58.56,59.35,58.44,58.91,461400,57.40
2013-02-05,57.85,59.02,57.01,58.85,1276200,57.34
2013-02-04,57.57,57.78,56.17,56.73,784200,55.27
2013-02-01,57.78,58.77,57.08,57.90,918700,56.41
2013-01-31,54.91,57.36,54.81,56.78,1219500,55.32
2013-01-30,55.26,55.36,54.01,54.26,520800,52.87
2013-01-29,55.29,55.54,54.98,55.47,336200,54.05
2013-01-28,55.49,55.87,55.13,55.52,567700,54.09
2013-01-25,56.21,56.34,55.09,55.98,477200,54.54
2013-01-24,55.30,56.38,55.16,56.31,356600,54.86
2013-01-23,55.22,55.39,54.62,55.19,234800,53.77
2013-01-22,54.90,55.38,54.55,55.36,265400,53.94
2013-01-18,55.03,55.06,54.63,55.00,421200,53.59
2013-01-17,54.59,55.13,54.54,54.80,552200,53.39
2013-01-16,54.31,54.49,53.90,54.37,413100,52.97
2013-01-15,52.94,54.44,52.94,54.32,468500,52.93
2013-01-14,52.94,53.29,52.76,53.27,277800,51.90
2013-01-11,53.25,53.49,52.76,53.12,247700,51.76
2013-01-10,52.51,53.65,52.51,53.21,669100,51.84
2013-01-09,51.59,52.12,51.29,52.02,261500,50.68
2013-01-08,51.54,51.62,50.71,51.39,317700,50.07
2013-01-07,51.40,51.73,50.80,51.65,430100,50.32
2013-01-04,52.09,52.09,51.44,51.93,391500,50.60
2013-01-03,51.09,52.63,51.02,51.96,608800,50.63
2013-01-02,51.00,51.27,50.41,51.09,519700,49.78
2012-12-31,48.64,50.04,48.39,49.93,433100,48.65
2012-12-28,48.76,49.22,48.64,48.69,302600,47.44
2012-12-27,49.62,49.66,48.69,49.12,543500,47.86
2012-12-26,50.55,50.68,49.70,49.72,262100,48.44
2012-12-24,50.37,50.73,50.12,50.45,107800,49.16
2012-12-21,49.23,50.54,48.84,50.42,487200,49.13
2012-12-20,50.98,51.01,50.54,50.79,361000,49.49
2012-12-19,50.85,50.99,50.36,50.83,424200,49.53
2012-12-18,49.34,51.00,48.94,50.94,644200,49.63
2012-12-17,49.81,49.89,48.60,48.82,645900,47.57
2012-12-14,49.25,50.41,49.25,49.60,743500,48.33
2012-12-13,49.48,49.65,48.86,49.27,490800,48.01
2012-12-12,49.22,49.85,49.06,49.25,507400,47.99
2012-12-11,49.28,49.65,48.81,49.12,382000,47.86
2012-12-10,48.50,49.39,48.29,49.34,490200,48.07
2012-12-07,48.56,48.86,48.28,48.59,338700,47.34
2012-12-06,47.85,48.43,47.84,48.43,442600,47.19
2012-12-05,47.82,48.32,47.58,48.06,540600,46.83
