Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,277.10,278.32,273.85,275.24,569800,275.24
2013-12-30,275.67,279.83,273.00,278.08,427100,278.08
2013-12-27,278.87,279.61,275.28,277.04,343800,277.04
2013-12-26,276.10,280.97,275.90,278.64,371300,278.64
2013-12-24,278.10,279.90,273.00,275.69,230400,275.69
2013-12-23,279.88,283.37,275.56,278.01,654200,278.01
2013-12-20,271.09,279.24,268.29,278.69,1379700,278.69
2013-12-19,270.17,270.95,264.35,270.55,748400,270.55
2013-12-18,261.66,272.03,257.69,271.72,1065900,271.72
2013-12-17,269.53,270.40,261.70,261.88,861300,261.88
2013-12-16,269.29,277.14,268.28,268.45,704100,268.45
2013-12-13,275.61,275.61,265.25,269.59,922900,269.59
2013-12-12,269.53,277.11,269.00,274.00,684700,274.00
2013-12-11,277.17,280.00,269.10,270.02,775000,270.02
2013-12-10,276.99,282.38,274.15,277.50,656600,277.50
2013-12-09,284.52,287.50,277.52,279.49,779000,279.49
2013-12-06,285.65,287.02,279.25,282.74,652900,282.74
2013-12-05,287.81,289.65,282.95,283.20,497100,283.20
2013-12-04,285.33,292.13,284.52,287.26,602700,287.26
2013-12-03,294.36,296.25,286.20,287.50,747400,287.50
2013-12-02,292.41,297.59,289.28,296.69,562700,296.69
2013-11-29,291.86,297.00,291.86,293.86,327800,293.86
2013-11-27,295.04,295.44,288.96,292.88,482200,292.88
2013-11-26,295.85,296.54,292.00,295.12,684700,295.12
2013-11-25,296.96,297.16,289.00,294.10,614300,294.10
2013-11-22,286.00,294.78,280.63,293.68,1108800,293.68
2013-11-21,276.00,281.98,275.08,276.41,538300,276.41
2013-11-20,274.92,282.98,273.26,274.68,552700,274.68
2013-11-19,273.04,276.00,268.01,273.79,1054100,273.79
2013-11-18,280.00,282.88,272.92,274.37,537100,274.37
2013-11-15,290.49,290.49,276.29,280.00,992200,280.00
2013-11-14,278.96,297.00,273.76,288.83,1518300,288.83
2013-11-13,282.00,282.99,274.01,277.20,1461700,277.20
2013-11-12,276.92,287.49,276.00,286.89,783900,286.89
2013-11-11,283.86,285.26,274.00,279.20,747900,279.20
2013-11-08,277.30,287.62,277.30,283.07,747200,283.07
2013-11-07,290.28,290.61,271.00,276.99,1416200,276.99
2013-11-06,304.00,304.85,287.94,288.27,1119200,288.27
2013-11-05,297.51,305.67,289.31,302.32,2034000,302.32
2013-11-04,285.94,290.99,280.72,281.70,800600,281.70
2013-11-01,290.81,291.99,284.00,285.79,499000,285.79
2013-10-31,291.86,295.48,287.11,287.60,530000,287.60
2013-10-30,300.00,301.21,289.01,291.17,644300,291.17
2013-10-29,301.45,302.51,290.68,298.53,775900,298.53
2013-10-28,302.90,308.69,301.31,302.96,537700,302.96
2013-10-25,305.10,306.81,299.17,302.24,448900,302.24
2013-10-24,301.02,307.14,300.52,304.42,547100,304.42
2013-10-23,302.49,303.66,296.31,299.79,527100,299.79
2013-10-22,295.69,305.40,295.44,304.49,642200,304.49
2013-10-21,304.91,307.00,293.91,294.89,524600,294.89
2013-10-18,308.40,309.96,300.51,303.56,642600,303.56
2013-10-17,306.81,310.00,300.53,307.86,704300,307.86
2013-10-16,302.00,307.76,298.06,307.65,1177000,307.65
