Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,48.93,49.43,48.81,49.42,2730400,48.78
2013-12-30,49.42,49.44,48.73,48.84,2985100,48.20
2013-12-27,48.60,49.25,48.46,48.86,2927700,48.22
2013-12-26,48.32,48.50,48.11,48.17,2156900,47.54
2013-12-24,47.30,48.47,47.25,48.12,1952900,47.49
2013-12-23,47.51,47.52,47.04,47.19,2383100,46.58
2013-12-20,46.85,47.30,46.83,47.00,5745600,46.39
2013-12-19,47.65,47.70,46.77,47.15,5818300,46.54
2013-12-18,47.96,48.15,47.33,48.02,4591000,47.39
2013-12-17,48.02,48.24,47.72,48.13,3386000,47.50
2013-12-16,48.10,48.42,48.05,48.21,3111900,47.58
2013-12-13,48.68,48.70,48.14,48.22,2459200,47.59
2013-12-12,48.46,48.89,48.23,48.63,2671900,48.00
2013-12-11,49.34,49.34,48.32,48.55,3877200,47.92
2013-12-10,49.45,49.60,49.09,49.25,3651500,48.61
2013-12-09,49.66,49.79,49.16,49.57,2898300,48.92
2013-12-06,49.90,49.97,49.52,49.77,3035300,49.12
2013-12-05,50.07,50.15,49.61,49.71,3178400,49.06
2013-12-04,49.82,50.47,49.76,50.29,3371200,49.64
2013-12-03,49.75,50.45,49.63,50.10,3616200,49.45
2013-12-02,50.25,50.68,49.91,50.22,3401600,49.57
2013-11-29,50.46,50.70,50.26,50.38,1600500,49.72
2013-11-27,50.39,50.75,50.18,50.54,2916800,49.88
2013-11-26,50.44,50.69,50.20,50.40,4375900,49.74
2013-11-25,51.53,51.61,50.66,51.00,4295700,50.34
2013-11-22,52.31,52.62,51.67,52.09,4224800,51.41
2013-11-21,53.64,53.68,51.56,52.38,8102000,51.70
2013-11-20,54.02,54.33,53.68,53.94,3086400,53.24
2013-11-19,54.16,54.28,53.46,53.97,3707400,53.27
2013-11-18,54.94,55.13,54.03,54.23,4417100,53.52
2013-11-15,54.97,55.25,53.89,54.44,5111400,53.73
2013-11-14,54.99,55.17,54.40,54.67,4386600,53.96
2013-11-13,54.38,55.40,54.38,55.30,6092700,54.58
2013-11-12,54.97,55.50,54.47,55.14,6327400,53.87
2013-11-11,54.85,55.74,54.65,55.37,12488600,54.09
2013-11-08,52.21,53.84,51.90,53.45,7035300,52.22
2013-11-07,50.71,52.95,50.51,52.45,15277200,51.24
2013-11-06,48.68,49.06,48.40,49.03,6114700,47.90
2013-11-05,47.90,48.31,47.70,48.21,4265100,47.10
2013-11-04,47.70,48.80,47.69,48.38,6018400,47.26
2013-11-01,47.04,47.63,46.33,47.56,9460700,46.46
2013-10-31,47.19,47.64,46.87,47.07,4008200,45.99
2013-10-30,48.24,48.33,47.00,47.29,6599700,46.20
2013-10-29,48.53,48.60,48.00,48.22,7194600,47.11
2013-10-28,49.08,49.16,48.55,48.60,77780100,47.48
2013-10-25,48.72,49.52,48.68,49.50,7873400,48.36
2013-10-24,49.00,49.10,48.47,49.02,6689300,47.89
2013-10-23,48.85,49.37,48.54,48.96,8012600,47.83
2013-10-22,48.51,49.49,48.46,49.35,17367900,48.21
2013-10-21,46.13,46.74,46.05,46.57,3700700,45.50
2013-10-18,45.89,46.25,45.67,45.89,4016000,44.83
2013-10-17,45.41,46.19,44.99,45.29,6910000,44.25
2013-10-16,45.14,45.24,44.85,45.22,5015500,44.18
2013-10-15,45.28,45.35,44.92,45.01,5041800,43.97
2013-10-14,44.97,45.55,44.72,45.42,1989000,44.37
2013-10-11,44.81,45.41,44.66,45.19,1780300,44.15
2013-10-10,44.68,44.97,44.31,44.83,2993600,43.80
2013-10-09,44.34,44.63,44.19,44.38,3031000,43.36
2013-10-08,44.91,45.15,44.28,44.40,2712900,43.38
2013-10-07,44.80,45.21,44.79,45.01,2398900,43.97
2013-10-04,45.05,45.69,44.78,45.45,2097800,44.40
2013-10-03,44.91,45.28,44.63,45.18,2842800,44.14
2013-10-02,44.67,45.07,44.52,45.03,1841500,43.99
2013-10-01,44.61,45.13,44.49,44.98,1924700,43.94
2013-09-30,44.50,44.68,44.32,44.50,3094800,43.47
2013-09-27,44.99,45.05,44.71,44.92,2577500,43.88
2013-09-26,45.08,45.20,44.90,45.05,1966700,44.01
2013-09-25,45.08,45.61,45.03,45.08,2590100,44.04
2013-09-24,45.05,45.08,44.40,45.01,4973900,43.97
2013-09-23,45.20,45.20,44.81,45.07,2836000,44.03
2013-09-20,45.86,45.91,45.00,45.06,5292600,44.02
2013-09-19,47.16,47.18,45.52,45.87,6083300,44.81
2013-09-18,47.00,47.53,46.45,47.24,3236400,46.15
2013-09-17,46.66,47.25,46.55,46.77,2251300,45.69
2013-09-16,47.05,47.09,46.55,46.68,2159000,45.60
2013-09-13,47.01,47.04,46.46,46.79,2899900,45.71
2013-09-12,47.62,47.72,47.21,47.39,1304200,46.30
2013-09-11,47.39,47.71,46.84,47.58,1794500,46.48
2013-09-10,47.28,47.60,46.91,47.30,2338500,46.21
