Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,139.21,139.91,137.91,138.68,303900,138.27
2013-12-30,138.27,139.20,138.10,138.56,219600,138.15
2013-12-27,138.12,138.88,137.24,138.43,240500,138.02
2013-12-26,137.11,138.37,135.83,138.10,194800,137.69
2013-12-24,136.61,137.44,136.05,137.00,90900,136.60
2013-12-23,135.83,137.01,135.52,136.79,361900,136.39
2013-12-20,134.06,135.53,133.85,135.41,637000,135.01
2013-12-19,132.91,134.16,132.75,133.94,698300,133.55
2013-12-18,132.37,133.46,131.01,133.38,994100,132.99
2013-12-17,132.17,132.66,131.49,131.70,489800,131.31
2013-12-16,129.59,132.64,129.59,132.05,634700,131.66
2013-12-13,129.81,130.59,129.33,129.90,630100,129.52
2013-12-12,129.01,129.80,128.53,129.47,420700,129.09
2013-12-11,129.23,130.55,129.16,129.48,696700,129.10
2013-12-10,129.25,130.16,128.17,129.67,470100,129.29
2013-12-09,129.48,130.49,129.47,130.15,405000,129.77
2013-12-06,128.38,129.56,127.94,129.34,307100,128.96
2013-12-05,127.09,127.54,126.71,127.13,507200,126.76
2013-12-04,127.59,128.66,126.05,127.57,343000,127.19
2013-12-03,129.15,129.81,127.75,128.20,386700,127.82
2013-12-02,129.46,130.45,129.07,129.85,412700,129.47
2013-11-29,130.31,130.31,129.11,129.70,164000,129.32
2013-11-27,129.66,130.04,129.15,130.00,264300,129.62
2013-11-26,128.89,129.89,128.47,129.67,376600,129.29
2013-11-25,129.14,129.24,128.03,129.01,325000,128.63
2013-11-22,128.19,128.99,127.65,128.94,394400,128.56
2013-11-21,127.11,128.29,126.85,128.18,324200,127.80
2013-11-20,126.00,127.60,125.11,126.62,609100,126.25
2013-11-19,125.88,126.37,125.43,125.68,565800,125.31
2013-11-18,126.95,127.15,126.03,126.32,580000,125.95
2013-11-15,126.43,127.00,125.21,126.99,1019700,126.62
2013-11-14,126.72,127.10,126.07,126.47,505400,126.10
2013-11-13,124.97,126.61,124.56,126.26,963500,125.89
2013-11-12,125.82,126.38,125.22,125.63,307300,125.26
2013-11-11,126.00,126.72,125.92,126.36,245900,125.99
2013-11-08,123.77,126.00,123.67,125.93,418700,125.56
2013-11-07,126.29,126.29,123.46,123.57,403800,123.21
2013-11-06,125.05,126.15,124.60,126.12,355600,125.75
2013-11-05,125.70,126.19,124.55,124.76,667400,124.39
2013-11-04,127.43,127.90,126.10,126.31,383900,125.94
2013-11-01,127.09,128.45,126.41,127.25,539800,126.88
2013-10-31,125.69,127.92,125.62,126.81,434800,126.44
2013-10-30,128.70,130.00,125.69,125.69,715900,125.32
2013-10-29,124.43,128.22,124.12,128.15,998100,127.77
2013-10-28,126.42,128.81,123.18,124.26,1759800,123.89
2013-10-25,131.52,133.35,130.86,133.04,311500,132.65
2013-10-24,132.57,132.95,131.24,131.57,265200,131.18
2013-10-23,133.03,133.91,132.27,132.61,286100,132.22
2013-10-22,131.87,133.81,131.76,133.64,353700,133.25
2013-10-21,132.20,132.41,131.65,132.02,255500,131.63
2013-10-18,132.22,132.23,131.06,132.07,229300,131.68
2013-10-17,129.78,131.39,129.56,131.31,337200,130.92
2013-10-16,130.36,131.37,129.64,130.00,256800,129.62
2013-10-15,130.59,130.91,129.71,129.72,344800,129.34
2013-10-14,129.76,131.37,129.60,130.88,320500,130.49
2013-10-11,130.23,130.89,129.54,130.87,306200,130.48
2013-10-10,128.03,130.36,127.78,130.21,250300,129.83
2013-10-09,128.28,131.12,126.55,126.99,323400,126.62
2013-10-08,129.90,130.46,127.93,127.99,299800,127.45
2013-10-07,128.71,130.69,128.71,130.01,391000,129.46
2013-10-04,130.50,131.14,129.67,129.92,401700,129.37
2013-10-03,131.59,132.34,129.60,130.51,258500,129.96
2013-10-02,132.91,132.91,131.24,132.06,342400,131.50
2013-10-01,133.21,134.18,132.84,133.57,308400,133.00
2013-09-30,131.86,133.48,131.69,132.87,386400,132.31
2013-09-27,134.00,134.09,133.11,133.43,457500,132.87
2013-09-26,133.88,135.04,133.30,135.01,209400,134.44
2013-09-25,134.11,134.83,133.51,133.69,283000,133.12
2013-09-24,133.92,135.08,132.22,134.30,503700,133.73
2013-09-23,133.85,134.07,132.71,133.51,253900,132.94
2013-09-20,134.56,135.12,133.89,133.99,430900,133.42
2013-09-19,134.45,135.69,133.88,134.61,344500,134.04
2013-09-18,131.69,134.19,131.14,133.83,300700,133.26
2013-09-17,131.81,132.26,131.06,131.93,179300,131.37
2013-09-16,131.88,132.00,130.89,131.81,350000,131.25
2013-09-13,130.45,130.79,129.42,130.72,342700,130.17
2013-09-12,129.51,130.51,129.51,130.05,307600,129.50
2013-09-11,129.55,130.46,129.25,129.81,324600,129.26
2013-09-10,128.98,129.77,128.57,129.70,339100,129.15
2013-09-09,127.17,128.52,126.88,128.06,431700,127.52
2013-09-06,126.52,127.52,125.28,126.44,197500,125.90
2013-09-05,126.16,126.84,125.29,126.44,190600,125.90
2013-09-04,124.70,126.41,124.22,126.27,389100,125.74
2013-09-03,125.13,125.78,123.91,124.62,482500,124.09
2013-08-30,124.42,124.42,123.37,123.70,403200,123.18
2013-08-29,123.27,124.25,122.97,124.01,334500,123.49
2013-08-28,123.16,124.25,123.05,123.75,235000,123.23
2013-08-27,124.17,124.52,123.10,123.15,361500,122.63
2013-08-26,126.00,126.51,125.26,125.48,111600,124.95
2013-08-23,125.90,126.65,125.09,126.00,198900,125.47
2013-08-22,124.31,125.51,124.15,125.49,286800,124.96
2013-08-21,124.89,125.22,124.05,124.12,320700,123.59
2013-08-20,124.61,125.71,124.07,124.93,314500,124.40
2013-08-19,125.45,126.02,124.53,124.61,366800,124.08
2013-08-16,124.75,125.70,124.39,125.49,1131400,124.96
2013-08-15,125.33,126.44,125.00,125.05,423300,124.52
2013-08-14,126.92,127.53,126.00,126.66,366300,126.12
2013-08-13,127.14,128.14,126.09,127.55,240500,127.01
2013-08-12,125.52,127.34,125.52,127.18,263400,126.64
2013-08-09,125.76,126.26,125.31,125.75,341100,125.22
2013-08-08,126.32,126.37,125.72,125.83,301800,125.30
2013-08-07,126.18,126.46,125.09,126.02,374800,125.49
2013-08-06,126.15,126.66,126.08,126.34,447600,125.81
2013-08-05,127.76,127.76,126.54,126.68,546100,126.14
2013-08-02,127.32,127.56,126.14,127.41,746200,126.87
2013-08-01,126.75,128.38,126.51,127.97,622500,127.43
2013-07-31,127.19,127.19,125.80,125.96,717900,125.43
2013-07-30,127.32,127.79,125.71,126.70,692800,126.16
2013-07-29,127.88,129.00,125.98,126.82,836200,126.28
2013-07-26,130.74,131.71,130.45,131.21,500700,130.65
2013-07-25,131.27,131.88,130.94,131.56,347300,131.00
2013-07-24,132.22,132.35,131.42,131.76,204500,131.20
2013-07-23,132.37,132.61,131.79,132.00,277900,131.44
2013-07-22,131.66,132.72,131.54,132.29,269500,131.73
