Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,78.43,78.78,78.01,78.39,3008100,78.09
2013-12-30,78.79,78.83,77.86,78.55,2366700,78.25
2013-12-27,79.29,79.30,78.46,78.57,2252500,78.27
2013-12-26,78.73,79.03,78.44,78.88,2195700,78.58
2013-12-24,78.10,78.75,77.95,78.57,1948300,78.27
2013-12-23,77.97,78.34,77.35,78.32,3810800,78.02
2013-12-20,77.52,77.98,77.24,77.66,6353700,77.37
2013-12-19,78.24,78.50,77.02,77.15,5701100,76.86
2013-12-18,76.13,77.69,76.10,77.68,5126000,77.39
2013-12-17,76.58,76.58,75.91,76.09,3501800,75.80
2013-12-16,76.03,76.98,75.91,76.46,4672700,76.17
2013-12-13,76.83,76.93,76.09,76.35,4020500,76.06
2013-12-12,76.28,77.09,76.00,76.48,4825500,76.19
2013-12-11,77.60,78.00,76.29,76.40,7876000,76.11
2013-12-10,78.99,79.07,76.68,77.38,13160300,77.09
2013-12-09,80.26,80.46,79.61,79.73,3960300,79.43
2013-12-06,80.60,80.75,79.71,79.94,3360600,79.64
2013-12-05,79.56,80.25,79.33,79.72,3284600,79.42
2013-12-04,80.39,80.72,79.44,79.50,5102300,79.20
2013-12-03,80.74,81.16,80.29,80.55,3946600,80.25
2013-12-02,81.49,81.69,80.91,81.07,2886600,80.76
2013-11-29,81.85,82.37,81.37,81.46,2193600,81.15
2013-11-27,81.39,81.91,81.20,81.62,2376000,81.31
2013-11-26,80.86,81.65,80.41,81.51,4383900,81.20
2013-11-25,81.37,81.48,80.51,80.71,4500600,80.41
2013-11-22,81.70,81.70,81.10,81.35,3959600,81.04
2013-11-21,79.80,81.65,79.75,81.53,6565900,81.22
2013-11-20,80.13,80.25,79.32,79.69,4366900,79.39
2013-11-19,80.01,80.92,79.86,79.92,4363000,79.62
2013-11-18,81.02,81.34,80.21,80.54,4158200,80.24
2013-11-15,81.25,81.45,80.78,81.19,3222700,80.88
2013-11-14,81.53,81.54,80.79,81.14,3823800,80.83
2013-11-13,79.24,81.50,79.19,81.46,6259500,81.15
2013-11-12,80.76,81.05,80.12,80.61,3306500,80.31
2013-11-11,81.20,81.42,80.98,80.99,2566800,80.43
2013-11-08,79.51,81.25,79.40,81.20,5743900,80.63
2013-11-07,81.30,81.35,79.00,79.07,6641600,78.52
2013-11-06,82.39,82.50,80.97,81.13,4281100,80.56
2013-11-05,80.36,82.34,80.15,81.99,5045100,81.42
2013-11-04,80.75,80.78,80.21,80.37,4141900,79.81
2013-11-01,81.54,81.54,79.67,80.37,6002600,79.81
2013-10-31,78.69,81.62,78.57,81.05,10245800,80.49
2013-10-30,80.63,80.85,79.76,80.83,8759400,80.27
2013-10-29,79.21,79.62,79.05,79.62,3949200,79.07
2013-10-28,80.20,80.43,78.53,78.71,5621400,78.16
2013-10-25,79.47,80.00,79.27,79.96,3625900,79.40
2013-10-24,79.36,79.44,78.51,79.05,6752300,78.50
2013-10-23,80.45,80.85,79.89,80.05,3946100,79.49
2013-10-22,79.90,81.08,79.60,80.90,4209800,80.34
2013-10-21,79.11,79.91,78.67,79.46,3385100,78.91
2013-10-18,79.27,79.67,78.97,79.31,4525000,78.76
2013-10-17,77.67,78.85,77.45,78.74,3275500,78.19
2013-10-16,77.20,78.22,76.89,78.04,5052000,77.50
2013-10-15,77.83,77.90,76.60,76.71,4067600,76.18
2013-10-14,77.54,78.32,77.25,78.10,2993300,77.56
2013-10-11,77.22,77.84,76.88,77.82,2765200,77.28
2013-10-10,76.29,77.31,76.13,77.12,3312900,76.58
2013-10-09,75.39,75.80,74.45,75.26,4741000,74.74
2013-10-08,77.11,78.03,75.44,75.53,6318900,75.00
2013-10-07,76.60,77.39,76.41,76.86,2553400,76.32
2013-10-04,76.80,77.46,76.51,77.40,2613300,76.86
2013-10-03,76.96,77.46,76.32,76.87,4133200,76.33
2013-10-02,76.59,77.23,76.21,77.19,3044200,76.65
2013-10-01,76.98,77.34,76.56,77.16,2602600,76.62
2013-09-30,76.50,77.08,76.05,76.97,4430600,76.43
2013-09-27,76.91,77.48,76.40,77.33,3100100,76.79
2013-09-26,76.64,77.28,76.32,77.18,2494400,76.64
2013-09-25,76.84,77.01,76.07,76.34,3625900,75.81
2013-09-24,75.53,77.31,75.48,76.55,3868000,76.02
2013-09-23,76.11,76.38,75.07,75.36,3391900,74.83
2013-09-20,76.26,77.00,76.07,76.12,4817700,75.59
2013-09-19,77.52,77.84,76.30,76.35,4020800,75.82
2013-09-18,75.88,77.62,75.55,77.33,4743500,76.79
2013-09-17,75.26,76.24,75.17,76.04,3330300,75.51
2013-09-16,76.57,76.60,74.86,75.24,4354200,74.72
2013-09-13,75.59,75.70,74.65,75.57,2883700,75.04
2013-09-12,75.50,75.91,75.12,75.67,3814300,75.14
2013-09-11,74.33,75.50,74.33,75.39,4991200,74.86
2013-09-10,72.98,74.32,72.93,74.22,5889500,73.70
2013-09-09,71.68,72.49,71.67,72.44,2468400,71.94
2013-09-06,72.37,72.65,70.93,71.57,3178300,71.07
2013-09-05,72.25,72.76,72.01,72.05,2465600,71.55
2013-09-04,71.42,72.27,71.09,72.14,3251100,71.64
2013-09-03,71.70,72.14,71.19,71.60,3624700,71.10
2013-08-30,71.38,71.40,70.33,70.52,2832500,70.03
2013-08-29,70.73,71.84,70.50,71.18,2755000,70.68
2013-08-28,70.09,71.32,69.86,70.96,3124900,70.47
2013-08-27,70.90,71.37,70.11,70.16,4012600,69.67
2013-08-26,72.07,72.21,71.60,71.88,2464700,71.38
2013-08-23,72.06,72.19,71.58,71.97,2934900,71.47
2013-08-22,71.08,72.26,71.01,71.90,2699800,71.40
2013-08-21,70.42,71.40,70.28,70.71,3458500,70.22
2013-08-20,70.36,71.03,70.11,70.66,3022500,70.17
2013-08-19,70.58,71.30,70.18,70.29,3174600,69.80
2013-08-16,70.98,71.39,70.55,70.71,3464900,70.22
2013-08-15,71.31,71.35,70.31,70.74,3599400,70.25
2013-08-14,72.58,72.58,71.79,71.85,2466000,71.35
2013-08-13,73.09,73.09,71.93,72.64,2688900,72.13
2013-08-12,72.28,73.13,72.25,72.93,2736200,72.42
2013-08-09,72.59,73.23,72.52,72.80,2683200,72.29
2013-08-08,72.77,73.40,72.40,72.94,2961900,72.43
2013-08-07,72.36,73.15,72.17,72.19,3533000,71.69
2013-08-06,73.66,73.85,72.78,72.80,3978000,72.29
2013-08-05,74.22,74.27,73.71,73.97,3803100,73.25
2013-08-02,73.50,74.27,73.16,74.23,4708400,73.50
2013-08-01,72.27,73.73,72.08,73.48,6427300,72.76
2013-07-31,72.14,72.50,71.22,71.29,5624200,70.59
2013-07-30,72.90,72.98,71.71,71.93,4904400,71.23
2013-07-29,72.75,73.08,72.10,72.45,6400400,71.74
2013-07-26,72.60,73.52,71.85,73.36,16146700,72.64
2013-07-25,66.94,68.30,66.73,68.17,7989200,67.50
2013-07-24,68.12,68.43,66.30,66.61,7017100,65.96
2013-07-23,69.24,69.32,67.45,67.66,4233100,67.00
2013-07-22,69.08,69.21,68.55,69.02,3279900,68.34
2013-07-19,68.57,69.11,68.40,68.79,3598500,68.12
2013-07-18,68.45,69.01,68.04,68.48,4268900,67.81
2013-07-17,69.74,69.82,67.89,68.20,6073700,67.53
2013-07-16,69.64,69.72,69.08,69.52,3034100,68.84
2013-07-15,69.69,69.90,69.53,69.66,3090300,68.98
2013-07-12,69.24,69.72,68.78,69.72,4853300,69.04
2013-07-11,68.68,69.52,68.35,69.34,4192900,68.66
2013-07-10,67.87,68.12,67.45,68.10,4045400,67.43
2013-07-09,68.90,69.00,67.99,68.13,3730000,67.46
2013-07-08,67.94,68.82,67.88,68.29,4015000,67.62
2013-07-05,67.87,68.00,66.90,67.72,2594700,67.06
2013-07-03,66.43,67.68,66.40,67.30,2808200,66.64
2013-07-02,66.24,67.20,66.08,66.79,3382800,66.14
2013-07-01,66.09,66.49,65.82,66.24,3346100,65.59
2013-06-28,65.51,66.25,65.40,65.51,5418300,64.87
2013-06-27,66.27,66.50,65.65,65.69,3148000,65.05
2013-06-26,65.37,66.71,64.89,65.80,4772900,65.16
2013-06-25,64.53,65.36,64.44,64.74,4928500,64.11
2013-06-24,64.00,64.58,63.18,64.01,4956600,63.38
2013-06-21,65.71,65.92,64.23,64.69,7354800,64.06
2013-06-20,65.82,66.32,65.04,65.22,5803300,64.58
2013-06-19,67.02,67.48,66.41,66.41,5323600,65.76
2013-06-18,66.00,67.13,65.95,67.10,3726800,66.44
2013-06-17,66.19,66.56,65.71,66.03,4057900,65.38
2013-06-14,65.95,66.67,65.45,65.60,4927300,64.96
2013-06-13,64.54,66.19,64.07,65.97,5954900,65.32
2013-06-12,65.82,66.00,64.26,64.45,5035000,63.82
2013-06-11,65.47,66.11,65.31,65.42,3948800,64.78
2013-06-10,65.66,66.31,65.48,66.11,6206200,65.46
2013-06-07,63.41,65.09,63.41,65.04,6876500,64.40
2013-06-06,62.35,63.06,62.32,63.02,4312700,62.40
2013-06-05,63.04,63.30,62.31,62.34,4204300,61.73
2013-06-04,62.61,64.14,62.61,63.33,4311300,62.71
2013-06-03,63.26,63.54,62.62,63.46,5708800,62.84
2013-05-31,63.21,64.35,62.79,63.14,5102900,62.52
2013-05-30,63.87,64.04,63.46,63.47,4399500,62.85
2013-05-29,63.79,64.10,63.12,63.63,3781200,63.01
2013-05-28,64.21,64.70,64.04,64.26,3719300,63.63
2013-05-24,63.08,63.40,62.61,63.36,3253700,62.74
2013-05-23,63.69,63.82,63.03,63.52,4129200,62.90
2013-05-22,64.15,64.93,63.96,64.15,5507000,63.52
2013-05-21,64.04,64.46,63.88,64.25,3294500,63.62
2013-05-20,64.03,64.61,63.78,63.83,3605900,63.21
2013-05-17,63.77,64.14,63.50,64.13,3467200,63.50
2013-05-16,64.00,64.07,63.45,63.55,3330700,62.93
2013-05-15,63.32,64.20,63.22,64.07,4827300,63.44
2013-05-14,62.92,63.57,62.78,63.52,3755300,62.90
2013-05-13,63.20,63.23,62.61,62.82,2953500,62.21
2013-05-10,62.57,63.19,62.39,63.10,3740500,62.48
2013-05-09,62.66,62.90,62.04,62.36,4138500,61.75
2013-05-08,62.34,62.44,61.73,62.41,2754100,61.80
2013-05-07,62.53,62.53,61.71,62.19,3747900,61.58
2013-05-06,62.00,62.48,61.92,62.48,3498600,61.66
2013-05-03,60.85,61.97,60.70,61.87,4917900,61.06
2013-05-02,60.44,60.68,59.60,60.38,3119100,59.59
2013-05-01,60.55,60.68,59.95,60.14,3147300,59.35
2013-04-30,60.63,60.91,60.31,60.84,4020600,60.04
2013-04-29,60.35,60.92,60.13,60.58,3700600,59.79
2013-04-26,59.30,60.39,59.20,60.00,7485500,59.21
2013-04-25,60.00,60.64,59.91,60.50,8304500,59.71
2013-04-24,59.69,59.97,59.13,59.83,5206700,59.05
2013-04-23,58.84,59.90,58.78,59.39,5662000,58.61
2013-04-22,58.42,58.87,57.98,58.64,2773700,57.87
2013-04-19,57.58,58.58,57.54,58.40,4302800,57.63
2013-04-18,58.36,58.48,57.50,57.72,4460300,56.96
2013-04-17,58.03,58.55,57.65,58.17,3603700,57.41
2013-04-16,57.94,58.94,57.72,58.56,4424700,57.79
2013-04-15,58.66,59.44,57.60,57.71,5350200,56.95
2013-04-12,58.71,59.71,58.60,59.09,5209200,58.32
2013-04-11,57.95,58.99,57.80,58.58,5208500,57.81
2013-04-10,57.64,58.31,57.61,57.80,4288700,57.04
2013-04-09,57.96,58.00,57.18,57.41,4180600,56.66
2013-04-08,57.83,58.12,57.46,58.12,3672000,57.36
2013-04-05,57.21,57.88,56.72,57.80,4496800,57.04
2013-04-04,57.61,58.31,57.61,58.11,3784300,57.35
2013-04-03,58.40,58.90,57.38,57.70,5636400,56.94
2013-04-02,57.19,58.33,57.15,58.26,6747900,57.50
2013-04-01,57.13,57.34,56.65,56.87,3504900,56.12
2013-03-28,56.93,57.26,56.86,56.95,3810200,56.20
2013-03-27,56.86,56.95,56.21,56.91,3728500,56.16
2013-03-26,56.99,57.16,56.71,57.05,3064300,56.30
2013-03-25,57.53,57.83,56.15,56.69,5290700,55.95
2013-03-22,57.30,57.75,57.16,57.38,4373800,56.63
2013-03-21,57.30,57.42,56.75,57.05,4153700,56.30
2013-03-20,57.22,57.61,57.00,57.43,4811300,56.68
2013-03-19,56.51,56.98,55.96,56.83,6668700,56.08
2013-03-18,57.06,57.42,56.75,56.93,5260600,56.18
2013-03-15,57.36,57.86,57.26,57.66,7551500,56.90
2013-03-14,58.52,58.75,57.41,57.68,7361600,56.92
2013-03-13,58.33,58.80,58.28,58.59,3717700,57.82
2013-03-12,58.45,58.55,57.98,58.28,5835100,57.52
2013-03-11,58.40,58.93,58.33,58.61,4949000,57.84
2013-03-08,58.67,58.97,58.15,58.67,7108900,57.90
2013-03-07,57.10,58.50,57.09,58.25,9118600,57.49
2013-03-06,56.76,57.49,56.65,57.10,7462600,56.35
2013-03-05,56.00,56.80,56.00,56.51,6466000,55.77
2013-03-04,54.77,55.72,54.66,55.70,5097500,54.97
2013-03-01,54.63,54.93,54.00,54.87,4225900,54.15
2013-02-28,54.65,55.17,54.45,54.85,5218200,54.13
2013-02-27,53.25,54.97,53.08,54.57,6028200,53.85
2013-02-26,53.43,53.86,52.85,53.28,5305700,52.58
2013-02-25,54.40,54.71,53.20,53.21,6167000,52.51
2013-02-22,53.70,54.21,53.28,54.17,5743700,53.46
2013-02-21,53.07,53.64,52.52,53.35,6948700,52.65
2013-02-20,54.60,54.84,53.18,53.31,6236500,52.61
2013-02-19,54.36,54.61,54.02,54.45,5880500,53.74
2013-02-15,55.61,55.70,54.17,54.34,9097900,53.63
2013-02-14,55.53,55.81,55.35,55.55,4449700,54.82
2013-02-13,56.46,56.46,55.50,55.83,3511400,55.10
2013-02-12,56.00,56.55,55.95,56.26,4332800,55.52
2013-02-11,56.52,56.52,55.86,56.14,2728700,55.40
2013-02-08,55.84,56.65,55.84,56.37,3573200,55.63
2013-02-07,56.05,56.06,55.15,55.86,4561800,55.13
2013-02-06,55.90,56.29,55.72,56.05,3724500,55.31
2013-02-05,56.24,56.45,55.91,56.20,4075700,55.46
2013-02-04,56.35,56.71,55.91,56.09,3963200,55.15
2013-02-01,56.57,57.10,56.55,56.86,4803100,55.90
2013-01-31,55.88,56.49,55.75,56.12,5291500,55.18
2013-01-30,55.76,56.20,55.38,56.00,6573800,55.06
2013-01-29,55.62,56.01,55.29,55.60,6046300,54.67
2013-01-28,56.84,57.15,55.85,56.02,6612400,55.08
2013-01-25,56.68,57.27,56.37,56.81,15398600,55.86
2013-01-24,54.74,54.90,54.06,54.57,11736800,53.65
2013-01-23,54.88,54.93,54.20,54.46,5450400,53.54
2013-01-22,55.07,55.07,54.50,54.99,5982500,54.07
2013-01-18,54.52,55.03,54.15,54.81,6545800,53.89
2013-01-17,54.79,54.90,54.22,54.50,4506500,53.58
2013-01-16,54.09,54.42,53.96,54.35,4459500,53.44
2013-01-15,54.63,54.79,53.68,54.48,6573900,53.56
2013-01-14,55.09,55.50,54.54,54.67,5798200,53.75
2013-01-11,55.11,55.24,54.44,55.01,6651300,54.09
2013-01-10,54.76,55.17,54.30,54.54,7183800,53.62
2013-01-09,55.89,55.90,54.33,54.63,8339200,53.71
2013-01-08,55.58,55.72,55.07,55.62,4806700,54.69
2013-01-07,55.40,55.79,55.01,55.72,4360000,54.78
2013-01-04,55.53,56.00,55.31,55.69,5455700,54.75
2013-01-03,55.07,55.61,55.00,55.37,7335200,54.44
2013-01-02,54.59,55.00,54.26,55.00,6633800,54.08
2012-12-31,52.41,53.67,52.39,53.63,4623500,52.73
2012-12-28,52.98,53.27,52.62,52.64,3395700,51.76
2012-12-27,53.09,53.64,52.71,53.24,4583600,52.35
2012-12-26,53.62,53.79,52.88,53.13,3047100,52.24
2012-12-24,53.37,54.00,53.33,53.69,1702900,52.79
2012-12-21,53.05,53.69,52.59,53.60,11076800,52.70
2012-12-20,54.53,54.61,53.70,54.21,4898900,53.30
2012-12-19,54.40,54.85,54.13,54.27,7118600,53.36
2012-12-18,54.67,54.90,54.28,54.34,7690400,53.43
2012-12-17,53.51,54.67,53.50,54.58,8057400,53.66
2012-12-14,53.20,53.75,53.06,53.36,4828100,52.46
2012-12-13,53.50,54.31,52.95,53.18,7180300,52.29
2012-12-12,53.47,54.19,53.15,53.60,9276500,52.70
2012-12-11,53.33,53.50,53.00,53.19,7505700,52.30
2012-12-10,53.52,53.70,52.80,52.96,7422200,52.07
2012-12-07,53.43,54.00,53.14,53.64,10622100,52.74
2012-12-06,51.50,53.85,51.19,53.70,24931000,52.80
2012-12-05,52.00,52.14,49.56,50.79,13820100,49.94
2012-12-04,51.65,51.98,50.94,51.12,6119500,50.26
