Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,47.07,47.14,46.77,46.93,734000,46.43
2013-12-30,47.02,47.32,46.83,46.90,632200,46.40
2013-12-27,47.14,47.27,46.87,46.96,529900,46.46
2013-12-26,47.34,47.40,46.85,47.05,451100,46.55
2013-12-24,47.12,47.46,46.93,47.28,177700,46.78
2013-12-23,47.37,47.64,47.07,47.11,721800,46.61
2013-12-20,47.10,47.51,46.99,47.25,2157400,46.75
2013-12-19,47.31,47.34,46.69,47.02,829500,46.52
2013-12-18,46.64,47.50,46.25,47.45,1059500,46.94
2013-12-17,46.74,46.90,46.55,46.62,801700,46.12
2013-12-16,46.74,47.19,46.72,46.80,1081200,46.30
2013-12-13,46.54,46.76,46.37,46.54,830200,46.04
2013-12-12,46.29,46.73,46.26,46.42,1186100,45.93
2013-12-11,46.75,47.04,46.24,46.29,1013700,45.80
2013-12-10,47.30,47.56,46.76,46.83,1680700,46.33
2013-12-09,47.49,47.69,47.25,47.37,977300,46.87
2013-12-06,47.04,47.64,46.74,47.64,723700,47.13
2013-12-05,47.49,47.67,47.13,47.35,906100,46.34
2013-12-04,47.09,47.75,46.85,47.61,989800,46.60
2013-12-03,46.90,47.38,46.81,47.32,810800,46.31
2013-12-02,47.16,47.46,46.73,47.05,986200,46.05
2013-11-29,47.32,47.54,47.16,47.17,290800,46.17
2013-11-27,47.10,47.43,46.92,47.27,971300,46.27
2013-11-26,47.34,47.48,46.80,47.12,1008200,46.12
2013-11-25,47.57,47.70,47.32,47.34,782300,46.33
2013-11-22,47.22,47.68,47.14,47.55,888000,46.54
2013-11-21,47.08,47.61,46.91,47.30,813500,46.30
2013-11-20,47.34,47.48,46.89,46.92,691400,45.92
2013-11-19,47.29,47.41,47.14,47.27,716600,46.27
2013-11-18,47.25,47.40,47.04,47.29,830600,46.29
2013-11-15,46.97,47.22,46.64,47.21,641000,46.21
2013-11-14,46.65,47.12,46.46,46.90,603700,45.90
2013-11-13,46.05,46.51,45.73,46.50,758700,45.51
2013-11-12,46.86,46.97,46.00,46.17,663400,45.19
2013-11-11,46.90,47.13,46.59,46.85,463200,45.85
2013-11-08,47.00,47.02,46.18,46.90,804400,45.90
2013-11-07,47.99,48.15,47.09,47.17,645800,46.17
2013-11-06,47.40,47.86,47.35,47.86,504400,46.84
2013-11-05,47.57,47.92,47.26,47.33,788400,46.32
2013-11-04,47.33,47.75,46.98,47.71,604600,46.70
2013-11-01,46.94,47.32,46.62,47.21,813900,46.21
2013-10-31,46.76,47.43,45.96,46.63,676600,45.64
2013-10-30,47.19,47.41,46.67,46.70,682500,45.71
2013-10-29,47.54,47.60,47.07,47.18,518600,46.18
2013-10-28,47.47,47.79,47.22,47.43,520300,46.42
2013-10-25,47.04,47.66,46.89,47.62,464700,46.61
2013-10-24,47.43,47.43,46.88,47.02,505900,46.02
2013-10-23,47.16,47.89,47.08,47.22,675400,46.22
2013-10-22,46.52,47.33,46.43,47.20,648100,46.20
2013-10-21,46.52,46.73,46.19,46.43,435700,45.44
