Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,34.27,34.27,33.78,34.05,781500,33.92
2013-12-30,33.75,34.37,33.66,34.13,853900,34.00
2013-12-27,34.13,34.13,33.65,33.82,552200,33.69
2013-12-26,34.01,34.11,33.62,33.96,1115400,33.83
2013-12-24,33.20,34.00,33.20,33.99,861700,33.86
2013-12-23,33.13,33.16,32.88,33.09,966400,32.97
2013-12-20,32.79,33.14,32.53,32.95,1919900,32.83
2013-12-19,32.34,32.66,32.21,32.55,1069900,32.43
2013-12-18,31.75,32.49,31.38,32.38,1784300,32.26
2013-12-17,31.84,32.03,31.56,31.73,1358600,31.61
2013-12-16,32.11,32.30,31.74,31.98,1800800,31.86
2013-12-13,31.71,32.24,31.63,31.85,1730900,31.73
2013-12-12,31.39,31.70,31.28,31.55,1117200,31.43
2013-12-11,32.38,32.54,31.29,31.39,1789400,31.27
2013-12-10,32.04,32.79,31.91,32.52,1524000,32.40
2013-12-09,32.52,32.65,31.99,32.13,980300,32.01
2013-12-06,31.80,32.63,31.64,32.52,1498300,32.40
2013-12-05,31.80,31.96,31.35,31.46,1383900,31.34
2013-12-04,31.56,32.03,31.40,31.93,1383700,31.81
2013-12-03,31.85,32.30,31.67,31.91,1278600,31.66
2013-12-02,32.16,32.27,31.73,31.81,1607600,31.56
2013-11-29,32.27,32.40,31.98,32.11,516000,31.86
2013-11-27,32.44,32.47,32.14,32.34,981600,32.09
2013-11-26,32.11,32.40,32.05,32.28,1297400,32.03
2013-11-25,31.91,32.45,31.86,32.17,1319800,31.92
2013-11-22,32.04,32.13,31.70,31.78,1252000,31.53
2013-11-21,30.90,32.25,30.90,32.11,1841600,31.86
2013-11-20,31.44,31.53,30.77,30.81,1317300,30.57
2013-11-19,31.62,31.88,31.27,31.44,1089900,31.19
2013-11-18,31.77,31.99,31.55,31.69,1556200,31.44
2013-11-15,30.94,31.97,30.86,31.73,1670800,31.48
2013-11-14,30.91,31.09,30.61,30.96,854500,30.72
2013-11-13,30.58,31.02,30.45,30.81,1288300,30.57
2013-11-12,31.00,31.15,30.70,30.90,977500,30.66
2013-11-11,30.82,31.15,30.77,31.10,1339700,30.86
2013-11-08,30.55,30.94,30.53,30.82,2074500,30.58
2013-11-07,31.28,31.41,30.47,30.50,1841800,30.26
2013-11-06,31.29,31.45,30.89,31.10,1183000,30.86
2013-11-05,31.52,31.56,31.04,31.11,1530800,30.87
2013-11-04,31.24,31.64,30.99,31.55,1928300,31.30
2013-11-01,30.33,31.30,30.33,31.21,3520500,30.97
2013-10-31,29.91,30.61,29.91,30.18,3622600,29.94
2013-10-30,29.91,31.29,29.50,30.35,4881700,30.11
2013-10-29,28.14,28.74,28.11,28.52,2126800,28.30
2013-10-28,28.36,28.37,27.90,28.08,1220600,27.86
2013-10-25,28.44,28.60,28.24,28.33,1009700,28.11
2013-10-24,28.14,28.48,27.98,28.45,1254500,28.23
2013-10-23,28.26,28.31,27.80,28.04,1191300,27.82
2013-10-22,28.04,28.59,27.96,28.40,1005200,28.18
2013-10-21,27.92,28.11,27.74,27.94,754800,27.72
2013-10-18,27.96,27.99,27.66,27.93,1300800,27.71
2013-10-17,27.03,27.94,27.03,27.88,1808600,27.66
2013-10-16,27.42,27.46,27.03,27.09,1765500,26.88
2013-10-15,27.21,27.27,26.92,27.16,1811400,26.95
2013-10-14,27.17,27.39,27.09,27.32,1230600,27.11
2013-10-11,27.12,27.60,27.07,27.44,1148100,27.23
2013-10-10,27.03,27.43,27.02,27.39,1451700,27.18
2013-10-09,26.74,26.80,26.13,26.59,1887700,26.38
2013-10-08,26.45,27.47,26.38,26.72,2967300,26.51
2013-10-07,26.68,26.96,26.50,26.56,1379900,26.35
2013-10-04,26.87,27.22,26.62,27.07,1097300,26.86
2013-10-03,27.03,27.08,26.44,26.81,2793800,26.60
2013-10-02,27.20,27.44,26.99,27.12,1914000,26.91
2013-10-01,27.14,27.48,27.14,27.48,1654200,27.27
2013-09-30,26.99,27.53,26.86,27.19,2571200,26.98
2013-09-27,27.54,27.70,27.40,27.49,2571000,27.28
2013-09-26,27.17,27.68,27.17,27.62,1727600,27.40
2013-09-25,27.11,27.46,26.92,27.15,1774000,26.94
2013-09-24,27.01,27.59,26.98,27.25,3412900,27.04
2013-09-23,28.07,28.25,26.55,27.01,7505300,26.80
2013-09-20,30.06,30.42,28.36,28.56,7332200,28.34
2013-09-19,30.35,30.56,29.82,29.83,3921000,29.60
2013-09-18,29.86,30.41,29.56,30.32,2262900,30.08
2013-09-17,30.35,30.42,29.54,29.81,2910100,29.58
2013-09-16,30.60,30.68,30.14,30.37,1887700,30.13
2013-09-13,29.95,30.05,29.61,30.04,1203000,29.81
2013-09-12,30.05,30.13,29.68,29.82,1111300,29.59
2013-09-11,30.57,30.57,29.94,30.14,1068000,29.90
2013-09-10,30.46,30.73,30.24,30.57,1193600,30.33
2013-09-09,29.60,30.34,29.56,30.26,1565000,30.02
2013-09-06,29.60,29.75,29.05,29.52,1469900,29.29
2013-09-05,29.39,29.66,29.27,29.53,1355300,29.30
2013-09-04,28.38,29.57,28.38,29.39,2276500,29.16
2013-09-03,28.85,29.00,28.31,28.54,1624800,28.19
2013-08-30,28.44,28.52,28.11,28.40,1461100,28.05
2013-08-29,28.07,28.70,27.94,28.41,765800,28.06
2013-08-28,28.19,28.52,27.97,28.11,1405800,27.76
2013-08-27,28.90,28.97,28.01,28.14,1386700,27.79
2013-08-26,29.41,29.70,29.17,29.31,725400,28.95
2013-08-23,29.06,29.46,28.78,29.41,862900,29.05
2013-08-22,29.11,29.16,28.56,28.95,918200,28.59
2013-08-21,28.87,29.20,28.76,28.97,1293700,28.61
2013-08-20,28.80,29.00,28.65,28.88,1239900,28.52
2013-08-19,29.16,29.23,28.66,28.69,1236200,28.34
2013-08-16,29.55,29.56,29.08,29.16,2292100,28.80
2013-08-15,29.92,30.05,29.53,29.58,1882700,29.22
2013-08-14,30.19,30.65,30.13,30.31,1412800,29.94
2013-08-13,30.35,30.39,29.93,30.27,1436900,29.90
2013-08-12,29.91,30.29,29.81,30.19,1475700,29.82
2013-08-09,29.99,30.49,29.92,30.09,1479200,29.72
