Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,94.28,94.36,93.48,94.01,382400,93.78
2013-12-30,94.50,94.66,93.82,94.00,390200,93.77
2013-12-27,92.51,94.78,92.22,94.19,928800,93.96
2013-12-26,92.16,92.49,91.63,92.17,345200,91.94
2013-12-24,91.49,92.24,91.17,92.19,185600,91.96
2013-12-23,90.92,91.33,90.20,91.29,383100,91.07
2013-12-20,89.00,90.71,89.00,90.56,1020700,90.34
2013-12-19,90.75,90.95,89.76,89.88,676300,89.66
2013-12-18,89.67,90.97,88.77,90.95,638000,90.73
2013-12-17,89.59,89.83,89.03,89.49,465900,89.27
2013-12-16,89.93,90.30,88.98,89.75,375200,89.53
2013-12-13,89.65,89.90,89.04,89.44,530000,89.22
2013-12-12,89.60,89.71,89.12,89.17,632300,88.95
2013-12-11,89.45,89.67,89.10,89.66,965700,89.44
2013-12-10,89.40,89.67,89.12,89.35,548500,89.13
2013-12-09,89.62,89.91,89.20,89.56,713000,89.34
2013-12-06,88.77,89.26,87.92,89.18,668700,88.96
2013-12-05,87.10,87.88,87.10,87.70,558400,87.49
2013-12-04,86.97,88.08,86.67,87.33,728100,87.12
2013-12-03,86.27,87.51,86.04,87.10,786800,86.89
2013-12-02,86.43,87.10,86.43,86.57,404300,86.36
2013-11-29,86.94,87.48,86.21,86.24,218500,86.03
2013-11-27,86.95,87.46,86.81,87.03,210900,86.82
2013-11-26,87.12,87.35,86.70,87.02,459800,86.81
2013-11-25,87.89,87.89,87.07,87.18,557900,86.75
2013-11-22,86.89,87.46,86.39,87.46,410000,87.03
2013-11-21,86.16,86.73,85.76,86.73,400800,86.30
2013-11-20,86.00,86.24,85.50,85.67,427700,85.25
2013-11-19,85.51,86.05,85.35,85.52,520000,85.10
2013-11-18,86.66,87.11,85.63,85.74,490600,85.32
2013-11-15,86.46,86.94,85.99,86.66,675800,86.23
2013-11-14,85.09,86.06,84.87,86.00,573000,85.58
2013-11-13,84.20,84.91,83.75,84.77,917100,84.35
2013-11-12,84.08,84.57,84.00,84.31,579200,83.90
2013-11-11,84.84,85.03,84.19,84.35,503100,83.94
2013-11-08,84.88,85.10,84.45,84.78,583300,84.36
2013-11-07,85.96,86.14,84.50,84.68,466000,84.26
2013-11-06,85.80,86.08,84.90,85.62,426600,85.20
2013-11-05,84.89,85.34,84.72,85.15,568300,84.73
2013-11-04,85.38,85.93,85.14,85.50,471200,85.08
2013-11-01,86.89,86.89,85.31,85.52,466900,85.10
2013-10-31,86.46,86.76,86.14,86.43,417300,86.01
2013-10-30,87.07,87.59,86.16,86.37,413800,85.95
2013-10-29,87.03,87.38,86.45,87.35,570500,86.92
2013-10-28,86.67,87.19,86.58,87.05,389000,86.62
2013-10-25,86.72,87.06,86.26,87.06,367200,86.63
2013-10-24,86.28,86.88,86.20,86.70,482400,86.27
2013-10-23,84.58,86.26,84.50,86.22,807000,85.80
2013-10-22,84.68,85.44,83.78,85.00,1691100,84.58
2013-10-21,83.99,84.37,82.90,83.32,1118800,82.91
2013-10-18,83.75,84.22,83.61,83.77,884300,83.36
2013-10-17,83.09,83.97,83.09,83.83,1470200,83.42
2013-10-16,83.51,84.13,83.10,83.76,844700,83.35
2013-10-15,83.23,83.71,83.10,83.20,475700,82.79
2013-10-14,83.63,83.92,83.45,83.47,774900,83.06
2013-10-11,83.54,83.98,83.29,83.64,644100,83.23
2013-10-10,83.62,84.08,83.19,83.56,763600,83.15
2013-10-09,84.18,84.18,82.90,82.91,645000,82.50
2013-10-08,84.65,84.84,83.62,83.65,470800,83.24
2013-10-07,84.74,84.90,84.25,84.53,306400,84.12
2013-10-04,84.35,85.65,84.14,85.28,371600,84.86
2013-10-03,84.89,85.00,83.72,84.35,470800,83.94
2013-10-02,84.79,85.25,84.28,85.25,444700,84.83
2013-10-01,84.99,85.74,84.74,85.05,480600,84.63
2013-09-30,85.31,85.60,84.78,85.30,392900,84.88
2013-09-27,85.33,85.77,84.92,85.53,380500,85.11
2013-09-26,86.01,86.38,85.20,85.90,563600,85.48
2013-09-25,86.05,86.44,85.48,85.55,479600,85.13
2013-09-24,85.65,86.80,85.52,86.00,740600,85.58
2013-09-23,85.59,86.34,85.19,85.57,387900,85.15
2013-09-20,87.47,87.71,85.86,85.93,1265900,85.51
2013-09-19,88.22,88.55,87.59,88.00,454700,87.57
2013-09-18,86.21,87.86,85.69,87.85,683000,87.42
2013-09-17,86.37,86.50,85.81,86.10,288400,85.68
2013-09-16,87.00,87.06,85.84,86.16,353300,85.74
2013-09-13,85.17,85.64,84.68,85.48,377300,85.06
2013-09-12,85.43,85.80,84.52,84.91,613800,84.49
2013-09-11,84.86,85.66,84.34,85.53,656000,85.11
2013-09-10,83.18,84.85,83.06,84.62,753600,84.20
2013-09-09,83.16,83.69,82.95,82.96,848900,82.55
2013-09-06,83.79,83.86,82.57,83.11,227700,82.70
2013-09-05,83.20,83.91,83.04,83.52,299700,83.11
2013-09-04,82.24,83.64,82.03,83.45,577800,83.04
2013-09-03,83.36,84.22,82.26,82.54,554700,82.13
2013-08-30,82.13,82.80,82.04,82.47,531800,82.07
2013-08-29,81.96,82.37,81.86,82.09,657900,81.69
2013-08-28,82.93,82.93,82.17,82.26,274200,81.86
2013-08-27,83.08,83.87,82.52,82.88,516500,82.26
2013-08-26,84.01,84.48,83.46,83.64,259000,83.01
2013-08-23,84.38,84.38,83.51,83.93,397500,83.30
2013-08-22,83.90,84.99,83.65,83.97,272000,83.34
2013-08-21,83.92,84.40,83.49,83.77,294500,83.14
2013-08-20,83.63,84.47,83.27,84.18,504800,83.55
2013-08-19,84.15,84.34,83.54,83.59,380200,82.96
2013-08-16,84.17,84.55,83.81,84.13,518300,83.50
2013-08-15,85.26,85.26,84.00,84.40,565600,83.77
2013-08-14,85.94,86.02,85.25,85.28,381100,84.64
2013-08-13,86.03,86.35,85.69,85.94,287400,85.30
2013-08-12,85.26,86.05,85.11,85.86,298400,85.22
2013-08-09,84.97,85.83,84.80,85.68,313600,85.04
2013-08-08,85.30,85.67,84.93,85.41,395900,84.77
2013-08-07,84.97,85.07,84.51,84.74,282300,84.11
2013-08-06,84.18,85.28,83.97,85.02,319800,84.38
2013-08-05,84.96,85.13,84.19,84.47,248300,83.84
2013-08-02,84.80,85.03,84.54,84.96,443300,84.32
2013-08-01,84.17,85.42,83.12,85.27,609800,84.63
2013-07-31,83.70,84.12,83.07,83.56,557700,82.93
2013-07-30,83.23,83.69,82.55,83.26,538000,82.64
2013-07-29,82.58,83.38,82.13,83.13,377600,82.51
2013-07-26,82.98,83.15,82.09,82.71,479100,82.09
2013-07-25,82.87,83.48,82.73,83.31,577200,82.69
2013-07-24,83.00,83.28,82.54,83.02,584300,82.40
2013-07-23,84.04,84.39,82.36,82.99,1021800,82.37
2013-07-22,85.08,85.24,83.94,83.98,813300,83.35
2013-07-19,84.27,84.62,83.50,84.46,733900,83.83
2013-07-18,83.93,84.52,83.60,83.76,572600,83.13
2013-07-17,84.25,84.51,83.49,83.90,405000,83.27
2013-07-16,84.73,84.87,83.47,83.68,611200,83.05
2013-07-15,84.03,84.65,83.86,84.23,540300,83.60
2013-07-12,83.98,84.39,83.81,84.35,711900,83.72
2013-07-11,83.62,84.26,83.52,84.08,576800,83.45
2013-07-10,82.45,82.93,82.15,82.91,608700,82.29
2013-07-09,82.41,82.99,82.25,82.35,750600,81.73
2013-07-08,81.62,82.23,81.43,82.13,808000,81.51
2013-07-05,81.27,81.62,80.62,81.29,321500,80.68
2013-07-03,80.65,81.21,80.25,80.90,309600,80.29
2013-07-02,81.01,81.68,80.48,81.09,848000,80.48
2013-07-01,80.89,82.03,80.52,81.14,551300,80.53
2013-06-28,80.51,81.14,80.10,80.42,768500,79.82
2013-06-27,81.15,81.36,80.75,80.99,396800,80.38
2013-06-26,80.94,81.37,80.43,80.98,584300,80.37
2013-06-25,81.20,81.20,80.11,80.49,513400,79.89
2013-06-24,80.61,80.70,79.67,80.21,676300,79.61
2013-06-21,80.75,81.26,80.22,80.73,1189000,80.13
2013-06-20,80.34,81.13,79.86,80.40,786600,79.80
2013-06-19,81.24,82.15,81.14,81.19,518100,80.58
2013-06-18,81.96,82.64,81.68,82.18,600600,81.56
