Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,103.78,104.31,103.32,103.62,436800,102.98
2013-12-30,103.00,104.06,103.00,103.65,328000,103.01
2013-12-27,102.94,103.97,102.94,103.18,323400,102.54
2013-12-26,102.50,103.10,102.20,102.99,382300,102.35
2013-12-24,101.89,103.18,101.59,102.36,244900,101.73
2013-12-23,102.50,102.75,101.39,101.64,702900,101.01
2013-12-20,102.31,103.00,101.65,102.12,766500,101.49
2013-12-19,101.50,102.20,100.66,101.95,567800,101.32
2013-12-18,101.02,102.06,100.40,101.86,885900,101.23
2013-12-17,101.43,101.85,100.31,101.10,608400,100.48
2013-12-16,100.54,102.20,100.54,101.60,533700,100.97
2013-12-13,101.51,101.79,100.18,100.41,879600,99.79
2013-12-12,103.65,103.82,101.29,101.38,726000,100.75
2013-12-11,103.63,104.69,103.19,103.99,887200,103.35
2013-12-10,104.64,105.04,102.90,103.20,821700,102.56
2013-12-09,104.95,106.20,104.56,104.88,697900,104.23
2013-12-06,103.13,104.42,102.82,104.32,856500,103.68
2013-12-05,103.93,104.12,102.16,102.29,1257600,101.66
2013-12-04,104.20,105.15,103.76,104.75,1125100,104.10
2013-12-03,104.62,105.18,104.02,104.98,1002900,104.33
2013-12-02,104.50,105.16,103.62,104.45,688900,103.81
2013-11-29,105.77,106.03,104.19,104.24,316200,103.60
2013-11-27,105.62,106.06,105.21,105.61,451200,104.96
2013-11-26,104.31,105.96,104.31,105.62,773300,104.97
2013-11-25,104.19,104.81,103.45,104.31,533300,103.67
2013-11-22,102.91,104.14,102.91,103.95,680700,103.31
2013-11-21,100.04,103.96,100.02,103.02,1393100,102.38
2013-11-20,101.97,104.44,99.47,101.49,2903400,100.86
2013-11-19,108.37,108.84,107.73,108.59,313600,107.92
2013-11-18,109.73,109.73,108.49,108.91,327800,108.24
2013-11-15,109.03,109.73,107.84,109.35,483000,108.68
2013-11-14,108.17,109.40,108.01,108.93,320300,108.26
2013-11-13,105.46,108.94,105.46,107.93,337500,107.26
2013-11-12,107.50,107.51,106.48,107.41,395100,106.17
2013-11-11,108.68,109.12,107.28,107.64,427800,106.40
2013-11-08,107.46,108.61,106.38,108.61,520600,107.36
2013-11-07,111.82,112.05,107.25,107.61,727000,106.37
2013-11-06,111.36,111.87,110.94,111.87,327200,110.58
2013-11-05,110.15,110.93,109.78,110.69,434600,109.41
2013-11-04,111.39,111.59,110.07,110.62,236600,109.34
2013-11-01,111.09,111.59,110.41,111.01,310100,109.73
2013-10-31,111.27,111.61,110.63,111.21,460400,109.93
2013-10-30,112.83,112.86,111.01,111.50,333600,110.21
2013-10-29,112.15,112.95,111.93,112.90,304100,111.60
2013-10-28,110.21,112.53,110.21,112.20,452600,110.91
2013-10-25,109.45,110.43,109.10,110.36,315400,109.09
2013-10-24,108.82,109.63,108.32,109.60,335200,108.34
2013-10-23,108.28,109.08,108.05,108.85,316900,107.59
2013-10-22,106.99,108.95,106.86,108.73,631500,107.48
2013-10-21,107.72,107.72,106.67,106.86,465100,105.63
2013-10-18,108.87,108.87,107.62,107.88,338000,106.64
2013-10-17,107.46,108.52,107.03,108.44,425600,107.19
2013-10-16,106.46,107.52,106.23,107.50,558900,106.26
2013-10-15,106.45,106.56,105.73,105.97,595000,104.75
2013-10-14,106.40,106.82,105.94,106.73,378400,105.50
2013-10-11,106.05,106.69,105.82,106.60,366800,105.37
2013-10-10,105.35,106.57,105.30,106.51,455200,105.28
2013-10-09,105.53,105.86,104.18,104.38,459800,103.18
2013-10-08,105.57,106.40,105.54,105.58,609500,104.36
2013-10-07,105.70,106.07,104.94,105.78,490900,104.56
2013-10-04,104.68,106.39,104.48,105.93,397200,104.71
2013-10-03,104.64,105.36,103.90,104.97,400200,103.76
2013-10-02,105.16,105.16,103.80,104.95,587200,103.74
2013-10-01,105.10,105.66,104.60,105.41,517300,104.19
2013-09-30,104.65,105.39,104.44,105.04,845300,103.83
2013-09-27,105.05,105.17,104.37,104.79,460900,103.58
2013-09-26,105.87,106.49,105.13,105.69,379500,104.47
2013-09-25,106.57,106.86,105.81,105.86,372200,104.64
2013-09-24,106.17,107.12,106.05,106.39,398400,105.16
2013-09-23,107.20,107.24,106.01,106.56,352800,105.33
2013-09-20,107.27,107.70,106.83,107.14,909500,105.90
2013-09-19,108.57,108.73,107.11,107.68,413100,106.44
2013-09-18,108.40,108.72,106.66,108.48,520200,107.23
2013-09-17,108.31,108.76,107.88,108.30,505100,107.05
2013-09-16,108.66,108.98,107.78,107.92,412500,106.68
2013-09-13,107.63,108.04,107.19,107.87,449600,106.63
2013-09-12,107.28,108.54,106.96,107.27,622300,106.03
2013-09-11,108.83,108.83,106.66,107.78,573000,106.54
2013-09-10,108.66,109.64,108.03,108.91,904900,107.65
2013-09-09,106.39,108.14,105.98,108.14,437000,106.89
2013-09-06,107.01,107.17,105.08,105.99,314500,104.77
2013-09-05,106.22,107.53,105.91,106.78,643000,105.55
2013-09-04,105.18,106.33,104.88,106.25,381100,105.02
2013-09-03,106.47,107.15,105.04,105.39,417600,104.17
2013-08-30,106.10,106.23,105.09,106.14,332300,104.92
2013-08-29,105.00,106.28,104.50,105.80,414500,104.58
2013-08-28,106.35,106.84,105.18,105.32,656400,104.11
2013-08-27,106.58,107.68,106.52,106.57,434800,105.34
2013-08-26,108.84,109.12,107.31,107.50,413100,106.26
2013-08-23,107.41,108.73,107.22,108.46,521500,107.21
2013-08-22,107.70,108.21,106.65,107.49,535400,106.25
2013-08-21,109.20,110.39,107.40,107.79,848400,106.55
2013-08-20,108.98,109.51,107.82,109.10,825400,107.84
2013-08-19,110.18,110.54,108.89,109.06,727900,107.80
2013-08-16,110.19,110.90,110.08,110.32,410200,109.05
2013-08-15,111.91,112.04,110.43,110.43,437100,109.16
2013-08-14,113.32,113.70,112.53,112.57,362000,111.27
2013-08-13,113.51,114.39,113.37,113.91,250100,112.02
2013-08-12,113.25,113.59,112.66,113.51,365600,111.63
2013-08-09,112.98,113.90,112.82,113.30,365500,111.42
2013-08-08,114.32,114.32,112.94,113.06,506300,111.19
2013-08-07,113.59,114.24,113.37,113.57,486000,111.69
2013-08-06,114.36,114.72,113.63,114.23,390800,112.34
2013-08-05,113.97,114.49,113.21,114.36,289100,112.47
2013-08-02,113.62,114.11,112.48,113.97,415300,112.08
2013-08-01,113.39,114.07,113.09,113.67,503900,111.79
2013-07-31,112.73,113.18,112.00,112.52,542200,110.66
2013-07-30,112.77,113.12,112.26,112.39,361800,110.53
2013-07-29,111.59,112.45,111.36,112.05,395100,110.19
2013-07-26,110.36,111.60,109.89,111.54,487800,109.69
2013-07-25,109.14,110.85,108.65,110.72,640800,108.89
2013-07-24,109.72,109.92,108.60,109.51,573600,107.70
2013-07-23,108.71,109.94,108.50,109.68,588900,107.86
2013-07-22,108.20,108.82,107.51,108.79,633300,106.99
2013-07-19,107.43,108.28,106.68,108.16,330400,106.37
2013-07-18,106.66,107.55,106.56,107.39,364400,105.61
2013-07-17,107.50,107.54,106.20,106.58,310100,104.81
2013-07-16,107.02,107.45,105.83,107.16,520000,105.38
2013-07-15,105.85,106.87,105.66,106.66,421100,104.89
2013-07-12,105.73,106.19,105.12,106.01,482700,104.25
2013-07-11,105.60,106.00,105.03,105.93,652400,104.17
2013-07-10,104.62,104.90,104.03,104.53,459400,102.80
2013-07-09,104.86,105.18,104.29,104.62,459800,102.89
2013-07-08,103.58,104.88,103.27,104.37,571600,102.64
2013-07-05,102.92,103.14,101.44,103.12,393500,101.41
2013-07-03,103.17,103.43,102.34,102.59,494000,100.89
2013-07-02,103.80,104.17,102.67,103.15,985800,101.44
2013-07-01,103.42,104.31,103.33,104.08,597100,102.36
2013-06-28,102.50,104.06,102.45,103.15,945200,101.44
2013-06-27,102.22,102.98,101.87,102.85,542000,101.15
2013-06-26,101.50,102.63,101.30,101.64,726400,99.96
2013-06-25,100.70,101.26,99.86,100.90,745600,99.23
2013-06-24,100.01,100.95,99.76,99.81,550000,98.16
2013-06-21,100.47,101.12,99.85,100.71,722600,99.04
2013-06-20,101.78,102.29,99.88,99.98,801500,98.32
2013-06-19,103.50,103.76,102.31,102.38,744300,100.68
2013-06-18,103.07,104.18,102.87,103.66,326300,101.94
2013-06-17,103.12,103.82,102.76,103.24,393100,101.53
2013-06-14,101.46,103.29,101.46,103.01,635200,101.30
2013-06-13,100.96,102.44,100.59,102.17,616800,100.48
2013-06-12,101.32,101.43,100.41,100.83,673900,99.16
2013-06-11,99.65,100.69,99.37,100.51,862500,98.84
2013-06-10,101.49,101.49,99.71,100.24,922200,98.58
2013-06-07,98.98,102.11,98.97,101.39,1106900,99.71
2013-06-06,103.80,103.88,96.75,98.38,1910200,96.75
2013-06-05,102.25,102.98,102.14,102.37,860000,100.67
2013-06-04,102.14,103.18,101.90,102.64,670000,100.94
