Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,26.17,26.40,26.16,26.28,2198500,26.12
2013-12-30,26.00,26.10,25.88,26.07,1858500,25.91
2013-12-27,26.06,26.06,25.96,26.01,993600,25.85
2013-12-26,26.20,26.22,25.74,26.05,1708500,25.89
2013-12-24,25.92,26.13,25.92,26.05,816800,25.89
2013-12-23,26.22,26.22,25.90,25.95,2548700,25.79
2013-12-20,26.00,26.08,25.76,25.95,3484700,25.79
2013-12-19,25.98,26.03,25.85,25.94,3236000,25.78
2013-12-18,25.58,26.04,25.38,26.00,3471100,25.84
2013-12-17,25.78,25.79,25.41,25.58,3342300,25.42
2013-12-16,25.84,25.97,25.60,25.76,2493000,25.60
2013-12-13,25.70,25.88,25.59,25.76,2609200,25.60
2013-12-12,25.73,25.80,25.18,25.58,5898800,25.42
2013-12-11,26.45,26.47,25.79,25.79,9779200,25.63
2013-12-10,26.46,26.80,26.33,26.35,3290400,26.19
2013-12-09,26.53,26.77,26.50,26.66,3314300,26.50
2013-12-06,26.47,26.52,26.16,26.44,3747200,26.28
2013-12-05,26.52,26.61,26.13,26.15,2399400,25.99
2013-12-04,26.28,26.58,26.17,26.55,2509600,26.39
2013-12-03,26.43,26.55,26.36,26.52,2285000,26.21
2013-12-02,26.54,26.75,26.44,26.46,1924400,26.15
2013-11-29,26.63,26.81,26.48,26.65,1111200,26.34
2013-11-27,26.49,26.60,26.44,26.60,1362200,26.29
2013-11-26,26.33,26.60,25.42,26.45,2154500,26.14
2013-11-25,26.27,26.37,26.21,26.36,1904400,26.05
2013-11-22,26.25,26.25,26.09,26.25,1941200,25.94
2013-11-21,26.07,26.18,25.65,26.12,2687400,25.81
2013-11-20,26.15,26.16,25.86,25.90,2668800,25.59
2013-11-19,26.04,26.11,25.92,25.98,3218400,25.67
2013-11-18,26.27,26.40,26.07,26.09,3775400,25.78
2013-11-15,26.19,26.39,26.14,26.27,2017200,25.96
2013-11-14,25.81,26.28,25.77,26.28,4839600,25.97
2013-11-13,25.53,25.87,25.22,25.85,2627600,25.55
2013-11-12,25.35,25.85,25.21,25.68,3049100,25.38
2013-11-11,25.04,25.49,25.00,25.39,2926900,25.09
2013-11-08,24.89,25.18,24.61,25.10,2624300,24.80
2013-11-07,25.31,25.55,24.93,24.93,2775200,24.64
2013-11-06,25.45,25.45,25.16,25.36,1771200,25.06
2013-11-05,25.11,25.32,25.04,25.24,2339400,24.94
2013-11-04,25.32,25.33,25.07,25.19,1579400,24.89
2013-11-01,25.31,25.41,25.03,25.25,2323300,24.95
2013-10-31,25.64,25.71,25.36,25.37,2558200,25.07
2013-10-30,25.99,26.00,25.58,25.62,1349500,25.32
2013-10-29,25.78,25.96,25.64,25.89,1894600,25.59
2013-10-28,25.81,25.89,25.65,25.72,3121800,25.42
2013-10-25,25.71,25.77,25.59,25.73,2021000,25.43
2013-10-24,25.61,25.80,25.60,25.70,2622300,25.40
2013-10-23,25.98,26.07,25.62,25.67,3426200,25.37
2013-10-22,25.99,26.28,25.91,26.13,2738300,25.82
2013-10-21,25.84,26.00,25.72,25.95,1991300,25.64
2013-10-18,25.86,25.87,25.59,25.79,1835100,25.49
2013-10-17,25.68,25.94,25.32,25.71,3145800,25.41
2013-10-16,25.45,25.82,25.26,25.73,3867500,25.43
2013-10-15,25.17,25.36,25.00,25.17,2799000,24.87
2013-10-14,24.89,25.29,24.88,25.21,3118100,24.91
2013-10-11,24.73,25.15,24.66,25.09,2100200,24.79
2013-10-10,24.41,24.84,24.32,24.72,3236400,24.43
2013-10-09,24.39,24.40,23.93,24.17,3319400,23.89
2013-10-08,24.66,24.80,24.23,24.28,2748300,23.99
2013-10-07,24.90,24.95,24.62,24.70,1617400,24.41
2013-10-04,24.64,25.15,24.53,25.06,2431500,24.76
2013-10-03,24.73,24.88,24.45,24.60,2869900,24.31
2013-10-02,24.64,24.83,24.60,24.81,2478700,24.52
2013-10-01,24.97,24.99,24.62,24.88,3146800,24.59
2013-09-30,24.94,25.11,24.75,24.90,3268900,24.61
2013-09-27,25.05,25.20,24.94,25.14,1460600,24.84
2013-09-26,25.10,25.40,24.87,25.20,2134900,24.90
2013-09-25,24.73,25.18,24.73,25.09,2244500,24.79
2013-09-24,24.87,25.14,24.72,24.98,2778200,24.69
2013-09-23,24.92,24.92,24.61,24.82,2062200,24.53
2013-09-20,25.26,25.35,25.05,25.07,3988400,24.77
2013-09-19,25.40,25.49,25.20,25.31,4518900,25.01
2013-09-18,24.92,25.38,24.83,25.29,3081300,24.99
2013-09-17,24.77,24.98,24.73,24.93,1917900,24.64
2013-09-16,24.98,25.00,24.73,24.83,1977500,24.54
2013-09-13,24.90,24.92,24.69,24.77,1547300,24.48
2013-09-12,24.93,24.97,24.81,24.90,1854100,24.61
2013-09-11,24.76,24.95,24.68,24.94,3491300,24.65
2013-09-10,24.78,24.90,24.63,24.76,1915100,24.47
2013-09-09,24.24,24.69,24.16,24.69,2699200,24.40
2013-09-06,24.36,24.36,23.89,24.15,2431700,23.87
2013-09-05,24.31,24.52,24.12,24.17,2870600,23.89
2013-09-04,24.11,24.37,24.04,24.20,3896500,23.92
2013-09-03,24.36,24.36,24.08,24.33,1804300,23.90
2013-08-30,24.15,24.24,23.89,23.99,1781600,23.56
2013-08-29,23.95,24.30,23.86,24.08,1902300,23.65
2013-08-28,23.96,24.11,23.84,23.98,3022600,23.55
2013-08-27,24.56,24.57,23.90,23.98,3244800,23.55
2013-08-26,25.10,25.11,24.75,24.76,2277400,24.32
2013-08-23,24.94,25.07,24.57,25.00,2191500,24.55
2013-08-22,24.76,25.10,24.71,24.96,1054300,24.51
2013-08-21,24.83,24.93,24.61,24.72,1625300,24.28
2013-08-20,24.52,24.96,24.29,24.84,2011900,24.40
2013-08-19,24.69,24.94,24.49,24.50,2915100,24.06
2013-08-16,24.53,25.02,24.41,24.82,2773900,24.38
2013-08-15,24.58,24.77,24.20,24.64,2321000,24.20
