Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,15.97,16.04,15.80,15.89,3562400,15.73
2013-12-30,15.86,16.01,15.84,15.97,3651600,15.81
2013-12-27,15.87,15.95,15.70,15.79,6445800,15.63
2013-12-26,15.92,16.00,15.83,15.89,3231500,15.73
2013-12-24,15.69,16.00,15.55,15.91,3565700,15.75
2013-12-23,15.68,16.02,15.61,15.93,7438400,15.65
2013-12-20,15.69,15.90,15.60,15.73,13684200,15.45
2013-12-19,15.46,15.67,15.46,15.58,5218600,15.30
2013-12-18,15.21,15.69,15.17,15.62,9505400,15.34
2013-12-17,15.37,15.43,14.98,15.22,12590500,14.95
2013-12-16,15.55,15.70,15.37,15.41,7788200,15.14
2013-12-13,15.60,15.71,15.43,15.43,7729900,15.16
2013-12-12,15.83,15.97,15.49,15.51,12045200,15.23
2013-12-11,16.12,16.18,15.82,15.88,7174300,15.60
2013-12-10,15.99,16.21,15.89,16.15,7979700,15.86
2013-12-09,15.99,16.12,15.90,16.04,9214400,15.75
2013-12-06,15.87,16.00,15.68,15.96,14848200,15.68
2013-12-05,15.38,15.77,15.31,15.67,8691000,15.39
2013-12-04,15.40,15.79,15.39,15.40,8744900,15.13
2013-12-03,15.39,15.57,15.27,15.55,7199300,15.27
2013-12-02,15.60,15.62,15.43,15.48,4294900,15.20
2013-11-29,15.39,15.66,15.19,15.53,2873500,15.25
2013-11-27,15.37,15.52,15.23,15.46,6202600,15.19
2013-11-26,15.50,15.60,15.27,15.32,8660100,15.05
2013-11-25,15.51,15.69,15.42,15.50,6766700,15.22
2013-11-22,15.49,15.60,15.43,15.48,7120000,15.20
2013-11-21,15.22,15.60,15.07,15.50,11845400,15.22
2013-11-20,15.39,15.48,14.87,15.10,20029500,14.83
2013-11-19,15.47,15.66,15.28,15.34,15970200,15.07
2013-11-18,15.57,15.67,15.39,15.49,11009100,15.21
2013-11-15,15.72,15.88,15.47,15.57,13757900,15.29
2013-11-14,15.93,15.99,15.69,15.75,7983700,15.47
2013-11-13,15.70,15.92,15.70,15.92,6778200,15.64
2013-11-12,15.81,15.97,15.70,15.83,4451300,15.55
2013-11-11,15.75,15.95,15.68,15.88,6132100,15.60
2013-11-08,15.54,15.77,15.51,15.73,7094200,15.45
2013-11-07,16.09,16.15,15.46,15.50,7281200,15.22
2013-11-06,16.18,16.18,15.92,16.05,5385000,15.76
2013-11-05,16.07,16.17,15.87,16.08,5415700,15.79
2013-11-04,16.20,16.34,16.09,16.18,4921900,15.89
2013-11-01,16.47,16.67,15.97,16.18,9471000,15.89
2013-10-31,15.78,16.23,15.78,16.13,6996900,15.84
2013-10-30,16.13,16.17,15.59,15.75,8086400,15.47
2013-10-29,16.09,16.22,16.01,16.11,5196900,15.82
2013-10-28,15.98,16.20,15.96,16.07,4137800,15.78
2013-10-25,16.10,16.13,15.84,16.01,4324900,15.73
2013-10-24,15.75,16.07,15.74,16.05,5961100,15.76
2013-10-23,15.86,15.95,15.68,15.75,8657900,15.47
2013-10-22,16.08,16.26,15.98,16.08,7023900,15.79
2013-10-21,16.04,16.05,15.86,15.98,5088900,15.70
2013-10-18,15.66,15.92,15.63,15.91,4869200,15.63
2013-10-17,15.55,15.73,15.44,15.61,5679400,15.33
2013-10-16,15.14,15.71,15.13,15.58,10636300,15.30
2013-10-15,15.06,15.22,14.95,15.06,6413800,14.79
2013-10-14,14.87,15.17,14.83,15.14,6000400,14.87
2013-10-11,14.83,15.00,14.72,14.92,5741400,14.65
2013-10-10,14.68,14.99,14.63,14.91,5383500,14.64
2013-10-09,14.48,14.57,14.22,14.49,7065000,14.23
2013-10-08,14.81,14.97,14.38,14.44,6276300,14.18
2013-10-07,14.68,14.92,14.67,14.84,5646000,14.58
2013-10-04,14.80,14.89,14.71,14.80,7462200,14.54
2013-10-03,15.06,15.20,14.78,14.81,8504700,14.55
2013-10-02,14.75,15.23,14.60,15.14,9660500,14.87
2013-10-01,14.65,14.84,14.57,14.80,5829700,14.54
2013-09-30,14.48,14.75,14.37,14.65,6633900,14.39
2013-09-27,14.67,14.73,14.51,14.59,4266400,14.33
2013-09-26,14.81,14.94,14.65,14.77,4577900,14.51
2013-09-25,14.77,14.85,14.67,14.76,5037000,14.50
2013-09-24,14.84,14.98,14.77,14.87,15690200,14.49
2013-09-23,14.78,14.82,14.58,14.75,16122700,14.37
2013-09-20,14.83,14.96,14.73,14.81,19600400,14.43
2013-09-19,15.15,15.22,14.73,14.78,9543200,14.40
2013-09-18,14.88,15.20,14.75,15.12,13142500,14.73
2013-09-17,14.74,15.00,14.74,14.96,5751600,14.58
2013-09-16,14.69,14.82,14.54,14.76,7942200,14.38
2013-09-13,14.59,14.70,14.38,14.43,7118500,14.06
2013-09-12,14.73,14.79,14.54,14.57,7822200,14.20
2013-09-11,14.51,14.87,14.50,14.73,8061100,14.35
2013-09-10,14.30,14.62,14.29,14.55,9005100,14.18
2013-09-09,14.09,14.29,14.04,14.25,4693500,13.88
2013-09-06,14.05,14.23,13.83,14.07,5834700,13.71
2013-09-05,13.96,14.19,13.90,14.04,5016900,13.68
2013-09-04,13.88,14.07,13.77,13.88,6316000,13.52
2013-09-03,14.10,14.21,13.72,13.83,7355800,13.47
2013-08-30,13.78,14.04,13.75,13.91,9205600,13.55
2013-08-29,14.12,14.28,13.98,14.05,6470400,13.69
2013-08-28,14.01,14.19,13.92,14.12,9971200,13.76
2013-08-27,14.21,14.28,13.93,14.01,8909100,13.65
2013-08-26,14.24,14.46,14.15,14.37,8814000,14.00
2013-08-23,13.92,14.27,13.90,14.20,13915500,13.83
2013-08-22,14.34,14.34,13.90,14.07,10872000,13.71
2013-08-21,14.74,14.92,14.05,14.27,45490400,13.90
2013-08-20,16.43,17.01,16.43,16.84,10242300,16.41
2013-08-19,16.74,16.77,16.39,16.41,5560700,15.99
2013-08-16,16.68,16.92,16.66,16.84,5564400,16.41
2013-08-15,16.93,17.02,16.51,16.73,7219800,16.30
2013-08-14,17.21,17.26,17.02,17.17,3765000,16.73
2013-08-13,17.16,17.30,17.11,17.18,4507100,16.74
2013-08-12,16.78,17.26,16.78,17.24,4090500,16.80
2013-08-09,16.76,17.04,16.67,16.95,4258600,16.51
2013-08-08,16.95,16.99,16.77,16.86,6463600,16.43
2013-08-07,16.99,16.99,16.78,16.79,5277800,16.36
2013-08-06,17.19,17.20,16.82,17.08,4905600,16.64
2013-08-05,17.03,17.24,16.97,17.22,5869900,16.78
2013-08-02,17.07,17.19,16.96,17.00,4241100,16.56
2013-08-01,17.17,17.22,17.06,17.19,3489200,16.75
2013-07-31,16.92,17.19,16.85,17.02,9232000,16.58
2013-07-30,16.53,17.04,16.53,16.90,6713600,16.47
2013-07-29,16.42,16.60,16.26,16.53,2516400,16.11
2013-07-26,16.30,16.54,16.27,16.54,2916200,16.11
2013-07-25,16.02,16.50,16.01,16.50,6983900,16.08
2013-07-24,16.57,16.68,15.99,16.12,8642300,15.71
2013-07-23,16.65,16.68,16.52,16.56,3658100,16.13
2013-07-22,16.59,16.68,16.46,16.60,3381100,16.17
2013-07-19,16.60,16.66,16.33,16.47,5786400,16.05
2013-07-18,16.60,16.81,16.46,16.60,6358800,16.17
2013-07-17,16.60,16.76,16.44,16.55,4231000,16.12
2013-07-16,16.63,16.71,16.45,16.51,4054500,16.09
2013-07-15,16.67,16.72,16.61,16.64,2731200,16.21
2013-07-12,16.63,16.74,16.59,16.73,5304400,16.30
2013-07-11,16.50,16.70,16.43,16.67,6540600,16.24
2013-07-10,16.25,16.47,16.24,16.36,6102300,15.94
2013-07-09,16.20,16.40,16.11,16.31,4370200,15.89
2013-07-08,15.90,16.12,15.90,16.01,5961100,15.60
2013-07-05,15.59,16.00,15.58,15.98,5823600,15.57
2013-07-03,16.11,16.17,15.85,15.90,3557900,15.49
2013-07-02,15.96,16.53,15.96,16.30,7370500,15.88
2013-07-01,15.93,16.15,15.90,16.04,5140700,15.63
2013-06-28,15.63,16.11,15.63,15.87,9610500,15.46
2013-06-27,15.82,15.99,15.67,15.74,6492300,15.34
