Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,89.69,89.99,89.54,89.76,892200,89.14
2013-12-30,89.25,89.76,88.97,89.49,1081100,88.88
2013-12-27,89.50,89.50,88.69,89.19,669700,88.58
2013-12-26,89.55,89.82,89.06,89.45,1700300,88.21
2013-12-24,88.79,89.63,88.46,89.46,729200,88.22
2013-12-23,89.99,90.00,88.66,88.97,1378900,87.74
2013-12-20,88.46,90.42,88.46,89.80,1926900,88.56
2013-12-19,87.91,88.44,87.11,88.31,949900,87.09
2013-12-18,87.37,88.47,86.00,88.44,2059600,87.21
2013-12-17,87.18,87.31,86.41,87.25,1173600,86.04
2013-12-16,86.91,87.44,86.56,86.90,517900,85.70
2013-12-13,86.71,86.95,86.23,86.49,513500,85.29
2013-12-12,86.82,87.68,86.56,86.61,811700,85.41
2013-12-11,87.87,87.88,86.73,86.84,914200,85.64
2013-12-10,87.80,88.49,87.26,87.88,1781300,86.66
2013-12-09,88.01,88.20,87.28,87.74,892700,86.52
2013-12-06,87.86,88.67,87.44,88.07,1145700,86.85
2013-12-05,87.76,87.95,87.13,87.38,800600,86.17
2013-12-04,87.66,88.07,86.92,87.99,1109600,86.77
2013-12-03,87.80,88.56,87.60,88.30,1045400,87.08
2013-12-02,88.31,89.07,87.62,88.06,1467700,86.84
2013-11-29,87.61,88.90,87.61,88.44,615800,87.21
2013-11-27,88.18,88.54,87.83,88.52,1679900,87.29
2013-11-26,88.78,88.90,87.62,88.36,2454800,87.14
2013-11-25,89.63,90.23,89.21,89.33,980400,88.09
2013-11-22,89.59,89.90,88.81,89.49,1126600,88.25
2013-11-21,89.65,90.40,89.43,89.81,1008600,88.57
2013-11-20,90.51,91.04,89.18,89.32,660700,88.08
2013-11-19,90.86,90.98,90.35,90.51,745000,89.26
2013-11-18,91.40,91.48,90.62,90.99,618100,89.73
2013-11-15,89.78,91.18,89.70,91.16,1120300,89.90
2013-11-14,89.96,90.47,89.62,90.00,1227100,88.75
2013-11-13,88.51,89.79,88.10,89.49,1163000,88.25
2013-11-12,89.56,89.65,88.32,88.83,585000,87.60
2013-11-11,89.50,90.15,89.33,89.64,797700,88.40
2013-11-08,89.72,89.75,88.04,89.63,1676600,88.39
2013-11-07,92.00,92.22,89.96,90.14,1332700,88.89
2013-11-06,90.50,92.57,90.33,91.97,2152600,90.70
2013-11-05,91.92,92.93,90.46,90.48,1643900,89.23
2013-11-04,92.08,93.00,91.14,91.93,744600,90.66
2013-11-01,91.31,91.93,90.94,91.72,925100,90.45
2013-10-31,91.64,92.08,90.68,91.14,998000,89.88
2013-10-30,91.96,92.74,91.43,91.82,830700,90.55
2013-10-29,91.20,92.19,90.80,92.10,941200,90.82
2013-10-28,91.22,91.88,90.67,91.16,884500,89.90
2013-10-25,89.97,91.25,89.55,91.21,755000,89.95
2013-10-24,90.72,90.75,89.54,90.07,786400,88.82
2013-10-23,90.92,91.37,90.19,90.62,685900,89.36
2013-10-22,90.07,91.21,88.33,90.76,914400,89.50
2013-10-21,90.31,90.73,89.48,89.76,891300,88.52
2013-10-18,89.91,90.75,89.67,90.43,1323200,89.18
2013-10-17,87.50,89.62,86.99,89.51,1152600,88.27
2013-10-16,87.00,87.86,86.61,87.69,1135800,86.47
2013-10-15,86.72,86.79,85.60,85.66,983600,84.47
2013-10-14,87.29,87.56,86.08,87.05,776400,85.84
2013-10-11,86.92,87.74,86.92,87.51,719500,86.30
2013-10-10,85.70,87.45,85.42,87.25,1116300,86.04
2013-10-09,85.39,86.54,85.12,85.23,1005500,84.05
2013-10-08,85.36,86.17,84.89,85.43,1152000,84.25
2013-10-07,85.03,85.99,84.99,85.46,686900,84.28
2013-10-04,85.40,85.96,85.29,85.49,1141500,84.31
2013-10-03,85.50,85.80,85.04,85.41,1172400,84.23
2013-10-02,85.11,85.67,84.55,85.62,1290800,84.43
2013-10-01,85.57,85.62,84.83,85.35,1543500,84.17
2013-09-30,86.07,86.51,85.07,85.60,1757400,84.41
2013-09-27,86.58,87.12,86.36,86.62,875300,85.42
2013-09-26,86.72,87.56,86.55,87.04,715600,85.83
2013-09-25,87.39,87.51,86.56,86.72,1019200,85.52
2013-09-24,87.99,88.46,87.64,87.71,903200,85.87
2013-09-23,86.75,88.48,86.41,88.03,843100,86.19
2013-09-20,87.82,88.00,86.41,86.75,1499600,84.93
2013-09-19,88.77,89.46,87.40,87.83,1458300,85.99
2013-09-18,86.07,89.08,85.81,88.77,1738200,86.91
2013-09-17,85.40,86.37,85.30,86.08,977000,84.28
