Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,70.00,70.58,69.83,70.38,907900,70.38
2013-12-30,69.99,70.37,69.49,69.74,1278500,69.74
2013-12-27,70.50,70.53,69.74,70.07,568800,70.07
2013-12-26,69.98,70.32,69.55,70.10,502600,70.10
2013-12-24,69.71,70.03,69.62,69.71,252100,69.71
2013-12-23,69.97,70.16,69.40,69.69,963500,69.69
2013-12-20,69.57,70.16,69.17,69.70,1712800,69.70
2013-12-19,69.80,69.93,69.15,69.48,1386200,69.48
2013-12-18,70.42,70.57,68.17,69.88,2239800,69.88
2013-12-17,70.57,70.76,69.82,70.17,720000,70.17
2013-12-16,69.72,70.94,69.72,70.57,1153500,70.57
2013-12-13,70.24,70.47,69.02,69.32,1215600,69.32
2013-12-12,69.94,70.35,69.41,70.09,1107700,70.09
2013-12-11,71.22,71.62,69.88,70.08,1666600,70.08
2013-12-10,70.49,71.28,70.31,70.98,1397000,70.98
2013-12-09,70.81,71.42,70.60,70.61,797100,70.61
2013-12-06,70.48,71.07,70.45,70.65,1018100,70.65
2013-12-05,71.37,71.37,69.66,70.08,1513000,70.08
2013-12-04,70.78,71.44,70.30,71.28,1237700,71.28
2013-12-03,70.47,71.22,70.35,71.19,848800,71.19
2013-12-02,70.67,71.03,70.27,70.72,720500,70.72
2013-11-29,71.02,71.10,70.23,70.41,280600,70.41
2013-11-27,70.47,71.18,70.22,70.99,636900,70.99
2013-11-26,69.41,70.72,69.25,70.49,1668800,70.49
2013-11-25,70.45,70.90,69.01,69.15,1904700,69.15
2013-11-22,69.43,70.40,69.21,70.36,862600,70.36
2013-11-21,69.03,69.50,68.91,69.35,705300,69.35
2013-11-20,69.09,69.45,68.70,69.02,1141800,69.02
2013-11-19,69.00,69.31,68.83,69.06,947700,69.06
2013-11-18,69.23,69.45,68.94,69.23,1577400,69.23
2013-11-15,68.35,69.79,68.24,69.14,2760900,69.14
2013-11-14,67.52,68.15,67.52,68.07,1193400,68.07
2013-11-13,66.62,67.40,66.36,67.30,1233100,67.30
2013-11-12,66.54,67.08,66.28,67.04,1060100,67.04
2013-11-11,66.69,66.97,66.56,66.70,605400,66.70
2013-11-08,65.65,66.76,65.65,66.76,1428000,66.76
2013-11-07,66.62,66.69,65.49,65.65,1371000,65.65
2013-11-06,66.20,66.61,65.74,66.41,1207800,66.41
2013-11-05,65.45,66.17,65.23,66.07,1067200,66.07
2013-11-04,65.68,65.98,65.25,65.78,963700,65.78
2013-11-01,65.45,65.68,65.09,65.60,1610400,65.60
2013-10-31,64.59,65.42,64.49,65.30,2167000,65.30
2013-10-30,65.67,65.79,64.49,64.69,1093800,64.69
2013-10-29,65.05,65.67,65.05,65.64,1470700,65.64
2013-10-28,64.02,65.17,63.75,65.01,1672600,65.01
2013-10-25,63.90,64.40,63.56,63.91,1347900,63.91
2013-10-24,64.11,64.41,63.69,63.85,2068100,63.85
2013-10-23,64.33,64.52,63.47,63.99,1167600,63.99
2013-10-22,64.62,64.95,64.11,64.42,1421400,64.42
2013-10-21,64.47,64.58,63.93,64.42,934200,64.42
2013-10-18,64.10,64.35,63.58,64.33,1319400,64.33
2013-10-17,62.97,64.07,62.76,63.89,1430800,63.89
2013-10-16,62.74,63.64,62.69,63.27,1125800,63.27
2013-10-15,63.20,63.35,62.12,62.30,914000,62.30
2013-10-14,62.54,63.44,62.30,63.18,1367600,63.18
2013-10-11,61.25,63.05,61.02,62.99,3482100,62.99
2013-10-10,60.22,60.98,59.81,60.95,1289900,60.95
2013-10-09,59.98,60.14,59.25,59.65,1440100,59.65
2013-10-08,61.11,61.18,59.60,59.84,2156700,59.84
2013-10-07,61.60,61.85,60.98,61.11,1684200,61.11
2013-10-04,60.15,62.15,60.07,61.97,4634600,61.97
2013-10-03,58.83,60.59,58.50,60.15,4622700,60.15
2013-10-02,57.72,58.26,57.09,58.26,1870900,58.26
2013-10-01,57.33,57.94,57.23,57.89,1536100,57.89
2013-09-30,56.66,57.44,56.49,57.40,1288500,57.40
2013-09-27,57.22,57.39,56.73,56.98,1044400,56.98
2013-09-26,57.54,57.94,57.21,57.55,681300,57.55
2013-09-25,57.53,57.77,57.29,57.47,936000,57.47
2013-09-24,57.50,58.08,57.07,57.40,1174000,57.40
2013-09-23,57.26,57.68,56.78,57.47,1425800,57.47
2013-09-20,58.52,58.73,57.07,57.24,3905200,57.24
2013-09-19,59.92,59.92,58.67,58.68,1342800,58.68
2013-09-18,59.30,59.81,58.90,59.67,1516800,59.67
2013-09-17,58.97,59.55,58.92,59.35,1904400,59.35
2013-09-16,59.45,59.64,58.75,58.82,1252500,58.82
2013-09-13,58.04,58.71,57.89,58.70,2550300,58.70
2013-09-12,58.42,58.53,58.00,58.04,1145000,58.04
2013-09-11,58.24,58.63,57.98,58.39,1221300,58.39
2013-09-10,58.18,58.32,57.70,58.24,1106100,58.24
2013-09-09,57.70,58.20,57.42,57.93,1278200,57.93
2013-09-06,57.56,58.20,56.96,57.68,3919800,57.68
2013-09-05,56.00,56.68,55.85,56.52,1977600,56.52
2013-09-04,55.13,56.22,54.93,56.01,2870900,56.01
2013-09-03,55.20,55.62,54.22,55.18,1885500,55.18
2013-08-30,54.50,54.70,53.98,54.25,949900,54.25
2013-08-29,54.33,55.02,54.22,54.57,723000,54.57
2013-08-28,54.62,54.85,54.23,54.59,1100600,54.59
2013-08-27,55.07,55.45,54.75,55.00,1061900,55.00
2013-08-26,55.90,55.90,55.58,55.69,1540100,55.69
2013-08-23,55.34,56.00,55.14,55.86,1824600,55.86
2013-08-22,53.94,55.27,53.94,55.18,1130800,55.18
2013-08-21,53.98,54.25,53.12,53.94,1429100,53.94
2013-08-20,53.80,54.60,53.64,54.21,776900,54.21
2013-08-19,53.78,54.39,53.62,53.83,943300,53.83
2013-08-16,53.42,54.04,53.17,53.94,1107500,53.94
2013-08-15,53.78,53.99,53.34,53.61,1303500,53.61
2013-08-14,54.70,54.74,54.39,54.43,1068500,54.43
2013-08-13,54.13,54.91,53.92,54.71,1260500,54.71
2013-08-12,53.99,54.09,53.68,54.07,712900,54.07
2013-08-09,54.50,54.76,54.18,54.26,1211200,54.26
2013-08-08,54.10,54.80,53.98,54.67,1108500,54.67
2013-08-07,54.04,54.21,53.88,53.97,1526700,53.97
2013-08-06,54.02,54.22,53.80,54.11,1601300,54.11
2013-08-05,53.30,54.03,53.30,54.02,1131100,54.02
2013-08-02,53.14,53.72,52.95,53.42,982200,53.42
2013-08-01,52.50,53.45,52.50,53.09,1598700,53.09
2013-07-31,51.73,52.52,51.63,52.09,1948100,52.09
2013-07-30,51.33,51.98,51.33,51.53,1424100,51.53
