Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,39.36,39.76,39.17,39.33,1546800,39.33
2013-12-30,39.49,39.81,39.10,39.46,2371100,39.46
2013-12-27,39.65,39.88,39.45,39.73,1296500,39.73
2013-12-26,40.17,40.39,39.57,39.68,1605600,39.68
2013-12-24,40.18,40.22,40.00,40.18,618400,40.18
2013-12-23,39.69,40.46,39.65,40.12,2467400,40.12
2013-12-20,39.54,39.89,39.29,39.32,3078500,39.32
2013-12-19,38.43,39.62,38.43,39.50,4596900,39.50
2013-12-18,38.58,38.62,37.82,38.44,4887100,38.44
2013-12-17,38.00,38.65,37.85,38.58,5640300,38.58
2013-12-16,38.62,38.65,37.63,37.96,4579900,37.96
2013-12-13,38.57,38.85,38.32,38.58,3244900,38.58
2013-12-12,38.26,38.98,38.04,38.65,2998000,38.65
2013-12-11,38.95,39.00,38.07,38.19,4855900,38.19
2013-12-10,39.32,39.65,38.85,39.03,2399500,39.03
2013-12-09,38.84,39.50,38.84,39.38,3406500,39.38
2013-12-06,39.43,39.87,38.51,38.68,3707800,38.68
2013-12-05,38.07,39.03,38.00,38.97,3937700,38.97
2013-12-04,38.74,38.90,38.05,38.20,2843400,38.20
2013-12-03,39.13,39.17,38.65,38.84,3034100,38.84
2013-12-02,39.44,39.69,39.10,39.19,4775300,39.19
2013-11-29,39.03,39.05,38.53,38.66,934400,38.66
2013-11-27,38.63,38.97,38.41,38.84,2077000,38.84
2013-11-26,39.29,39.29,38.70,38.72,3086400,38.72
2013-11-25,39.12,39.62,38.77,39.23,4683600,39.23
2013-11-22,38.70,39.15,38.61,39.14,3760000,39.14
2013-11-21,38.00,39.18,37.92,38.69,4315600,38.69
2013-11-20,37.26,38.28,37.26,37.89,4224500,37.89
2013-11-19,36.25,37.70,36.09,37.44,5558200,37.44
2013-11-18,35.70,36.80,35.70,36.30,3757800,36.30
2013-11-15,36.07,36.50,36.07,36.47,3273300,36.47
2013-11-14,35.87,36.25,35.59,35.94,2752600,35.94
2013-11-13,35.53,35.97,35.44,35.92,3106800,35.92
2013-11-12,36.01,36.26,35.67,35.81,2713000,35.81
2013-11-11,36.23,36.28,35.90,35.92,2271000,35.92
2013-11-08,35.68,36.35,35.68,36.15,3120400,36.15
2013-11-07,36.70,36.80,35.58,35.68,4790300,35.68
2013-11-06,36.95,37.25,36.42,36.62,3303500,36.62
2013-11-05,37.59,37.82,36.66,36.72,4954000,36.72
2013-11-04,38.41,38.47,37.56,37.85,5102200,37.85
2013-11-01,38.69,39.10,37.29,38.20,8390600,38.20
2013-10-31,37.52,37.63,36.94,37.22,5333200,37.22
2013-10-30,37.52,37.82,37.02,37.49,3582000,37.49
2013-10-29,37.14,37.54,37.07,37.47,2601400,37.47
2013-10-28,37.01,37.24,36.64,37.12,3183600,37.12
2013-10-25,36.90,37.36,36.64,37.13,3289900,37.13
2013-10-24,36.14,36.91,36.12,36.76,2761700,36.76
2013-10-23,36.52,36.60,35.80,36.26,2826300,36.26
2013-10-22,36.38,37.34,36.37,36.73,5430200,36.73
2013-10-21,36.45,36.64,36.11,36.36,2346600,36.36
2013-10-18,36.75,36.75,36.06,36.47,3208000,36.47
2013-10-17,36.89,36.96,36.39,36.53,2337400,36.53
2013-10-16,36.86,37.23,36.72,37.02,2826000,37.02
2013-10-15,36.22,36.97,36.08,36.58,3600700,36.58
2013-10-14,35.71,36.46,35.71,36.23,3819200,36.23
2013-10-11,35.40,35.99,35.25,35.90,4483000,35.90
2013-10-10,35.58,35.99,35.30,35.54,5567300,35.54
2013-10-09,35.54,35.60,34.88,35.16,6939900,35.16
2013-10-08,35.99,36.04,35.33,35.54,3563500,35.54
2013-10-07,35.59,36.20,35.00,35.86,3724600,35.86
2013-10-04,35.75,36.12,35.56,35.89,2263000,35.89
2013-10-03,35.96,36.09,35.50,35.70,2211300,35.70
2013-10-02,36.17,36.36,35.77,36.06,2750900,36.06
2013-10-01,36.25,37.08,36.19,36.28,3330600,36.28
2013-09-30,36.06,36.57,36.06,36.38,3707600,36.38
2013-09-27,36.99,37.04,36.30,36.44,3399800,36.44
2013-09-26,37.01,37.28,36.66,37.25,2817500,37.25
2013-09-25,37.03,37.30,36.87,37.01,3664100,37.01
2013-09-24,37.11,37.30,36.95,37.02,3648200,37.02
2013-09-23,36.83,37.33,36.54,37.15,3711600,37.15
2013-09-20,37.07,37.32,36.86,37.06,5602200,37.06
2013-09-19,38.05,38.15,37.17,37.18,4485100,37.18
2013-09-18,37.69,38.07,37.33,37.95,4035900,37.95
2013-09-17,37.91,38.14,37.59,37.71,5665900,37.71
2013-09-16,38.21,38.28,37.76,37.91,4250100,37.91
2013-09-13,38.34,38.34,37.77,37.93,5095100,37.93
2013-09-12,38.46,38.82,38.09,38.30,2752900,38.30
2013-09-11,38.07,38.49,37.55,38.49,2756100,38.49
2013-09-10,38.23,38.26,37.71,38.02,3216600,38.02
2013-09-09,37.80,38.27,37.60,38.14,3545500,38.14
2013-09-06,37.98,38.12,37.46,37.63,2709100,37.63
2013-09-05,38.42,38.63,37.81,37.96,2774500,37.96
2013-09-04,38.25,38.53,37.79,38.31,2541400,38.31
2013-09-03,38.65,38.85,38.06,38.34,2341000,38.34
2013-08-30,38.31,38.71,38.06,38.20,3083500,38.20
2013-08-29,38.17,38.48,37.82,38.27,3506700,38.27
2013-08-28,38.07,38.65,37.89,38.23,2473200,38.23
2013-08-27,37.82,38.13,37.67,38.02,2468600,38.02
2013-08-26,38.22,38.75,38.12,38.33,2579100,38.33
2013-08-23,37.73,38.20,37.61,38.16,2579000,38.16
2013-08-22,36.94,37.74,36.94,37.63,1208100,37.63
2013-08-21,36.76,37.28,36.69,36.91,3016600,36.91
2013-08-20,36.78,37.46,36.74,36.81,2129100,36.81
2013-08-19,36.78,37.29,36.40,36.64,3271600,36.64
2013-08-16,37.22,37.40,36.71,36.95,1919400,36.95
2013-08-15,37.05,37.58,36.63,37.36,2002800,37.36
2013-08-14,37.60,37.86,37.27,37.43,2142200,37.43
2013-08-13,37.86,37.88,37.15,37.59,2091800,37.59
2013-08-12,37.30,38.00,37.24,37.92,2815000,37.92
2013-08-09,37.62,37.68,37.29,37.48,2463100,37.48
2013-08-08,37.69,37.98,36.97,37.71,3766200,37.71
2013-08-07,38.02,38.23,37.42,37.62,3498400,37.62
2013-08-06,38.42,38.51,37.88,38.18,2702300,38.18
2013-08-05,38.59,38.67,37.99,38.45,5572000,38.45
2013-08-02,39.75,39.75,38.28,38.65,5706200,38.65
2013-08-01,39.25,40.11,38.99,39.91,3808000,39.91
2013-07-31,38.63,39.20,38.59,38.79,2341700,38.79
2013-07-30,38.30,38.43,37.68,38.34,1753900,38.34
2013-07-29,39.00,39.01,37.92,38.14,2900300,38.14
2013-07-26,39.18,39.58,38.46,39.32,3273500,39.32
2013-07-25,37.68,39.56,37.63,39.51,4927700,39.51
2013-07-24,38.32,38.37,37.53,37.58,2476300,37.58
2013-07-23,38.52,38.94,38.26,38.32,1565700,38.32
2013-07-22,38.93,39.04,38.33,38.47,1742600,38.47
2013-07-19,39.07,39.29,38.61,39.15,2345000,39.15
2013-07-18,38.54,39.20,38.51,38.98,2196600,38.98
2013-07-17,38.15,38.77,38.14,38.35,1815000,38.35
2013-07-16,38.15,38.60,37.83,38.06,1525400,38.06
2013-07-15,38.81,38.97,38.18,38.22,2492600,38.22
2013-07-12,38.47,38.75,38.21,38.74,2602400,38.74
2013-07-11,39.23,39.61,38.28,38.51,3746400,38.51
2013-07-10,38.81,39.02,38.47,38.78,2705800,38.78
2013-07-09,38.56,38.81,38.31,38.73,2645700,38.73
2013-07-08,38.17,38.49,38.02,38.23,2340300,38.23
2013-07-05,37.91,37.92,37.37,37.91,1930500,37.91
2013-07-03,37.61,37.78,37.05,37.63,1387800,37.63
2013-07-02,36.83,37.98,36.67,37.60,2856100,37.60
2013-07-01,36.79,36.92,36.43,36.71,3605600,36.71
2013-06-28,36.24,36.61,35.88,36.53,6520500,36.53
2013-06-27,36.26,37.60,36.25,36.35,4531000,36.35
2013-06-26,36.78,37.15,36.34,36.97,2158100,36.97
2013-06-25,36.42,36.66,36.01,36.50,2504600,36.50
2013-06-24,35.64,36.31,34.84,35.94,3891500,35.94
2013-06-21,36.16,36.31,35.53,36.12,3126000,36.12
2013-06-20,37.05,37.05,35.86,35.98,2754000,35.98
2013-06-19,38.19,38.28,37.51,37.57,2414200,37.57
2013-06-18,37.53,38.11,37.36,38.03,2878200,38.03
2013-06-17,36.89,37.77,36.89,37.50,2946300,37.50
2013-06-14,37.00,37.37,36.26,36.54,2245600,36.54
2013-06-13,36.55,37.12,36.33,36.96,2298000,36.96
2013-06-12,37.46,37.48,36.47,36.56,1555700,36.56
2013-06-11,37.86,37.86,37.08,37.12,1680500,37.12
2013-06-10,38.34,38.49,37.95,38.36,2520700,38.36
2013-06-07,37.30,38.31,37.20,38.29,2148800,38.29
2013-06-06,37.54,37.71,36.42,37.08,3002800,37.08
2013-06-05,37.80,37.92,37.37,37.63,2783300,37.63
2013-06-04,37.95,38.11,37.51,37.87,3225100,37.87
2013-06-03,37.77,38.34,37.63,38.07,2594300,38.07
2013-05-31,38.26,38.60,37.69,37.69,3134400,37.69
