Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,32.84,32.84,32.44,32.57,1392800,29.01
2013-12-30,32.50,32.98,32.38,32.71,1391200,29.13
2013-12-27,32.66,32.95,32.31,32.50,1422100,28.94
2013-12-26,32.76,33.00,32.41,32.69,1413600,29.11
2013-12-24,32.51,32.89,32.33,32.67,944000,29.10
2013-12-23,33.31,33.49,32.55,32.58,3769800,29.02
2013-12-20,32.83,33.32,32.83,33.08,5108300,29.46
2013-12-19,32.73,33.03,32.53,32.82,2197900,29.23
2013-12-18,32.60,32.93,32.11,32.88,4276200,29.28
2013-12-17,32.45,32.68,32.14,32.47,3462100,28.92
2013-12-16,33.54,33.74,32.64,32.72,4983200,28.96
2013-12-13,33.67,33.70,33.33,33.52,3341700,29.67
2013-12-12,33.32,33.95,33.32,33.69,3155500,29.82
2013-12-11,33.40,33.65,33.28,33.45,4150900,29.61
2013-12-10,32.74,33.50,32.70,33.24,4566900,29.42
2013-12-09,33.18,33.20,32.65,32.74,4451500,28.98
2013-12-06,32.88,33.22,32.71,33.07,4660000,29.27
2013-12-05,33.50,33.67,32.42,32.64,8441400,28.89
2013-12-04,34.72,35.10,34.10,34.21,6101700,30.28
2013-12-03,34.46,35.07,34.31,34.97,4213200,30.95
2013-12-02,34.90,35.07,34.39,34.59,5787400,30.62
2013-11-29,35.23,35.33,34.84,34.97,2117100,30.95
2013-11-27,34.67,35.19,34.39,35.06,3069700,31.03
2013-11-26,34.17,34.65,34.08,34.53,3549000,30.56
2013-11-25,34.29,34.48,34.10,34.29,3260100,30.35
2013-11-22,33.84,34.34,33.51,34.29,3706300,30.35
2013-11-21,33.62,34.43,32.28,33.90,6635300,30.01
2013-11-20,33.51,33.55,33.10,33.16,3787700,29.35
2013-11-19,33.05,33.58,32.90,33.25,5543600,29.43
2013-11-18,34.42,34.47,32.97,33.04,6903100,29.25
2013-11-15,34.52,34.75,34.33,34.52,4376000,30.56
2013-11-14,34.26,34.67,33.90,34.46,3498800,30.50
2013-11-13,33.33,34.04,33.30,33.91,3938200,30.02
2013-11-12,32.76,33.93,32.62,33.71,5388000,29.84
