Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,56.01,56.49,56.01,56.15,550600,55.79
2013-12-30,55.70,55.98,55.34,55.76,443200,55.40
2013-12-27,55.16,55.80,55.14,55.76,609600,55.40
2013-12-26,55.09,55.46,54.70,55.39,301500,55.03
2013-12-24,55.07,55.28,54.75,55.04,136900,54.68
2013-12-23,55.26,55.32,54.76,54.94,551800,54.58
2013-12-20,55.11,55.31,54.77,54.94,862800,54.58
2013-12-19,55.32,55.40,54.62,54.97,689300,54.61
2013-12-18,53.88,55.43,53.67,55.39,1103200,55.03
2013-12-17,53.77,53.96,53.38,53.79,738300,53.44
2013-12-16,53.49,54.08,53.36,53.75,885600,53.40
2013-12-13,53.58,53.71,52.79,53.19,656200,52.85
2013-12-12,54.10,54.18,53.28,53.42,778500,53.07
2013-12-11,54.80,55.01,54.20,54.30,752000,53.95
2013-12-10,54.86,55.12,54.33,54.70,741600,54.35
2013-12-09,55.07,55.39,54.83,55.06,639000,54.70
2013-12-06,54.43,54.98,54.20,54.96,872000,54.60
2013-12-05,54.07,55.33,53.56,54.01,1952800,53.66
2013-12-04,53.52,54.57,53.40,54.34,1815100,53.99
2013-12-03,52.47,54.07,52.34,53.93,1527200,53.58
2013-12-02,52.72,52.84,52.11,52.55,786100,52.21
2013-11-29,53.01,53.01,52.64,52.67,246700,52.33
2013-11-27,53.19,53.33,52.85,53.05,371500,52.71
2013-11-26,53.06,53.39,52.90,53.17,625400,52.83
2013-11-25,53.77,54.04,53.29,53.45,632000,52.79
2013-11-22,53.01,53.75,52.82,53.65,597600,52.98
2013-11-21,53.42,53.49,52.78,53.04,684400,52.38
2013-11-20,53.92,54.06,52.90,53.24,751800,52.58
2013-11-19,54.02,54.19,53.81,53.91,524200,53.24
2013-11-18,54.14,54.29,53.88,53.99,655400,53.32
2013-11-15,53.62,54.24,53.46,54.12,771500,53.45
2013-11-14,54.07,54.29,53.74,53.98,758900,53.31
2013-11-13,53.57,54.02,53.15,53.90,722600,53.23
2013-11-12,53.86,53.87,53.15,53.85,679300,53.18
2013-11-11,53.86,54.15,53.58,53.87,670400,53.20
