Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,17.17,17.26,17.12,17.24,1598300,17.01
2013-12-30,17.14,17.31,17.08,17.15,1226400,16.92
2013-12-27,17.06,17.18,16.99,17.14,1525400,16.91
2013-12-26,17.19,17.27,17.04,17.06,1063800,16.83
2013-12-24,17.04,17.20,16.98,17.17,1032700,16.94
2013-12-23,17.15,17.18,17.01,17.04,1711800,16.81
2013-12-20,16.91,17.13,16.91,17.04,3336000,16.81
2013-12-19,17.03,17.06,16.79,16.90,1993600,16.68
2013-12-18,16.90,17.11,16.67,17.09,3476200,16.86
2013-12-17,16.92,16.98,16.76,16.84,1808400,16.62
2013-12-16,16.84,17.05,16.83,16.95,1986100,16.72
2013-12-13,16.84,16.97,16.78,16.81,1751500,16.59
2013-12-12,16.80,17.01,16.77,16.83,1973900,16.61
2013-12-11,17.07,17.07,16.78,16.82,2348200,16.60
2013-12-10,17.25,17.26,17.02,17.03,1776100,16.80
2013-12-09,17.29,17.30,17.15,17.24,1850900,17.01
2013-12-06,17.23,17.45,17.16,17.34,1681200,17.11
2013-12-05,17.40,17.57,17.14,17.16,3971800,16.93
2013-12-04,17.08,17.42,17.07,17.40,5963200,17.17
2013-12-03,17.01,17.20,16.98,17.17,3465400,16.94
2013-12-02,17.06,17.10,16.84,17.03,3193300,16.80
2013-11-29,17.06,17.18,17.01,17.04,757300,16.81
2013-11-27,17.00,17.08,16.98,17.06,1599900,16.83
2013-11-26,17.10,17.11,16.94,16.97,1601000,16.74
2013-11-25,17.17,17.21,17.05,17.07,1278700,16.84
2013-11-22,17.11,17.22,17.02,17.16,1479900,16.93
2013-11-21,17.14,17.21,17.04,17.12,2060400,16.89
2013-11-20,17.35,17.38,17.12,17.13,1758300,16.90
2013-11-19,17.38,17.42,17.25,17.34,1405700,17.11
2013-11-18,17.45,17.49,17.30,17.41,1679700,17.18
2013-11-15,17.33,17.43,17.25,17.42,2041700,17.19
2013-11-14,17.36,17.44,17.29,17.37,2271200,17.14
2013-11-13,17.04,17.31,16.93,17.29,2147900,17.06
2013-11-12,17.21,17.27,16.96,17.12,2418000,16.89
2013-11-11,17.14,17.33,17.02,17.27,4074900,17.04
2013-11-08,17.18,17.19,16.80,17.07,2549800,16.84
2013-11-07,17.64,17.75,17.38,17.44,6775600,16.99
2013-11-06,17.52,17.64,17.44,17.54,2081700,17.09
2013-11-05,17.48,17.60,17.40,17.48,2982800,17.03
2013-11-04,17.38,17.52,17.22,17.48,3493100,17.03
2013-11-01,17.16,17.50,17.12,17.34,2801400,16.89
2013-10-31,17.37,17.40,16.79,17.17,3499800,16.73
2013-10-30,17.62,17.66,17.37,17.37,1714700,16.92
2013-10-29,17.59,17.64,17.49,17.56,1232500,17.11
2013-10-28,17.64,17.72,17.49,17.55,1762000,17.10
2013-10-25,17.21,17.61,17.21,17.61,1759100,17.16
2013-10-24,17.26,17.30,17.13,17.25,1315500,16.81
2013-10-23,17.34,17.56,17.21,17.23,3034300,16.79
2013-10-22,17.21,17.44,17.16,17.34,2890900,16.89
2013-10-21,17.18,17.22,17.01,17.10,2224700,16.66
2013-10-18,17.18,17.24,17.11,17.17,1332400,16.73
2013-10-17,16.81,17.19,16.70,17.16,1914300,16.72
2013-10-16,16.74,16.83,16.65,16.82,1423300,16.39
2013-10-15,16.80,16.86,16.64,16.68,1573200,16.25
2013-10-14,16.97,17.00,16.64,16.90,1594000,16.46
2013-10-11,16.89,16.99,16.84,16.99,1134100,16.55
2013-10-10,16.72,16.92,16.51,16.88,1884300,16.45
2013-10-09,16.55,16.91,16.51,16.60,2627700,16.17
2013-10-08,16.46,16.65,16.42,16.50,1438400,16.08
2013-10-07,16.44,16.62,16.40,16.48,1376500,16.06
2013-10-04,16.51,16.59,16.47,16.50,927400,16.08
2013-10-03,16.66,16.67,16.41,16.49,2079400,16.07
2013-10-02,16.68,16.80,16.64,16.71,2166600,16.28
2013-10-01,16.56,16.73,16.53,16.73,1495900,16.30
2013-09-30,16.47,16.57,16.36,16.54,2342000,16.11
2013-09-27,16.67,16.72,16.47,16.51,1497600,16.09
2013-09-26,16.84,16.94,16.66,16.71,1420500,16.28
2013-09-25,17.00,17.03,16.83,16.87,2118000,16.44
2013-09-24,16.98,17.10,16.88,17.03,2160800,16.59
2013-09-23,16.62,17.09,16.62,17.00,2494500,16.56
2013-09-20,16.88,16.91,16.60,16.71,3186200,16.28
2013-09-19,16.91,16.98,16.76,16.87,2213900,16.44
2013-09-18,16.40,16.89,16.32,16.88,2774300,16.45
2013-09-17,16.38,16.49,16.29,16.39,1714700,15.97
2013-09-16,16.55,16.60,16.31,16.32,3272200,15.90
2013-09-13,16.31,16.43,16.30,16.35,1497000,15.93
2013-09-12,16.52,16.60,16.27,16.31,1755100,15.89
2013-09-11,16.68,16.71,16.38,16.49,2047700,16.07
2013-09-10,16.69,16.70,16.58,16.70,2007900,16.27
2013-09-09,16.59,16.64,16.49,16.58,2687200,16.15
2013-09-06,16.63,16.89,16.57,16.59,4417000,16.16
2013-09-05,16.31,16.61,16.15,16.55,5434400,16.12
2013-09-04,16.31,16.39,16.21,16.33,2413100,15.91
2013-09-03,16.64,16.64,16.19,16.29,2555200,15.87
2013-08-30,16.54,16.61,16.48,16.53,1452600,16.10
2013-08-29,16.59,16.64,16.46,16.50,1566600,16.08
2013-08-28,16.70,16.71,16.57,16.60,1901400,16.17
2013-08-27,16.50,16.74,16.50,16.66,1610700,16.23
2013-08-26,16.80,16.83,16.59,16.62,1389100,16.19
2013-08-23,16.69,16.87,16.63,16.80,1489800,16.37
2013-08-22,16.61,16.75,16.54,16.66,1205100,16.23
2013-08-21,16.59,16.73,16.51,16.55,2463500,16.12
2013-08-20,16.55,16.84,16.53,16.62,2037000,16.19
2013-08-19,16.67,16.77,16.48,16.53,1993100,16.10
2013-08-16,16.97,17.02,16.60,16.71,2217700,16.28
2013-08-15,17.13,17.18,16.99,17.02,1823000,16.58
2013-08-14,17.47,17.47,17.19,17.26,2181600,16.82
2013-08-13,17.52,17.56,17.42,17.44,1494400,16.99
2013-08-12,17.72,17.72,17.52,17.54,2157600,17.09
2013-08-09,17.88,17.99,17.82,17.91,6145600,17.23
2013-08-08,17.71,17.91,17.68,17.89,8444100,17.22
2013-08-07,17.53,17.74,17.50,17.69,1552500,17.02
2013-08-06,17.64,17.74,17.57,17.59,1729900,16.93
2013-08-05,17.73,17.77,17.61,17.65,971500,16.98
2013-08-02,17.79,17.82,17.57,17.78,1368800,17.11
2013-08-01,17.66,17.78,17.50,17.75,1889900,17.08
2013-07-31,17.73,17.75,17.57,17.67,1805500,17.00
2013-07-30,17.73,17.83,17.64,17.69,998700,17.02
2013-07-29,17.62,17.72,17.61,17.65,1041900,16.98
2013-07-26,17.47,17.67,17.42,17.66,1018200,16.99
2013-07-25,17.44,17.57,17.40,17.54,1018700,16.88
2013-07-24,17.74,17.74,17.39,17.46,1327200,16.80
2013-07-23,17.72,17.84,17.66,17.73,1108800,17.06
2013-07-22,17.85,17.90,17.68,17.69,1080500,17.02
2013-07-19,17.86,17.89,17.72,17.83,1079700,17.16
2013-07-18,17.70,17.90,17.67,17.89,1627000,17.22
2013-07-17,17.66,17.71,17.58,17.64,1253500,16.97
2013-07-16,17.77,17.78,17.53,17.58,1693800,16.92
2013-07-15,17.56,17.87,17.46,17.80,1727400,17.13
2013-07-12,17.40,17.56,17.33,17.56,1497400,16.90
2013-07-11,17.34,17.43,17.25,17.42,1911600,16.76
2013-07-10,17.02,17.17,16.94,17.16,1661500,16.51
2013-07-09,16.90,17.04,16.86,17.00,2244100,16.36
2013-07-08,16.79,16.89,16.72,16.82,2715000,16.19
2013-07-05,16.75,16.78,16.46,16.71,1641700,16.08
2013-07-03,16.77,16.85,16.65,16.71,1319500,16.08
2013-07-02,16.80,16.95,16.72,16.85,2390300,16.21
2013-07-01,17.20,17.24,16.72,16.80,2402200,16.17
2013-06-28,16.99,17.23,16.93,17.19,2124800,16.54
2013-06-27,17.05,17.23,16.96,16.99,1482900,16.35
2013-06-26,17.03,17.16,16.79,16.99,2122000,16.35
2013-06-25,16.86,16.99,16.75,16.94,1441400,16.30
2013-06-24,16.58,16.89,16.47,16.74,2087500,16.11
2013-06-21,16.64,16.85,16.40,16.76,2419100,16.13
2013-06-20,16.91,16.94,16.51,16.52,3032200,15.90
2013-06-19,17.46,17.49,17.01,17.02,1580900,16.38
