Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,83.42,83.99,83.41,83.77,930300,83.32
2013-12-30,83.40,83.55,82.91,83.36,518300,82.92
2013-12-27,83.63,83.92,83.15,83.43,878300,82.99
2013-12-26,83.48,83.88,83.32,83.59,816600,83.15
2013-12-24,83.38,83.69,83.06,83.37,314000,82.93
2013-12-23,83.30,83.83,83.23,83.38,872300,82.94
2013-12-20,82.26,83.47,81.90,82.88,1819000,82.44
2013-12-19,82.52,83.21,82.07,82.13,1807800,81.69
2013-12-18,79.99,83.08,79.69,82.86,2583700,82.42
2013-12-17,80.03,80.36,79.46,79.81,1201100,79.39
2013-12-16,79.17,80.45,79.00,80.16,1342300,79.73
2013-12-13,78.37,78.79,77.72,78.37,1255500,77.95
2013-12-12,78.42,78.80,77.94,78.02,1087300,77.60
2013-12-11,79.66,79.96,78.54,78.61,1515500,77.81
2013-12-10,79.97,80.12,79.19,79.52,943900,78.71
2013-12-09,80.13,80.57,79.87,80.06,847600,79.25
2013-12-06,80.00,80.13,79.52,79.82,1582900,79.01
2013-12-05,79.58,79.73,78.48,78.54,1044700,77.74
2013-12-04,79.52,80.32,78.78,79.55,753800,78.74
2013-12-03,80.35,80.51,79.41,79.67,1062500,78.86
2013-12-02,80.65,81.46,80.47,80.69,1154400,79.87
2013-11-29,80.90,81.30,80.44,80.46,549600,79.65
2013-11-27,80.69,81.18,80.25,80.81,926400,79.99
2013-11-26,80.60,81.21,80.42,80.42,970700,79.61
2013-11-25,81.42,81.62,80.57,80.75,783500,79.93
2013-11-22,80.80,81.18,80.40,81.13,916800,80.31
2013-11-21,80.17,80.80,80.00,80.45,956800,79.64
2013-11-20,80.37,80.54,79.60,79.99,1779300,79.18
2013-11-19,80.34,80.44,79.68,80.00,922400,79.19
2013-11-18,79.91,80.66,79.77,80.00,1129600,79.19
2013-11-15,79.15,80.19,79.15,79.99,1430700,79.18
2013-11-14,78.79,79.21,78.36,78.96,1619600,78.16
2013-11-13,78.13,78.85,77.81,78.83,1295500,78.03
2013-11-12,78.41,78.90,78.05,78.42,1041700,77.63
2013-11-11,78.55,79.20,78.41,78.79,1021400,77.99
2013-11-08,76.79,78.87,76.79,78.80,1936000,78.00
