Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,90.34,90.74,90.22,90.54,1107700,90.00
2013-12-30,90.04,90.53,89.86,90.28,1267900,89.74
2013-12-27,90.01,90.21,89.45,89.85,758200,89.32
2013-12-26,89.89,90.16,89.38,90.01,938600,89.48
2013-12-24,89.11,89.55,89.01,89.49,512800,88.96
2013-12-23,89.91,89.91,89.01,89.16,1277100,88.63
2013-12-20,88.67,89.64,88.62,89.18,3911300,88.65
2013-12-19,87.79,88.93,87.79,88.79,2140300,88.26
2013-12-18,86.96,88.15,86.62,88.14,2928000,87.62
2013-12-17,86.77,87.00,86.26,86.57,1852300,86.06
2013-12-16,86.99,87.36,86.65,87.05,2367800,86.53
2013-12-13,86.56,86.79,86.29,86.49,1568300,85.98
2013-12-12,87.12,87.37,86.50,86.63,1889300,86.12
2013-12-11,88.42,88.72,87.04,87.10,2179900,86.58
2013-12-10,88.09,88.83,88.03,88.44,1931100,87.92
2013-12-09,89.05,89.28,88.33,88.45,2539400,87.93
2013-12-06,88.18,89.42,88.18,89.01,1831200,88.48
2013-12-05,88.37,88.76,87.84,87.92,2334300,86.90
2013-12-04,88.71,89.46,87.89,88.61,2349600,87.58
2013-12-03,88.73,89.59,88.43,89.03,2531800,88.00
2013-12-02,90.26,90.40,88.87,89.00,3771100,87.97
2013-11-29,91.21,91.68,90.74,90.74,917100,89.69
2013-11-27,90.99,91.43,90.79,90.99,1902200,89.94
2013-11-26,90.80,91.23,90.72,90.79,2454000,89.74
2013-11-25,90.55,90.99,90.53,90.79,2112200,89.74
2013-11-22,89.22,90.59,89.06,90.52,1885000,89.47
2013-11-21,88.18,89.42,88.00,89.22,1787700,88.19
2013-11-20,88.06,88.45,87.69,87.93,1755400,86.91
2013-11-19,88.21,88.44,87.90,88.09,1274100,87.07
2013-11-18,88.88,88.93,88.07,88.18,1676800,87.16
2013-11-15,88.22,88.87,88.07,88.67,1764700,87.64
2013-11-14,87.56,88.28,87.29,88.25,1585900,87.23
2013-11-13,86.24,87.52,86.08,87.22,2081900,86.21
2013-11-12,87.50,87.86,86.12,86.44,2496800,85.44
2013-11-11,87.78,88.31,87.65,87.97,1367300,86.95
2013-11-08,87.15,87.83,87.01,87.80,1758400,86.78
2013-11-07,87.60,88.03,87.15,87.22,2139400,86.21
2013-11-06,86.54,87.60,86.46,87.49,1940600,86.48
2013-11-05,86.47,86.93,86.14,86.46,1445300,85.46
2013-11-04,86.51,87.10,86.35,86.60,1095600,85.60
2013-11-01,86.58,86.60,86.02,86.40,1432000,85.40
2013-10-31,86.99,87.09,86.29,86.30,1821200,85.30
2013-10-30,87.28,87.49,86.53,86.90,1282200,85.89
2013-10-29,87.26,87.50,86.90,87.28,1562900,86.27
2013-10-28,86.66,87.46,86.64,87.11,1625900,86.10
2013-10-25,86.82,87.15,86.53,86.63,1764100,85.63
2013-10-24,86.28,87.34,86.17,87.03,1991600,86.02
2013-10-23,86.21,86.45,85.62,86.28,1945400,85.28
2013-10-22,88.05,88.05,86.26,86.71,3823600,85.71
2013-10-21,86.69,86.93,86.35,86.76,1768000,85.76
2013-10-18,86.55,86.76,86.13,86.58,2027700,85.58
2013-10-17,85.32,86.12,84.87,86.02,1998000,85.02
2013-10-16,85.16,86.29,85.05,86.08,2065900,85.08
2013-10-15,84.93,85.08,84.37,84.48,1753400,83.50
2013-10-14,84.23,85.28,84.20,85.20,1377900,84.21
2013-10-11,84.05,84.78,83.75,84.66,1695700,83.68
2013-10-10,83.02,84.30,83.02,84.17,2003300,83.20
2013-10-09,83.13,83.20,82.24,82.35,1675800,81.40
2013-10-08,84.00,84.17,82.93,82.99,1838900,82.03
2013-10-07,84.05,84.50,83.77,84.09,1271900,83.12
2013-10-04,84.08,84.74,83.94,84.68,1452100,83.70
2013-10-03,84.32,84.35,83.78,84.06,1998300,83.09
2013-10-02,84.46,84.48,83.70,84.48,2441000,83.50
2013-10-01,84.93,84.98,84.38,84.66,1392500,83.68
2013-09-30,84.89,85.15,84.36,84.77,1721400,83.79
2013-09-27,85.56,85.65,85.11,85.41,1143800,84.42
2013-09-26,85.92,86.44,85.56,85.83,1049400,84.84
2013-09-25,85.94,86.45,85.78,85.98,1341100,84.98
2013-09-24,86.32,86.76,85.77,85.87,2489000,84.88
2013-09-23,86.62,87.20,86.34,86.38,2246000,85.38
2013-09-20,86.95,87.42,86.06,86.06,5257600,85.06
2013-09-19,86.46,87.53,86.05,86.90,2876600,85.89
2013-09-18,84.10,86.00,84.10,85.91,2155900,84.92
2013-09-17,84.74,85.12,84.69,84.87,1711100,83.89
2013-09-16,84.57,84.98,84.25,84.57,2031200,83.59
2013-09-13,83.41,83.91,83.23,83.56,1198600,82.59
2013-09-12,83.13,83.60,82.92,83.12,1988700,82.16
2013-09-11,82.56,83.88,82.42,83.73,2431100,82.76
2013-09-10,82.70,82.85,81.69,82.54,2552300,81.58
2013-09-09,80.74,82.31,80.54,82.19,2797100,81.24
2013-09-06,80.48,81.05,79.12,80.49,1923300,79.56
