Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,33.31,33.44,33.13,33.28,614000,33.17
2013-12-30,33.25,33.37,33.13,33.24,523700,33.13
2013-12-27,33.39,33.42,33.12,33.20,475800,33.09
2013-12-26,33.23,33.31,32.97,33.30,462000,33.19
2013-12-24,32.97,33.19,32.96,33.08,439000,32.97
2013-12-23,33.16,33.17,32.90,33.02,895100,32.91
2013-12-20,32.77,33.09,32.56,33.06,1458800,32.95
2013-12-19,32.36,33.07,32.23,32.74,2927800,32.63
2013-12-18,31.80,32.51,31.67,32.46,2720200,32.35
2013-12-17,31.47,31.67,31.19,31.54,1337900,31.44
2013-12-16,31.40,31.56,31.25,31.49,1359400,31.29
2013-12-13,31.24,31.40,30.95,31.29,1255500,31.09
2013-12-12,30.97,31.34,30.88,31.20,1206400,31.00
2013-12-11,31.24,31.28,30.95,31.03,1535500,30.83
2013-12-10,30.82,31.29,30.78,31.18,1840200,30.98
2013-12-09,30.86,30.96,30.67,30.92,1384500,30.72
2013-12-06,30.66,31.11,30.47,30.76,2758800,30.56
2013-12-05,30.52,30.63,30.17,30.34,1916300,30.14
2013-12-04,31.15,31.18,30.31,30.63,2577900,30.43
2013-12-03,31.05,31.44,30.98,31.32,2058300,31.12
2013-12-02,31.09,31.09,30.72,30.79,1236300,30.59
2013-11-29,31.04,31.31,31.03,31.05,366600,30.85
2013-11-27,31.17,31.27,30.95,31.03,634500,30.83
2013-11-26,31.41,31.46,31.05,31.10,2918400,30.90
2013-11-25,31.39,31.52,31.35,31.37,696800,31.17
2013-11-22,31.18,31.34,31.10,31.30,599400,31.10
2013-11-21,30.59,31.19,30.48,31.14,982700,30.94
2013-11-20,30.81,31.00,30.42,30.54,1261100,30.34
2013-11-19,30.73,30.96,30.67,30.81,921800,30.61
2013-11-18,30.97,31.07,30.68,30.80,983300,30.60
2013-11-15,31.03,31.03,30.67,30.95,899300,30.75
2013-11-14,30.74,31.05,30.71,31.03,577300,30.83
2013-11-13,30.45,30.74,30.30,30.74,518100,30.54
2013-11-12,30.25,30.55,30.19,30.55,797600,30.35
2013-11-11,30.10,30.42,30.09,30.26,667700,30.06
2013-11-08,29.75,30.21,29.71,30.18,1026800,29.99
2013-11-07,29.96,30.14,29.72,29.77,1187500,29.58
2013-11-06,29.76,29.97,29.76,29.92,680000,29.73
2013-11-05,29.64,29.74,29.44,29.66,834000,29.47
2013-11-04,29.84,29.88,29.67,29.75,638800,29.56
2013-11-01,29.83,29.95,29.60,29.73,1055200,29.54
2013-10-31,30.17,30.19,29.83,29.83,1634300,29.64
2013-10-30,30.08,30.33,30.03,30.19,1871900,30.00
2013-10-29,30.16,30.33,29.82,30.08,990000,29.89
2013-10-28,30.09,30.19,29.96,30.02,1162000,29.83
2013-10-25,30.18,30.19,30.00,30.04,1214900,29.85
2013-10-24,30.07,30.28,30.04,30.25,865000,30.05
2013-10-23,30.31,30.31,29.65,30.01,2878300,29.82
2013-10-22,30.53,30.79,30.45,30.65,1558000,30.45
2013-10-21,30.35,30.49,30.20,30.49,1261100,30.29
2013-10-18,30.17,30.32,30.11,30.32,794400,30.12
2013-10-17,30.05,30.20,29.88,30.09,1242100,29.90
2013-10-16,30.02,30.16,29.87,30.15,1315900,29.96
2013-10-15,30.11,30.14,29.61,29.75,1086700,29.56
2013-10-14,29.71,30.20,29.65,30.15,1356300,29.96
2013-10-11,29.08,29.63,29.03,29.59,882500,29.40
2013-10-10,28.83,29.18,28.77,29.18,875400,28.99
2013-10-09,28.60,28.62,28.30,28.50,1262600,28.32
2013-10-08,28.92,29.14,28.48,28.49,1176600,28.31
2013-10-07,29.16,29.31,28.91,28.94,1208100,28.75
2013-10-04,29.11,29.42,28.97,29.40,1180800,29.21
2013-10-03,29.57,29.60,29.00,29.10,1018200,28.91
2013-10-02,29.39,29.69,29.39,29.69,1097400,29.50
2013-10-01,29.41,29.52,29.25,29.49,1177400,29.30
2013-09-30,29.10,29.44,28.99,29.42,1133600,29.23
2013-09-27,29.22,29.38,29.14,29.31,675700,29.12
2013-09-26,29.19,29.52,29.19,29.45,905100,29.26
2013-09-25,29.23,29.39,29.14,29.15,925400,28.96
2013-09-24,29.38,29.38,29.13,29.18,1006800,28.99
2013-09-23,29.47,29.61,29.32,29.33,723100,29.14
2013-09-20,29.94,29.97,29.51,29.51,1873800,29.32
2013-09-19,29.90,29.94,29.81,29.86,1402000,29.67
2013-09-18,29.60,30.00,29.56,29.93,1631900,29.74
2013-09-17,29.18,29.44,29.16,29.40,795900,29.21
2013-09-16,29.33,29.47,29.16,29.25,704400,28.96
2013-09-13,29.17,29.25,28.92,29.11,902600,28.82
2013-09-12,29.11,29.24,29.05,29.11,1284800,28.82
2013-09-11,28.82,29.14,28.82,29.10,1233000,28.81
2013-09-10,28.62,28.86,28.59,28.86,935300,28.58
2013-09-09,28.33,28.53,28.29,28.48,790700,28.20
2013-09-06,28.33,28.38,27.93,28.20,813100,27.92
2013-09-05,27.93,28.27,27.87,28.26,1292500,27.98
2013-09-04,27.81,28.07,27.59,27.95,1611000,27.67
2013-09-03,27.94,28.13,27.52,27.72,1302200,27.45
2013-08-30,27.98,27.98,27.57,27.67,1058800,27.40
2013-08-29,27.82,28.05,27.70,27.91,738100,27.64
2013-08-28,27.70,27.84,27.53,27.83,1173200,27.56
2013-08-27,27.87,27.96,27.62,27.66,830200,27.39
2013-08-26,28.28,28.51,28.05,28.07,809400,27.79
2013-08-23,28.34,28.41,28.09,28.35,524300,28.07
2013-08-22,28.11,28.34,28.00,28.29,722500,28.01
2013-08-21,28.13,28.21,27.94,28.01,781400,27.73
2013-08-20,27.99,28.27,27.93,28.20,1137300,27.92
2013-08-19,27.98,28.23,27.93,28.00,1902100,27.72
2013-08-16,28.09,28.26,27.98,28.07,1146800,27.79
2013-08-15,28.30,28.34,28.02,28.11,986100,27.83
2013-08-14,28.50,28.62,28.39,28.55,1189000,28.27
2013-08-13,28.19,28.49,28.06,28.49,1256600,28.21
2013-08-12,27.81,28.22,27.81,28.14,612300,27.86
2013-08-09,28.05,28.18,27.87,27.91,776400,27.64
2013-08-08,28.00,28.28,28.00,28.05,1080500,27.77
2013-08-07,28.02,28.08,27.76,27.82,1663500,27.55
2013-08-06,28.09,28.19,27.97,28.04,2017600,27.76
2013-08-05,28.07,28.30,27.97,28.16,1579000,27.88
2013-08-02,28.05,28.31,27.85,28.17,1197500,27.89
2013-08-01,27.51,28.21,27.37,28.08,1627500,27.80
2013-07-31,27.46,27.70,27.24,27.41,1295100,27.14
2013-07-30,27.30,27.41,27.11,27.34,1025200,27.07
2013-07-29,27.08,27.34,27.04,27.16,947700,26.89
2013-07-26,26.55,27.20,26.50,27.17,1568900,26.90
2013-07-25,27.10,27.24,26.90,27.13,1628200,26.86
2013-07-24,26.35,27.62,26.32,27.19,3032300,26.92
2013-07-23,25.99,26.25,25.85,26.00,2789000,25.74
2013-07-22,25.44,25.84,25.23,25.64,1493800,25.39
2013-07-19,25.60,25.66,25.37,25.47,922200,25.22
2013-07-18,25.48,25.76,25.45,25.62,974900,25.37
2013-07-17,25.55,25.63,25.44,25.45,730900,25.20
2013-07-16,25.66,25.80,25.47,25.50,954800,25.25
2013-07-15,25.70,25.87,25.64,25.72,1327400,25.47
2013-07-12,25.67,25.77,25.45,25.64,802600,25.39
2013-07-11,25.57,25.77,25.53,25.67,1151300,25.42
2013-07-10,25.28,25.34,25.12,25.30,2116900,25.05
2013-07-09,24.97,25.29,24.86,25.28,1815400,25.03
2013-07-08,24.63,24.93,24.56,24.90,1909500,24.65
2013-07-05,24.85,24.85,24.61,24.78,1231600,24.54
2013-07-03,24.50,24.77,24.50,24.71,612800,24.47
2013-07-02,24.65,24.78,24.52,24.65,1476500,24.41
2013-07-01,24.52,24.92,24.50,24.71,2128500,24.47
2013-06-28,24.05,24.59,24.03,24.48,2275300,24.24
2013-06-27,23.86,24.37,23.79,24.32,1717600,24.08
2013-06-26,23.64,23.79,23.55,23.74,1120200,23.51
2013-06-25,23.38,23.60,23.24,23.52,2376200,23.29
2013-06-24,22.68,23.43,22.64,23.19,2407600,22.96
2013-06-21,22.86,23.37,22.70,22.78,3310600,22.56
2013-06-20,22.82,22.90,22.58,22.62,1306400,22.40
2013-06-19,23.23,23.25,22.98,23.00,2108400,22.77
2013-06-18,23.32,23.36,23.22,23.25,2406200,23.02
2013-06-17,23.56,23.64,23.29,23.35,1788000,23.02
2013-06-14,23.77,23.80,23.42,23.46,1297200,23.13
2013-06-13,22.94,23.95,22.91,23.76,2675600,23.43
2013-06-12,23.36,23.37,22.91,22.94,2118400,22.62
2013-06-11,23.15,23.49,23.14,23.19,1769300,22.86
2013-06-10,23.46,23.53,23.33,23.41,835100,23.08
2013-06-07,23.28,23.54,23.25,23.43,976000,23.10
2013-06-06,23.19,23.34,22.99,23.17,1380500,22.84
2013-06-05,23.42,23.44,23.19,23.19,697400,22.86
2013-06-04,23.48,23.64,23.28,23.46,1156500,23.13
2013-06-03,23.51,23.51,23.19,23.47,1331200,23.14
2013-05-31,23.62,23.80,23.50,23.51,1234700,23.18
2013-05-30,23.68,23.88,23.64,23.72,485400,23.39
2013-05-29,23.66,23.73,23.44,23.64,884600,23.31
2013-05-28,23.84,23.99,23.75,23.82,627300,23.48
2013-05-24,23.50,23.72,23.40,23.65,715800,23.32
2013-05-23,23.51,23.87,23.50,23.60,1101400,23.27
2013-05-22,23.98,24.10,23.55,23.66,963000,23.33
2013-05-21,24.16,24.18,23.96,24.01,841300,23.67
2013-05-20,24.14,24.19,23.95,24.14,1290300,23.80
2013-05-17,23.95,24.22,23.91,24.20,1136000,23.86
2013-05-16,23.92,24.05,23.78,23.90,1796800,23.56
2013-05-15,23.94,24.03,23.83,23.96,1556200,23.62
2013-05-14,23.98,24.08,23.93,23.98,1390900,23.64
2013-05-13,24.19,24.23,23.85,23.96,1211700,23.62
2013-05-10,24.13,24.30,24.07,24.24,1288500,23.90
2013-05-09,24.11,24.36,24.02,24.07,1931300,23.73
2013-05-08,23.91,24.02,23.88,23.99,824100,23.65
2013-05-07,23.85,23.96,23.80,23.93,1073500,23.59
2013-05-06,23.85,24.00,23.72,23.82,1261000,23.48
2013-05-03,23.74,24.03,23.68,23.92,1549700,23.58
2013-05-02,23.57,23.65,23.29,23.64,961500,23.31
2013-05-01,23.50,23.77,23.44,23.50,1188900,23.17
2013-04-30,23.54,23.70,23.39,23.62,1239000,23.29
2013-04-29,23.37,23.58,23.30,23.49,976100,23.16
2013-04-26,23.12,23.49,23.12,23.24,1459000,22.91
2013-04-25,23.48,23.66,23.33,23.44,1649300,23.11
2013-04-24,23.63,23.63,22.66,23.49,5610200,23.16
2013-04-23,24.08,24.29,23.89,24.24,1249500,23.90
2013-04-22,23.96,24.05,23.65,24.01,811400,23.67
2013-04-19,23.92,23.98,23.69,23.95,803300,23.61
2013-04-18,24.26,24.30,23.79,23.82,1623300,23.48
2013-04-17,24.48,24.48,24.00,24.23,1299400,23.89
2013-04-16,24.47,24.61,24.28,24.58,1206600,24.23
2013-04-15,24.76,24.86,24.33,24.33,1271700,23.99
2013-04-12,24.84,24.92,24.69,24.90,1262000,24.55
2013-04-11,24.91,25.05,24.84,24.94,1301000,24.59
2013-04-10,24.52,24.90,24.49,24.90,1225800,24.55
2013-04-09,24.25,24.60,24.24,24.48,1828000,24.14
2013-04-08,24.00,24.20,23.99,24.17,919400,23.83
2013-04-05,24.03,24.07,23.93,24.03,1816100,23.69
2013-04-04,24.08,24.25,24.00,24.22,974700,23.88
2013-04-03,24.38,24.42,23.95,24.02,1294100,23.68
2013-04-02,24.57,24.66,24.27,24.32,1486900,23.98
2013-04-01,24.75,24.80,24.33,24.44,967800,24.10
2013-03-28,24.54,24.83,24.43,24.78,1164600,24.43
2013-03-27,24.65,24.68,24.46,24.57,797800,24.22
2013-03-26,24.60,24.78,24.51,24.73,1671400,24.38
2013-03-25,24.43,24.54,24.27,24.50,2111900,24.15
