Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,44.04,44.09,43.79,43.91,2631300,43.60
2013-12-30,43.50,43.91,43.49,43.90,2445700,43.59
2013-12-27,43.77,43.83,43.59,43.67,1938000,43.36
2013-12-26,43.52,43.65,43.45,43.59,1960100,43.29
2013-12-24,43.31,43.60,43.25,43.43,1339900,43.13
2013-12-23,43.00,43.41,42.90,43.36,3908600,43.06
2013-12-20,42.76,43.00,42.49,42.84,8648200,42.54
2013-12-19,43.11,43.11,42.28,42.46,4910200,42.16
2013-12-18,42.51,43.10,42.05,43.10,6390700,42.80
2013-12-17,42.26,42.61,42.23,42.43,3570500,42.13
2013-12-16,42.18,42.58,42.05,42.29,4144400,41.99
2013-12-13,42.65,42.78,41.91,41.95,5596000,41.66
2013-12-12,42.33,42.75,42.30,42.42,6970500,42.12
2013-12-11,43.45,43.50,42.78,42.81,4169600,42.51
2013-12-10,43.49,43.65,43.28,43.41,5146200,43.11
2013-12-09,43.65,43.67,43.32,43.58,5121700,43.28
2013-12-06,43.01,43.56,43.01,43.49,4794000,43.19
2013-12-05,42.48,42.73,42.39,42.66,4486700,42.36
2013-12-04,42.67,43.07,42.22,42.43,6592500,42.13
2013-12-03,42.62,42.94,42.39,42.84,6318700,42.54
2013-12-02,42.95,43.00,42.72,42.81,4389600,42.51
2013-11-29,42.63,43.08,42.51,43.00,3756400,42.70
2013-11-27,42.10,42.58,41.94,42.52,4764300,42.22
2013-11-26,42.59,42.85,42.56,42.70,4181000,42.40
2013-11-25,42.66,42.74,42.42,42.55,6201200,42.25
2013-11-22,42.43,42.67,42.15,42.64,5002300,42.34
2013-11-21,42.08,42.49,42.01,42.44,3826700,42.14
2013-11-20,42.40,42.40,41.81,41.93,4858800,41.64
2013-11-19,42.48,42.70,42.09,42.15,3605000,41.86
2013-11-18,42.62,42.70,42.33,42.44,4000400,42.14
2013-11-15,42.60,42.74,42.29,42.55,4231800,42.25
2013-11-14,42.23,42.75,42.21,42.63,6114500,42.33
2013-11-13,41.65,42.41,41.51,42.39,7129600,42.09
2013-11-12,41.61,41.99,41.61,41.85,4176800,41.56
2013-11-11,41.94,42.00,41.64,41.79,4291000,41.50
2013-11-08,41.84,42.04,41.56,41.98,5590100,41.69
2013-11-07,42.26,42.30,41.51,41.65,6335400,41.36
2013-11-06,42.11,42.26,41.90,42.14,4637300,41.85
2013-11-05,41.75,42.04,41.50,41.90,5350400,41.61
2013-11-04,42.18,42.24,41.89,41.99,3681600,41.70
