Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,75.00,75.54,74.63,75.30,2280000,75.03
2013-12-30,74.85,75.04,74.31,74.78,1983800,74.51
2013-12-27,75.00,75.32,74.58,74.69,2859900,74.42
2013-12-26,74.44,74.97,74.28,74.85,2121000,74.58
2013-12-24,74.20,74.42,73.92,74.13,1253500,73.86
2013-12-23,73.84,74.59,73.71,74.35,3263100,74.08
2013-12-20,72.63,73.73,72.62,73.35,7511500,73.09
2013-12-19,72.17,72.53,71.67,72.39,4359200,72.13
2013-12-18,71.03,72.47,70.70,72.38,4975700,72.12
2013-12-17,71.22,71.22,70.20,70.73,4280100,70.48
2013-12-16,70.73,71.38,70.53,71.06,4369500,70.80
2013-12-13,71.20,71.86,70.46,70.48,4737000,70.23
2013-12-12,72.19,72.57,70.91,71.01,5815300,70.75
2013-12-11,74.08,74.10,71.90,72.14,7304300,71.88
2013-12-10,73.70,74.41,73.68,74.05,3741100,73.78
2013-12-09,73.50,74.31,73.43,73.72,3988600,73.45
2013-12-06,73.23,73.72,72.84,73.50,3886000,73.24
2013-12-05,73.32,73.68,72.54,72.75,4104700,72.49
2013-12-04,73.02,74.41,72.54,73.65,5548700,73.38
2013-12-03,74.14,74.14,72.92,73.73,5162400,73.19
2013-12-02,73.64,74.45,73.64,74.16,4276000,73.61
2013-11-29,74.59,74.93,74.23,74.48,2025600,73.93
2013-11-27,74.67,74.93,74.08,74.36,3640600,73.81
2013-11-26,74.21,74.99,74.05,74.52,4635400,73.97
2013-11-25,74.00,74.66,73.79,74.07,3773900,73.52
2013-11-22,72.91,73.75,72.80,73.74,3178400,73.20
2013-11-21,72.39,73.68,72.37,72.91,4368000,72.37
2013-11-20,71.88,72.86,71.66,71.98,5031300,71.45
2013-11-19,71.76,71.91,71.26,71.61,4260900,71.08
2013-11-18,71.97,72.10,71.50,71.68,3263700,71.15
2013-11-15,71.13,71.96,71.09,71.87,3872600,71.34
2013-11-14,71.34,71.60,70.94,71.44,3581200,70.91
2013-11-13,69.95,71.13,69.81,71.01,3879500,70.49
2013-11-12,70.47,70.90,69.87,69.95,3604800,69.43
2013-11-11,70.73,70.95,70.29,70.50,3082600,69.98
2013-11-08,69.70,70.53,69.64,70.50,3741900,69.98
2013-11-07,70.90,70.98,69.66,69.76,4497300,69.24
