Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,40.40,40.45,40.24,40.40,4335400,40.18
2013-12-30,40.31,40.49,40.15,40.27,3910300,40.05
2013-12-27,40.39,40.55,40.30,40.37,3416200,40.15
2013-12-26,40.72,40.76,40.49,40.52,5651800,40.07
2013-12-24,40.55,40.83,40.51,40.60,2841700,40.15
2013-12-23,40.24,40.81,40.17,40.49,8439800,40.04
2013-12-20,40.12,40.32,40.03,40.05,12591400,39.61
2013-12-19,39.35,40.15,39.32,40.04,8073100,39.60
2013-12-18,39.31,40.15,39.21,40.12,12426400,39.68
2013-12-17,39.33,39.34,39.08,39.12,6994100,38.69
2013-12-16,39.35,39.52,39.14,39.38,6949300,38.95
2013-12-13,39.25,39.31,39.01,39.06,5963400,38.63
2013-12-12,39.03,39.49,38.93,39.20,8754300,38.77
2013-12-11,39.59,39.59,39.01,39.04,6940200,38.61
2013-12-10,39.63,39.82,39.38,39.42,7072400,38.99
2013-12-09,39.74,39.96,39.63,39.74,9040100,39.30
2013-12-06,38.99,39.67,38.99,39.66,12510600,39.22
2013-12-05,38.94,39.13,38.59,38.61,10464700,38.19
2013-12-04,38.94,39.22,38.66,39.00,14275400,38.57
2013-12-03,39.14,39.24,38.30,38.52,14165300,38.10
2013-12-02,39.29,39.48,39.12,39.21,6101000,38.78
2013-11-29,39.41,39.61,39.20,39.22,3945300,38.79
2013-11-27,39.32,39.47,39.25,39.35,5110900,38.92
2013-11-26,39.30,39.48,39.20,39.27,7946800,38.84
2013-11-25,38.96,39.38,38.96,39.21,7711600,38.78
2013-11-22,38.80,38.97,38.55,38.95,6165800,38.52
2013-11-21,38.84,38.96,38.60,38.86,8209100,38.43
2013-11-20,38.79,38.90,38.50,38.74,8513100,38.31
2013-11-19,38.38,38.83,38.29,38.66,8187900,38.23
2013-11-18,38.29,38.48,38.18,38.33,8376200,37.91
2013-11-15,38.24,38.39,38.15,38.31,6546700,37.89
2013-11-14,38.17,38.39,38.04,38.28,7404300,37.86
2013-11-13,37.64,38.02,37.47,38.02,11824400,37.60
2013-11-12,37.83,38.00,37.62,37.75,8820200,37.33
2013-11-11,38.03,38.03,37.70,37.94,5924500,37.52
2013-11-08,37.44,38.08,37.29,38.08,10216000,37.66
2013-11-07,38.00,38.00,37.45,37.47,5647900,37.06
2013-11-06,37.76,38.00,37.63,37.92,5116900,37.50
2013-11-05,37.50,37.79,37.40,37.67,5652200,37.26
2013-11-04,37.41,37.61,37.35,37.54,5236900,37.13
2013-11-01,37.37,37.64,37.22,37.37,7146900,36.96
2013-10-31,37.83,37.85,37.36,37.36,8109900,36.95
2013-10-30,37.82,37.93,37.73,37.76,6763100,37.34
2013-10-29,37.89,37.92,37.69,37.83,4724200,37.41
2013-10-28,37.79,37.93,37.62,37.76,6988600,37.34
2013-10-25,37.88,38.25,37.64,37.83,7446600,37.41
2013-10-24,37.90,38.00,37.52,37.80,9328200,37.38
2013-10-23,38.03,38.06,37.78,37.98,6678100,37.56
2013-10-22,38.08,38.22,37.96,38.07,7032800,37.65
2013-10-21,37.93,38.12,37.78,38.06,6745300,37.64
2013-10-18,37.85,38.09,37.60,37.92,10330200,37.50
2013-10-17,37.18,37.79,37.18,37.68,10779700,37.27
2013-10-16,37.09,37.69,36.83,37.24,13183600,36.83
2013-10-15,37.16,37.26,36.77,36.88,8065700,36.47
2013-10-14,36.94,37.25,36.90,37.18,5931900,36.77
2013-10-11,36.75,37.21,36.57,37.05,7814900,36.64
2013-10-10,36.24,36.97,36.24,36.94,9142800,36.53
2013-10-09,35.82,36.10,35.72,35.96,7292500,35.56
2013-10-08,36.06,36.18,35.69,35.70,9128100,35.31
2013-10-07,36.35,36.39,36.10,36.13,5398800,35.73
2013-10-04,36.30,36.68,36.30,36.62,6427600,36.22
2013-10-03,36.33,36.48,36.23,36.35,6325900,35.95
2013-10-02,36.51,36.58,36.33,36.39,6852300,35.99
2013-10-01,36.69,36.79,36.49,36.71,4932400,36.31
2013-09-30,36.24,36.74,36.06,36.58,7895000,36.18
2013-09-27,36.34,36.65,36.31,36.50,5973100,36.10
2013-09-26,36.66,36.76,36.37,36.54,5592900,36.14
2013-09-25,36.87,37.05,36.60,36.76,9230100,36.13
2013-09-24,37.40,37.40,36.81,36.90,9922300,36.27
2013-09-23,37.75,37.76,37.17,37.36,7631000,36.72
2013-09-20,37.75,37.93,37.53,37.85,11096500,37.20
2013-09-19,38.04,38.06,37.45,37.71,11617800,37.06
2013-09-18,37.57,38.23,37.50,37.84,10296100,37.19
2013-09-17,37.62,37.66,37.32,37.52,6517100,36.87
2013-09-16,37.60,37.63,37.30,37.51,8614500,36.87
2013-09-13,36.93,37.23,36.93,37.14,7040600,36.50
2013-09-12,36.76,37.34,36.44,36.87,8241700,36.24
2013-09-11,36.77,36.81,36.49,36.68,5901500,36.05
2013-09-10,36.51,36.86,36.51,36.71,6474400,36.08
2013-09-09,36.48,36.50,35.89,36.32,6975500,35.70
2013-09-06,36.78,36.91,36.30,36.47,6171800,35.84
2013-09-05,36.15,36.83,36.12,36.70,8674800,36.07
2013-09-04,36.00,36.24,35.83,36.13,6125800,35.51
2013-09-03,36.46,36.61,35.90,36.06,6595600,35.44
2013-08-30,36.17,36.20,35.89,36.13,6816200,35.51
2013-08-29,36.00,36.39,35.90,36.11,5760500,35.49
2013-08-28,36.11,36.34,36.03,36.11,5331100,35.49
2013-08-27,36.60,36.67,36.03,36.11,7512600,35.49
2013-08-26,37.42,37.42,36.92,36.92,4213600,36.29
2013-08-23,37.58,37.61,37.15,37.32,5205700,36.68
2013-08-22,36.84,37.46,36.80,37.40,7472700,36.76
2013-08-21,36.74,37.12,36.68,36.79,6431100,36.16
2013-08-20,36.63,37.06,36.56,36.86,5711000,36.23
2013-08-19,36.87,36.91,36.62,36.66,5119900,36.03
2013-08-16,36.69,37.00,36.67,36.92,6350600,36.29
2013-08-15,36.92,37.00,36.58,36.77,5781700,36.14
2013-08-14,37.15,37.20,36.94,36.97,5573800,36.33
2013-08-13,37.16,37.26,36.94,37.11,6455000,36.47
2013-08-12,37.06,37.28,36.92,37.16,5349400,36.52
2013-08-09,37.31,37.39,37.04,37.17,6845900,36.53
2013-08-08,37.39,37.52,37.06,37.35,5256300,36.71
2013-08-07,37.44,37.44,37.00,37.21,5934000,36.57
2013-08-06,37.72,37.72,37.47,37.61,5004800,36.96
2013-08-05,37.69,37.83,37.59,37.74,4538600,37.09
2013-08-02,37.58,37.82,37.54,37.77,5639000,37.12
2013-08-01,37.66,37.93,37.60,37.66,6678700,37.01
2013-07-31,37.80,37.97,37.30,37.32,10825300,36.68
2013-07-30,37.72,37.97,37.65,37.70,11066700,37.05
2013-07-29,37.52,37.58,37.29,37.49,6038800,36.85
2013-07-26,37.30,37.57,37.14,37.54,6043600,36.89
2013-07-25,37.30,37.52,37.16,37.46,6573400,36.82
2013-07-24,37.62,37.69,37.45,37.54,7083700,36.89
2013-07-23,37.35,37.73,37.22,37.54,7708400,36.89
2013-07-22,37.23,37.48,37.18,37.35,7510900,36.71
2013-07-19,37.05,37.40,36.88,37.26,8928500,36.62
2013-07-18,36.88,37.11,36.81,37.07,10340300,36.43
2013-07-17,36.84,36.85,36.15,36.74,17808800,36.11
2013-07-16,37.50,37.56,36.93,37.27,9162900,36.63
2013-07-15,37.72,37.74,37.31,37.50,7245600,36.86
2013-07-12,37.26,37.68,37.06,37.66,7102000,37.01
2013-07-11,37.26,37.34,36.87,37.15,10127500,36.51
2013-07-10,37.21,37.27,36.82,37.07,9260400,36.43
2013-07-09,37.22,37.46,37.05,37.29,7484800,36.65
2013-07-08,36.88,37.19,36.88,37.05,8869200,36.41
2013-07-05,36.52,36.78,36.48,36.76,7525300,36.13
2013-07-03,36.15,36.40,36.00,36.35,3947400,35.73
2013-07-02,36.28,36.70,36.12,36.30,10381200,35.68
2013-07-01,36.36,36.64,36.29,36.31,8606900,35.69
2013-06-28,36.14,36.40,35.85,36.15,11220800,35.53
2013-06-27,36.10,36.32,35.90,36.14,10636800,35.52
2013-06-26,36.01,36.25,35.92,35.93,9412600,35.31
2013-06-25,35.67,36.06,35.56,35.94,10987800,35.10
2013-06-24,35.21,35.69,35.14,35.39,14635800,34.56
2013-06-21,35.38,35.72,35.15,35.57,15679900,34.73
2013-06-20,34.96,35.31,34.85,35.06,13474300,34.24
2013-06-19,35.40,35.63,35.13,35.19,9300200,34.36
2013-06-18,35.22,35.43,35.13,35.35,5994300,34.52
2013-06-17,35.23,35.41,35.06,35.23,6716600,34.40
2013-06-14,35.42,35.44,34.98,35.01,8118900,34.19
2013-06-13,35.35,35.52,35.08,35.46,11286400,34.63
2013-06-12,35.45,35.53,35.20,35.40,10647400,34.57
2013-06-11,35.37,35.57,35.23,35.41,10101800,34.58
2013-06-10,35.99,36.00,35.56,35.59,10289900,34.75
2013-06-07,35.55,35.91,35.41,35.87,10408700,35.03
2013-06-06,34.84,35.45,34.80,35.38,10148200,34.55
2013-06-05,35.15,35.32,34.83,35.01,10852100,34.19
2013-06-04,35.31,35.55,35.20,35.26,9337600,34.43
2013-06-03,35.08,35.28,34.91,35.27,9717600,34.44
2013-05-31,35.43,35.71,35.06,35.06,10703600,34.24
2013-05-30,35.42,35.81,35.29,35.53,10534800,34.70
2013-05-29,35.30,35.48,35.17,35.33,9108900,34.50
2013-05-28,35.84,35.93,35.50,35.54,8780300,34.71
2013-05-24,35.04,35.50,34.94,35.41,7667500,34.58
2013-05-23,35.02,35.35,35.00,35.22,12779000,34.39
2013-05-22,34.91,35.90,34.91,35.37,16879400,34.54
2013-05-21,35.15,35.38,35.11,35.29,8158100,34.46
2013-05-20,34.60,35.39,34.56,35.13,11921000,34.31
2013-05-17,34.35,34.78,34.30,34.67,12158200,33.86
2013-05-16,34.34,34.48,34.19,34.31,11134300,33.50
2013-05-15,33.86,34.37,33.73,34.34,8879100,33.53
2013-05-14,33.53,33.93,33.51,33.89,9411800,33.09
2013-05-13,33.38,33.70,33.30,33.50,7663100,32.71
2013-05-10,33.37,33.55,33.26,33.49,7592100,32.70
2013-05-09,33.35,33.56,33.15,33.31,11381700,32.53
2013-05-08,33.05,33.34,33.02,33.33,8929900,32.55
