Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,62.26,62.50,62.08,62.34,1114200,62.07
2013-12-30,61.70,62.29,61.60,62.07,1090700,61.80
2013-12-27,62.34,62.48,60.97,61.58,1683600,61.31
2013-12-26,61.50,62.19,61.32,62.08,1385900,61.81
2013-12-24,61.05,61.35,60.74,61.20,1203300,60.93
2013-12-23,61.75,61.90,60.12,60.96,3189000,60.69
2013-12-20,239.30,245.79,237.99,245.79,23002800,61.18
2013-12-19,239.12,240.43,238.02,238.48,1735600,59.36
2013-12-18,235.83,239.63,233.64,239.34,1800400,59.57
2013-12-17,235.26,235.99,233.86,235.07,1461200,58.51
2013-12-16,234.97,235.70,233.66,234.69,1878800,58.41
2013-12-13,234.00,234.91,231.20,234.48,3049200,58.36
2013-12-12,229.50,233.09,228.94,232.24,2933600,57.80
2013-12-11,231.81,232.69,228.68,229.20,2352000,57.05
2013-12-10,232.71,233.14,228.56,231.25,2615600,57.56
2013-12-09,233.64,234.28,232.06,232.94,1853200,57.98
2013-12-06,243.28,243.28,232.59,233.57,1575600,58.14
2013-12-05,233.49,235.46,232.35,233.00,2256400,57.73
2013-12-04,233.79,234.50,231.55,233.55,1668800,57.87
2013-12-03,235.67,235.97,233.32,234.04,2232800,57.99
2013-12-02,236.19,238.25,234.71,235.74,2281600,58.41
2013-11-29,235.00,237.18,234.21,234.58,988800,58.12
2013-11-27,235.38,236.60,234.12,234.93,1611200,58.21
2013-11-26,232.99,235.65,232.67,234.40,1712000,58.08
2013-11-25,233.09,234.53,232.50,233.40,3142000,57.83
2013-11-22,225.88,232.41,224.59,232.10,3455600,57.51
2013-11-21,225.44,225.44,223.30,224.53,1441600,55.63
2013-11-20,225.00,226.52,224.00,224.74,1270400,55.69
2013-11-19,224.14,225.30,223.10,224.26,1404000,55.57
2013-11-18,225.50,226.85,223.93,224.44,1832400,55.61
2013-11-15,224.13,225.59,223.17,225.56,1770000,55.89
2013-11-14,223.00,224.68,221.36,224.51,1724000,55.63
2013-11-13,217.45,223.06,217.25,223.01,2487200,55.26
2013-11-12,218.18,219.24,217.15,217.83,2522000,53.97
2013-11-11,219.00,219.76,218.68,219.05,1350400,54.28
2013-11-08,217.05,218.79,216.26,218.74,2722800,54.20
2013-11-07,222.46,223.04,216.73,217.05,2486800,53.78
2013-11-06,222.64,225.58,220.98,222.46,3661600,55.12
2013-11-05,218.68,220.38,217.12,219.75,2445200,54.45
2013-11-04,216.70,218.93,216.13,218.63,2324800,54.17
2013-11-01,215.00,216.65,214.82,215.50,1131200,53.40
2013-10-31,215.11,216.24,213.17,215.00,2460800,53.27
2013-10-30,216.29,216.84,213.38,214.96,1832000,53.26
2013-10-29,217.00,217.69,215.50,216.00,3320000,53.52
2013-10-28,212.20,216.61,211.83,216.55,3431600,53.66
2013-10-25,213.04,213.21,210.61,212.23,2228000,52.59
2013-10-24,213.44,213.44,210.70,210.75,1958800,52.22
2013-10-23,211.38,212.68,210.02,212.44,1676000,52.64
2013-10-22,212.26,212.99,210.31,211.44,3193200,52.39
2013-10-21,212.90,214.40,210.28,211.23,5260800,52.34
2013-10-18,202.95,204.30,201.41,204.30,2419200,50.62
2013-10-17,200.59,203.40,200.23,201.89,2613200,50.02
2013-10-16,197.05,201.41,197.05,201.33,3356800,49.89
2013-10-15,197.38,198.66,195.80,196.07,4588000,48.58
2013-10-14,193.40,198.20,193.40,197.58,1934800,48.96
2013-10-11,194.73,196.15,193.41,196.10,2066000,48.59
2013-10-10,195.26,195.66,194.09,194.73,1312800,48.25
2013-10-09,190.44,193.46,189.32,192.42,2310400,47.68
2013-10-08,193.95,194.46,189.36,189.76,3070400,47.02
2013-10-07,195.14,196.35,193.82,193.85,2017200,48.03
2013-10-04,194.99,197.07,194.69,196.51,1979600,48.69
2013-10-03,195.59,198.17,193.36,194.54,2212000,48.20
2013-10-02,200.41,201.24,193.79,195.80,3317600,48.52
2013-10-01,199.60,200.00,197.51,198.84,2118400,49.27
2013-09-30,197.15,199.48,197.01,199.05,2287600,49.32
2013-09-27,199.59,199.99,196.80,198.48,2569200,49.18
2013-09-26,199.72,200.74,198.71,199.61,2215600,49.46
2013-09-25,202.84,202.88,198.67,199.24,2385600,49.37
2013-09-24,202.82,203.43,201.59,202.58,1631600,50.20
2013-09-23,203.02,203.27,200.22,202.44,1703600,50.16
2013-09-20,204.69,204.94,201.94,203.32,3225600,50.38
2013-09-19,199.33,204.64,199.33,204.49,3366800,50.67
2013-09-18,197.23,200.34,195.57,200.21,1830400,49.61
