Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,100.50,100.50,99.65,100.00,322600,100.00
2013-12-30,99.56,100.85,99.44,100.30,532700,100.30
2013-12-27,99.63,100.18,99.12,99.36,267400,99.36
2013-12-26,99.61,100.07,99.26,99.60,233100,99.60
2013-12-24,99.40,99.75,99.31,99.60,104600,99.60
2013-12-23,100.18,100.21,99.15,99.47,406100,99.47
2013-12-20,99.45,99.98,99.02,99.58,700900,99.58
2013-12-19,98.11,99.11,97.99,99.02,655300,99.02
2013-12-18,96.11,98.82,95.87,98.80,570300,98.80
2013-12-17,96.68,97.19,95.64,96.10,242100,96.10
2013-12-16,96.27,97.08,96.27,96.72,288800,96.72
2013-12-13,96.31,96.49,95.50,96.03,503400,96.03
2013-12-12,95.25,96.47,95.11,96.01,622600,96.01
2013-12-11,96.91,97.20,94.50,95.25,1172900,95.25
2013-12-10,98.46,98.62,96.96,97.03,635900,97.03
2013-12-09,98.55,98.64,98.08,98.49,622600,98.49
2013-12-06,99.31,99.32,97.90,98.21,681100,98.21
2013-12-05,99.19,99.19,98.34,98.49,287700,98.49
2013-12-04,98.86,99.47,98.47,99.20,526500,99.20
2013-12-03,99.17,99.59,98.93,99.34,356600,99.34
2013-12-02,99.57,99.99,99.10,99.58,319000,99.58
2013-11-29,99.91,99.99,99.02,99.53,121500,99.53
2013-11-27,99.90,100.14,98.92,99.90,204300,99.90
2013-11-26,99.14,100.20,98.46,99.67,484200,99.67
2013-11-25,101.48,101.48,100.43,100.66,185400,100.66
2013-11-22,101.58,101.80,100.84,101.09,267300,101.09
2013-11-21,100.81,102.13,100.80,101.38,301800,101.38
2013-11-20,100.50,101.25,100.30,100.40,458300,100.40
2013-11-19,101.03,101.08,100.42,100.50,321600,100.50
2013-11-18,102.35,102.35,101.01,101.25,239400,101.25
2013-11-15,100.69,102.13,100.62,102.12,857000,102.12
2013-11-14,100.06,100.99,99.73,100.62,264900,100.62
2013-11-13,99.25,100.05,98.90,100.05,278300,100.05
2013-11-12,99.50,99.78,99.02,99.52,289500,99.52
2013-11-11,99.81,100.30,99.58,99.66,248700,99.66
2013-11-08,98.42,100.19,98.42,100.12,421400,100.12
2013-11-07,99.94,99.97,98.34,98.45,360100,98.45
2013-11-06,99.58,100.06,98.83,99.69,277500,99.69
2013-11-05,100.41,100.89,99.45,99.47,327700,99.47
2013-11-04,101.20,101.24,100.33,100.80,342100,100.80
2013-11-01,100.85,101.81,100.58,100.58,376500,100.58
2013-10-31,101.14,101.46,100.38,100.92,473100,100.92
2013-10-30,102.50,102.50,100.43,100.98,592100,100.98
2013-10-29,102.28,102.92,101.80,102.15,528500,102.15
2013-10-28,101.90,103.06,101.51,102.24,422200,102.24
2013-10-25,101.61,102.09,101.38,101.99,589900,101.99
2013-10-24,101.77,102.18,100.11,101.29,803000,101.29
2013-10-23,99.69,101.93,98.54,101.82,1011800,101.82
2013-10-22,101.73,103.50,99.43,99.83,1762400,99.83
2013-10-21,106.47,106.82,105.92,106.21,556300,106.21
2013-10-18,107.02,107.04,106.09,106.48,314900,106.48
2013-10-17,103.86,106.43,103.53,106.35,368000,106.35
2013-10-16,103.61,104.59,103.50,104.11,312500,104.11
2013-10-15,103.88,104.19,102.84,103.11,260700,103.11
2013-10-14,102.79,104.32,102.61,104.18,302300,104.18
2013-10-11,103.84,104.49,103.60,104.48,359800,104.48
2013-10-10,103.25,103.92,103.16,103.87,300500,103.87
2013-10-09,102.81,103.18,101.82,102.34,578200,102.34
2013-10-08,103.93,104.29,102.71,102.74,370000,102.74
2013-10-07,104.06,104.62,103.70,103.81,388100,103.81
2013-10-04,104.74,105.55,104.68,105.00,397500,105.00
2013-10-03,105.59,105.60,104.25,104.59,420900,104.59
2013-10-02,105.09,106.14,104.62,105.65,835100,105.65
2013-10-01,106.58,107.13,105.45,105.70,898900,105.70
2013-09-30,106.51,106.82,105.91,106.21,386600,106.21
2013-09-27,107.86,108.89,106.86,107.28,419400,107.28
2013-09-26,106.60,107.82,106.60,107.73,772100,107.73
2013-09-25,106.54,107.29,106.43,106.72,567200,106.72
2013-09-24,105.91,106.86,105.09,106.66,335200,106.66
2013-09-23,106.20,106.40,105.38,105.96,204800,105.96
2013-09-20,106.50,107.39,106.09,106.54,634400,106.54
2013-09-19,107.10,107.55,106.13,106.44,363400,106.44
2013-09-18,106.14,106.74,104.83,106.61,275100,106.61
2013-09-17,106.03,106.49,105.53,105.98,186200,105.98
2013-09-16,105.42,105.85,104.66,105.75,304200,105.75
2013-09-13,104.41,104.80,104.02,104.19,256700,104.19
2013-09-12,104.67,105.29,104.30,104.41,475200,104.41
2013-09-11,103.86,105.24,103.34,104.93,593100,104.93
2013-09-10,103.68,104.25,103.42,103.89,349000,103.89
