Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,91.65,92.54,91.58,92.39,916100,91.95
2013-12-30,92.17,92.45,91.22,91.52,973700,91.08
2013-12-27,92.15,92.83,92.06,92.17,820700,91.73
2013-12-26,91.80,92.49,91.50,92.15,941800,91.71
2013-12-24,91.02,91.81,91.02,91.39,808300,90.95
2013-12-23,90.06,91.25,90.02,91.15,1513100,90.71
2013-12-20,88.68,90.00,88.53,89.59,2407300,89.16
2013-12-19,88.75,88.90,88.06,88.75,1287800,88.33
2013-12-18,87.43,89.05,87.05,89.02,2738300,88.59
2013-12-17,87.79,87.86,86.88,86.89,2388700,86.47
2013-12-16,87.71,88.37,86.92,87.69,3496500,87.27
2013-12-13,88.85,89.72,87.50,87.75,2220600,87.33
2013-12-12,89.21,89.82,88.35,88.69,1916000,88.27
2013-12-11,91.00,91.25,89.05,89.27,1364300,88.84
2013-12-10,91.00,91.86,90.89,91.06,1515300,90.62
2013-12-09,91.07,91.91,90.83,90.98,1597100,90.54
2013-12-06,90.61,90.99,89.44,90.69,2130200,90.26
2013-12-05,91.18,91.73,89.68,89.78,2032500,89.35
2013-12-04,91.97,92.79,90.51,91.59,2865800,90.78
2013-12-03,92.16,93.29,91.55,92.56,3490400,91.74
2013-12-02,92.90,94.36,92.89,93.92,2143500,93.09
2013-11-29,93.83,93.96,92.73,92.88,1405000,92.06
2013-11-27,94.09,94.33,93.48,93.62,1304900,92.79
2013-11-26,93.61,94.32,93.31,93.66,2642900,92.83
2013-11-25,93.00,94.22,92.98,93.61,1671300,92.78
2013-11-22,91.77,93.11,91.14,93.03,2735400,92.21
2013-11-21,92.70,93.49,91.85,92.08,2407900,91.26
2013-11-20,92.00,93.72,91.91,92.76,2451000,91.94
2013-11-19,90.56,92.87,90.50,92.00,3972400,91.19
2013-11-18,90.14,90.96,90.03,90.40,1958200,89.60
2013-11-15,88.98,90.23,88.43,90.10,2688500,89.30
2013-11-14,88.22,89.53,87.65,89.49,2901000,88.70
2013-11-13,87.26,88.13,87.06,88.02,2699400,87.24
2013-11-12,87.83,88.03,87.05,87.50,2014200,86.72
2013-11-11,87.24,88.34,87.01,87.94,1492100,87.16
2013-11-08,86.66,87.65,86.08,87.28,2939000,86.51
2013-11-07,87.97,88.50,86.43,86.46,2228600,85.69
2013-11-06,87.50,88.37,86.75,87.70,2629200,86.92
2013-11-05,86.69,87.71,86.20,87.41,2391900,86.64
2013-11-04,85.77,87.02,85.75,86.81,1759800,86.04
2013-11-01,85.15,85.70,84.46,85.36,1872700,84.60
2013-10-31,84.80,85.47,84.06,84.80,3230700,84.05
2013-10-30,84.94,85.37,84.33,84.54,1991900,83.79
2013-10-29,84.47,84.64,83.22,84.54,3090500,83.79
2013-10-28,84.32,85.52,83.98,84.55,2556500,83.80
2013-10-25,83.62,84.32,83.18,84.10,2709300,83.35
2013-10-24,85.68,86.64,83.13,83.60,3476300,82.86
2013-10-23,88.46,89.10,84.81,85.48,3897600,84.72
2013-10-22,87.74,88.89,87.59,88.43,2029700,87.65
2013-10-21,86.45,87.81,86.00,87.60,2542100,86.82
2013-10-18,88.81,88.81,85.64,86.38,3396900,85.61
2013-10-17,87.74,88.78,86.90,88.59,1961900,87.81
2013-10-16,88.38,89.87,88.04,89.66,1443000,88.87
2013-10-15,87.92,89.44,87.58,87.97,1202000,87.19
2013-10-14,88.34,88.82,87.81,88.67,1053500,87.88
2013-10-11,88.18,88.95,88.05,88.64,1573400,87.85
2013-10-10,86.47,88.48,86.29,88.43,1670200,87.65
2013-10-09,85.36,86.00,85.21,85.56,1149900,84.80
2013-10-08,86.22,86.64,85.34,85.37,1202500,84.61
2013-10-07,86.43,87.09,86.21,86.28,1864300,85.52
2013-10-04,86.45,87.86,86.07,87.21,2202700,86.44
2013-10-03,86.34,87.10,85.83,86.48,1746800,85.71
2013-10-02,85.64,86.64,85.01,86.60,1988600,85.83
2013-10-01,83.80,86.11,83.52,86.11,2148000,85.35
2013-09-30,83.16,84.24,82.87,83.61,1915000,82.87
2013-09-27,83.74,84.12,83.41,83.95,1389000,83.21
2013-09-26,83.64,84.76,83.57,84.11,1598000,83.36
2013-09-25,84.34,84.39,83.20,83.63,2384700,82.89
2013-09-24,83.23,85.01,83.21,84.29,2660300,83.54
2013-09-23,82.06,83.35,81.46,83.15,3011400,82.41
2013-09-20,82.78,83.66,82.30,82.33,2869700,81.60
2013-09-19,84.45,85.01,82.44,82.53,3622600,81.80
2013-09-18,87.68,87.92,83.97,84.39,5917400,83.64
2013-09-17,89.15,89.17,87.51,88.27,1536400,87.49
2013-09-16,89.82,89.93,88.94,89.10,1728800,88.31
2013-09-13,89.13,89.48,88.70,89.09,1957100,88.30
2013-09-12,89.09,89.47,88.36,88.46,1594300,87.68
2013-09-11,87.80,89.44,87.79,89.26,2026000,88.47
2013-09-10,87.30,87.80,86.50,87.80,1879100,87.02
2013-09-09,87.27,87.62,86.54,86.71,1246700,85.94
2013-09-06,87.86,87.92,86.21,87.29,1373700,86.52
2013-09-05,87.26,88.08,87.14,87.87,1328900,86.72
2013-09-04,86.24,87.47,85.76,87.38,1435500,86.24
2013-09-03,85.62,86.54,85.52,86.28,1556200,85.15
2013-08-30,85.30,85.78,84.98,85.14,1998900,84.03
2013-08-29,84.75,86.16,84.65,85.46,1677400,84.34
2013-08-28,85.11,85.59,84.15,84.83,1289300,83.72
2013-08-27,85.91,86.05,85.00,85.07,1267200,83.96
2013-08-26,86.86,87.00,86.00,86.57,1015700,85.44
2013-08-23,86.40,86.75,86.10,86.58,1179600,85.45
2013-08-22,85.80,86.55,85.52,86.20,977700,85.07
2013-08-21,85.84,86.38,85.46,85.76,857800,84.64
2013-08-20,85.73,86.41,85.58,86.02,1289700,84.89
2013-08-19,86.13,86.49,85.71,85.82,1166700,84.70
2013-08-16,85.15,86.77,85.13,86.05,1779900,84.92
2013-08-15,86.08,86.66,85.24,85.42,1582000,84.30
2013-08-14,86.99,87.14,86.23,86.63,1324100,85.50
2013-08-13,87.44,87.55,86.25,86.99,1826500,85.85
2013-08-12,86.74,87.30,86.34,86.97,1660400,85.83
2013-08-09,87.58,88.14,86.76,87.39,1180300,86.25
2013-08-08,87.36,88.49,87.17,87.74,1788700,86.59
2013-08-07,87.33,88.17,87.00,87.14,1889400,86.00
2013-08-06,87.66,87.86,86.61,87.45,3105700,86.31
2013-08-05,86.06,88.72,85.72,87.66,3944500,86.51
2013-08-02,86.33,86.37,85.59,86.08,1153000,84.95
2013-08-01,86.03,86.61,85.98,86.37,1190300,85.24
2013-07-31,85.30,86.50,85.17,85.56,2297800,84.44
2013-07-30,86.05,86.52,84.44,84.96,1924200,83.85
2013-07-29,84.79,86.06,84.79,85.54,1661700,84.42
2013-07-26,85.50,85.72,84.23,84.79,1994800,83.68
2013-07-25,86.50,86.88,85.32,85.90,2333200,84.78
2013-07-24,87.97,90.00,87.32,87.44,3355700,86.30
2013-07-23,87.05,87.59,86.61,87.51,1922200,86.36
2013-07-22,86.80,87.52,86.55,87.00,2073900,85.86
2013-07-19,86.40,86.99,85.70,86.80,1714000,85.66
2013-07-18,85.18,87.08,85.18,86.43,3142000,85.30
2013-07-17,85.53,85.96,84.30,84.43,2503400,83.32
2013-07-16,85.80,85.80,84.91,85.35,2164600,84.23
2013-07-15,85.12,85.88,84.89,85.68,1835600,84.56
2013-07-12,85.60,85.66,84.89,85.40,1539000,84.28
2013-07-11,85.45,85.60,84.75,85.41,1711300,84.29
2013-07-10,84.28,85.06,84.11,84.75,1836200,83.64
2013-07-09,83.29,84.71,83.03,84.09,2069400,82.99
2013-07-08,82.35,83.16,81.96,83.09,2042700,82.00
2013-07-05,81.58,82.00,80.98,81.96,1064900,80.89
2013-07-03,81.23,81.45,80.75,81.09,2289000,80.03
2013-07-02,81.53,82.24,81.20,81.38,2214500,80.31
2013-07-01,82.00,82.24,81.60,81.65,2070800,80.58
2013-06-28,81.55,82.33,81.10,81.84,2247200,80.77
2013-06-27,80.46,81.85,80.40,81.70,1817400,80.63
2013-06-26,80.47,81.00,79.42,80.21,1551700,79.16
2013-06-25,80.47,80.68,79.34,79.89,1950100,78.84
2013-06-24,78.47,81.00,78.47,79.98,5193000,78.93
2013-06-21,78.12,79.59,77.86,79.40,3232500,78.36
2013-06-20,77.81,79.27,77.40,77.48,2717100,76.47
2013-06-19,79.52,80.00,78.50,78.52,1904000,77.49
2013-06-18,78.76,79.79,78.71,79.64,1609900,78.60
2013-06-17,78.71,79.25,78.15,78.77,1561300,77.74
2013-06-14,78.83,79.47,77.81,78.16,1353000,77.14
2013-06-13,77.84,79.03,77.12,78.93,1157200,77.90
2013-06-12,78.72,78.86,77.80,78.07,1449000,77.05
2013-06-11,78.37,78.94,77.30,78.38,1814500,77.35
2013-06-10,77.43,79.78,77.43,79.56,2806300,78.52
2013-06-07,76.90,77.87,76.59,77.39,1439500,76.38
2013-06-06,75.43,76.44,75.02,76.44,1230400,75.44
2013-06-05,77.39,77.43,75.22,75.68,1718500,74.32
2013-06-04,77.23,77.75,76.68,77.44,1822800,76.05
2013-06-03,77.07,77.69,76.12,77.50,2199300,76.11
2013-05-31,79.05,79.47,76.93,76.97,1744800,75.59
2013-05-30,78.01,79.60,77.77,79.38,1484600,77.95
2013-05-29,78.13,78.50,77.72,78.00,1404300,76.60
2013-05-28,77.83,79.15,77.70,78.72,1493400,77.30
2013-05-24,77.34,77.52,76.18,76.98,1547300,75.60
2013-05-23,77.21,78.10,77.05,77.98,1305700,76.58
2013-05-22,78.02,79.58,77.68,77.81,1735800,76.41
2013-05-21,77.53,78.66,77.24,78.10,1531100,76.70
2013-05-20,77.79,78.33,77.32,77.49,1584700,76.10
2013-05-17,76.82,77.89,76.82,77.81,1483600,76.41
2013-05-16,77.42,77.80,76.79,76.84,1578000,75.46
2013-05-15,77.98,78.10,77.40,77.83,1768500,76.43
2013-05-14,76.51,78.01,76.51,78.00,3708700,76.60
2013-05-13,75.53,76.03,75.16,76.01,1470100,74.64
2013-05-10,75.39,75.98,75.24,75.89,1332700,74.53
2013-05-09,74.67,75.49,74.51,75.39,1527000,74.03
2013-05-08,74.29,75.35,74.18,75.05,1740600,73.70
2013-05-07,73.64,75.04,73.47,74.71,2329800,73.37
2013-05-06,73.82,74.26,73.37,73.51,1070800,72.19
2013-05-03,73.83,74.32,73.65,73.82,1741800,72.49
2013-05-02,72.62,73.63,72.53,73.42,2354500,72.10
2013-05-01,72.50,73.53,72.05,72.27,1641000,70.97
2013-04-30,73.22,73.22,71.65,72.92,2649200,71.61
2013-04-29,73.26,73.98,72.75,72.90,1715800,71.59
2013-04-26,73.43,74.21,72.38,72.87,1807300,71.56
2013-04-25,73.65,74.27,73.18,73.75,3121400,72.42
2013-04-24,72.00,74.43,71.39,73.33,4394100,72.01
2013-04-23,68.60,69.64,68.32,69.33,1729900,68.08
2013-04-22,68.71,68.77,67.98,68.25,867200,67.02
2013-04-19,67.47,68.77,67.39,68.71,1500300,67.47
2013-04-18,68.20,68.41,66.68,67.18,2505100,65.97
2013-04-17,69.67,70.36,68.66,69.03,2173100,67.79
2013-04-16,68.81,70.52,68.69,70.16,2444600,68.90
2013-04-15,69.46,69.70,68.26,68.28,1351800,67.05
2013-04-12,69.95,70.44,69.33,69.79,1343900,68.54
2013-04-11,69.48,70.14,69.26,70.06,1998800,68.80
2013-04-10,68.86,69.88,68.60,69.46,1608400,68.21
2013-04-09,67.89,68.93,67.75,68.48,1722200,67.25
2013-04-08,68.01,68.13,67.04,67.72,1537500,66.50
2013-04-05,68.20,68.39,67.51,67.99,2392600,66.77
2013-04-04,68.15,69.25,67.94,68.49,1915000,67.26
2013-04-03,68.35,69.34,68.12,68.15,2112200,66.92
2013-04-02,69.25,70.58,68.24,68.46,4167500,67.23
2013-04-01,66.29,67.70,65.82,67.44,2971500,66.23
2013-03-28,65.71,66.33,65.40,66.23,2120600,65.04
2013-03-27,64.63,65.61,64.42,65.61,1972600,64.43
2013-03-26,64.37,65.18,64.35,64.76,1213800,63.60
2013-03-25,64.12,64.39,63.80,64.11,1213200,62.96
2013-03-22,63.86,64.04,63.31,64.03,1114900,62.88
2013-03-21,63.65,64.23,63.42,63.63,1819700,62.49
2013-03-20,64.64,64.88,63.91,64.02,1567100,62.87
2013-03-19,64.69,64.90,64.14,64.31,1688100,63.15
2013-03-18,64.54,64.84,64.19,64.55,1523100,63.39
2013-03-15,64.84,65.44,64.60,64.98,2702000,63.81
2013-03-14,64.99,65.28,64.50,65.18,1364600,64.01
2013-03-13,64.14,65.15,63.98,64.84,1749400,63.67
2013-03-12,63.47,64.21,63.35,64.14,1462600,62.99
2013-03-11,63.04,63.68,62.60,63.49,1110100,62.35
2013-03-08,62.88,63.46,62.47,63.03,1367300,61.90
2013-03-07,62.60,63.01,62.57,62.70,1352000,61.57
2013-03-06,62.02,62.57,61.76,62.52,1757500,61.40
