Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,193.30,194.53,191.83,194.21,731500,193.12
2013-12-30,190.83,194.39,190.70,193.29,1948600,192.20
2013-12-27,191.21,191.90,190.03,191.25,587500,190.17
2013-12-26,189.35,191.58,188.81,191.04,692400,189.97
2013-12-24,185.99,190.80,185.18,189.25,862500,188.19
2013-12-23,186.65,186.65,184.01,185.15,801700,184.11
2013-12-20,186.01,186.07,181.89,185.35,1534600,184.31
2013-12-19,187.35,187.35,183.06,185.11,1047300,184.07
2013-12-18,183.53,186.96,181.50,186.67,1145500,185.62
2013-12-17,183.23,184.01,180.84,182.48,1061700,181.45
2013-12-16,183.05,185.41,181.24,182.82,1282500,181.79
2013-12-13,181.02,182.26,179.92,181.76,968600,180.74
2013-12-12,180.84,182.41,178.48,179.49,1277800,178.48
2013-12-11,181.24,183.44,180.02,180.70,1598900,179.68
2013-12-10,178.49,181.76,176.41,181.15,1742100,180.13
2013-12-09,173.50,179.12,173.50,178.53,2595100,177.53
2013-12-06,173.00,174.00,169.72,173.16,1383800,172.19
2013-12-05,167.67,172.87,167.10,171.41,1694200,170.45
2013-12-04,162.72,168.99,162.13,167.78,1568600,166.84
2013-12-03,164.00,165.37,161.88,163.31,1287300,162.39
2013-12-02,165.57,167.37,164.12,164.74,750100,163.81
2013-11-29,165.85,167.41,164.95,165.87,565500,164.94
2013-11-27,164.19,166.45,163.50,165.56,617600,164.63
2013-11-26,163.72,164.83,163.01,164.00,544200,163.08
2013-11-25,163.15,164.61,162.90,163.67,638600,162.75
2013-11-22,163.57,164.02,161.12,162.45,717900,161.54
2013-11-21,159.97,165.00,159.32,163.53,2878200,162.61
2013-11-20,160.47,160.96,157.48,158.39,780100,157.50
2013-11-19,163.19,163.81,158.14,159.20,1396500,158.31
2013-11-18,164.55,166.64,163.00,163.59,905100,162.67
2013-11-15,168.51,169.66,165.60,166.39,1411200,162.47
2013-11-14,170.12,170.31,167.76,168.51,712100,164.54
2013-11-13,165.75,170.24,165.60,170.21,1024100,166.20
2013-11-12,164.82,167.65,164.40,167.38,2799100,163.44
