Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,100.49,101.39,100.43,101.20,8509600,100.49
2013-12-30,101.53,101.55,100.31,100.31,9007900,99.60
2013-12-27,101.24,101.74,100.99,101.51,10209000,100.80
2013-12-26,99.42,101.03,99.38,100.90,9531200,100.19
2013-12-24,98.33,99.44,98.33,99.22,4168300,98.52
2013-12-23,99.00,99.29,98.39,98.51,10127600,97.82
2013-12-20,99.39,99.60,98.60,98.68,23331000,97.99
2013-12-19,99.50,99.60,99.00,99.43,12905900,98.73
2013-12-18,97.43,99.95,97.01,99.54,21331300,98.84
2013-12-17,97.02,97.13,96.03,96.75,14920900,96.07
2013-12-16,96.28,98.88,96.13,97.22,23226000,96.54
2013-12-13,95.13,95.92,94.66,95.31,10629500,94.64
2013-12-12,94.50,95.88,94.28,95.36,15562600,94.69
2013-12-11,95.38,95.54,94.16,94.26,12811800,93.60
2013-12-10,95.90,95.98,95.39,95.71,9868100,95.04
2013-12-09,95.95,96.25,95.60,95.84,15516700,95.17
2013-12-06,94.97,95.71,94.59,95.65,12063400,94.98
2013-12-05,94.07,94.65,93.92,94.13,10586000,93.47
2013-12-04,94.19,94.90,93.92,94.67,13074000,94.00
2013-12-03,93.60,94.48,93.23,94.39,12599500,93.73
2013-12-02,93.27,94.04,92.92,93.52,9310500,92.86
2013-11-29,93.65,94.22,93.30,93.48,6770500,92.82
2013-11-27,94.36,94.42,93.48,93.80,8828100,93.14
2013-11-26,94.75,94.81,94.15,94.27,11857900,93.61
2013-11-25,95.21,95.75,94.83,95.09,10515100,94.42
2013-11-22,94.96,95.07,94.29,95.01,8534700,94.34
2013-11-21,94.85,95.39,94.63,94.69,9128400,94.02
2013-11-20,95.75,95.95,94.37,94.68,10455400,94.01
2013-11-19,95.40,95.79,95.16,95.42,12697300,94.75
2013-11-18,95.98,96.00,95.06,95.45,14243700,94.78
2013-11-15,94.15,95.29,94.03,95.27,18374500,94.60
2013-11-14,92.68,93.42,92.68,93.22,7909200,92.56
2013-11-13,92.22,92.74,92.07,92.59,9280000,91.94
2013-11-12,92.67,93.32,92.50,92.67,10727300,92.02
2013-11-11,92.85,93.23,92.50,92.96,7924700,92.31
2013-11-08,91.80,92.82,91.48,92.73,12330100,92.08
2013-11-07,92.64,92.98,91.76,91.96,16572100,91.31
2013-11-06,92.42,93.28,92.12,93.22,13464600,91.94
2013-11-05,91.34,93.25,91.24,91.99,21122500,90.73
2013-11-04,90.00,92.27,90.00,92.10,20591600,90.83
2013-11-01,89.74,90.04,88.27,89.82,19023500,88.59
2013-10-31,89.45,90.96,89.20,89.62,19185200,88.39
2013-10-30,88.97,89.48,88.69,88.81,14305900,87.59
2013-10-29,88.45,89.03,88.44,88.93,10340000,87.71
2013-10-28,87.83,88.46,87.61,88.23,9921900,87.02
2013-10-25,88.23,88.65,87.82,87.97,11382000,86.76
2013-10-24,87.98,88.73,87.97,88.42,12288900,87.20
2013-10-23,87.52,87.65,86.95,87.61,11449100,86.41
2013-10-22,87.29,88.15,87.13,87.98,12710600,86.77
2013-10-21,87.50,87.65,86.84,87.23,10730900,86.03
2013-10-18,87.69,87.74,87.30,87.55,12425100,86.35
2013-10-17,87.13,87.50,87.01,87.48,10438200,86.28
2013-10-16,87.48,87.86,86.72,87.31,11668100,86.11
2013-10-15,87.47,87.58,86.64,86.79,12018000,85.60
2013-10-14,86.51,87.74,86.51,87.60,9742100,86.40
2013-10-11,85.90,86.95,85.50,86.95,12661800,85.75
2013-10-10,85.52,86.04,84.79,86.04,17532400,84.86
2013-10-09,85.35,85.59,84.83,85.16,13575100,83.99
2013-10-08,85.86,85.95,85.47,85.51,15335700,84.33
2013-10-07,85.57,86.29,85.27,85.90,10985800,84.72
2013-10-04,86.31,86.42,85.68,86.32,11325500,85.13
2013-10-03,86.04,86.05,85.34,85.50,13923400,84.32
2013-10-02,85.75,86.11,85.28,86.08,11841400,84.90
2013-10-01,85.99,86.34,85.78,86.00,11885100,84.82
2013-09-30,86.06,86.70,85.61,86.04,17486100,84.86
2013-09-27,86.85,87.01,86.61,86.90,10867100,85.71
2013-09-26,87.40,87.45,86.81,87.07,9787100,85.87
2013-09-25,87.59,87.60,86.93,87.14,13577400,85.94
2013-09-24,87.59,88.07,87.28,87.36,12129200,86.16
2013-09-23,88.29,88.91,87.64,87.75,12227700,86.54
2013-09-20,89.53,89.75,88.59,88.66,20651100,87.44
2013-09-19,89.64,89.74,88.98,89.28,11757500,88.05
2013-09-18,88.91,89.87,88.37,89.58,15134700,88.35
2013-09-17,88.71,89.35,88.65,88.94,8941200,87.72
2013-09-16,88.88,89.18,88.49,88.67,9421300,87.45
2013-09-13,88.15,88.88,88.15,88.40,8254200,87.19
2013-09-12,88.59,88.80,87.86,87.98,10917200,86.77
2013-09-11,87.88,88.85,87.88,88.84,11201200,87.62
2013-09-10,88.40,88.40,87.28,87.82,11823100,86.61
2013-09-09,87.34,88.19,87.31,88.04,9297000,86.83
2013-09-06,87.49,87.73,86.80,87.25,12950600,86.05
2013-09-05,88.06,88.30,87.33,87.35,11740100,86.15
2013-09-04,87.01,87.98,86.90,87.76,9822300,86.55
2013-09-03,87.70,88.00,86.83,87.15,10546700,85.95
2013-08-30,87.39,87.55,86.79,87.16,12480400,85.96
2013-08-29,88.63,88.63,87.23,87.27,11407800,86.07
2013-08-28,87.28,88.99,87.28,88.84,17738800,87.62
2013-08-27,86.62,87.49,86.58,86.82,13960200,85.63
2013-08-26,87.50,87.70,86.82,87.09,10654700,85.89
2013-08-23,87.15,87.69,86.76,87.52,9206400,86.32
2013-08-22,86.58,87.42,86.45,86.98,10199900,85.78
2013-08-21,86.95,87.35,86.39,86.42,12766900,85.23
2013-08-20,87.13,87.87,86.83,86.83,16498800,85.64
2013-08-19,87.82,87.87,86.78,86.92,11745600,85.73
2013-08-16,88.01,88.49,87.65,87.91,11872500,86.70
2013-08-15,88.66,88.87,88.06,88.16,11273400,86.95
2013-08-14,89.34,89.48,88.90,88.95,9797300,87.73
2013-08-13,89.85,89.92,89.14,89.40,10892700,88.17
2013-08-12,90.43,90.43,89.69,89.89,10133700,88.65
2013-08-09,91.20,91.36,90.43,90.72,9467800,89.47
2013-08-08,91.93,91.97,91.28,91.78,11529500,89.90
2013-08-07,91.18,91.55,91.13,91.34,8163800,89.47
2013-08-06,91.33,91.91,91.28,91.47,11689200,89.59
2013-08-05,91.42,91.76,91.01,91.59,12625900,89.71
2013-08-02,92.46,92.53,91.34,91.95,14408600,90.06
2013-08-01,92.69,93.10,91.25,92.73,23117700,90.83
