Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,48.55,48.69,48.32,48.48,434400,48.41
2013-12-30,48.49,48.50,48.32,48.47,287500,48.40
2013-12-27,48.70,48.70,48.26,48.34,511800,48.27
2013-12-26,48.77,48.96,48.49,48.55,464700,48.48
2013-12-24,48.96,49.07,48.54,48.74,354600,48.67
2013-12-23,48.53,48.99,48.30,48.86,753800,48.73
2013-12-20,48.46,48.61,48.02,48.43,5960900,48.30
2013-12-19,47.99,48.47,47.62,48.33,882900,48.20
2013-12-18,47.57,48.22,47.10,48.21,804800,48.08
2013-12-17,47.64,47.81,47.17,47.46,677800,47.33
2013-12-16,47.97,48.23,47.47,47.67,871200,47.54
2013-12-13,48.41,48.61,47.80,47.84,822400,47.71
2013-12-12,48.47,48.60,47.93,48.24,1286900,48.11
2013-12-11,48.50,50.99,48.36,48.49,2004000,48.36
2013-12-10,47.49,48.18,47.44,48.07,707300,47.94
2013-12-09,47.87,48.05,47.52,47.57,602900,47.44
2013-12-06,47.50,48.08,47.24,47.87,751600,47.74
2013-12-05,47.26,47.48,46.83,46.94,803000,46.81
2013-12-04,46.96,47.66,46.86,47.28,753100,47.15
2013-12-03,47.31,47.32,47.01,47.22,765500,47.09
2013-12-02,47.56,47.63,47.28,47.38,590100,47.25
2013-11-29,47.67,47.79,47.42,47.56,255200,47.43
2013-11-27,47.92,48.01,47.56,47.69,352800,47.56
2013-11-26,47.88,48.02,47.60,47.72,629600,47.59
2013-11-25,48.05,48.13,47.75,47.84,434800,47.71
2013-11-22,47.83,47.98,47.65,47.85,615200,47.72
2013-11-21,48.14,48.17,47.76,47.86,887000,47.73
2013-11-20,48.17,48.33,47.72,47.83,575400,47.70
2013-11-19,48.56,48.93,47.85,48.15,781900,48.02
2013-11-18,48.72,48.97,48.29,48.49,533400,48.36
2013-11-15,48.60,48.97,48.35,48.62,658800,48.49
2013-11-14,48.25,48.65,48.08,48.55,625500,48.42
2013-11-13,47.90,48.12,47.55,48.10,772400,47.97
2013-11-12,47.35,48.16,47.35,48.00,761200,47.87
2013-11-11,47.65,47.91,47.44,47.59,680500,47.46
2013-11-08,47.11,47.83,47.06,47.81,801300,47.68
2013-11-07,47.61,47.69,47.13,47.15,682500,47.02
2013-11-06,47.20,47.53,47.02,47.33,440900,47.20
2013-11-05,47.30,47.44,46.98,47.14,552300,47.01
2013-11-04,47.17,47.48,47.12,47.45,769200,47.32
2013-11-01,47.30,47.43,46.81,47.15,784100,47.02
2013-10-31,46.81,47.23,46.55,47.11,882000,46.98
2013-10-30,45.86,46.99,45.71,46.78,1027700,46.65
2013-10-29,45.00,45.76,44.63,45.71,1345700,45.58
2013-10-28,44.88,45.18,44.81,44.98,1037000,44.86
2013-10-25,45.11,45.11,44.82,45.00,672800,44.88
2013-10-24,45.44,45.48,44.99,45.00,711200,44.88
2013-10-23,45.45,45.56,45.28,45.46,528100,45.34
2013-10-22,46.04,46.11,45.50,45.55,490300,45.43
2013-10-21,45.65,46.10,45.44,45.73,1267300,45.60
2013-10-18,45.03,45.95,45.03,45.70,923200,45.57
2013-10-17,44.32,45.46,44.31,45.41,1303300,45.29
2013-10-16,44.48,44.86,44.40,44.50,915100,44.38
2013-10-15,44.63,44.63,44.15,44.29,718600,44.17
2013-10-14,44.32,44.76,44.04,44.73,460800,44.61
2013-10-11,43.82,44.59,43.80,44.57,437800,44.45
2013-10-10,43.84,44.11,43.56,44.09,495700,43.97
2013-10-09,43.68,43.79,43.41,43.53,784200,43.41
2013-10-08,43.96,44.39,43.49,43.53,1086600,43.41
2013-10-07,44.15,44.55,43.92,43.94,672800,43.82
2013-10-04,43.94,44.81,43.48,44.49,1424400,44.37
2013-10-03,43.75,43.81,43.18,43.22,1009200,43.10
2013-10-02,43.26,43.87,42.99,43.85,630700,43.73
2013-10-01,43.51,43.77,43.32,43.62,710100,43.50
2013-09-30,43.08,43.46,42.98,43.41,783500,43.29
2013-09-27,43.37,43.52,43.25,43.39,761000,43.27
2013-09-26,43.64,43.64,43.38,43.51,928400,43.39
2013-09-25,43.87,43.94,43.41,43.43,865000,43.31
2013-09-24,44.12,44.30,43.80,43.92,642700,43.74
2013-09-23,43.89,44.24,43.67,44.10,662000,43.92
2013-09-20,44.40,44.42,43.96,44.08,963900,43.90
2013-09-19,44.71,44.93,44.28,44.31,569800,44.13
2013-09-18,44.41,44.58,44.00,44.51,770900,44.32
2013-09-17,44.60,44.70,44.45,44.51,588800,44.32
2013-09-16,44.72,45.06,44.47,44.54,805300,44.35
2013-09-13,44.65,44.65,44.09,44.11,482900,43.93
2013-09-12,44.85,45.04,44.50,44.53,709900,44.34
2013-09-11,44.34,45.37,44.34,45.15,1131400,44.96
2013-09-10,43.41,44.42,43.40,44.38,1571700,44.20
2013-09-09,42.86,43.52,42.83,43.30,1235500,43.12
2013-09-06,42.70,42.96,42.09,42.84,820300,42.66
2013-09-05,42.14,42.45,42.07,42.43,439100,42.25
2013-09-04,41.92,42.42,41.92,42.20,477600,42.02
2013-09-03,42.42,42.58,41.85,42.00,1203000,41.82
2013-08-30,42.12,42.14,41.86,41.99,945500,41.82
2013-08-29,41.77,42.36,41.71,42.05,565500,41.87
2013-08-28,41.97,42.14,41.72,42.11,701800,41.93
2013-08-27,41.78,41.91,41.57,41.83,925100,41.66
2013-08-26,42.25,42.46,42.07,42.10,640800,41.92
2013-08-23,42.32,42.53,42.09,42.27,673900,42.09
2013-08-22,41.62,42.30,41.58,42.29,684100,42.11
2013-08-21,41.57,41.91,41.31,41.59,702900,41.42
2013-08-20,41.94,41.95,41.59,41.87,549600,41.70
2013-08-19,41.97,42.16,41.70,41.79,588100,41.62
2013-08-16,42.03,42.21,41.70,41.98,775500,41.81
2013-08-15,42.51,42.63,42.00,42.15,1112800,41.97
2013-08-14,42.75,42.81,42.55,42.71,519800,42.53
2013-08-13,42.69,42.89,42.44,42.72,446300,42.54
2013-08-12,42.44,42.90,42.33,42.71,380200,42.53
2013-08-09,42.52,42.84,42.38,42.57,639900,42.39
2013-08-08,42.52,42.79,42.37,42.76,558300,42.58
2013-08-07,42.52,42.56,42.31,42.40,546800,42.22
2013-08-06,42.71,42.71,42.33,42.58,952700,42.40
2013-08-05,42.92,43.00,42.59,42.70,391900,42.52
2013-08-02,42.74,43.00,42.26,42.97,735500,42.79
2013-08-01,42.40,43.10,41.99,42.90,1561500,42.72
2013-07-31,42.38,43.01,42.25,42.88,1093600,42.70
2013-07-30,42.10,42.50,42.05,42.25,622000,42.07
2013-07-29,42.00,42.36,41.81,42.10,516500,41.92
2013-07-26,41.90,42.21,41.48,42.15,787700,41.97
2013-07-25,42.15,42.63,41.95,42.08,738300,41.90
2013-07-24,42.60,42.70,42.24,42.32,897400,42.14
2013-07-23,40.81,42.66,40.81,42.50,643500,42.32
2013-07-22,42.50,42.71,42.28,42.67,948400,42.49
2013-07-19,42.40,42.50,42.23,42.42,887200,42.24
2013-07-18,42.11,42.49,41.96,42.40,563300,42.22
2013-07-17,42.13,42.25,41.96,42.10,421000,41.92
2013-07-16,42.12,42.25,41.88,42.02,795500,41.84
2013-07-15,41.96,42.18,41.81,42.00,371200,41.82
2013-07-12,42.16,42.29,41.84,41.99,861100,41.82
2013-07-11,42.28,42.46,41.74,42.18,690200,42.00
2013-07-10,41.80,42.05,41.75,41.87,699300,41.70
2013-07-09,41.98,42.08,41.89,41.96,414900,41.79
2013-07-08,41.98,41.98,41.54,41.80,491600,41.63
2013-07-05,41.51,41.83,40.87,41.83,572500,41.66
2013-07-03,40.99,41.25,40.82,41.14,809200,40.97
2013-07-02,41.11,41.55,40.88,41.10,894500,40.93
2013-07-01,41.32,41.65,40.97,41.16,684100,40.99
2013-06-28,41.01,41.37,40.80,40.96,1224800,40.79
2013-06-27,40.60,41.30,40.60,41.23,690600,41.06
2013-06-26,40.56,40.75,40.44,40.47,424600,40.30
2013-06-25,40.57,40.65,40.09,40.24,900900,40.01
2013-06-24,40.66,40.79,39.90,40.38,1106100,40.15
2013-06-21,40.68,41.07,40.28,40.87,1285800,40.64
2013-06-20,40.61,40.68,40.19,40.44,1012100,40.21
2013-06-19,41.73,41.73,40.99,41.12,638600,40.88
2013-06-18,41.60,41.91,41.54,41.78,507300,41.54
2013-06-17,41.25,41.66,41.25,41.58,1119900,41.34
2013-06-14,41.31,41.44,40.92,41.01,427200,40.78
2013-06-13,41.56,41.65,40.61,41.38,658900,41.14
2013-06-12,41.21,41.32,40.82,40.92,520700,40.69
2013-06-11,41.06,41.32,40.85,41.00,622800,40.77
2013-06-10,41.43,41.48,41.13,41.41,964900,41.17
2013-06-07,41.29,41.60,41.16,41.41,883300,41.17
2013-06-06,41.40,41.54,40.75,41.13,852500,40.89
2013-06-05,41.85,41.97,41.40,41.43,886200,41.19
2013-06-04,42.25,42.44,41.86,41.91,895700,41.67
2013-06-03,41.88,42.24,41.62,42.23,874700,41.99
2013-05-31,41.76,42.46,41.69,41.76,759600,41.52
2013-05-30,41.71,42.15,41.71,42.00,602300,41.76
2013-05-29,41.98,42.13,41.54,41.85,1050000,41.61
2013-05-28,41.46,42.14,41.26,42.11,897100,41.87
2013-05-24,41.24,41.26,40.89,41.15,1708900,40.91
2013-05-23,41.45,41.87,41.31,41.51,901200,41.27
2013-05-22,42.17,42.62,41.29,41.47,984600,41.23
2013-05-21,42.27,42.38,42.03,42.31,905800,42.07
2013-05-20,41.99,42.54,41.94,42.18,549000,41.94
2013-05-17,42.45,42.53,42.14,42.28,998700,42.04
2013-05-16,42.50,42.51,41.97,42.18,1452600,41.94
2013-05-15,42.75,42.89,42.43,42.53,975900,42.29
2013-05-14,42.00,42.81,41.79,42.80,1104200,42.55
2013-05-13,42.47,42.63,41.93,42.04,1034500,41.80
2013-05-10,42.57,43.07,42.45,42.64,951100,42.40
2013-05-09,40.55,42.65,40.50,42.45,2811800,42.21
2013-05-08,43.39,44.21,43.21,44.20,917800,43.95
2013-05-07,42.97,43.40,42.87,43.39,603400,43.14
2013-05-06,42.62,43.11,42.51,43.00,682100,42.75
