Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,12.20,12.25,12.11,12.17,5358300,12.10
2013-12-30,12.19,12.19,12.08,12.15,3846700,12.08
2013-12-27,12.23,12.25,12.16,12.20,3749700,12.13
2013-12-26,12.19,12.28,12.17,12.23,4588000,12.10
2013-12-24,12.07,12.20,12.05,12.18,3597600,12.05
2013-12-23,11.95,12.08,11.88,12.03,7032200,11.90
2013-12-20,11.78,11.95,11.71,11.88,11671300,11.76
2013-12-19,11.76,11.85,11.68,11.78,7680200,11.66
2013-12-18,11.49,11.76,11.36,11.75,14050700,11.63
2013-12-17,11.49,11.59,11.43,11.49,7520400,11.37
2013-12-16,11.37,11.54,11.34,11.51,6755700,11.39
2013-12-13,11.20,11.38,11.11,11.33,7057300,11.21
2013-12-12,11.17,11.26,11.06,11.20,6625300,11.08
2013-12-11,11.50,11.50,11.13,11.16,10702900,11.04
2013-12-10,11.25,11.51,11.19,11.47,8602600,11.35
2013-12-09,11.32,11.48,11.31,11.44,6709300,11.32
2013-12-06,11.15,11.33,11.09,11.28,8152800,11.16
2013-12-05,11.12,11.23,10.99,11.04,10128100,10.92
2013-12-04,11.26,11.27,11.06,11.08,13875100,10.96
2013-12-03,11.47,11.56,11.22,11.31,14396500,11.19
2013-12-02,11.37,11.70,11.31,11.54,11944400,11.42
2013-11-29,11.35,11.48,11.33,11.38,3980100,11.26
2013-11-27,11.30,11.37,11.21,11.29,6717000,11.17
2013-11-26,11.24,11.41,11.20,11.26,11569400,11.14
2013-11-25,11.23,11.27,11.13,11.23,8101300,11.11
2013-11-22,11.09,11.23,10.98,11.22,11094300,11.10
2013-11-21,11.08,11.16,11.00,11.07,13521600,10.95
2013-11-20,11.19,11.19,10.83,10.98,14915800,10.87
2013-11-19,11.11,11.26,11.10,11.22,11570400,11.10
2013-11-18,11.03,11.18,11.03,11.09,10258500,10.97
2013-11-15,11.00,11.08,10.96,11.04,8204500,10.92
2013-11-14,11.06,11.10,10.88,11.03,10931400,10.91
2013-11-13,10.70,11.04,10.64,11.04,15762300,10.92
2013-11-12,10.31,10.71,10.20,10.69,14478000,10.58
2013-11-11,10.31,10.36,10.25,10.28,10746600,10.17
2013-11-08,10.06,10.32,10.05,10.30,11842500,10.19
2013-11-07,10.34,10.37,10.05,10.09,14769500,9.98
2013-11-06,10.36,10.42,10.18,10.31,7945200,10.20
2013-11-05,10.29,10.32,10.16,10.28,11222100,10.17
2013-11-04,10.08,10.20,10.04,10.19,11649600,10.08
2013-11-01,10.01,10.10,9.83,10.02,15029700,9.92
2013-10-31,9.80,10.05,9.75,9.94,13789900,9.84
2013-10-30,9.81,9.87,9.75,9.82,12621500,9.72
2013-10-29,9.84,9.99,9.75,9.81,17448400,9.71
2013-10-28,9.75,9.83,9.69,9.77,11173300,9.67
2013-10-25,9.74,9.74,9.59,9.71,18631800,9.61
2013-10-24,10.47,10.50,9.55,9.61,33446400,9.51
2013-10-23,10.93,10.94,10.68,10.73,8554500,10.62
2013-10-22,11.08,11.11,10.92,10.96,11239000,10.85
2013-10-21,10.96,11.15,10.93,11.01,11736300,10.89
2013-10-18,10.88,10.92,10.82,10.91,5322800,10.80
2013-10-17,10.66,10.82,10.62,10.80,7747100,10.69
2013-10-16,10.65,10.71,10.62,10.66,8408300,10.55
2013-10-15,10.64,10.70,10.54,10.56,8055200,10.45
2013-10-14,10.57,10.68,10.51,10.66,6945500,10.55
2013-10-11,10.58,10.75,10.58,10.64,9101200,10.53
2013-10-10,10.35,10.65,10.35,10.65,11467000,10.54
2013-10-09,10.19,10.26,10.00,10.21,11689500,10.10
2013-10-08,10.22,10.34,10.10,10.14,18700500,10.03
2013-10-07,10.42,10.50,10.32,10.40,6281600,10.29
2013-10-04,10.40,10.58,10.37,10.53,5927500,10.42
2013-10-03,10.47,10.54,10.29,10.40,6726100,10.29
2013-10-02,10.45,10.52,10.39,10.51,8586300,10.40
2013-10-01,10.28,10.50,10.28,10.49,10758900,10.38
2013-09-30,10.32,10.37,10.25,10.29,7762300,10.18
2013-09-27,10.37,10.45,10.30,10.37,7581500,10.26
2013-09-26,10.37,10.45,10.30,10.38,9258900,10.27
2013-09-25,10.35,10.48,10.29,10.42,12549100,10.25
2013-09-24,10.15,10.41,10.12,10.31,14087400,10.15
2013-09-23,10.20,10.20,10.02,10.08,11514300,9.92
2013-09-20,10.30,10.30,10.07,10.14,20427100,9.98
2013-09-19,10.41,10.45,10.18,10.24,11507400,10.08
2013-09-18,10.44,10.45,10.21,10.36,14751200,10.19
2013-09-17,10.43,10.56,10.39,10.40,13205900,10.23
2013-09-16,10.54,10.57,10.35,10.40,12244700,10.23
2013-09-13,10.19,10.45,10.13,10.45,12921600,10.28
2013-09-12,10.32,10.33,10.10,10.14,8754100,9.98
2013-09-11,10.22,10.32,10.18,10.29,14341300,10.13
2013-09-10,10.15,10.25,10.11,10.22,25697600,10.06
2013-09-09,10.19,10.19,10.01,10.08,12845300,9.92
2013-09-06,10.10,10.12,9.95,10.03,15199400,9.87
2013-09-05,10.01,10.08,10.00,10.06,11302600,9.90
2013-09-04,10.14,10.16,9.98,10.01,16905000,9.85
2013-09-03,10.12,10.23,10.09,10.12,12660200,9.96
2013-08-30,10.05,10.09,9.95,9.98,9078100,9.82
2013-08-29,9.90,10.12,9.86,10.04,13810200,9.88
2013-08-28,9.65,9.94,9.65,9.92,17863900,9.76
2013-08-27,9.94,9.94,9.63,9.67,13748600,9.52
2013-08-26,10.03,10.10,10.00,10.00,5475500,9.84
2013-08-23,10.08,10.08,10.00,10.04,7629800,9.88
2013-08-22,10.08,10.12,9.97,10.03,6412400,9.87
2013-08-21,10.07,10.10,9.97,9.98,8153000,9.82
2013-08-20,10.13,10.15,9.99,10.07,16266300,9.91
2013-08-19,10.22,10.30,10.08,10.14,10405400,9.98
2013-08-16,10.21,10.37,10.21,10.30,9973200,10.14
2013-08-15,10.40,10.45,10.21,10.28,10188000,10.12
2013-08-14,10.46,10.55,10.44,10.51,11314600,10.34
2013-08-13,10.40,10.52,10.33,10.49,24767300,10.32
2013-08-12,9.97,10.16,9.97,10.15,10974800,9.99
2013-08-09,9.97,10.04,9.92,10.03,8916700,9.87
2013-08-08,9.93,10.02,9.86,9.98,9164600,9.82
2013-08-07,9.94,9.97,9.82,9.87,5889100,9.71
2013-08-06,10.07,10.10,9.90,9.97,10110900,9.81
2013-08-05,9.98,10.12,9.96,10.07,11527400,9.91
2013-08-02,9.91,10.00,9.85,10.00,10853500,9.84
2013-08-01,9.78,9.92,9.74,9.91,12170000,9.75
2013-07-31,9.66,9.82,9.63,9.70,15532800,9.55
2013-07-30,9.70,9.74,9.64,9.64,13793800,9.49
2013-07-29,9.69,9.75,9.63,9.65,7798300,9.50
2013-07-26,9.75,9.81,9.62,9.69,11350100,9.54
2013-07-25,9.94,10.00,9.76,9.80,26072000,9.64
2013-07-24,9.85,9.87,9.72,9.83,11636100,9.67
2013-07-23,9.82,9.85,9.72,9.79,9487600,9.63
2013-07-22,9.73,9.82,9.69,9.81,5743500,9.65
2013-07-19,9.84,9.85,9.67,9.70,7360000,9.55
2013-07-18,9.72,9.84,9.70,9.82,10969700,9.66
2013-07-17,9.77,9.78,9.61,9.69,9829900,9.54
2013-07-16,9.88,9.90,9.70,9.73,9284400,9.57
2013-07-15,9.84,9.88,9.79,9.84,5475000,9.68
2013-07-12,9.72,9.85,9.66,9.82,6501700,9.66
