Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,29.93,30.13,29.76,29.96,1077400,29.92
2013-12-30,29.88,29.97,29.73,29.85,895300,29.81
2013-12-27,29.72,29.99,29.65,29.79,808300,29.75
2013-12-26,29.87,29.94,29.54,29.84,893100,29.80
2013-12-24,29.79,29.94,29.67,29.84,672200,29.80
2013-12-23,29.36,29.78,29.23,29.72,1437500,29.68
2013-12-20,29.67,29.67,29.12,29.22,3550400,29.18
2013-12-19,28.47,29.29,28.47,29.22,2651500,29.18
2013-12-18,28.15,28.92,27.96,28.82,4911700,28.78
2013-12-17,28.28,28.44,27.92,28.07,2732900,28.03
2013-12-16,28.16,28.68,27.98,28.56,5203100,28.52
2013-12-13,28.82,29.06,28.43,28.47,1520600,28.43
2013-12-12,28.47,29.15,28.32,28.78,2391900,28.74
2013-12-11,29.19,29.36,28.47,28.52,2200600,28.48
2013-12-10,29.61,30.00,29.24,29.30,2705700,29.26
2013-12-09,29.77,29.97,29.61,29.67,2087400,29.63
2013-12-06,29.57,29.77,29.39,29.73,1294700,29.69
2013-12-05,29.16,29.50,28.99,29.16,1252500,29.12
2013-12-04,28.83,29.47,28.73,29.26,1358900,29.22
2013-12-03,29.06,29.24,28.63,28.88,1629900,28.84
2013-12-02,29.34,29.90,29.16,29.20,2019400,29.16
2013-11-29,29.55,29.59,29.29,29.33,425700,29.29
2013-11-27,29.18,29.59,29.11,29.49,1565900,29.45
2013-11-26,29.46,29.71,29.02,29.14,2271800,29.10
2013-11-25,29.57,29.73,29.36,29.45,1001900,29.41
2013-11-22,29.17,29.39,28.83,29.39,1391400,29.35
2013-11-21,28.50,29.22,28.31,29.08,1641700,29.04
2013-11-20,28.22,28.56,28.05,28.27,2468800,28.23
2013-11-19,28.16,28.62,27.61,28.21,2785500,28.13
2013-11-18,29.30,29.50,28.81,28.87,1293900,28.79
2013-11-15,29.43,29.47,28.91,29.20,1496600,29.12
2013-11-14,29.14,29.20,28.73,29.12,1299300,29.04
2013-11-13,28.74,28.99,28.52,28.99,1478200,28.91
2013-11-12,29.11,29.28,28.75,28.89,1071800,28.81
2013-11-11,29.71,29.88,29.10,29.21,1878300,29.13
2013-11-08,28.13,29.67,28.07,29.64,2271100,29.56
2013-11-07,28.88,29.14,28.22,28.24,2285900,28.16
2013-11-06,28.70,28.91,28.56,28.86,1528200,28.78
